strong	gloss
H7112	skære op, skære af
H7115	utålmodighed, korthed
H7121	kalde, møde, læse (højt)
H7126	nærme sig
H7130	midte, indre
H7133	offer, offergave
H7136	være tilgængelig for, træffes med
H7138	nær, forestående
H7141	Korah
H7150	instruks, dekret
H7151	by, stad
H7161	horn, top, stråleglans
H7167	flænge, rive af
H7179	avner, stub
H7185	gøre hård, forhærde
H7186	hård, vanskelig, tung
H7194	binde om, knytte sig til
H7198	bue, regnbue
H7200	se, indse, se på, vælge
H7205	Ruben
H7214	vildokse
H7218	hoved, top; begyndelse; bedst; leder; sum; afdeling
H7223	først, tidligere
H7225	begyndelse, først
H7227	meget, mange, kaptajn, chef
H7230	mængde, overflod
H7235	være talrig, være stor
H7243	fjerde
H7256	fjerde generation
H7257	ligge ned, lejre sig
H7272	fod, ben
H7281	øjeblik, ro
H7287	herske
H7290	sove tungt
H7307	vind, ånd, ånde
H7309	lettelse, pause
H7311	være høj, være ophøjet, hovmode sig
H7321	råbe, råbe til angreb
H7323	løbe
H7336	fyrste, officer
H7337	udvide, give plads til
H7342	bred, vid
H7346	Rehabeam
H7349	barmhjertig
H7350	fjern, langt væk (adj), distance (n)
H7354	moderfår
H7358	moderliv
H7363	svære over
H7364	vaske, vaske sig selv
H7368	være langt væk
H7378	føre en retsssag, bestride
H7379	retssag, strid, retsbelæring
H7385	tomhed (n), tom, værdiløs (adj)
H7387	forgæves
H7392	stige op, køre
H7393	stridsvogn, vognstyrker
H7398	vogn
H7399	ejndom, gods
H7401	være svag
H7406	ujævnt land
H7408	erhverve, samle sammen
H7409	hestespand
H7425	Remalja
H7430	myldre rundt,
H7431	krybdyr, små kravlende dyr
H7442	råbe af fryd
H7451	ond, dårlig, skadelig
H7453	ven, fælle, ledsager
H7456	sulte, være hungrig
H7458	hungersnød,sult
H7462	ondskab, elendighed
H7472	Re'i
H7482	torden
H7489	være ond
H7493	skylve, ryste
H7495	helbrede
H7497	refaitterne
H7503	blive slap
H7508	Refidim
H7521	være glad for, synes om
H7522	lyst, behag, accept
H7523	myrde, egå mord, overlagt og uoverlagt manddrab
H7524	myrde,
H7526	Resin
H7527	gennembore
H7535	kun
H7549	himmelhvælving
H7554	stampe, trampe ned
H7563	skyldig, ugudelig, ugudelig person
H7568	net, til fuglefangst
H7580	brøle
H7581	brølen
H7586	Saul
H7596	dødsrige
H7604	levnes, blive til overs
H7607	krop, kød, slægtning
H7610	Shearjashub
H7614	Sheba
H7622	fangenskab
H7626	stav, stamme
H7637	syvende
H7646	være mæt, være tilfreds
H7650	sværge
H7651	Sheba
H7665	brække
H7673	hvile, holde hvilepause, overholde sabbaten
H7674	sygeorlov, inaktivitet for at komme til kræfter
H7676	sabbat, hviledag
H7699	bryst
H7704	markerne, åbent land
H7706	Sadaj, Den Almægtige
H7716	lam, ung ged
H7723	det værdiløse, bedrag, forgæves
H7725	vende, vende tilbage, gentage
H7747	shuit, fra Shua
H7751	tage rundt, gå omkring
H7760	placere, anbringe
H7779	hugge
H7782	vædderhorn, trompet
H7785	kølle, ben
H7794	tyr, tyrekalv
H7810	bestikkelse, gave
H7812	bøje sig dybt for, tilbede
H7819	slagte
H7822	byld
H7832	le ad, underholde
H7834	støv, støvsky
H7837	daggry
H7843	ødelægges
H7854	Satan, anklager
H7872	alderdom, går hår
H7878	tænke over
H7880	noget bekymrende, noget interessant
H7891	synge
H7892	sang
H7896	placere, anbringe
H7898	ukrudt
H7901	ligge ned, have sex
H7911	glemme
H7916	daglejer, lejesoldat
H7925	stå tidligt op, gå i gang tidligt om morgenen
H7926	Sikem
H7931	bo, boætte sig
H7934	nabo, beboer
H7939	løn, belønning, betaling
H7950	sne
H7965	fred, velbefindende, helbred
H7971	sende
H7979	bord, alterbord
H7991	tredjedel
H7992	tredje
H7993	kaste
H7998	bytte, plyndringsgods
H7999	gengælde
H8002	fællesskabsoffer, fredsoffer
H8004	fuldkommen, uskadt, fredelig
H8008	kappe, overtøj
H8010	Salomo
H8027	blive treårig (ptc)
H8029	barnebarn, oldebarn
H8032	i forgårs
H8033	der
H8034	navn
H8040	venstre, venstre side, venstre hånd, mod nord
H8045	udrydde
H8048	skrækkeligt, frygtindgydende
H8050	Samuel
H8052	nyheder, beretning
H8056	glæde sig, være glad
H8057	glæde, jubel
H8058	give slip på, ligge brak
H8064	himmel, himlene
H8066	ottende
H8069	tjørnebusk
H8071	kappe, overtøj
H8074	være forladt, være isoleret, være chokeret
H8081	oliven
H8083	otte
H8085	høre, lytte, adlyde
H8088	rygte, fortælling
H8096	Shim’i
H8104	holde vagt, bevogte
H8121	sol
H8127	tand
H8130	hade; være uvillig til at finde sig i, fjende (qal part)
H8135	had
H8141	år
H8145	anden
H8147	to
H8150	gentage, repetere
H8152	Sinear
H8163	gedebuk
H8168	hule hånd, hådfuld
H8179	port
H8181	hår
H8185	et hår
H8193	sprog, læbe, kyst
H8198	tjenstepige, trælkvinde
H8199	dømme, gå ind i strid
H8201	straffedom, staffende handlinger
H8210	hælde ud
H8227	klippegrævling
H8242	sæk, særk (undertøj af gedehår), sørgeklæder
H8248	vande, give vand til
H8252	give fred, være stille
H8255	sekel
H8259	se ned
H8262	foragte; gøre uren
H8267	løgn, bedrag
H8269	embedsmand, leder, hersker
H8297	Saraj
H8313	brænde
H8316	brænding, ovnbrændte lertegl
H8318	sværm, sværmende dyr
H8330	rod
H8334	tjene
H8337	seks
H8342	glæde, jubel
H8345	sjette
H8354	drikke
H8367	blive stille
H8378	længsel
H8384	figen, figentræ
H8389	udseende, form
H8393	afgrøde, udbytte
H8394	evne, intellegens, færdiged
H8398	jord, fastlandet
H8414	gold, tomhed, ørken
H8415	ocean, urdyb
H8416	lovprisning, herlighed
H8432	midte
H8435	slægtsfortælling, efterkommere
H8438	orm
H8449	turteldue
H8451	lov, vejledning, åbenbaring
H8467	bønfaldelse, bøn
H8478	under, i stedet for
H8482	nedre, underste
H8485	temanit, fra Tema
H8489	Temanit, fra Teman
H8492	vin (arkaisk, poetisk)
H8535	fuldkommen, ret, resindig, pletfri
H8537	uskyld, fuldkommenhed
H8538	uskyld, retsindighed, integritet
H8543	i går
H8544	afbildning, form
H8548	altid, normalt, vedvaren
H8549	hel, pletfri, ærlig
H8552	være fuldkommen, være aflsuttet
H8567	hyre?
H8573	svingning, svingningsoffer
H8574	ovn, ildkrukke
H8577	stort havdyr, søuhyre, drage
H8582	vandre omkring, vakle rundt
H8585	kanal
H8593	barberkniv
H8604	noget forkert, noget utilbørligt
H8605	bøn
H8609	sy sammen
H8628	støde, slå i, klappe, blæse (musikinstrument)
H8639	dyb søvn
H8641	afgift, kultgave
H8659	Tarshish
H8668	frelse, hjælp
H8669	lyst, begær
