lex,default
Κρίσπος,基利司布;《思》克黎斯頗
Κυρήνη,古利奈;《思》基勒乃
Κυρήνιος,居里扭;《思》季黎諾
Κυρηναῖος,古利奈人;《思》基勒乃人
Κωσάμ,哥桑;《思》科散
Κόρε,可拉;《思》科辣黑
Κόρινθος,哥林多;《思》格林多
Κύπριος,塞浦路斯人;《和》居比路人
Κύπρος,塞浦路斯;《和》居比路
Κώς,哥士;《思》科斯
Λάζαρος,拉撒路;《思》拉匝祿
Λάμεχ,拉麥;《思》拉默客
Λίνος,《和2010》《和》利奴;《現》利努;《思》理諾
Λαοδίκεια,老底嘉;《思》勞狄刻雅
Λαοδικεύς,老底嘉人;《思》勞狄刻雅人
Λασαία,拉西亞;《思》拉撒雅
Λευί,利未;《思》肋末
Λευίτης,利未人
Λευιτικός,利未人的;利未的
Λιβερτῖνος,自由人
Λιβύη,利比亞;《和》呂彼亞
Λουκᾶς,路加
Λούκιος,路求;《思》路基約
Λυδία,呂底亞;《思》里狄雅
Λυκία,呂家;《思》里基雅
Λυκαονία,呂高尼;《思》呂考尼雅
Λυκαονιστί,用呂高尼話說
Λυσίας,呂西亞;《思》里息雅
Λυσανίας,呂撒聶;《思》呂撒尼雅
Λωΐς,《和2010》《和》羅以;《現》羅綺;《思》羅依
Λύδδα,呂大;《思》里達
Λύστρα,路司得;《思》呂斯特辣
Λώτ,羅得;《思》羅特
Μάαθ,瑪押;《思》瑪哈特
Μάλχος,馬勒古;《思》瑪耳曷
Μάρθα,馬大;《思》瑪爾大
Μίλητος,米利都;《思》米肋托
Μαγδαληνή,抹大拉的婦人(馬利亞);《思》瑪達肋納的婦人
Μαγώγ,瑪各;《思》瑪哥格
Μαδιάμ,米甸;《思》米德楊
Μαθουσαλά,瑪土撒拉;《思》默突舍拉
Μακεδονία,馬其頓
Μακεδών,馬其頓人
Μαλελεήλ,瑪勒列;《思》瑪拉肋耳
Μαναήν,馬念;《思》瑪納恒
Μανασσῆ,瑪拿西;《思》默納協
Μαρία,馬利亞;《思》瑪利亞
Ματθάν,馬但;《思》瑪堂
Ματταθά,瑪達他;《思》瑪塔塔
Ματταθίας,瑪他提亞;《思》瑪塔提雅
Μελίτη,《和2010》馬耳他;《現》馬爾他;《和》米利大;《思》默里達
Μελεά,米利亞;《思》默肋阿
Μελχί,麥基;《思》默耳希
Μελχισέδεκ,麥基洗德;《思》默基瑟德
Μεσοποταμία,美索不達米亞;《和》米所波大米
Μεσσίας,基督;彌賽亞
Μιτυλήνη,米推利尼;《思》米提肋乃
Μιχαήλ,米迦勒;《思》彌額爾
Μνάσων,拿孫;《思》木納松
Μυσία,每西亞;《思》米息雅
Μωϋσῆς,摩西;《思》梅瑟
Μόλοχ,摩洛;《思》摩肋客
Μύρα,每拉;《思》米辣
