lex,default
εὐλογέω,bendecir
εὐλογία,"bendición, alabanza"
εὐσέβεια,"piedad, devoción"
εὐφραίνω,"alegrar; alegrarse, celebrar"
εὐχαριστέω,"agradecer, dar gracias"
εὐχαριστία,"agradecimiento, gratitud"
εὑρίσκω,encontrar
ζάω,vivir
ζηλεύω,estar o ser celoso; ansioso por
ζηλόω,estar o ser celoso; ansioso por
ζητέω,"buscar, desear"
ζωή,vida
ζύμη,"leudar, fermentar"
ζῆλος,"afán, celo, rivalidad"
ζῳοποιέω,"dar vida, vivificar"
ζῷον,animal
θάλασσα,"mar, lago"
θάνατος,muerte
θάπτω,enterrar
θέλημα,voluntad; deseo
θέλω,"desear, querer"
θανατόω,"matar, dominar"
θαυμάζω,maravillarse; admirar
θεάομαι,"ver, mirar, contemplar, visitar"
θεμέλιος,perteneciente a la fundación
θερίζω,"segar, cosechar"
θεραπεύω,"cuidar a, atender, servir, sanar"
θερισμός,"cosecha, siega, mies"
θεωρέω,"observar, mirar, experimentar, considerar"
θεός,Dios; dios
θηρίον,"bestia salvaje, animal"
θησαυρός,"tesoro, riqueza"
θλίβω,"apretar, estrujar; perseguir"
θλῖψις,"persecución, aflicción, angustia"
θρίξ,"pelo, cabello"
θρόνος,"trono, asiento"
θυγάτηρ,hija
θυμός,"ira, furor"
θυσία,"sacrificio, ofrenda"
θυσιαστήριον,altar
θύρα,"puerta, oportunidad"
θύω,"sacrificar, matar"
κάθημαι,"sentar, estar sentado"
κάλαμος,caña o vara; pluma
κάτω,"abajo, debajo, mas abajo, debajo de, menos"
κέρας,"cuerno; poder, fuerza"
καί,"y, incluso, también, a saber"
καίω,quemar; encender; arder
καθάπερ,"como, tal como"
καθίζω,sentarse; hacer sentar
καθίστημι,"establecer, apuntar, conducir"
καθαρίζω,"limpiar, purificar"
καθαρός,"limpiar, puro, sin mancha"
καθεύδω,"dormir, estar durmiendo"
καθεῖς,"abajo de, contra, de acuerdo a, través de, durante"
καθώς,"tal como, como"
καινός,"fresco, nuevo"
καιρός,"tiempo, oportunidad, momento oportuno, temporada"
κακία,"maldad, iniquidad, malicia"
κακός,"malo, malvado"
κακῶς,mal o malamente; malvado o malvadamente; con mala intención
καλέω,"llamar, invitar, nombrar"
καλός,"bello, bueno, digno"
