lex,default
ἀμήν,"verdaderamente, amén, así sea"
ἀμπελών,"viña, viñedo"
ἀμφιβάλλω,"echar, tirar, arrojar; poner; dejar caer"
ἀμφότεροι,ambos
ἀνά,"y, cada, por, cada uno, en, a través"
ἀνάγκη,"necesidad, restricción, compulsión"
ἀνάγω,"conducir hacia arriba, alzar; zarpar (med)"
ἀνάκειμαι,reclinarse (en las comidas)
ἀνάστασις,"resucitar, resurrección"
ἀνέχω,"soportar, ser paciente"
ἀνήρ,"hombre, esposo"
ἀνίστημι,"levantar, levantarse de"
ἀναβαίνω,"subir, ascender"
ἀναβλέπω,dirigir la mirada; recobrar la vista
ἀναγγέλλω,"anunciar, reportar"
ἀναγινώσκω,leer
ἀναιρέω,"levantar, hacer desaparecer, matar"
ἀνακρίνω,"examinar, investigar"
ἀναλαμβάνω,"tomar, subir"
ἀναπίπτω,"acostar, reclinar, echarse hacia atrás"
ἀναπαύω,"hacer cesar, descansar, dar descanso"
ἀναστροφή,"conducta, manera de vivir"
ἀνατολή,"amanecer del sol, Este"
ἀναφέρω,"ofrecer (sacrificio); conducir, llevar; quitar o llevar la carga de"
ἀναχωρέω,"retirarse, alejarse; volverse"
ἀνθίστημι,"resistir, oponer(se)"
ἀνοίγω,abrir
ἀνομία,"estar sin ley, iniquidad"
ἀντί,"por, en lugar de (gen.)"
ἀντιλέγω,"objetar, oponer; contradecir, refutar"
ἀπάγω,"llevar, cargar, quitar"
ἀπέρχομαι,"venir o irse de, partir, regresar"
ἀπέχω,recibir completamente; estar lejos; es suficiente
ἀπαγγέλλω,"anunciar, reportar"
ἀπαρνέομαι,"negar, renunciar"
ἀπασπάζομαι,saludar
ἀπειθέω,"desobedecer, ser infiel"
ἀπιστία,"incredulidad, infidelidad"
ἀποδίδωμι,"devolver, pagar, vender"
ἀποθνῄσκω,morir
ἀποκάλυψις,revelación
ἀποκαλύπτω,revelar
ἀποκρίνομαι,"contestar, responder"
ἀποκτείνω,matar
ἀπολογέομαι,"dar defensa, defenderse"
ἀπολύτρωσις,"redención, liberación"
ἀπολύω,"soltar, despedir, divorciar, dejar"
ἀποστέλλω,"enviar, retirar"
ἀπό,"de, desde, a causa de (gen.)"
ἀπόλλυμι,destruir; perder; perecer
ἀπόστολος,"apóstol, mensajero, enviado, delegado"
ἀπώλεια,"destrucción, perdición"
ἀρέσκω,"agradar, servir"
ἀργύριον,"plata, dinero"
ἀριθμός,"número, total"
ἀρνέομαι,"negar, repudiar"
ἀρνίον,cordero
ἀρχή,"rey; comienzo, principio, origen"
ἀρχαῖος,"original, antiguo, primitivo"
ἀρχιερεύς,sumo sacerdote
ἀσέλγεια,"vicio, indecencia, libertinaje"
ἀσθένεια,"debilidad, enfermedad"
ἀσθενέω,"estar débil, enfermo"
ἀσθενής,"débil, enfermo"
ἀσκός,odre
ἀσπάζομαι,saludar
ἀσπασμός,saludo
ἀστήρ,estrella
ἀτενίζω,"fijar los ojos en, observar atentamente"
ἀφίημι,"perdonar, borrar; permitir; dejar atrás"
ἀφίστημι,"conducir a otra parte, suducir a, alejarse; abstenerse de"
ἀφαιρέω,"quitar, cortar"
ἀφορίζω,"apartar, separar"
ἁγιάζω,"hacer santo, santificar"
ἁγιασμός,"santificación, santidad, consagración"
ἁμαρτάνω,pecar
ἁμαρτία,pecado
ἁμαρτωλός,"pecando, pecaminoso, pecador"
ἁρπάζω,"tomar por la fuerza, apoderarse de; arrebatar, quitar"
ἄβυσσος,"sin fondo, abismo"
ἄγγελος,"ángel, mensajero"
ἄγω,"dirigir, conducir"
ἄδικος,injusto
ἄκανθα,espina
ἄλλος,"otro, otra, diferente"
ἄν,partícula intraducible; modifica el valor de los verbos a los que se une
ἄνεμος,viento
ἄνθρωπος,"hombre, humanidad, ser humano, persona"
ἄνωθεν,"desde arriba, de nuevo"
ἄξιος,digno
ἄπιστος,"incrédulo, infiel"
ἄρα,"por eso, entonces"
ἄρτι,"ahora, ahora mismo"
ἄρτος,"pan, alimento"
ἄρχω,comenzar
ἄρχων,"príncipe, líder"
ἄφεσις,"liberación, perdón, perdón completo"
ἄφρων,"tonto, ignorante, necio"
ἄχρι,hasta
ἅγιος,"apartado, santo, sagrado"
ἅλυσις,cadena
ἅμα,"al mismo tiempo, junto con (dat)"
ἅπαξ,"una vez, una vez para siempre"
ἅπας,todo
ἅπτω,tocar o manipular
ἆρα,"por eso, entonces"
Ἀβραάμ,Abraham
Ἀγρίππας,Agripa
Ἀνδρέας,Andrés
Ἀντιόχεια,Antioquía
Ἀπολλῶς,Apolo
Ἀσία,Asia
Ἀχαΐα,Acaya
Ἁνανίας,Ananías
ἐάν,si; cuando
ἐάνπερ,si; cuando
ἐάω,"permitir, dejar"
ἐγγίζω,acercarse
ἐγγύς,cerca
ἐγείρω,"levantar, hacer surgir; resucitar"
ἐγκαταλείπω,"dejar, abandonar, desatender"
ἐγκαυχάομαι,"jactarse, gloriarse"
ἐγώ,yo
ἐκ,"de, desde (gen)"
ἐκβάλλω,"tirar, echar fuera, expulsar; enviar"
ἐκεῖ,"allá, allí, en ese lugar"
ἐκεῖθεν,"de allí, desde ese lugar"
ἐκεῖνος,"aquel, aquella, aquello"
ἐκθαυμάζω,maravillarse; admirar
ἐκκλησία,"asamblea, congregación, iglesia"
ἐκκόπτω,cortar; quitar
ἐκλέγω,"elegir, escoger"
ἐκλεκτός,elegido
ἐκπίπτω,"caer; encallar; fallar, no cumplirse"
ἐκπερισσῶς,"tanto más, al extremo"
ἐκπλήσσω,"admirar, asombrar"
ἐκπορεύομαι,salir
ἐκτείνω,"estirar, lanzar"
ἐκχέω,"derramar, verter"
ἐλάχιστος,"menos, el más pequeño, muy poco"
ἐλέγχω,"mostrar la falta o error, convencer a alguien de su falta o error; condenar"
ἐλαία,olivo
ἐλεάω,"compadecer, tener misericordia"
ἐλεέω,"compadecer, tener misericordia"
ἐλεημοσύνη,limosna
ἐλευθερία,libertad
ἐλεύθερος,"libre, libre de obligación"
ἐλπίζω,"esperar, confiar"
ἐλπίς,"esperanza, expectativa"
ἐμαυτοῦ,de mí mismo
ἐμβαίνω,embarcarse
ἐμβλέπω,"mirar, ver"
ἐμπαίζω,burlar
ἐμφανίζω,"mostrar, reportar contra, acusar, aparecer ante"
ἐμός,"mi, mío"
ἐν,en (dat)
ἐνδείκνυμι,"mostrar, demostrar, dar prueba"
ἐνδύω,"ponerse, vestir"
ἐνεργέω,"trabajar, lograr, ser eficaz"
ἐνιαυτός,año
ἐντέλλομαι,"mandar, ordenar"
ἐντεῦθεν,"de aquí, en este lado"
ἐντολή,"ordenanza, orden, mandamiento"
ἐνώπιον,delante de (gen); en la presencia de
ἐξάγω,"sacar, llevar fuera"
ἐξέρχομαι,"ir afuera, venir afuera"
ἐξίστημι,"asombrar, estoy asombrado"
ἐξαποστέλλω,enviar
ἐξομολογέω,"aceptar, consentir; (med.) confesar, reconocer, alabar"
ἐξουθενέω,"ignorar, despreciar, rechazar"
ἐξουσία,"autoridad; poder, capacidad"
ἐπάνω,"en, sobre, arriba de (gen); encima; más de"
ἐπί,"en, sobre, junto a (gen); por causa de (dat); en, sobre, contra; durante (acus)"
ἐπίγνωσις,"conocimiento discernimiento, reconocimiento"
ἐπίσταμαι,"conocer o saber, entender"
ἐπαίρω,"levantar, elevar"
ἐπαγγέλλομαι,"prometer, profesar"
ἐπαγγελία,promesa
ἐπαισχύνομαι,avergonzarse
ἐπαύριον,mañana
ἐπεί,"después, desde, porque, si no"
ἐπειδή,"porque, ya que, puesto que"
ἐπερωτάω,"interrogar, preguntar, demandar de"
ἐπιβάλλω,echar; poner; golpear contra
ἐπιγινώσκω,"llegar a conocer, discernir, reconocer"
ἐπιζητέω,"buscar, desear"
ἐπιθυμέω,desear
ἐπιθυμία,"deseo; codicia; lascivia, pasión"
ἐπικαλέω,"llamar, poner nombre; invocar"
ἐπιλαμβάνομαι,"agarrar, apoderarse de"
ἐπιμένω,"permanecer, tardar, persistir en"
ἐπιπίπτω,"caer sobre, echarse encima"
ἐπισκέπτομαι,"visitar, ayudar, favorecer"
ἐπισπείρω,sembrar
ἐπιστολή,"carta, enviar, epístola"
ἐπιστρέφω,"volver, regresar"
ἐπιτάσσω,"mandar, ordenar"
ἐπιτίθημι,"poner, colocar sobre, poner sobre"
ἐπιτελέω,"completar, cumplir, perfeccionar"
ἐπιτιμάω,"reprender, amonestar, advertir"
ἐπιτρέπω,permitir
ἐπουράνιος,celestial
ἐργάζομαι,"trabajar, comerciar, hacer"
ἐργάτης,"trabajador de campo, obrero"
ἐρωτάω,"pedir, preguntar, solicitar"
ἐσθίω,comer
ἐφίστημι,"colocarse, ser urgente, le sucede a uno, amenazar"
ἐχθρός,"odiado, hostil, un enemigo"
ἑαυτοῦ,"de sí mismo, para sí mismo"
ἑκατοντάρχης,centurión
ἑκατόν,cien
ἑορτή,fiesta
ἑπτά,siete
ἑτοιμάζω,"hacer listo, preparar"
ἔθνος,"raza, gente; no judíos, paganos"
ἔθος,costumbre
ἔλαιον,aceite de oliva
ἔλεος,"compasión, misericordia"
ἔμπροσθεν,"delante de, ante"
ἔνατος,noveno
ἔνοχος,"involucrado en, culpable"
ἔξεστι(ν),"es permitido, legal, posible"
ἔξω,"sin, afuera"
ἔξωθεν,"de afuera, afuera"
ἔπαινος,"alabanza, elogio"
ἔπειτα,"entonces, después"
ἔργον,"obra, hecho, trabajo"
ἔρημος,"abandonado, desolado, un desierto"
ἔρχομαι,"venir, llegar, ir"
ἔσχατος,"último, al último, finalmente"
ἔσωθεν,"desde adentro, adentro"
ἔτι,"todavía, aún"
ἔτος,año
ἔχω,"tener, sostener, poseer"
ἕκαστος,"cada, cada uno"
ἕκτος,sexto
ἕνεκα,"por causa de, a causa de (gen)"
ἕξ,seis
ἕτερος,"otro, diferente"
ἕτοιμος,"listo, preparado"
ἕως,"hasta (gen); hasta que, mientras"
Ἔφεσος,Éfeso
Ἕλλην,"Heleno, Griego"
ἡγέομαι,"dirigir, pensar"
ἡγεμών,gobernador
ἡμέρα,día
ἤ,o
ἤδη,"ahora, ya"
ἥκω,"haber venido, estar presente"
ἥλιος,"sol, luz de sol"
Ἠλίας,Elías
Ἠσαΐας,Isaías
Ἡρῴδης,Herodes
ἰάομαι,"sanar, curar"
ἰσχυρός,"fuerte, potente, poderoso"
ἰσχύς,"fuerza, poder"
ἰσχύω,"ser fuerte, capaz"
ἰχθύς,"pez, pescado"
ἱερεύς,sacerdote
ἱερός,templo
ἱκανός,"suficiente, digno, muchos, mucho"
ἱμάτιον,prenda exterior
ἴδιος,"uno propio, privado, personal"
ἵνα,"a fin de que, para que"
ἵππος,caballo
ἵστημι,causar a levantar; levantar
Ἰάκωβος,"Jacobo, Santiago"
Ἰακώβ,Jacob
Ἰησοῦς,Jesús
Ἰορδάνης,Jordán
Ἰουδαία,Judea
Ἰουδαῖος,Judío
Ἰούδας,Judá; Judas
Ἰσαάκ,Isaac
Ἰσκαριώθ,Iscariote
Ἰσραήλ,Israel
Ἰωάννης,Juan
Ἰωσήφ,José
Ἰωσήχ,José
Ἰόππη,Jope
Ἱεροσόλυμα,Jerusalén
ὀδούς,diente
ὀκτώ,ocho
ὀλίγος,"pequeño, breve, poco, pronto"
ὀλίγως,"pequeño, breve, poco, pronto"
ὀμνύω,"jurar, hacer un juramento"
ὀπίσω,"detrás, después"
ὀργή,"ira, enojo, pasión"
ὀφείλω,deber
ὀφθαλμός,ojo
ὁ,"el, la, lo"
ὁδός,"camino; viaje; modo de vida, conducta"
ὁμοίως,"en igual manera, de la misma manera"
ὁμοθυμαδόν,de común acuerdo
ὁμοιόω,"hacer como, comparar"
ὁμολογέω,"confesar, profesar, reconocer, alabar"
ὁράω,"ver, mirar, experimentar"
ὄνομα,"nombre; carácter, reputación"
ὄντως,"ciertamente, verdaderamente"
ὄρος,montaña
ὄφις,serpiente
ὄχλος,"multitud, gentío"
ὄψιος,tarde
ὅδε,"este aquí, esto"
ὅθεν,"dónde, de dónde; que, por eso, por lo cual"
ὅλος,"todo, entero, completo"
ὅμοιος,"como, similar a, parecido"
ὅπου,"donde, adonde"
ὅπως,"cómo, para que"
ὅραμα,"espectáculo, visión"
ὅριον,"territorio, región"
ὅρκος,juramento
ὅς,"que, quien, cual, cuyo"
ὅσος,"cuanto, tan grande como, cuántos"
ὅστις,"quienquiera que, cualquiera que"
ὅταν,"cuando, cuando sea"
ὅτε,cuando; mientras
ὅτι,"que, porque"
ὑγιής,"sano, completo, saludable"
ὑγιαίνω,"sano, sana"
ὑμέτερος,"tu, vuestro"
ὑπάγω,"salir, partir, alejarse"
ὑπάρχω,"soy, existo, estoy en posesión"
ὑπέρ,"por, a favor de (gen); sobre"
ὑπακοή,obediencia
ὑπακούω,"escuchar, obedecer"
ὑπαντάω,"encontrarse, salir al encuentro, enfrentarse, luchar"
ὑπερεκπερισσοῦ,"por, a favor de (gen); sobre"
ὑπερεκπερισσῶς,"tanto más, al extremo"
ὑπερλίαν,"por, a favor de (gen); sobre"
ὑπηρέτης,"sirviente, asistente"
ὑποκάτω,"por debajo, debajo"
ὑποκριτής,hipócrita
ὑπομένω,"mantenerse firme, resistir"
ὑπομονή,"paciencia, perseverancia"
ὑποστρέφω,"regresar, volver"
ὑποτάσσω,"someter, subordinar"
ὑπό,"por; bajo, debajo de (acus)"
ὑπόδημα,"sandalia, calzado"
ὑστερέω,"faltar, carecer de"
ὑψηλός,"alto, elevado; orgulloso, altivo"
ὑψόω,"levantar, exaltar"
ὕδωρ,agua
ὕστερος,"finalmente, luego"
ὕψιστος,el más alto
ὠφελέω,"ayudar, benficiar, hacer bien"
ὡς,"como; muy, cuán; mientras, cuando"
ὡσαύτως,"del mismo modo, igualmente"
ὡσεί,"como, aproximadamente"
ὥρα,"hora; momento, instante; temporada"
ὥσπερ,"como, así como; al igual que"
ὥστε,"para que, por lo tanto"
ὦ,¡Oh!
ὧδε,"aquí, acá"
ᾅδης,Hades
ῥάβδος,"vara, palo, bastón; cetro"
ῥίζα,raíz
ῥαββί,"Rabbi, maestro (indeclinable)"
ῥύομαι,"librar, rescatar, salvar"
ῥῆμα,"palabra, cosa dicho"
Ῥωμαῖος,romano
