iso639_3	bcp47	script	region	name	gloss_name	kind
cmn	zh-Hans	Hans		Chinese (Simplified)	Chinese-Simplified	script
cmn	zh-Hant	Hant		Chinese (Traditional)	Chinese-Traditional	script
