strong	domain_type	domain	label	count	share
G0091	sdbg	088002	Just, Righteous	12	0.429
G0091	sdbg	088016	Treat Badly	3	0.107
G0092	sdbg	088002	Just, Righteous	3	1.000
G0093	sdbg	088002	Just, Righteous	25	1.000
G0094	sdbg	088002	Just, Righteous	10	0.833
G0094	sdbg	011002	Socio-Religious	2	0.167
G0095	sdbg	088002	Just, Righteous	1	1.000
G0096	sdbg	065001	Valuable, Lacking in Value	6	0.750
G0096	sdbg	088015	Bad, Evil, Harmful, Damaging	2	0.250
G0097	sdbg	079020	Pure, Unadulterated, Undiluted	1	1.000
G0098	sdbg	093002	Places	1	1.000
G0099	sdbg	093002	Places	1	1.000
G0100	sdbg	059006	Abundance, Excess, Sparing	1	1.000
G0101	sdbg	071001	Possible, Impossible	2	1.000
G0102	sdbg	071001	Possible, Impossible	8	0.800
G0102	sdbg	074	Able, Capable	2	0.200
G0103	sdbg	033007	Sing, Lament	5	1.000
G0104	sdbg	067005	Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young	7	1.000
G0105	sdbg	004002	Birds	5	1.000
G0106	sdbg	005001	Food	9	1.000
G0107	sdbg	093001	Persons	2	1.000
G0108	sdbg	093002	Places	1	1.000
G0109	sdbg	001002	Regions Above the Earth	6	0.750
G0110	sdbg	023007	Live, Die	3	1.000
G0111	sdbg	013004	Happen	2	0.667
G0112	sdbg	012001	Supernatural Beings	1	1.000
G0113	sdbg	088018	Act Lawlessly	2	1.000
G0114	sdbg	031009	Trust, Rely	9	0.562
G0114	sdbg	076	Power, Force	7	0.438
G0115	sdbg	013001	State	2	0.667
G0116	sdbg	093002	Places	4	1.000
G0117	sdbg	093002	Places	2	1.000
G0118	sdbg	050	Contests and Play	2	1.000
G0119	sdbg	050	Contests and Play	1	0.500
G0120	sdbg	025024	Discouragement	1	1.000
G0121	sdbg	088038	Sin, Wrongdoing, Guilt	2	1.000
G0122	sdbg	004001	Animals	1	1.000
G0123	sdbg	001009	Land in Contrast With the Sea	6	1.000
G0124	sdbg	093002	Places	5	1.000
G0125	sdbg	093002	Places	25	1.000
G0126	sdbg	067005	Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young	2	1.000
G0127	sdbg	088006	Modesty, Propriety	1	0.500
G0128	sdbg	093002	Places	2	1.000
G0129	sdbg	008002	Parts of the Body	60	0.588
G0129	sdbg	023007	Live, Die	25	0.245
G0129	sdbg	020004	Kill	8	0.078
G0129	sdbg	009001	Human Beings	5	0.049
G0129	sdbg	023009	Sickness, Disease, Weakness	4	0.039
G0130	sdbg	023009	Sickness, Disease, Weakness	1	1.000
G0131	sdbg	023009	Sickness, Disease, Weakness	1	1.000
G0132	sdbg	093001	Persons	2	1.000
G0133	sdbg	033037	Praise	1	1.000
G0134	sdbg	033037	Praise	8	1.000
G0135	sdbg	024001	See	1	0.500
G0136	sdbg	033037	Praise	2	1.000
G0137	sdbg	093002	Places	1	1.000
G0138	sdbg	030006	To Choose, To Select, To Prefer	3	1.000
G0139	sdbg	011002	Socio-Religious	6	0.667
G0139	sdbg	063006	Divide	2	0.222
G0140	sdbg	030006	To Choose, To Select, To Prefer	1	1.000
G0141	sdbg	039002	Division	1	1.000
G0142	sdbg	015024	Carry, Bear	74	0.747
G0142	sdbg	020003	Destroy	7	0.071
G0142	sdbg	090014	To Cause To Experience	7	0.071
G0142	sdbg	020004	Kill	5	0.051
G0142	sdbg	024006	Pain, Suffering	3	0.030
G0142	sdbg	057017	Lend, Loan, Interest, Borrow, Bank	2	0.020
G0143	sdbg	032004	Capacity for Understanding	1	1.000
G0144	sdbg	032004	Capacity for Understanding	1	1.000
G0145	sdbg	032004	Capacity for Understanding	1	1.000
G0146	sdbg	025002	Desire Strongly	2	1.000
G0147	sdbg	025002	Desire Strongly	1	1.000
G0148	sdbg	033004	Language Levels	1	1.000
G0150	sdbg	088020	Act Shamefully	4	1.000
G0151	sdbg	088020	Act Shamefully	1	1.000
G0152	sdbg	025018	Shame, Disgrace, Humiliation	5	0.833
G0153	sdbg	025018	Shame, Disgrace, Humiliation	5	1.000
G0154	sdbg	033012	Ask For, Request	70	1.000
G0155	sdbg	033012	Ask For, Request	3	1.000
G0156	sdbg	056003	Accusation	10	0.435
G0156	sdbg	089007	Cause and/or Reason	9	0.391
G0156	sdbg	088038	Sin, Wrongdoing, Guilt	3	0.130
G0157	sdbg	056003	Accusation	1	1.000
G0159	sdbg	089007	Cause and/or Reason	4	0.800
G0160	sdbg	067005	Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young	2	1.000
G0161	sdbg	055005	Prisoners of War	3	1.000
