# Direction verdicts for hierarchy_dag.tsv edges -- held-out weighted asymmetry
# (WeedsPrec + invCL), majority verdict across 5 TEST-book splits (seeds 13,17,23,29,31), never used to infer these edges. See
# direction_yardstick.py and internal-docs/phase-c-instrument-calibration-plan.md.
broader_strong	narrower_strong	source	verdict	n_confirmed	n_contradicted	n_undetermined	n_seeds
H6440	H3605	apposition	CONTRADICTED	0	5	0	5
H6440	H4428	apposition	UNDETERMINED	0	2	3	5
H6485	H8269	apposition	UNDETERMINED	0	2	3	5
H6499	H1121	apposition	CONTRADICTED	0	4	1	5
H6499	H1241	apposition	UNDETERMINED	1	1	3	5
H6522	H0776	apposition	CONTRADICTED	0	4	1	5
H6522	H1706	apposition	UNDETERMINED	0	0	5	5
H6522	H2100	apposition	UNDETERMINED	0	0	5	5
H6522	H2461	apposition	UNDETERMINED	0	1	4	5
H6529	H1121	apposition	CONTRADICTED	0	5	0	5
H6529	H1320	apposition	UNDETERMINED	0	1	4	5
H6529	H1323	apposition	UNDETERMINED	0	0	5	5
H6529	H5158	apposition	UNDETERMINED	0	0	5	5
H6529	H6086	apposition	CONTRADICTED	0	5	0	5
H6547	H1419	apposition	UNDETERMINED	1	1	3	5
H6547	H4428	apposition	CONTRADICTED	0	4	1	5
H6588	H2233	apposition	UNDETERMINED	0	0	5	5
H6588	H8267	apposition	UNDETERMINED	0	0	5	5
H6635	H0430	apposition	CONTRADICTED	0	5	0	5
H6635	H2022	apposition	UNDETERMINED	0	0	5	5
H6635	H4428	apposition	CONTRADICTED	0	4	1	5
H6635	H5892	apposition	CONTRADICTED	0	3	2	5
H6635	H5971	apposition	CONTRADICTED	0	5	0	5
H6677	H0251	apposition	UNDETERMINED	0	2	3	5
H6731	H5145	apposition	UNDETERMINED	0	0	5	5
H6731	H6944	apposition	UNDETERMINED	0	0	5	5
H6754	H8251	apposition	UNDETERMINED	0	0	5	5
H6918	H4428	apposition	CONTRADICTED	0	3	2	5
H6944	H2022	apposition	UNDETERMINED	0	0	5	5
H6944	H8064	apposition	UNDETERMINED	0	1	4	5
H6953	H1121	apposition	UNDETERMINED	0	1	4	5
H6956	H4720	apposition	CONTRADICTED	0	3	2	5
H6956	H5375	apposition	UNDETERMINED	0	2	3	5
H6963	H0430	apposition	CONTRADICTED	0	5	0	5
H7017	H2859	apposition	UNDETERMINED	0	1	4	5
H7045	H1121	apposition	UNDETERMINED	0	1	4	5
H7121	H0001	apposition	UNDETERMINED	0	0	5	5
H7121	H4294	apposition	UNDETERMINED	0	0	5	5
H7121	H5387	apposition	UNDETERMINED	0	0	5	5
H7130	H8179	apposition	UNDETERMINED	0	2	3	5
H7148	H0376	apposition	UNDETERMINED	0	0	5	5
H7148	H8034	apposition	UNDETERMINED	0	0	5	5
H7218	H0001	apposition	CONTRADICTED	0	4	1	5
H7218	H3548	apposition	UNDETERMINED	1	0	4	5
H7218	H4428	apposition	CONTRADICTED	0	3	2	5
H7307	H1121	apposition	CONTRADICTED	0	5	0	5
H7307	H1419	apposition	UNDETERMINED	0	0	5	5
H7307	H3548	apposition	UNDETERMINED	0	2	3	5
H7307	H4428	apposition	CONTRADICTED	0	4	1	5
H7311	H1121	apposition	UNDETERMINED	0	1	4	5
H7323	H7392	apposition	UNDETERMINED	0	0	5	5
H7342	H0776	apposition	UNDETERMINED	0	0	5	5
H7342	H1706	apposition	UNDETERMINED	0	0	5	5
H7342	H2100	apposition	UNDETERMINED	0	0	5	5
H7342	H2461	apposition	UNDETERMINED	0	0	5	5
H7358	H1060	apposition	UNDETERMINED	0	0	5	5
H7358	H3605	apposition	UNDETERMINED	0	2	3	5
H7386	H1100	apposition	UNDETERMINED	0	0	5	5
H7386	H1121	apposition	UNDETERMINED	0	1	4	5
H7393	H5971	apposition	CONTRADICTED	0	5	0	5
H7416	H0776	apposition	UNDETERMINED	0	1	4	5
H7416	H1706	apposition	UNDETERMINED	0	0	5	5
H7416	H2132	apposition	UNDETERMINED	0	0	5	5
H7416	H8081	apposition	UNDETERMINED	0	0	5	5
H7462	H1697	apposition	CONTRADICTED	1	4	0	5
H7462	H3605	apposition	CONTRADICTED	0	5	0	5
H7474	H3303	apposition	UNDETERMINED	0	0	5	5
H7523	H5315	apposition	CONTRADICTED	0	3	2	5
H7544	H6071	apposition	UNDETERMINED	0	0	5	5
H7544	H7416	apposition	UNDETERMINED	0	0	5	5
H7545	H4639	apposition	UNDETERMINED	0	0	5	5
H7558	H4428	apposition	UNDETERMINED	0	0	5	5
H7605	H0802	apposition	CONTRADICTED	0	3	2	5
H7605	H1121	apposition	CONTRADICTED	0	4	1	5
H7605	H1323	apposition	UNDETERMINED	0	1	4	5
H7605	H3548	apposition	CONTRADICTED	0	3	2	5
H7605	H3878	apposition	UNDETERMINED	0	0	5	5
H7607	H0001	apposition	UNDETERMINED	0	0	5	5
H7607	H0251	apposition	UNDETERMINED	0	1	4	5
H7607	H0517	apposition	UNDETERMINED	0	0	5	5
H7607	H1121	apposition	UNDETERMINED	0	1	4	5
H7607	H1323	apposition	UNDETERMINED	0	0	5	5
H7611	H3605	apposition	CONTRADICTED	0	4	1	5
H7622	H1323	apposition	UNDETERMINED	0	1	4	5
H7626	H2022	apposition	UNDETERMINED	0	1	4	5
H7676	H3117	apposition	CONTRADICTED	0	3	2	5
H7676	H6944	apposition	CONTRADICTED	0	3	2	5
H7677	H2146	apposition	UNDETERMINED	0	0	5	5
H7677	H4744	apposition	UNDETERMINED	0	0	5	5
H7677	H6944	apposition	UNDETERMINED	0	0	5	5
H7677	H8643	apposition	UNDETERMINED	0	0	5	5
H7704	H1004	apposition	CONTRADICTED	0	5	0	5
H7778	H0251	apposition	UNDETERMINED	0	1	4	5
H7778	H0802	apposition	UNDETERMINED	0	1	4	5
H7778	H1121	apposition	UNDETERMINED	0	1	4	5
H7778	H1323	apposition	UNDETERMINED	0	1	4	5
H7891	H0802	apposition	UNDETERMINED	0	2	3	5
H7891	H1121	apposition	UNDETERMINED	0	2	3	5
H7891	H1323	apposition	UNDETERMINED	0	1	4	5
H7892	H0376	apposition	CONTRADICTED	0	3	2	5
H7892	H0430	apposition	CONTRADICTED	0	3	2	5
H8034	H0430	apposition	CONTRADICTED	0	5	0	5
H8034	H2022	apposition	UNDETERMINED	0	2	3	5
H8034	H3548	apposition	CONTRADICTED	0	4	1	5
H8034	H7218	apposition	UNDETERMINED	0	1	4	5
H8048	H0776	apposition	UNDETERMINED	0	0	5	5
H8048	H5769	apposition	UNDETERMINED	0	0	5	5
H8048	H6160	apposition	UNDETERMINED	0	0	5	5
H8121	H3605	apposition	CONTRADICTED	0	5	0	5
H8121	H6635	apposition	UNDETERMINED	0	2	3	5
H8121	H8064	apposition	UNDETERMINED	0	0	5	5
H8130	H1323	apposition	UNDETERMINED	0	1	4	5
H8130	H6430	apposition	UNDETERMINED	0	1	4	5
H8184	H0776	apposition	UNDETERMINED	0	0	5	5
H8184	H1706	apposition	UNDETERMINED	0	0	5	5
H8184	H2132	apposition	UNDETERMINED	0	0	5	5
H8184	H8081	apposition	UNDETERMINED	0	0	5	5
H8316	H0784	apposition	UNDETERMINED	0	1	4	5
H8333	H4639	apposition	UNDETERMINED	0	0	5	5
H8333	H5688	apposition	UNDETERMINED	0	0	5	5
H8384	H0776	apposition	CONTRADICTED	0	5	0	5
H8384	H1706	apposition	UNDETERMINED	0	0	5	5
H8384	H2132	apposition	UNDETERMINED	0	0	5	5
H8384	H8081	apposition	UNDETERMINED	0	0	5	5
H8441	H0430	apposition	CONTRADICTED	0	4	1	5
H8451	H0376	apposition	CONTRADICTED	0	5	0	5
H8451	H0430	apposition	CONTRADICTED	0	5	0	5
H8451	H5650	apposition	CONTRADICTED	0	3	2	5
H8478	H0001	apposition	CONTRADICTED	0	5	0	5
H8478	H1121	apposition	CONTRADICTED	0	5	0	5
H8478	H3548	apposition	UNDETERMINED	0	1	4	5
H8478	H3605	apposition	CONTRADICTED	0	5	0	5
H8478	H4428	apposition	CONTRADICTED	0	5	0	5
H8510	H8077	apposition	UNDETERMINED	0	0	5	5
H8544	H2145	apposition	UNDETERMINED	0	0	5	5
H8544	H5347	apposition	UNDETERMINED	0	0	5	5
H8544	H8403	apposition	UNDETERMINED	0	0	5	5
H8605	H1121	apposition	CONTRADICTED	0	3	2	5
