# Directional BHSA construct chains (smikhut): regens (governing) -> rectum (dependent/genitive). Kind/part evidence, NOT IS-A. See build_hierarchy_relations.py.
regens_strong	rectum_strong	count
H3605	H0591	2
H0457	H3701	2
H0457	H2091	2
H3605	H4937	2
H7307	H4941	2
H0232	H2503	2
H6541	H5483	2
H8141	H4194	2
H8141	H4428	2
H4194	H4428	2
H4393	H0776	2
H2930	H8193	2
H2233	H6944	2
H4325	H5104	2
H3980	H0784	2
H1433	H3824	2
H5442	H3293	2
H5678	H6635	2
H4941	H6041	2
H3117	H6486	2
H7311	H5869	2
H3581	H3027	2
H2428	H5971	2
H4592	H4213	2
H2022	H1323	2
H0702	H0776	2
H5947	H1346	2
H6963	H7588	2
H3627	H2195	2
H3117	H2740	2
H7626	H4910	2
H3411	H0953	2
H3605	H2206	2
H5158	H6160	2
H8141	H7916	2
H5363	H2132	2
H6697	H4581	2
H7588	H4325	2
H1471	H4001	2
H6440	H3027	2
H6776	H6571	2
H4557	H1368	2
H4325	H1295	2
H3605	H6996	2
H3513	H0776	2
H3605	H3513	2
H3605	H8057	2
H4885	H0776	2
H6963	H6343	2
H8378	H5315	2
H3605	H7099	2
H5771	H0776	2
H3754	H2531	2
H6643	H8597	2
H7218	H1516	2
H7218	H4924	2
H1516	H4924	2
H2230	H4325	2
H0376	H3944	2
H4910	H5971	2
H3851	H0398	2
H1995	H3605	2
H5869	H5787	2
H4581	H6547	2
H6440	H1606	2
H0430	H4941	2
H2989	H4325	2
H0216	H2535	2
H3605	H4885	2
H5116	H8565	2
H4002	H4325	2
H3605	H1516	2
H6731	H7704	2
H0533	H3581	2
H8432	H1237	2
H1285	H5971	2
H0216	H1471	2
H8269	H6944	2
H5971	H5769	2
H2796	H1270	2
H1280	H1270	2
H0776	H2822	2
H7611	H1004	2
H0047	H3820	2
H1323	H3778	2
H7230	H3785	2
H6440	H3117	2
H6738	H3027	2
H6256	H7522	2
H3605	H8205	2
H1121	H0990	2
H0369	H4325	2
H2534	H6693	2
H3563	H2534	2
H6907	H3563	2
H3563	H8653	2
H2220	H6944	2
H3444	H0430	2
H0430	H3605	2
H8034	H5769	2
H1004	H8605	2
H0376	H2617	2
H8217	H7307	2
H1870	H3820	2
H1847	H1870	2
H7132	H0430	2
H4146	H1755	2
H3117	H6944	2
H1004	H8597	2
H4725	H4720	2
H4725	H7272	2
H4885	H1755	2
H0216	H5769	2
H8081	H8342	2
H8074	H1755	2
H3605	H5769	2
H8034	H8597	2
H1320	H2386	2
H6297	H0376	2
H6440	H6828	2
H4940	H6828	2
H2346	H5178	2
H0776	H6160	2
H0339	H3794	2
H4726	H4325	2
H1097	H3427	2
H3605	H1245	2
H1818	H5315	2
H8643	H4421	2
H6963	H6571	2
H7411	H7198	2
H6963	H1323	2
H1516	H2028	2
H0369	H4725	2
H6106	H4428	2
H6106	H3548	2
H6256	H4832	2
H6963	H0047	2
H3605	H7112	2
H3605	H6285	2
H4428	H5769	2
H8460	H8065	2
H1995	H4325	2
H3605	H6884	2
H3335	H3605	2
H1320	H6944	2
H6963	H1999	2
H1558	H1004	2
H7462	H3427	2
H8179	H0776	2
H3027	H7451	2
H5842	H1270	2
H2677	H3117	2
H3605	H5800	2
H1116	H1167	2
H2719	H0341	2
H3605	H3366	2
H3427	H1004	2
H1681	H7227	2
H3605	H7965	2
H3027	H6231	2
H1777	H6041	2
H1697	H6944	2
H7218	H7563	2
H4209	H3820	2
H2781	H5769	2
H4428	H0339	2
H3605	H2715	2
H6677	H3605	2
H6677	H1471	2
H3027	H2389	2
H5116	H6664	2
H8127	H1121	2
H3605	H6010	2
H5869	H3064	2
H2708	H8064	2
H3027	H2428	2
H0241	H4428	2
H1004	H2779	2
H3605	H7223	2
H0679	H3027	2
H7227	H4428	2
H5707	H0571	2
H3605	H2086	2
H7462	H0802	2
H6412	H2719	2
H8141	H7243	2
H3027	H5104	2
H8610	H7198	2
H2719	H3238	2
H3427	H1323	2
H3605	H8034	2
H3045	H8034	2
H3820	H1368	2
H3820	H0802	2
H3820	H6887	2
H2087	H3820	2
H5116	H0386	2
H6810	H6629	2
H3605	H1869	2
H6256	H7105	2
H5360	H1964	2
H3605	H7617	2
H8142	H5769	2
H4720	H1004	2
H1767	H7385	2
H1767	H0784	2
H1823	H2416	2
H5869	H5178	2
H5869	H7044	2
H1823	H6440	2
H6440	H5404	2
H4758	H0212	2
H5869	H8659	2
H8432	H0212	2
H0068	H5601	2
H4758	H0120	2
H4758	H1823	2
H6963	H0212	2
H3117	H4692	2
H1530	H0120	2
H8432	H1471	2
H5869	H5674	2
H5439	H4196	2
H3605	H5687	2
H4941	H1818	2
H8403	H3027	2
H5566	H7068	2
H3605	H8403	2
H8179	H5945	2
H7083	H5608	2
H3820	H0068	2
H3820	H1320	2
H3605	H2509	2
H6086	H1612	2
H0899	H7553	2
H5315	H8130	2
H4941	H5003	2
H7622	H1323	2
H6610	H6310	2
H1419	H3671	2
H6788	H0730	2
H4941	H0571	2
H7564	H7563	2
H6963	H7581	2
H8251	H5869	2
H4940	H0776	2
H2719	H2491	2
H2719	H4428	2
H7218	H8147	2
H0776	H4351	2
H1717	H1331	2
H1823	H1121	2
H3563	H0269	2
H3899	H0376	2
H0342	H5769	2
H1995	H7892	2
H6963	H4658	2
H7230	H4639	2
H7218	H1314	2
H3605	H0339	2
H3820	H0430	2
H7230	H2451	2
H8432	H0068	2
H0068	H0784	2
H8432	H2975	2
H3605	H3802	2
H7272	H0120	2
H8432	H8074	2
H8432	H2717	2
H2220	H6547	2
H2220	H4428	2
H3027	H1471	2
H8354	H4325	2
H3605	H0216	2
H2719	H1368	2
H1323	H1471	2
H5439	H6900	2
H4284	H7451	2
H1516	H1995	2
H3605	H4605	2
H5592	H8179	2
H7341	H8179	2
H0753	H8179	2
H6440	H6442	2
H4060	H8179	2
H7341	H0520	2
H6440	H0753	2
H6440	H3957	2
H7307	H6828	2
H6297	H4428	2
H8451	H1004	2
H0702	H7161	2
H0702	H5835	2
H6438	H5835	2
H6189	H1320	2
H0753	H2568	2
H0753	H6242	2
H0753	H0505	2
H8334	H1004	2
H6440	H8641	2
H5980	H2506	2
H0259	H2506	2
H1366	H6921	2
H8345	H0374	2
H6235	H1323	2
H4201	H8179	2
H4991	H3027	2
H8179	H5045	2
H0702	H4740	2
H0702	H2691	2
H8034	H7626	2
H1121	H0413	2
H3605	H2320	2
H7307	H2183	2
H6051	H1242	2
H7198	H7423	2
H6341	H3353	2
H8525	H7704	2
H3605	H3196	2
H3117	H0653	2
H6010	H2782	2
H6440	H7494	2
H8551	H7626	2
H5668	H5275	2
H3620	H7019	2
H6041	H0776	2
H5315	H0376	2
H3605	H1530	2
H1893	H7723	2
H4109	H3117	2
H1121	H3915	2
H7101	H1004	2
H7130	H7227	2
H0214	H7562	2
H4639	H1004	2
H1167	H2534	2
H1295	H4325	2
H1300	H2595	2
H3117	H7136	2
H2061	H6153	2
H2555	H0776	2
H7130	H8141	2
H3605	H6035	2
H2256	H3220	2
H3605	H6031	2
H7307	H3605	2
H8147	H2132	2
H8432	H0374	2
H3027	H7223	2
H7198	H4421	2
H6629	H2028	2
H6041	H6629	2
H7307	H0120	2
H2022	H2132	2
H1516	H2022	2
H6440	H0413	2
H8451	H0571	2
H1285	H3878	2
H6213	H7451	2
H6213	H7564	2
H5612	H2146	2
H3372	H8034	2
H1696	H3577	2
H7230	H6588	2
H3605	H7291	2
H2220	H7563	2
H8193	H2509	2
H0398	H5971	2
H1323	H5869	2
H2256	H4194	2
H8088	H0241	2
H1293	H2896	2
H7699	H0517	2
H1247	H3824	2
H6607	H5769	2
H1368	H4421	2
H4962	H7723	2
H2143	H6944	2
H5892	H4692	2
H7307	H6310	2
H4284	H5971	2
H7230	H2428	2
H6343	H0430	2
H7230	H7965	2
H3477	H1870	2
H4703	H1397	2
H2654	H7462	2
H6118	H1322	2
H1697	H1100	2
H4196	H0430	2
H3117	H7451	2
H7230	H6239	2
H2123	H7704	2
H0216	H2416	2
H0430	H2617	2
H4581	H7218	2
H5518	H7366	2
H8668	H0120	2
H8064	H6924	2
H6440	H8121	2
H8034	H3519	2
H3605	H7161	2
H3605	H6467	2
H6963	H7482	2
H0604	H0615	2
H1121	H8546	2
H0259	H8269	2
H0953	H8482	2
H4349	H3678	2
H0505	H8141	2
H0413	H5360	2
H5315	H6662	2
H4940	H5971	2
H7225	H2451	2
H8549	H1870	2
H3605	H8267	2
H0734	H8267	2
H4687	H0430	2
H6664	H5715	2
H3605	H6664	2
H0727	H5797	2
H4191	H5769	2
H3225	H8267	2
H8537	H1870	2
H7230	H6106	2
H6440	H2351	2
H0734	H3605	2
H8615	H2610	2
H4325	H7950	2
H1363	H8064	2
H7307	H0376	2
H4557	H2320	2
H6440	H1389	2
H5475	H0433	2
H6235	H6471	2
H8229	H4325	2
H1097	H3830	2
H1121	H7830	2
H4725	H0998	2
H2385	H6963	2
H3605	H6806	2
H5315	H1167	2
H6963	H4405	2
H0376	H3824	2
H1653	H4306	2
H7225	H1870	2
H8451	H0517	2
H3880	H2580	2
H5869	H1167	2
H3605	H4570	2
H0734	H6662	2
H5116	H6662	2
H1870	H7451	2
H6143	H6310	2
H4592	H8142	2
H4592	H8572	2
H4592	H2264	2
H4592	H3027	2
H2264	H3027	2
H4148	H0191	2
H0734	H6666	2
H4791	H7176	2
H1847	H6918	2
H3027	H2743	2
H0191	H8193	2
H6310	H0191	2
H8393	H7563	2
H8193	H6662	2
H8378	H6662	2
H8615	H7563	2
H6141	H3820	2
H0376	H4209	2
H8330	H6662	2
H1004	H6662	2
H3956	H2450	2
H8193	H2450	2
H7230	H8393	2
H8193	H1847	2
H0200	H3686	2
H7522	H4428	2
H2077	H7563	2
H0376	H2534	2
H0561	H5278	2
H6440	H3519	2
H6440	H7668	2
H3027	H3686	2
H6440	H7453	2
H8193	H3686	2
H1697	H7279	2
H6440	H5081	2
H0561	H1847	2
H1460	H3686	2
H6438	H1406	2
H1004	H2268	2
H7626	H5678	2
H1366	H5769	2
H7451	H5869	2
H8104	H8451	2
H0376	H7451	2
H1777	H3605	2
H1777	H1121	2
H8147	H3618	2
H8337	H8184	2
H1004	H3196	2
H2470	H0160	2
H0355	H7704	2
H6963	H1730	2
H8057	H3820	2
H5739	H5795	2
H6400	H7416	2
H8147	H7699	2
H8147	H6082	2
H6529	H4022	2
H6170	H1314	2
H5982	H8337	2
H4991	H0430	2
H2416	H1893	2
H1004	H0060	2
H6310	H4428	2
H3605	H0759	2
H2346	H1323	2
H7522	H0376	2
H3027	H5631	2
H1697	H4436	2
H4082	H4438	2
H3605	H1330	2
H4194	H0001	2
H1882	H4428	2
H3830	H4438	2
H4916	H4487	2
H3117	H6332	2
H3605	H8633	2
H6924	H4428	2
H6924	H0424	2
H2635	H2917	2
H7985	H4082	2
H2598	H6754	2
H4437	H5958	2
H8034	H0424	2
H7230	H2748	2
H5488	H0772	2
H8648	H6240	2
H7985	H5958	2
H3984	H1722	2
H0424	H1722	2
H0424	H3701	2
H0424	H5175	2
H0424	H6523	2
H0424	H0636	2
H0424	H0068	2
H2451	H0424	2
H3605	H7843	2
H1167	H7161	2
H6944	H0430	2
H0376	H2532	2
H0776	H6643	2
H2416	H5769	2
H8193	H2975	2
H4325	H2975	2
H3713	H3701	2
H1121	H4082	2
H7628	H1473	2
H4557	H0376	2
H0376	H5971	2
H1121	H4586	2
H1121	H5618	2
H0905	H5650	2
H0905	H0519	2
H0214	H4399	2
H7607	H3674	2
H3117	H5958	2
H6573	H5406	2
H5673	H1004	2
H8034	H1397	2
H0068	H1558	2
H1004	H1595	2
H2940	H0424	2
H2598	H0424	2
H5608	H1882	2
H8269	H0001	2
H4605	H1473	2
H8179	H3465	2
H4026	H8574	2
H5048	H4026	2
H5048	H1004	2
H5944	H6438	2
H3899	H6346	2
H5929	H6086	2
H7133	H6086	2
H6529	H3605	2
H3957	H0430	2
H1516	H2796	2
H5980	H4929	2
H8147	H8426	2
H4521	H3878	2
H8034	H0269	2
H7218	H7991	2
H4557	H7218	2
H3605	H5057	2
H2428	H6635	2
H4256	H7778	2
H1121	H7145	2
H0214	H3196	2
H0214	H8081	2
H8269	H7399	2
H4948	H4501	2
H5656	H4501	2
H7979	H4635	2
H3671	H0312	2
H8605	H4725	2
H1121	H2022	2
H6440	H7227	2
H6010	H1293	2
H0369	H4832	2
H0935	H7676	2
H7218	H5553	2
H4643	H6944	2
H3499	H2617	2
H1697	H2374	2
H3605	H7891	2
H8147	H3974	1
H4475	H3117	1
H4475	H3915	1
H8318	H5315	1
H8318	H2416	1
H6440	H7549	1
H3605	H7430	1
H3117	H8345	1
H8435	H8064	1
H8435	H0776	1
H3605	H7880	1
H7880	H7704	1
H2091	H0776	1
H6529	H1588	1
H3045	H2896	1
H3045	H7451	1
H5929	H8384	1
H7307	H3117	1
H8432	H6086	1
H6963	H0802	1
H2188	H0639	1
H0517	H3605	1
H0517	H2416	1
H3801	H5785	1
H3858	H2719	1
H1870	H6086	1
H6963	H1818	1
H0001	H3427	1
H0001	H0168	1
H0001	H4735	1
H3427	H0168	1
H3427	H4735	1
H0001	H8610	1
H0001	H3658	1
H0001	H5748	1
H3605	H3658	1
H3605	H5748	1
H8610	H3658	1
H8610	H5748	1
H3913	H3605	1
H3913	H5178	1
H3913	H1270	1
H5612	H8435	1
H1823	H0430	1
H6093	H3027	1
H7093	H3605	1
H7093	H1320	1
H8392	H6086	1
H8392	H1613	1
H6086	H1613	1
H0753	H8392	1
H6607	H8392	1
H6440	H3999	1
H8141	H3967	1
H4599	H7227	1
H7097	H2568	1
H7097	H3967	1
H2474	H8392	1
H5929	H2965	1
H4372	H8392	1
H5668	H0120	1
H3336	H0120	1
H3117	H0776	1
H3027	H2416	1
H0376	H0251	1
H8210	H0120	1
H0376	H0127	1
H8147	H0251	1
H7926	H8147	1
H8435	H1121	1
H4940	H3669	1
H1366	H3669	1
H8193	H7453	1
H8193	H3605	1
H8193	H0776	1
H8269	H6547	1
H4725	H4196	1
H3605	H6003	1
H7704	H6003	1
H1167	H1285	1
H2506	H0376	1
H1121	H4943	1
H4943	H1004	1
H5771	H0567	1
H8574	H6227	1
H6501	H0120	1
H0413	H7210	1
H4428	H5971	1
H1323	H8672	1
H3605	H3211	1
H3605	H4736	1
H8199	H3605	1
H5668	H0702	1
H5668	H6242	1
H5668	H6235	1
H8147	H4397	1
H6738	H6982	1
H3947	H1323	1
H5869	H2860	1
H5771	H5892	1
H3027	H1323	1
H6780	H0127	1
H5333	H4417	1
H6440	H3603	1
H7008	H0776	1
H7008	H3536	1
H8432	H2018	1
H5356	H3709	1
H3682	H5869	1
H0182	H1121	1
H2573	H4325	1
H4057	H0875	1
H0259	H7880	1
H2909	H7198	1
H4194	H3206	1
H0182	H4325	1
H3535	H6629	1
H0413	H5769	1
H8179	H0341	1
H6440	H4191	1
H5387	H0430	1
H4005	H6913	1
H7097	H7704	1
H0241	H0776	1
H3701	H7704	1
H0776	H0702	1
H0776	H3967	1
H0776	H8255	1
H0776	H3701	1
H1581	H0113	1
H2898	H0113	1
H3605	H1581	1
H8147	H6781	1
H3027	H0269	1
H7272	H0376	1
H1870	H0571	1
H1323	H0113	1
H0505	H7233	1
H8179	H8130	1
H5227	H0802	1
H8147	H3816	1
H0376	H7704	1
H5138	H5742	1
H0905	H7458	1
H0905	H7223	1
H3605	H0875	1
H8034	H0875	1
H4786	H7307	1
H8147	H1423	1
H8147	H2896	1
H5785	H1423	1
H5785	H5795	1
H2513	H6677	1
H7381	H0899	1
H7381	H1121	1
H7381	H7704	1
H7230	H1715	1
H7230	H8492	1
H1697	H0001	1
H0060	H0001	1
H2534	H0251	1
H0639	H0251	1
H0001	H0517	1
H0068	H4725	1
H8179	H8064	1
H1121	H0269	1
H6440	H1067	1
H5319	H0430	1
H4731	H3839	1
H4286	H3837	1
H8268	H4325	1
H5227	H6629	1
H5869	H6629	1
H1697	H1121	1
H4735	H0001	1
H3605	H6239	1
H4735	H7075	1
H7617	H2719	1
H0168	H8147	1
H0168	H0519	1
H8147	H0519	1
H3733	H1581	1
H1589	H3117	1
H1589	H3915	1
H6343	H0001	1
H3605	H0571	1
H7272	H4399	1
H7272	H3206	1
H3820	H5291	1
H2847	H0430	1
H4678	H0068	1
H4678	H6900	1
H3967	H8083	1
H0441	H1121	1
H8034	H0441	1
H4033	H0001	1
H1121	H2208	1
H8432	H7704	1
H7965	H0251	1
H7965	H6629	1
H1167	H2472	1
H0259	H0953	1
H0736	H3459	1
H1494	H6629	1
H3027	H3459	1
H0376	H6743	1
H1004	H4713	1
H0615	H4428	1
H5869	H5470	1
H3605	H3972	1
H4929	H0113	1
H0776	H5680	1
H5536	H2752	1
H3978	H6547	1
H4639	H0644	1
H7218	H8248	1
H7218	H0644	1
H8432	H5650	1
H7965	H6547	1
H7451	H8389	1
H7535	H1320	1
H2472	H6547	1
H3605	H7647	1
H0400	H8141	1
H0400	H2896	1
H0400	H0935	1
H0899	H8337	1
H7242	H2091	1
H4818	H4932	1
H3605	H7651	1
H0400	H7651	1
H0400	H7704	1
H0400	H5892	1
H8034	H1060	1
H0776	H6040	1
H1004	H4929	1
H7668	H7459	1
H7668	H1004	1
H6869	H5315	1
H2173	H0776	1
H3701	H4932	1
H1697	H3701	1
H4864	H3605	1
H0572	H0376	1
H1375	H3701	1
H6310	H6994	1
H0572	H6994	1
H3701	H7668	1
H0241	H0113	1
H3206	H2208	1
H7872	H5650	1
H5869	H0251	1
H2460	H0776	1
H2898	H3605	1
H2487	H8071	1
H4759	H3915	1
H0905	H0802	1
H7097	H0251	1
H8141	H4033	1
H8141	H0001	1
H2416	H0001	1
H6310	H2945	1
H4735	H0929	1
H0702	H3027	1
H2233	H7704	1
H7218	H4296	1
H5750	H3531	1
H5750	H0776	1
H4393	H1471	1
H3499	H7613	1
H3499	H5794	1
H4904	H0001	1
H3627	H2555	1
H6203	H0341	1
H3349	H5971	1
H2447	H5869	1
H3837	H8127	1
H2348	H0591	1
H2543	H1634	1
H4574	H4428	1
H0561	H8233	1
H1167	H2671	1
H2220	H3027	1
H3027	H0046	1
H0413	H0001	1
H1293	H8064	1
H1293	H8415	1
H1293	H7699	1
H1293	H7358	1
H1293	H0001	1
H1293	H2029	1
H8378	H1389	1
H8378	H5769	1
H4735	H7704	1
H4735	H4631	1
H3117	H2590	1
H3117	H1068	1
H0241	H6547	1
H6588	H0251	1
H6588	H5650	1
H6588	H0430	1
H6588	H0001	1
H1121	H8029	1
H3605	H3409	1
H5315	H3318	1
H5315	H3409	1
H3318	H3409	1
H5971	H1121	1
H8269	H4522	1
H3605	H3209	1
H8392	H1573	1
H8432	H5488	1
H3206	H5680	1
H0517	H3206	1
H8147	H5680	1
H3827	H0784	1
H6040	H5971	1
H6440	H5065	1
H4725	H3669	1
H4725	H2850	1
H4725	H0567	1
H4725	H6522	1
H4725	H2340	1
H4725	H2983	1
H6818	H1121	1
H6963	H7223	1
H6963	H0314	1
H8147	H0226	1
H0376	H1697	1
H3515	H6310	1
H6190	H1121	1
H2205	H1121	1
H4971	H3843	1
H5065	H5971	1
H5065	H6547	1
H8506	H3843	1
H5009	H1121	1
H7115	H7307	1
H3605	H4723	1
H1697	H6854	1
H6440	H6157	1
H4735	H1121	1
H6440	H7822	1
H3605	H4046	1
H5668	H7200	1
H8432	H1259	1
H6963	H1259	1
H3499	H6413	1
H2822	H0653	1
H1060	H8198	1
H4373	H5315	1
H0092	H0231	1
H1004	H1121	1
H1060	H7628	1
H4186	H1121	1
H3915	H8107	1
H5650	H0376	1
H3605	H6189	1
H7698	H0929	1
H3605	H2543	1
H1870	H6430	1
H3824	H6547	1
H3824	H5650	1
H5483	H7393	1
H4818	H6547	1
H4005	H7991	1
H7230	H1347	1
H6213	H6382	1
H5116	H6944	1
H1419	H2220	1
H2022	H5159	1
H5518	H1320	1
H4557	H5315	1
H3899	H4932	1
H8147	H6016	1
H3605	H5736	1
H6803	H0259	1
H7379	H1121	1
H2719	H6547	1
H2706	H0430	1
H6963	H2859	1
H3671	H5404	1
H4467	H3548	1
H5645	H6051	1
H8482	H2022	1
H6227	H3536	1
H0430	H3701	1
H4196	H0127	1
H4941	H1323	1
H8127	H5650	1
H8127	H0519	1
H1167	H7794	1
H1167	H0953	1
H7794	H0376	1
H7794	H7453	1
H7704	H0312	1
H4315	H7704	1
H4315	H3754	1
H1697	H6588	1
H1697	H8147	1
H4119	H1330	1
H3605	H0490	1
H3605	H3490	1
H8008	H7453	1
H0376	H6944	1
H8088	H7723	1
H7794	H0341	1
H2543	H8130	1
H5315	H1616	1
H0034	H5971	1
H2282	H7105	1
H1061	H4639	1
H2460	H2282	1
H3220	H6430	1
H5288	H1121	1
H4639	H3843	1
H4639	H5601	1
H3843	H5601	1
H6106	H8064	1
H0678	H1121	1
H1167	H1697	1
H8403	H4908	1
H8403	H3627	1
H2885	H0727	1
H4526	H2948	1
H4501	H2889	1
H0753	H0259	1
H4135	H0168	1
H2677	H3407	1
H0268	H4908	1
H0753	H0168	1
H6654	H4908	1
H6763	H6828	1
H0134	H5178	1
H2885	H5178	1
H3749	H4196	1
H2677	H4196	1
H8147	H4196	1
H2691	H4908	1
H0753	H2691	1
H5369	H8548	1
H3801	H8665	1
H8147	H2266	1
H8147	H7718	1
H8034	H8337	1
H4639	H0068	1
H5437	H4865	1
H5437	H2091	1
H8147	H8333	1
H8147	H2889	1
H8333	H2091	1
H8333	H2889	1
H4396	H0068	1
H5688	H2091	1
H4941	H1121	1
H6310	H7218	1
H6731	H2889	1
H4135	H4701	1
H6440	H4701	1
H5771	H6944	1
H4979	H6944	1
H1320	H6172	1
H3899	H2471	1
H5560	H2406	1
H1320	H6499	1
H8571	H1121	1
H1320	H0352	1
H1320	H4394	1
H7253	H1969	1
H4729	H7004	1
H7004	H8548	1
H1818	H3725	1
H3701	H3725	1
H4753	H1865	1
H7076	H1314	1
H7070	H1314	1
H7545	H4842	1
H1320	H0120	1
H0241	H0802	1
H0241	H1323	1
H8147	H5676	1
H4385	H0430	1
H6963	H1369	1
H6030	H1369	1
H6963	H2476	1
H6030	H2476	1
H0639	H0113	1
H3117	H6485	1
H4150	H2320	1
H4150	H0024	1
H6363	H7794	1
H6363	H7716	1
H1061	H7105	1
H1061	H2406	1
H2077	H2282	1
H2282	H6453	1
H3489	H4908	1
H8573	H2091	1
H8641	H3701	1
H8641	H5178	1
H2451	H3820	1
H3605	H2796	1
H3605	H2803	1
H3605	H7551	1
H2803	H4284	1
H1767	H5656	1
H7341	H3407	1
H1280	H6086	1
H1280	H7848	1
H0702	H7117	1
H3605	H7050	1
H5980	H7050	1
H5980	H2691	1
H6485	H4908	1
H2091	H8573	1
H3701	H6485	1
H3701	H5713	1
H6485	H5713	1
H0134	H6944	1
H0134	H6532	1
H3967	H0134	1
H5178	H8573	1
H0134	H6607	1
H0134	H0168	1
H0134	H4150	1
H0134	H8179	1
H6341	H2091	1
H8432	H8504	1
H8432	H0713	1
H8432	H8438	1
H8432	H8144	1
H8432	H8337	1
H2905	H0068	1
H5306	H5601	1
H5306	H3095	1
H8659	H7718	1
H8659	H3471	1
H6310	H4598	1
H6472	H2889	1
H6287	H4021	1
H6731	H5145	1
H6731	H6944	1
H4385	H6603	1
H4385	H2368	1
H4372	H0352	1
H4372	H0119	1
H5369	H4634	1
H6440	H6607	1
H4372	H0168	1
H6187	H3899	1
H7218	H5930	1
H4725	H1880	1
H3989	H8574	1
H4503	H4802	1
H3605	H7603	1
H3605	H1706	1
H7133	H7225	1
H4417	H1285	1
H4417	H0430	1
H1643	H3759	1
H5980	H6096	1
H6532	H6944	1
H7161	H7004	1
H7161	H5561	1
H4196	H5561	1
H2460	H6499	1
H7794	H2077	1
H7794	H8002	1
H5785	H6499	1
H4725	H5930	1
H6963	H0423	1
H5038	H2416	1
H5038	H0929	1
H5038	H8318	1
H4135	H6203	1
H8667	H3027	1
H8451	H5930	1
H0784	H4196	1
H8451	H4503	1
H5560	H4503	1
H4503	H6595	1
H4503	H3548	1
H8451	H0817	1
H5930	H0376	1
H5785	H5930	1
H8451	H2077	1
H8451	H8002	1
H2471	H2557	1
H3899	H2557	1
H1320	H8426	1
H3117	H7133	1
H2077	H7133	1
H3605	H8263	1
H3605	H7794	1
H3605	H3775	1
H2460	H7794	1
H2460	H5795	1
H2460	H5038	1
H2460	H2966	1
H4888	H1121	1
H0352	H5930	1
H5536	H4394	1
H3117	H4394	1
H2077	H1121	1
H8002	H1121	1
H0801	H2460	1
H5771	H5713	1
H8318	H4325	1
H3605	H8242	1
H3605	H2789	1
H3605	H2221	1
H8451	H0929	1
H8451	H5775	1
H8451	H5315	1
H8451	H2416	1
H1121	H8449	1
H4758	H5061	1
H4241	H1320	1
H4241	H2416	1
H5785	H5061	1
H3605	H4758	1
H4758	H3548	1
H4725	H7822	1
H6867	H7822	1
H4348	H0784	1
H4241	H4348	1
H7613	H4348	1
H6867	H4348	1
H4758	H5424	1
H6285	H6440	1
H7613	H5061	1
H4758	H6883	1
H4758	H5785	1
H4758	H1320	1
H6883	H1320	1
H8451	H5061	1
H8451	H0899	1
H8451	H6785	1
H8451	H6593	1
H8451	H8359	1
H8451	H6154	1
H8451	H3627	1
H8451	H5785	1
H5061	H0899	1
H5061	H6785	1
H5061	H6593	1
H5061	H8359	1
H5061	H6154	1
H5061	H3605	1
H5061	H3627	1
H5061	H5785	1
H6883	H6785	1
H6883	H6593	1
H6883	H8359	1
H6883	H6154	1
H6883	H3605	1
H6883	H3627	1
H8451	H6879	1
H1355	H5869	1
H8147	H8549	1
H3499	H8081	1
H4725	H1818	1
H4725	H0817	1
H1004	H0776	1
H8478	H0068	1
H6083	H1004	1
H1818	H7819	1
H3605	H6883	1
H3117	H2930	1
H3117	H2889	1
H1320	H2100	1
H3605	H4817	1
H6256	H5079	1
H3117	H2932	1
H4904	H5079	1
H8451	H2100	1
H4194	H8147	1
H4194	H1121	1
H3801	H0905	1
H3801	H6944	1
H0905	H6944	1
H0073	H0905	1
H4701	H0905	1
H4393	H4289	1
H8432	H2932	1
H1818	H8163	1
H0776	H1509	1
H4720	H6944	1
H5971	H6951	1
H6718	H2416	1
H6718	H5775	1
H1818	H1320	1
H3605	H7607	1
H4138	H1004	1
H4138	H2351	1
H6172	H1121	1
H4138	H0001	1
H7607	H0001	1
H7607	H0517	1
H6172	H3618	1
H5079	H2932	1
H0802	H5997	1
H6440	H0929	1
H0376	H0776	1
H2708	H8441	1
H3117	H7992	1
H6528	H3754	1
H6468	H7916	1
H6440	H5787	1
H1818	H7453	1
H0899	H3610	1
H6285	H7218	1
H3793	H7085	1
H6440	H7872	1
H0068	H6664	1
H1969	H6664	1
H6172	H1730	1
H3605	H4191	1
H4720	H0430	1
H5145	H8081	1
H5145	H4888	1
H8081	H0430	1
H4888	H0430	1
H7668	H7272	1
H7668	H3027	1
H4790	H0810	1
H8453	H3548	1
H7075	H3701	1
H3899	H0001	1
H5771	H0819	1
H3117	H8066	1
H7133	H0801	1
H6016	H7225	1
H6016	H7105	1
H7225	H7105	1
H7133	H0430	1
H6016	H8573	1
H4283	H7637	1
H3899	H8573	1
H3899	H8147	1
H7651	H8549	1
H2146	H8643	1
H0905	H7676	1
H0905	H4979	1
H0905	H5088	1
H0905	H5071	1
H6529	H1926	1
H6086	H1926	1
H3712	H8559	1
H6057	H6086	1
H6532	H5715	1
H1121	H4713	1
H0376	H3481	1
H4941	H0259	1
H5599	H7105	1
H6025	H5139	1
H8141	H7677	1
H7676	H0776	1
H3117	H7651	1
H7782	H8643	1
H3027	H5997	1
H8141	H8393	1
H6310	H7230	1
H6310	H4591	1
H4591	H8141	1
H3605	H0272	1
H4465	H0251	1
H1767	H1353	1
H1004	H4186	1
H1004	H2346	1
