# Edges enforce_acyclic() dropped (reversed/tied/unscored under the generality-
# ordering filter) -- direction shown is as originally proposed by apposition/
# distributional, NOT re-derived. Candidate pool for optional LLM adjudication,
# see adjudicate_direction_llm.py. Distinct from hierarchy_dag_flagged.tsv (edges
# that DID survive assembly but direction_yardstick.py's held-out check
# CONTRADICTED).
broader_strong	narrower_strong	sources
H1323	H4428	apposition:3
H1366	H4428	apposition:1
H1375	H3701	apposition:1
H1383	H4639	apposition:1
H1383	H5688	apposition:1
H1389	H1995	apposition:1
H1389	H2022	apposition:1
H1397	H2428	apposition:1
H1397	H5869	apposition:2
H1419	H0776	apposition:1
H1419	H1121	apposition:1
H1419	H3605	apposition:1
H1419	H4428	apposition:3
H1422	H4148	apposition:1
H1422	H4923	apposition:1
H1471	H0376	apposition:1
H1471	H0776	apposition:1
H1471	H1121	apposition:1
H1471	H3605	apposition:2
H1471	H5971	apposition:1
H1473	H1121	apposition:1
H1473	H5971	apposition:1
H1473	H7628	apposition:1
H1501	H1419	apposition:1
H1501	H2428	apposition:1
H1546	H4428	apposition:1
H1612	H0776	apposition:1
H1612	H8081	apposition:1
H1637	H2983	apposition:1
H1697	H0802	apposition:2
H1697	H1121	apposition:3
H1697	H4428	apposition:1
H1755	H0376	apposition:1
H1755	H4421	apposition:1
H1870	H0001	apposition:1
H1875	H5892	apposition:1
H1926	H5158	apposition:1
H1926	H6086	apposition:1
H1926	H6160	apposition:1
H1966	H1121	apposition:1
H1966	H7837	apposition:1
H1979	H4428	apposition:1
H1993	H5947	apposition:1
H1993	H7151	apposition:1
H2022	H0430	apposition:1
H2022	H1004	apposition:1
H2022	H3605	apposition:1
H2070	H0430	apposition:4
H2091	H0430	apposition:1
H2091	H1004	apposition:1
H2091	H6944	apposition:1
H2108	H1121	apposition:1
H2114	H1471	apposition:1
H2195	H0639	apposition:1
H2195	H2740	apposition:1
H2195	H3605	apposition:1
H2197	H0068	apposition:1
H2197	H1259	apposition:1
H2197	H2230	apposition:1
H2205	H3605	apposition:1
H2205	H7218	apposition:1
H2205	H7453	apposition:1
H2233	H3548	apposition:1
H2233	H5650	apposition:1
H2256	H4467	apposition:1
H2340	H0776	apposition:1
H2340	H1706	apposition:1
H2340	H2100	apposition:1
H2340	H2461	apposition:1
