# BHSA clause-level dependency (candidate #6, never built before 2026-08-15): dependent_ref depends on mother_ref via `rela`. Discourse structure, not a word-pair signal -- see build_hierarchy_relations.py.
dependent_ref	mother_ref	rela
Genesis 7:4	Genesis 7:4	Attr
Genesis 7:5	Genesis 7:5	RgRc
Genesis 7:6	Genesis 7:6	PreC
Genesis 7:8	Genesis 7:8	Attr
Genesis 7:8	Genesis 7:8	RgRc
Genesis 7:9	Genesis 7:8	Adju
Genesis 7:14	Genesis 7:14	Attr
Genesis 7:15	Genesis 7:15	Attr
Genesis 7:16	Genesis 7:16	Subj
Genesis 7:16	Genesis 7:16	Adju
Genesis 7:19	Genesis 7:19	Attr
Genesis 7:21	Genesis 7:21	Attr
Genesis 7:21	Genesis 7:21	Attr
Genesis 7:22	Genesis 7:22	RgRc
Genesis 7:22	Genesis 7:22	RgRc
Genesis 7:23	Genesis 7:23	Attr
Genesis 7:23	Genesis 7:23	Coor
Genesis 8:1	Genesis 8:1	Attr
Genesis 8:6	Genesis 8:6	Attr
Genesis 8:7	Genesis 8:7	Adju
Genesis 8:8	Genesis 8:8	Adju
Genesis 8:8	Genesis 8:8	Objc
Genesis 8:10	Genesis 8:10	Objc
Genesis 8:11	Genesis 8:11	Objc
Genesis 8:12	Genesis 8:12	Objc
Genesis 8:15	Genesis 8:15	Adju
Genesis 8:17	Genesis 8:17	Attr
Genesis 8:17	Genesis 8:17	Attr
Genesis 8:19	Genesis 8:19	RgRc
Genesis 8:21	Genesis 8:21	Adju
Genesis 8:21	Genesis 8:21	Adju
Genesis 8:21	Genesis 8:21	Adju
Genesis 9:2	Genesis 9:2	Coor
Genesis 9:2	Genesis 9:2	RgRc
Genesis 9:3	Genesis 9:3	Attr
Genesis 9:6	Genesis 9:6	Resu
Genesis 9:8	Genesis 9:8	Adju
Genesis 9:9	Genesis 9:9	Resu
Genesis 9:10	Genesis 9:10	Attr
Genesis 9:10	Genesis 9:10	Coor
Genesis 9:10	Genesis 9:10	RgRc
Genesis 9:11	Genesis 9:11	Adju
Genesis 9:12	Genesis 9:12	Attr
Genesis 9:12	Genesis 9:12	Attr
Genesis 9:14	Genesis 9:14	Adju
Genesis 9:15	Genesis 9:15	Attr
Genesis 9:15	Genesis 9:15	Adju
Genesis 9:16	Genesis 9:16	Adju
Genesis 9:16	Genesis 9:16	Attr
Genesis 9:17	Genesis 9:17	Attr
Genesis 9:17	Genesis 9:17	Attr
Genesis 9:18	Genesis 9:18	Attr
Genesis 9:18	Genesis 9:18	Resu
Genesis 9:24	Genesis 9:24	Objc
Genesis 10:5	Genesis 10:5	Adju
Genesis 10:8	Genesis 10:8	Adju
Genesis 10:14	Genesis 10:14	Attr
Genesis 10:19	Genesis 10:19	Attr
Genesis 10:19	Genesis 10:19	Attr
Genesis 10:30	Genesis 10:30	Attr
Genesis 11:2	Genesis 11:2	Adju
Genesis 11:3	Genesis 11:3	Adju
Genesis 11:5	Genesis 11:5	Adju
Genesis 11:5	Genesis 11:5	Attr
Genesis 11:6	Genesis 11:6	PreC
Genesis 11:6	Genesis 11:6	Adju
Genesis 11:6	Genesis 11:6	RgRc
