# source=UBS MARBLE SDBG (Louw-Nida) domain-name mapping; license=CC-BY-SA (UBS open-license); reference-only
code	label
033050	辩论，争论
033051	争辩，争吵
033052	反对，驳斥
033053	预言
033054	发誓，宣誓，许愿
033055	祝福，诅咒
033056	非语言的沟通
034001	联系
034002	加入，开始联系
034003	属于，包括在成员中，排除在外
034004	限制或避免联系
034005	建立或确认关系
034006	探望
034007	迎接，接待
034008	殷勤招待
034009	亲吻，拥抱
034010	结婚，离婚
035001	帮助
035002	服侍
035003	供应，支持
035004	照顾，照应
035005	托付
035006	抚养，养育
035007	收养
035008	遗弃，放弃
036001	引导，引领
036002	管教，锻炼
036003	服从，不服从
036004	跟从，成为门徒
037001	控制，限制
037002	迫使，强迫
037003	运用权力
037004	管理，统治
037005	任命，分配职能
037006	捉拿，扣留
037007	交出，出卖
037008	监禁
037009	守卫，看守
037010	释放，解放
038001	惩罚
038002	报应，赏罚
039001	对抗，敌意
039002	分裂
039003	抵抗
039004	屈服
039005	冲突，斗争
039006	报复
039007	反叛
039008	暴乱
039009	迫害
039010	攻击
039011	伏击
039012	征服
040001	和解
040002	宽恕
041001	行为，品行
041002	习俗，传统
041003	特定行为模式
041004	模仿行为
041005	改变行为
042001	发挥功用
042002	做，执行
042003	制作，创造
042004	工作，劳碌
042005	工艺，职业
043	农耕
044	畜牧，捕鱼
045	建造，兴建
046	家务活动
047001	液体或干物质的移动
047002	液体的使用
047003	液体或干物质的应用及清除
048	涉及布料的活动
049	涉及衣着及装饰的活动
050	竞赛及游戏
051	节日
052	丧礼及葬礼
053001	宗教行为
053002	奉献，献祭
053003	净化，洁净
053004	玷污，不洁，俗物
053005	施洗
053006	献身，成为圣洁
053007	敬拜，尊崇
053008	禁食
053009	角色及作用
053010	邪术
053011	驱鬼
053012	亵渎神
054	海上活动
055001	配备武器
055002	战斗
055003	军队
055004	士兵及军官
055005	战俘
056001	法庭
056002	法律诉讼，案件
056003	起诉
056004	法庭聆讯，审讯
056005	审判，判刑，宣告无罪
056006	伸张正义
056007	辩士，律师
056008	领去受刑
057	拥有，转移，交换
057001	有，拥有，财产，所有者
057002	有足够的
057003	有钱，富裕的
057004	财宝
057005	需要，缺乏
057006	贫乏，贫困，贫穷
057007	拿去，获得，赢得，失去
057008	给予
057009	接受
057010	交换
057011	花费，浪费
057012	支付，价钱，费用
057013	雇用，出租
057014	税款，贡品
057015	售卖，购买，价钱
057016	赚取，赢利，做生意
057017	借出，贷款，利息，借入，银行
057018	欠债，债项，销账
057019	成为财务负担
057020	记账
057021	偷窃，盗取
058001	性质，特征
058002	外貌，形式的外在显现
058003	界定事物性质的基本原则或特征
058004	类别，种类
058005	同类或同等
058006	不同类或不同等
058007	独特的，独一无二的
058008	不寻常的，与众不同的
058009	样式，模式，榜样及对应的表现
058010	原型，对应的类型（对型）
058011	新的，旧的（主要指非时间性的事物）
059001	多，少（可数的事物）
059002	多，少（大量，总体，延伸）
059003	所有，任何，各个，每个（整体）
059004	满的，空的
059005	足够的，充足的
059006	充裕，过量，极少
059007	增加，减少
059008	相加，相减
060001	数目，无数的
060002	一，二，三，等等（基数）
060003	第一，第二，第三，等等（序数）
060004	二分之一，三分之一，四分之一（分数）
060005	一次，两次，三次，等等（时间基数）
060006	两倍，四倍之多，等等（倍数）
060007	一对，一群（共计的集合体）
061	序列
062001	（实物的）组合，排列
062002	（事件及状态的）安排
063001	整体
063002	联合
063003	混合
063004	部分
063005	剩余部分
063006	分开
063007	分隔
064	比较
065001	有价值的，没有价值的
065002	值得的，不值得的
065003	好的，坏的
065004	有用的，无用的
065005	有益的，无益的
065006	重要的，不重要的
066	适当的，不适当的
067001	与其他时间点无关的时间点：时间，时机，曾经，常常
067002	与其他时间点有关的时间点：之前，很久以前，现在，同时，在那时，大约，之后
067003	与时间段有关的时间点：起初，最后
067004	与时间单位有关的时间点：黎明，中午，午夜，傍晚
067005	与时间点或时间单位无关的时间段：时间，花时间，总是，永恒，年老，立即，年轻
067006	与某个时间点有关的时间段：直至，延迟，仍然，从……起
067007	与某个时间单位有关的时间段：在……期间，在……的时候，当……的时候，自始至终
067008	模糊的时间单位：时代，寿命，间隔，时期
067009	明确的时间单位：年，月，星期，日，小时
067010	与其他时间单位或时间点有关的时间单位：昨天，今天，次日
068001	开始
068002	继续
068003	完竣，完成，成就
068004	停止
068005	尝试，试图
068006	专心努力去做，全力去做
068007	高速，突然
069001	肯定
069002	否定
069003	否定，结合附着词
069004	对问题作肯定回应的标记
069005	对问题作否定回应的标记
070	实在的，不实在的
071001	可能，不可能
071002	很可能，不大可能
071003	确定的，不确定的
071004	应该，理应
071005	必要的，不必要的
072001	真的，假的
072002	准确的，不准确的
073	真实的，虚假的
074	能够，有能力
075	胜任，有资格
076	能力，力量
077	准备好
078001	多，少（正负程度）
078002	多于，少于（比较程度）
078003	左右，大约，差不多，几乎不（接近程度）
078004	完全，足够（完成程度）
078005	以至于，正如，到……的程度（显著程度）
079001	有形的（物质的），属灵的
079002	自然的（人类的），属灵的（属神的）
079003	固体，液体
079004	美丽的，丑陋的
079005	荣美的
079006	透明的
079007	颜色
079008	甜的，苦的，无味的
079009	香味，气味
079010	干净的，肮脏的
079011	有污点的，没有污点的
079012	有瑕疵的，无瑕疵的
079013	强壮的，软弱的
079014	热的，温的，冷的
079015	湿的，干的
079016	不平的（崎岖的），平坦的（平整的）
079017	直的，弯曲的
079018	二维及三维的形状
079019	尖的
079020	纯净的，没有杂质，没有稀释
079021	柔滑的，柔软的
079022	雄性的，雌性的
079023	形状
079024	打开，关闭
079025	掩盖的
079026	包裹着
079027	卷起的
079028	大的，小的
079029	完美的
080001	空间，地方
080002	界限，空间的边界
081001	尺寸，量度
081002	高，低，深
081003	长，短，远
081004	窄，宽
081005	容积测量单位
081006	长度测量单位
082001	东，南，西，北
082002	左，右，正前面，对面
083001	这里，那里
083002	……的地方，某处，到处
083003	在……之中，介于……之间，在……里面，在……内部
083004	在周围，在附近，在外面
083005	在，在旁边，接近，在远处
083006	在前面，面对面，在后面
083007	在……面前，在对面，在对岸，离岸
083008	在上面，在表面
083009	在……之上，在……之下
083010	在……以外，在另一边
084001	从源头延伸
084002	向目标延伸
084003	沿路径延伸
085001	在某个地方
085002	放置，安置
085003	留下，停留
085004	留在某处
085005	居住，定居
086001	沉重，轻省
086002	磅，他连得（重量单位）
087	地位
087001	职分，等级
087002	与地位有关的荣誉及尊重
087003	地位崇高（包括地位崇高的人）
087004	地位卑微（包括地位卑微的人）
087005	奴役，自由
088001	良善
088002	公平，正直，公义
088003	神圣的，纯洁的
088004	完美的，完美
088005	诚实，真诚
088006	端正，得体
088007	谦卑
088008	柔和，温和
088009	仁慈，苛刻
088010	怜悯，无情
088011	自制，缺乏自制
088012	理智的行为，愚蠢的行为
088013	成熟的行为
088014	平和的行为
088015	腐败的，邪恶的，有害的，有破坏性的
088016	虐待
088017	苛待
088018	无法无天
088019	剥削，利用
088020	行为可耻
088021	误导，引入歧途，欺骗
088022	嫉妒，忌恨
088023	充满怨恨，怀恨在心
088024	愤怒，愤慨
088025	厌恶，鄙弃，藐视
088026	憎恨，可憎的
088027	自负，傲慢，骄傲
088028	顽固
088029	伪善，假装
088030	偏袒，偏见
088031	好管闲事
088032	懒惰，闲散
088033	奢侈的生活，放纵的生活
088034	不洁，污秽
088035	放荡，性变态
088036	不正当的性行为
088037	酗酒
088038	罪恶，坏事，罪行
089003	衍生
089004	具体说明
089005	涉及对应的关系（同构关系）
089006	根据
089007	原因及／或理由
089008	结果
089009	目的
089010	条件
089011	让步
089012	方法，途径
089013	伴随的情况
089014	方式
089015	顺序添加
089016	分布
089017	添加
089018	连系
089019	等同
089020	关联
089021	分离
089022	结合关系
089023	对比
089024	替代关系
089025	实质
090001	施事者──个人或非个人、诱因或直接、直接或间接
090002	工具
090003	事件或活动的来源
090004	责任
090005	视点参与者
090006	内容
090007	起誓保证的参与者
090008	反对
090009	受益
090010	成因参与者
090011	可数事件的施事者
090012	以动词来标记的使役施事者
090013	经历者
090014	使经历
091001	转折的标记
091002	强调的标记
091003	提示关注的标记
091004	直呼的标记
091005	识别子句及说明子句的标记（补说的）
092001	说话者
092002	说话者及与说话者相关联的人（排除或包括听众）
092003	接收者
092004	说及或写到的人或物
092005	相互的参照
092006	相关的参照
092007	限定或指示的参照
092008	强调附加语
093001	人名
