# source=UBS MARBLE SDBG (Louw-Nida) domain-name mapping; license=CC-BY-SA (UBS open-license); reference-only
code	label
028003	Bien Conocido, Mostrado Claramente, Revelado
028004	Poder de ser conocido
028005	No poder conocer, secreto
029001	Almacenamiento de información
029002	Recuerdo de la memoria
029003	No Recordar, Olvidar
029004	Recordar y Responder con la Acción Apropiada
030001	Pensar, Pensamiento
030002	Pensar, con el propósito implícito de responder adecuadamente
030003	Pensar sobre contingencias futuras
030004	Ser Intencional, Tener Propósito, Planificar
030005	Decidir, Concluir
030006	Elegir, Seleccionar, Preferir
030007	Distinguir, Evaluar, Juzgar
031001	Tener una opinión, Sostener un punto de vista
031002	Sostener una opinión equivocada, estar equivocado
031003	Estar de acuerdo, consentir
031004	Reconocer
031005	Suponer, pensar que es posible
031006	Creer que es verdad
031007	Aceptar como Verdadero
031008	Cambiar de opinión con respecto a la verdad
031009	Confiar, Apoyarse
031010	Ser un creyente, fe cristiana
032001	Entender
032002	Llegar a comprender
032003	Facilidad o dificultad de comprensión
032004	Capacidad de comprensión
032005	Falta de capacidad para entender
033001	Lenguaje
033002	Palabra, pasaje
033003	Tipos de discurso
033004	Niveles lingüísticos
033005	Lenguaje escrito
033006	Hablar, Conversar
033007	Cantar, Lamentar
033008	Guardar silencio
033009	Nombre
033010	Interpretar, Significar, Explicar
033011	Conversar, Discutir
033012	Pedir por, Solicitar
033013	Orar
033014	Pregunta, Respuesta
033015	Informe, Anuncio
033016	Afirmar, Declarar
033017	Enseñar
033018	Decir la Verdad, Decir Falsedad
033019	Predicar, Proclamar
033020	Atestiguar, Testificar
033021	Profesar Lealtad
033022	Admitir, Confesar, Negar
033023	Estar de acuerdo
033024	Predecir, Adivinar el futuro
033025	Promea
033026	Amenazar
033027	Aconsejar
033028	Urgir, Persuadir
033029	Llamar
033030	Invitar
033031	Insistir
033032	Mandar, Ordenar
033033	Ley, Reglamento, Ordenanza
033034	Recomendar, Proponer
033035	Interceder
033036	Gracias
033037	Alabanza
033038	Adular
033039	Presumir
033040	Hablar tonterías
033041	Queja
033042	Insulto, Calumnia
033043	Chisme
033044	Burlarse, Ridiculizar
033045	Criticar
033046	Reprender
033047	Advertir
033048	Acusar, Culpar
033049	Defender, Excusar
033050	Disputar, debatir
033051	Discutir, reñir
033052	Oponerse, Contradecir
033053	Profetizar
033054	Jurar, Poner bajo juramento, Hacer un voto
033055	Bendición, Maldición
033056	Comunicación no verbal
034001	Asociar
034002	Unir, Empezar a Asociar
034003	Pertenecer a, Estar incluido en la membresía de, Estar excluido de
034004	Limitar o Evitar Asociación
034005	Establecer o confirmar una relación
034006	Visitar
034007	Acoger, Recibir
034008	Ser hospitalario
034009	Besar, Abrazar
034010	Matrimonio, Divorcio
035001	Ayudar
035002	Servir
035003	Proveer para, apoyar
035004	Cuidar a, atender a
035005	Confiar al cuidado de
035006	Criar, educar
035007	Adoptar
035008	Desertar, Desamparar
036001	Guiar, Dirigir
036002	Disciplinar, Entrenar
036003	Obedecer, Desobedecer
036004	Seguir, Ser Discípulo
037001	Controlar, Restringir
037002	Obligar, Forzar
037003	Ejercer la autoridad
037004	Reglamentar, Gobernar
037005	Asignar un rol o función
037006	Apoderarse, Poner bajo Custodia
037007	Entregar, Traicionar
037008	Encarcelar
037009	Guardar, Vigilar
037010	Liberar, Poner en libertad
038001	Castigar
038002	Recompensa, Recompensar
039001	Oposición, Hostilidad
039002	División
039003	Resistencia
039004	Ceder
039005	Contienda, Lucha
039006	Venganza
039007	Rebelión
039008	Motín
039009	Persecución
039010	Ataque
039011	Emboscada
039012	Conquistar
040001	Reconciliación
040002	Perdón
041001	Comportamiento, conducta
041002	Costumbre, Tradición
041003	Patrones particulares de comportamiento
041004	Imitar el comportamiento
041005	Cambiar el comportamiento
042001	Función
042002	Hacer, realizar
042003	Hacer, Crear
042004	Trabajar, Esforzarse
042005	Artesanía, Comercio
043	Agricultura
044	Ganadería, Pesca
045	Edificación, Construcción
046	Actividades domésticas
047001	Movimiento de líquidos o masas
047002	Uso de líquidos
047003	Aplicación y Eliminación de Líquidos o Masas
048	Actividades que involucran telas
049	Actividades que involucran telas y adornos
050	Certámenes y juegos
051	Fiestas, Festivales
052	Funerales y Entierros
053001	Práctica Religiosa
053002	Ofrenda, Sacrificio
053003	Purificar, Limpiar
053004	Profanar, Impuro, Común
053005	Bautizar
053006	Dedicar, Consagrar
053007	Adorar, Reverencia
053008	Ayunar
053009	Roles y Funciones
053010	Magia
053011	Exorcismo
053012	Sacrilegio
054	Actividades Marítimas
055001	Armar
055002	Combatir
055003	Ejército
055004	Soldados, Oficiales
055005	Prisioneros de Guerra
056001	Corte de Justicia
056002	Demanda, Caso
056003	Acusación
056004	Audiencia judicial, investigación
056005	Juzgar, Condenar, Absolver
056006	Obtener Justicia
056007	Abogado, Procurador
056008	Llevar al castigo
057	Poseer, Transferir, Intercambiar
057001	Tener, poseer, propiedad, dueño
057002	Tener Suficiente
057003	Ser rico, ser acaudalado
057004	Tesoro
057005	Necesidad, Carencia
057006	Ser pobre, estar necesitado, pobreza
057007	Tomar, Obtener, Ganar, Perder
057008	Dar
057009	Recibir
057010	Intercambio
057011	Gastar, Desperdiciar
057012	Pagar, Precio, Costo
057013	Contratar, alquilar
057014	Impuesto, tributo
057015	Vender, Comprar, Precio
057016	Obtener, Ganar, Hacer negocios
057017	Préstamo, Prestar, Intereses, Tomar Prestado, Banco
057018	Deber, Deudas, Cancelar
057019	Ser una carga financiera
057020	Llevar registros
057021	Robar, Asaltar
058001	Naturaleza, Carácter
058002	Apariencia como manifestación externa de forma
058003	Principios o rasgos básicos que definen la naturaleza de algo
058004	Clase, tipo
058005	Clase o tipo igual o equivalente
058006	De Diferente Tipo o Clase
058007	Distintivo, único
058008	Inusual, diferente de lo ordinario
058009	Patrón, Modelo, Ejemplo y Representación correspondiente
058010	Arquetipo, Tipo correspondiente [Antitipo]
058011	Nuevo, Viejo [primariamente no-temporal]
059001	Muchos, Pocos [Contables]
059002	Mucho, Poco [Masas, Colectivos, Extensiones]
059003	Todo, Cualquiera, Cada, Todos [Totalidad]
059004	Lleno, Vacío
059005	Bastante, Suficente
059006	Abundancia, Exceso, Ahorro
059007	Aumentar, Disminuir
059008	Sumar, Restar
060001	Número, Incontable
060002	Uno, dos, tres, etc. [Números Cardinales]
060003	Primero, Segundo, Tercero, Etc. [Números Ordinales]
060004	La mitad, la tercera, la cuarta [Fracción].
060005	Una, dos, tres veces, etc. [Cardinales Temporales]
060006	Doble, cuatro veces más, etc. [Múltiplos]
060007	Par, Grupo [Numerales colectivos]
061	Secuencia
062001	Juntar, Arreglo [de objetos físicos]
062002	Organización [de eventos y estados]
063001	Entero
063002	Unir
063003	Mezclar
063004	Parte
063005	Remanente
063006	Dividir
063007	Separar
064	Comparación
065001	Valioso, carente de valor
065002	Digno, Indigno
065003	Bueno, malo
065004	Útil, Inútil
065005	Ventajoso, Desventajoso
065006	Importante, No Importante
066	Apropiado, Impropio
067001	Punto de tiempo sin referencia a otros puntos de tiempo: tiempo, ocasión, siempre, a menudo
067002	Punto de tiempo con referencia a otros puntos de tiempo: antes, hace tiempo, ahora, al mismo tiempo, cuando, sobre, después
067003	Punto de tiempo con referencia a duración del tiempo: Principio, Fin
067004	Punto de tiempo con referencia a las unidades de tiempo: Amanecer, Mediodía, Medianoche, Tarde
067005	Duración de Tiempo sin Referencia a Puntos o Unidades de Tiempo: Tiempo, Pasar el Tiempo, Siempre, Eterno, Viejo, Inmediato, Joven
067006	Duración del tiempo con referencia a algún punto de tiempo: Hasta, Retraso, Todavía, Desde
067007	Duración de tiempo con referencia a alguna unidad de tiempo: Durante, En, Mientras, A lo largo de
067008	Unidades de Tiempo Indefinidas: Edad, Vida, Intervalo, Período
067009	Unidades de Tiempo Definidas: Año, Mes, Semana, Día, Hora
067010	Unidades de Tiempo con Referencia a Otras Unidades o Puntos de Tiempo: Ayer, Hoy, Próximo Día
068001	Empezar, comenzar
068002	Continuar
068003	Completar, terminar, tener éxito
068004	Cesar, Detenerse
068005	Tratar, Intentar
068006	Realizar intensamente o extensamente
068007	Rapidez, Repentino
069001	Afirmación
069002	Negación
069003	Negación combinada con clíticos
069004	Marcadores para una respuesta afirmativa a las preguntas
069005	Marcadores para una respuesta negativa a las preguntas
070	Real, irreal
071001	Posible, Imposible
071002	Probable, Improbable
071003	Cierto, Incierto
071004	Debería, Tener que
071005	Necesario, Innecesario
072001	Verdadero, falso
072002	Exacto, Inexacto
073	Genuino, Falso
074	Apto, Capaz
075	Adecuado, Calificado
076	Poder, Fuerza
077	Listo, Preparado
078001	Mucho, Poco [Grado positivo-negativo]
078002	Más que, menos que [Grado comparativo]
078003	Más o menos, aproximadamente, casi, apenas [grado aproximado].
