# Louvain communities over the semantic_neighbors graph (BEREL+sense-split, xling-free clustering input). Canonical config: high+LLM-prior tiers, resolution=5.0 (median cluster size 23, ~45% same-domain agreement vs SDBH yardstick). NOT LLM-labeled yet — cluster_id is arbitrary, not a domain name. CC0 lineage. See build_domain_clusters.py.
lexeme	strong	cluster_id	cluster_size
hbo:5493#_nosense	H5493	287	29
hbo:5494	H5494	287	29
hbo:5628	H5628	287	29
hbo:5629	H5629	287	29
hbo:6566#1	H6566	287	29
hbo:6566#2	H6566	287	29
hbo:6566#_nosense	H6566	287	29
hbo:6576	H6576	287	29
hbo:7286#1	H7286	287	29
hbo:7502	H7502	287	29
hbo:7507	H7507	287	29
hbo:7554#1	H7554	287	29
hbo:7554#2	H7554	287	29
hbo:7555	H7555	287	29
hbo:7847#1	H7847	287	29
hbo:7849#1	H7849	287	29
hbo:2901	H2901	288	2
hbo:4299	H4299	288	2
hbo:4406	H4406	289	2
hbo:4449	H4449	289	2
hbo:0168#_nosense	H0168	290	12
hbo:1004#1	H1004	290	12
hbo:1004#2	H1004	290	12
hbo:1004#_nosense	H1004	290	12
hbo:1004a#1	H1004	290	12
hbo:1055#1	H1055	290	12
hbo:1143	H1143	290	12
hbo:1406#1	H1406	290	12
hbo:1964#1	H1964	290	12
hbo:4411#1	H4411	290	12
hbo:6442#1	H6442	290	12
hbo:6442#_nosense	H6442	290	12
hbo:4415	H4415	291	2
hbo:4416	H4416	291	2
hbo:1350#1	H1350	292	29
hbo:1350#_nosense	H1350	292	29
hbo:1353#1	H1353	292	29
hbo:2020	H2020	292	29
hbo:2691#1	H2691	292	29
hbo:3444#1	H3444	292	29
hbo:3467#1	H3467	292	29
hbo:3467#2	H3467	292	29
hbo:3467#_nosense	H3467	292	29
hbo:3467a#1	H3467	292	29
hbo:3468	H3468	292	29
hbo:4190	H4190	292	29
hbo:4422#1	H4422	292	29
hbo:4422#_nosense	H4422	292	29
hbo:4423	H4423	292	29
hbo:5337#1	H5337	292	29
hbo:5337#2	H5337	292	29
hbo:5337#_nosense	H5337	292	29
hbo:5826#1	H5826	292	29
hbo:5826#_nosense	H5826	292	29
hbo:5828#1	H5828	292	29
hbo:5833#1	H5833	292	29
hbo:5835#1	H5835	292	29
hbo:5835#2	H5835	292	29
hbo:6299#1	H6299	292	29
hbo:6299#_nosense	H6299	292	29
hbo:6403	H6403	292	29
hbo:7771a	H7771	292	29
hbo:8668#1	H8668	292	29
hbo:4470	H4470	293	12
hbo:4472	H4472	293	12
hbo:4751#1	H4751	293	12
hbo:4786	H4786	293	12
hbo:4787	H4787	293	12
hbo:4814	H4814	293	12
hbo:4815	H4815	293	12
hbo:4843	H4843	293	12
hbo:4844	H4844	293	12
hbo:4845	H4845	293	12
hbo:4846	H4846	293	12
hbo:8563	H8563	293	12
hbo:0610	H0610	294	18
hbo:0820	H0820	294	18
hbo:1878#1	H1878	294	18
hbo:1879	H1879	294	18
hbo:1880#1	H1880	294	18
hbo:3795#1	H3795	294	18
hbo:4473	H4473	294	18
hbo:4886#1	H4886	294	18
hbo:4886#_nosense	H4886	294	18
hbo:4888#1	H4888	294	18
hbo:4888a#1	H4888	294	18
hbo:4899#1	H4899	294	18
hbo:4899#_nosense	H4899	294	18
hbo:4924	H4924	294	18
hbo:5480#1	H5480	294	18
hbo:8080#1	H8080	294	18
hbo:8081#1	H8081	294	18
hbo:8082#1	H8082	294	18
hbo:4483	H4483	295	3
hbo:4484#1	H4484	295	3
hbo:4510	H4510	295	3
hbo:1620	H1620	296	21
hbo:1621	H1621	296	21
hbo:1625	H1625	296	21
hbo:1626#1	H1626	296	21
hbo:1627#1	H1627	296	21
hbo:1641	H1641	296	21
hbo:3603#1	H3603	296	21
hbo:3604	H3604	296	21
hbo:4050#1	H4050	296	21
hbo:4487#1	H4487	296	21
hbo:4487#2	H4487	296	21
hbo:4488#1	H4488	296	21
hbo:4489	H4489	296	21
hbo:4490	H4490	296	21
hbo:4497	H4497	296	21
hbo:4521#1	H4521	296	21
hbo:6203#1	H6203	296	21
hbo:6598#1	H6598	296	21
hbo:6677#1	H6677	296	21
hbo:8255#1	H8255	296	21
hbo:8409	H8409	296	21
hbo:2111	H2111	297	29
hbo:4131#1	H4131	297	29
hbo:4493	H4493	297	29
hbo:4517	H4517	297	29
hbo:5110#1	H5110	297	29
hbo:5110#2	H5110	297	29
hbo:5110#3	H5110	297	29
hbo:5112	H5112	297	29
hbo:5128#1	H5128	297	29
hbo:5128#2	H5128	297	29
hbo:5128#3	H5128	297	29
hbo:5128#4	H5128	297	29
hbo:5128#_nosense	H5128	297	29
hbo:5130#1	H5130	297	29
hbo:5130#2	H5130	297	29
hbo:5130#3	H5130	297	29
hbo:5205	H5205	297	29
hbo:5287#1	H5287	297	29
hbo:5287#2	H5287	297	29
hbo:5296	H5296	297	29
hbo:7264#1	H7264	297	29
hbo:7264#_nosense	H7264	297	29
hbo:7268	H7268	297	29
hbo:7269	H7269	297	29
hbo:7300#1	H7300	297	29
hbo:7493#1	H7493	297	29
hbo:7494#1	H7494	297	29
hbo:7494#2	H7494	297	29
hbo:7494#3	H7494	297	29
hbo:0784#1	H0784	298	18
hbo:0787	H0787	298	18
hbo:1513#1	H1513	298	18
hbo:1614#1	H1614	298	18
hbo:2746	H2746	298	18
hbo:2787	H2787	298	18
hbo:2788	H2788	298	18
hbo:3827	H3827	298	18
hbo:3851#1	H3851	298	18
hbo:3852#1	H3852	298	18
hbo:3858a	H3858	298	18
hbo:3940#1	H3940	298	18
hbo:4501#1	H4501	298	18
hbo:5216#1	H5216	298	18
hbo:6352#1	H6352	298	18
hbo:6986#1	H6986	298	18
hbo:7565#1	H7565	298	18
hbo:7957	H7957	298	18
hbo:4512	H4512	299	2
hbo:5239	H5239	299	2
hbo:2905#1	H2905	300	5
hbo:2918#1	H2918	300	5
hbo:4528	H4528	300	5
hbo:5468	H5468	300	5
hbo:7713#1	H7713	300	5
hbo:1214	H1214	301	21
hbo:1215#1	H1215	301	21
hbo:4376#1	H4376	301	21
hbo:4376#2	H4376	301	21
hbo:4376#_nosense	H4376	301	21
hbo:4377	H4377	301	21
hbo:4378	H4378	301	21
hbo:4465#1	H4465	301	21
hbo:4466	H4466	301	21
hbo:4536	H4536	301	21
hbo:4819	H4819	301	21
hbo:5372	H5372	301	21
hbo:5503#1	H5503	301	21
hbo:5503#_nosense	H5503	301	21
hbo:5504#1	H5504	301	21
hbo:5506	H5506	301	21
hbo:5507	H5507	301	21
hbo:5508	H5508	301	21
hbo:7400#1	H7400	301	21
hbo:7402#_nosense	H7402	301	21
hbo:7404#1	H7404	301	21
hbo:0525	H0525	302	14
hbo:0529#_nosense	H0529	302	14
hbo:0530#1	H0530	302	14
hbo:0539#1	H0539	302	14
hbo:0539#2	H0539	302	14
hbo:0542	H0542	302	14
hbo:0544	H0544	302	14
hbo:0545	H0545	302	14
hbo:0547	H0547	302	14
hbo:0548	H0548	302	14
hbo:0571#1	H0571	302	14
hbo:2616	H2616	302	14
hbo:2617#1	H2617	302	14
hbo:2617#_nosense	H2617	302	14
hbo:4548#1	H4548	303	4
hbo:4930	H4930	303	4
hbo:5568	H5568	303	4
hbo:5569	H5569	303	4
hbo:0925	H0925	304	17
hbo:0934#1	H0934	304	17
hbo:0934#2	H0934	304	17
hbo:2930#2	H2930	304	17
hbo:4555	H4555	304	17
hbo:4556	H4556	304	17
hbo:5061#1	H5061	304	17
hbo:5061#_nosense	H5061	304	17
hbo:5424#1	H5424	304	17
hbo:5597	H5597	304	17
hbo:6347	H6347	304	17
hbo:6581#1	H6581	304	17
hbo:6879#1	H6879	304	17
hbo:6880#1	H6880	304	17
hbo:6883#1	H6883	304	17
hbo:6883#2	H6883	304	17
hbo:7822#1	H7822	304	17
hbo:0519#1	H0519	305	27
hbo:3547#1	H3547	305	27
hbo:3547#_nosense	H3547	305	27
hbo:3548#1	H3548	305	27
hbo:3550#1	H3550	305	27
hbo:4399#1	H4399	305	27
hbo:4399#_nosense	H4399	305	27
hbo:4400	H4400	305	27
hbo:4566	H4566	305	27
hbo:4639#1	H4639	305	27
hbo:4639#_nosense	H4639	305	27
hbo:5647#1	H5647	305	27
hbo:5647#2	H5647	305	27
hbo:5647#_nosense	H5647	305	27
hbo:5650#1	H5650	305	27
hbo:5650#_nosense	H5650	305	27
hbo:5652	H5652	305	27
hbo:5656#1	H5656	305	27
hbo:5656#2	H5656	305	27
hbo:5657	H5657	305	27
hbo:5659	H5659	305	27
hbo:6045#1	H6045	305	27
hbo:7806#1	H7806	305	27
hbo:8198#1	H8198	305	27
hbo:8334#1	H8334	305	27
hbo:8334#_nosense	H8334	305	27
hbo:8335	H8335	305	27
hbo:4567	H4567	306	4
hbo:5648	H5648	306	4
hbo:5649	H5649	306	4
hbo:5673	H5673	306	4
hbo:1000#1	H1000	307	11
hbo:4583#1	H4583	307	11
hbo:4585#1	H4585	307	11
hbo:4998	H4998	307	11
hbo:4999	H4999	307	11
hbo:5000#1	H5000	307	11
hbo:5000#2	H5000	307	11
hbo:5115a	H5115	307	11
hbo:5116#1	H5116	307	11
hbo:7064#1	H7064	307	11
hbo:7077#1	H7077	307	11
hbo:4596	H4596	308	8
hbo:5753	H5753	308	8
hbo:5754#1	H5754	308	8
hbo:5773	H5773	308	8
hbo:5856#1	H5856	308	8
hbo:8510#1	H8510	308	8
hbo:8524a	H8524	308	8
hbo:8534	H8534	308	8
hbo:4607	H4607	309	24
hbo:4608#1	H4608	309	24
hbo:4609#1	H4609	309	24
hbo:4609#2	H4609	309	24
hbo:5312#1	H5312	309	24
hbo:5313	H5313	309	24
hbo:5559#1	H5559	309	24
hbo:5920	H5920	309	24
hbo:5927#1	H5927	309	24
hbo:5927#2	H5927	309	24
hbo:5927#3	H5927	309	24
hbo:5927#4	H5927	309	24
hbo:5927#5	H5927	309	24
hbo:5927#_nosense	H5927	309	24
hbo:5929#1	H5929	309	24
hbo:5929#2	H5929	309	24
hbo:5940	H5940	309	24
hbo:5942	H5942	309	24
hbo:5944#1	H5944	309	24
hbo:5945#1	H5945	309	24
hbo:5945a#1	H5945	309	24
hbo:6074#1	H6074	309	24
hbo:8585#1	H8585	309	24
hbo:8585#2	H8585	309	24
hbo:0534	H0534	310	31
hbo:0559#1	H0559	310	31
hbo:0559#2	H0559	310	31
hbo:0559#_nosense	H0559	310	31
hbo:0561#1	H0561	310	31
hbo:0562#1	H0562	310	31
hbo:0565#1	H0565	310	31
hbo:0565#_nosense	H0565	310	31
hbo:0981#1	H0981	310	31
hbo:1696#1	H1696	310	31
hbo:1696#2	H1696	310	31
hbo:1696#3	H1696	310	31
hbo:1696#_nosense	H1696	310	31
hbo:2710#1	H2710	310	31
hbo:2710#2	H2710	310	31
hbo:2710#_nosense	H2710	310	31
hbo:3982	H3982	310	31
hbo:4008	H4008	310	31
hbo:4405#1	H4405	310	31
hbo:4425	H4425	310	31
hbo:4448	H4448	310	31
hbo:5001	H5001	310	31
hbo:5002#1	H5002	310	31
hbo:5046#1	H5046	310	31
hbo:5046#2	H5046	310	31
hbo:5046#_nosense	H5046	310	31
hbo:6030#1	H6030	310	31
hbo:6030#_nosense	H6030	310	31
hbo:6680#1	H6680	310	31
hbo:6680#2	H6680	310	31
hbo:6680#_nosense	H6680	310	31
hbo:0678a	H0678	311	27
hbo:0679#1	H0679	311	27
hbo:0680#1	H0680	311	27
hbo:1102	H1102	311	27
hbo:2820#1	H2820	311	27
hbo:2820#2	H2820	311	27
hbo:3543a	H3543	311	27
hbo:3545	H3545	311	27
hbo:3607#1	H3607	311	27
hbo:3607#2	H3607	311	27
hbo:3607#3	H3607	311	27
hbo:3608#1	H3608	311	27
hbo:3610#1	H3610	311	27
hbo:3628	H3628	311	27
hbo:4356	H4356	311	27
hbo:4513#1	H4513	311	27
hbo:4513#_nosense	H4513	311	27
hbo:4622	H4622	311	27
hbo:4623	H4623	311	27
hbo:5976	H5976	311	27
hbo:6113#1	H6113	311	27
hbo:6113#2	H6113	311	27
hbo:6113#_nosense	H6113	311	27
hbo:6114	H6114	311	27
hbo:6115	H6115	311	27
hbo:6116#1	H6116	311	27
hbo:6949#1	H6949	311	27
hbo:2015#1	H2015	312	18
hbo:2015#2	H2015	312	18
hbo:2015#3	H2015	312	18
hbo:2015#4	H2015	312	18
hbo:2015#_nosense	H2015	312	18
hbo:2016	H2016	312	18
hbo:2018	H2018	312	18
hbo:2019	H2019	312	18
hbo:4114#1	H4114	312	18
hbo:4115#1	H4115	312	18
hbo:4625	H4625	312	18
hbo:5557#1	H5557	312	18
hbo:5558	H5558	312	18
hbo:6140	H6140	312	18
hbo:6141#1	H6141	312	18
hbo:6143	H6143	312	18
hbo:6617#1	H6617	312	18
hbo:8419#1	H8419	312	18
hbo:0947#1	H0947	313	28
hbo:1792	H1792	313	28
hbo:3238#1	H3238	313	28
hbo:3238#2	H3238	313	28
hbo:3905#1	H3905	313	28
hbo:3905#2	H3905	313	28
hbo:3905#_nosense	H3905	313	28
hbo:3906#1	H3906	313	28
hbo:4001#1	H4001	313	28
hbo:4642	H4642	313	28
hbo:4823#1	H4823	313	28
hbo:4835	H4835	313	28
hbo:5065#1	H5065	313	28
hbo:5065#2	H5065	313	28
hbo:6216	H6216	313	28
hbo:6217	H6217	313	28
hbo:6231#1	H6231	313	28
hbo:6231#_nosense	H6231	313	28
hbo:6233#1	H6233	313	28
hbo:6234	H6234	313	28
hbo:6906#1	H6906	313	28
hbo:7429#1	H7429	313	28
hbo:7429#_nosense	H7429	313	28
hbo:7518	H7518	313	28
hbo:7533#1	H7533	313	28
hbo:7602#1	H7602	313	28
hbo:7602a#1	H7602	313	28
hbo:8395	H8395	313	28
hbo:4662	H4662	314	11
hbo:4663	H4663	314	11
hbo:6485#1	H6485	314	11
hbo:6485#2	H6485	314	11
hbo:6485#3	H6485	314	11
hbo:6485#_nosense	H6485	314	11
hbo:6486#1	H6486	314	11
hbo:6487	H6487	314	11
hbo:6488	H6488	314	11
hbo:6490	H6490	314	11
hbo:6496#1	H6496	314	11
hbo:3719	H3719	315	14
hbo:3720	H3720	315	14
hbo:4667	H4667	315	14
hbo:6585	H6585	315	14
hbo:6587	H6587	315	14
hbo:6770#1	H6770	315	14
hbo:6771	H6771	315	14
hbo:6772#1	H6772	315	14
hbo:6773	H6773	315	14
hbo:6774#1	H6774	315	14
hbo:7456#1	H7456	315	14
hbo:7457	H7457	315	14
hbo:7458#1	H7458	315	14
hbo:7459	H7459	315	14
hbo:1443	H1443	316	14
hbo:1447#1	H1447	316	14
hbo:1448#1	H1448	316	14
hbo:1448#2	H1448	316	14
hbo:1877#1	H1877	316	14
hbo:2681	H2681	316	14
hbo:2682#1	H2682	316	14
hbo:3387	H3387	316	14
hbo:3418#1	H3418	316	14
hbo:3419	H3419	316	14
hbo:6212#1	H6212	316	14
hbo:6212a#_nosense	H6212	316	14
hbo:7023#1	H7023	316	14
hbo:7880#1	H7880	316	14
hbo:0341#1	H0341	317	30
hbo:3512#1	H3512	317	30
hbo:3599#1	H3599	317	30
hbo:4164	H4164	317	30
hbo:4689#1	H4689	317	30
hbo:4690	H4690	317	30
hbo:4691#1	H4691	317	30
hbo:4692#1	H4692	317	30
hbo:4692a#1	H4692	317	30
hbo:4694#1	H4694	317	30
hbo:4712	H4712	317	30
hbo:6693#1	H6693	317	30
hbo:6693#_nosense	H6693	317	30
hbo:6694	H6694	317	30
hbo:6695a	H6695	317	30
hbo:6696#1	H6696	317	30
hbo:6736	H6736	317	30
hbo:6862#1	H6862	317	30
hbo:6862a#1	H6862	317	30
hbo:6864	H6864	317	30
hbo:6869#1	H6869	317	30
hbo:6872#1	H6872	317	30
hbo:6887#1	H6887	317	30
hbo:6887#2	H6887	317	30
hbo:6887#3	H6887	317	30
hbo:6887#4	H6887	317	30
hbo:6887a#1	H6887	317	30
hbo:6887a#2	H6887	317	30
hbo:6887a#_nosense	H6887	317	30
hbo:7092#1	H7092	317	30
hbo:0779#_nosense	H0779	318	13
hbo:4717	H4717	318	13
hbo:4718	H4718	318	13
hbo:5344#1	H5344	318	13
hbo:5344#2	H5344	318	13
hbo:5344#_nosense	H5344	318	13
hbo:5344a#1	H5344	318	13
hbo:5345	H5345	318	13
hbo:5347#1	H5347	318	13
hbo:6360#1	H6360	318	13
hbo:6895#1	H6895	318	13
hbo:6895#_nosense	H6895	318	13
hbo:8034#1	H8034	318	13
hbo:1116#1	H1116	319	16
hbo:2076#1	H2076	319	16
hbo:4196#1	H4196	319	16
hbo:4196#_nosense	H4196	319	16
hbo:4729b	H4729	319	16
hbo:4730	H4730	319	16
hbo:6225	H6225	319	16
hbo:6226	H6226	319	16
hbo:6227#1	H6227	319	16
hbo:6988	H6988	319	16
hbo:6999#1	H6999	319	16
hbo:6999#2	H6999	319	16
hbo:6999#_nosense	H6999	319	16
hbo:7002	H7002	319	16
hbo:7004#1	H7004	319	16
hbo:7008#1	H7008	319	16
hbo:2404#1	H2404	320	18
hbo:2672#1	H2672	320	18
hbo:2672b#1	H2672	320	18
hbo:3407#1	H3407	320	18
hbo:3415	H3415	320	18
hbo:4274#1	H4274	320	18
hbo:4329a	H4329	320	18
hbo:4539#1	H4539	320	18
hbo:4539#2	H4539	320	18
hbo:4540	H4540	320	18
hbo:4734#1	H4734	320	18
hbo:6458#1	H6458	320	18
hbo:6532#1	H6532	320	18
hbo:6603#1	H6603	320	18
hbo:7049a	H7049	320	18
hbo:7050#1	H7050	320	18
hbo:7050a#1	H7050	320	18
hbo:7051	H7051	320	18
hbo:3713#1	H3713	321	30
hbo:3713a#1	H3713	321	30
hbo:4645	H4645	321	30
hbo:4745#1	H4745	321	30
hbo:4745#2	H4745	321	30
hbo:4746	H4746	321	30
hbo:4747	H4747	321	30
hbo:6293#1	H6293	321	30
hbo:6293#2	H6293	321	30
hbo:6293#_nosense	H6293	321	30
hbo:6294	H6294	321	30
hbo:6298#1	H6298	321	30
hbo:6298#_nosense	H6298	321	30
hbo:6979	H6979	321	30
hbo:6982#1	H6982	321	30
hbo:7119	H7119	321	30
hbo:7120	H7120	321	30
hbo:7122#_nosense	H7122	321	30
hbo:7135	H7135	321	30
hbo:7136#1	H7136	321	30
hbo:7136#2	H7136	321	30
hbo:7136#_nosense	H7136	321	30
hbo:7136a#1	H7136	321	30
hbo:7137	H7137	321	30
hbo:7140#1	H7140	321	30
hbo:7147#1	H7147	321	30
hbo:7151#1	H7151	321	30
hbo:7176#1	H7176	321	30
hbo:7949	H7949	321	30
hbo:7950#1	H7950	321	30
hbo:2372#1	H2372	322	34
hbo:2374#1	H2374	322	34
hbo:2377#1	H2377	322	34
hbo:2378	H2378	322	34
hbo:2380	H2380	322	34
hbo:2384#_nosense	H2384	322	34
hbo:2472#1	H2472	322	34
hbo:2492a#2	H2492	322	34
hbo:4236#1	H4236	322	34
hbo:4237#1	H4237	322	34
hbo:4758#1	H4758	322	34
hbo:4759#1	H4759	322	34
hbo:4760	H4760	322	34
hbo:5012#_nosense	H5012	322	34
hbo:5027#1	H5027	322	34
hbo:5030#1	H5030	322	34
hbo:5031#1	H5031	322	34
hbo:6622#1	H6622	322	34
hbo:6623#1	H6623	322	34
hbo:7200#1	H7200	322	34
hbo:7200#2	H7200	322	34
hbo:7200#_nosense	H7200	322	34
hbo:7202	H7202	322	34
hbo:7203#1	H7203	322	34
hbo:7207	H7207	322	34
hbo:7209	H7209	322	34
hbo:7210	H7210	322	34
hbo:7688	H7688	322	34
hbo:7789	H7789	322	34
hbo:7790	H7790	322	34
hbo:8159#1	H8159	322	34
hbo:8159#2	H8159	322	34
hbo:8259#1	H8259	322	34
hbo:8324	H8324	322	34
hbo:3254#1	H3254	323	21
hbo:3254#_nosense	H3254	323	21
hbo:3992#1	H3992	323	21
hbo:4766	H4766	323	21
hbo:4767	H4767	323	21
hbo:4768	H4768	323	21
hbo:5391#1	H5391	323	21
hbo:5391#_nosense	H5391	323	21
hbo:5391a#1	H5391	323	21
hbo:5392#1	H5392	323	21
hbo:5736#1	H5736	323	21
hbo:5736#2	H5736	323	21
hbo:6500	H6500	323	21
hbo:6509#1	H6509	323	21
hbo:6509#2	H6509	323	21
hbo:6779#2	H6779	323	21
hbo:7235#1	H7235	323	21
hbo:7235#3	H7235	323	21
hbo:7235#_nosense	H7235	323	21
hbo:8635	H8635	323	21
hbo:8636#1	H8636	323	21
hbo:4775#1	H4775	324	12
hbo:4775#2	H4775	324	12
hbo:4777	H4777	324	12
hbo:4780	H4780	324	12
hbo:4784#1	H4784	324	12
hbo:4784#2	H4784	324	12
hbo:4784#3	H4784	324	12
hbo:4805#1	H4805	324	12
hbo:5627a#1	H5627	324	12
hbo:5637#1	H5637	324	12
hbo:5637#2	H5637	324	12
hbo:6586#_nosense	H6586	324	12
hbo:1980#4	H1980	325	4
hbo:4793	H4793	325	4
hbo:4794	H4794	325	4
hbo:7323#_nosense	H7323	325	4
hbo:4185#1	H4185	326	8
hbo:4801#1	H4801	326	8
hbo:7350#1	H7350	326	8
hbo:7350#_nosense	H7350	326	8
hbo:7368#1	H7368	326	8
hbo:7368#2	H7368	326	8
hbo:7368#_nosense	H7368	326	8
hbo:7369	H7369	326	8
hbo:1680	H1680	327	15
hbo:1681#1	H1681	327	15
hbo:1681#2	H1681	327	15
hbo:2441#1	H2441	327	15
hbo:3956#1	H3956	327	15
hbo:3956#_nosense	H3956	327	15
hbo:3960	H3960	327	15
hbo:3961#_nosense	H3961	327	15
hbo:4855#1	H4855	327	15
hbo:4859	H4859	327	15
hbo:5378	H5378	327	15
hbo:6310#1	H6310	327	15
hbo:6374	H6374	327	15
hbo:6433#1	H6433	327	15
hbo:8193#1	H8193	327	15
hbo:0153	H0153	328	19
hbo:1872	H1872	328	19
hbo:4828#1	H4828	328	19
hbo:4828#2	H4828	328	19
hbo:4829#1	H4829	328	19
hbo:4830#1	H4830	328	19
hbo:5997#1	H5997	328	19
hbo:7453#1	H7453	328	19
hbo:7454	H7454	328	19
hbo:7462#_nosense	H7462	328	19
hbo:7462a#1	H7462	328	19
hbo:7463#1	H7463	328	19
hbo:7464#1	H7464	328	19
hbo:7468	H7468	328	19
hbo:7469	H7469	328	19
hbo:7471	H7471	328	19
hbo:7473#_nosense	H7473	328	19
hbo:7474#1	H7474	328	19
hbo:7475	H7475	328	19
hbo:4853	H4853	329	15
hbo:4856	H4856	329	15
hbo:4858	H4858	329	15
hbo:4864#1	H4864	329	15
hbo:4864#2	H4864	329	15
hbo:4864#3	H4864	329	15
hbo:5257a#1	H5257	329	15
hbo:5375#1	H5375	329	15
hbo:5375#2	H5375	329	15
hbo:5375#_nosense	H5375	329	15
hbo:5385	H5385	329	15
hbo:5387#1	H5387	329	15
hbo:5387a#1	H5387	329	15
hbo:7613a#1	H7613	329	15
hbo:7863	H7863	329	15
hbo:0391	H0391	330	33
hbo:2048a#1	H2048	330	33
hbo:2049	H2049	330	33
hbo:2950#1	H2950	330	33
hbo:3576#1	H3576	330	33
hbo:3576#2	H3576	330	33
hbo:3577#1	H3577	330	33
hbo:3584#1	H3584	330	33
hbo:3584#2	H3584	330	33
hbo:3585#1	H3585	330	33
hbo:3586	H3586	330	33
hbo:3596	H3596	330	33
hbo:4123	H4123	330	33
hbo:4820#1	H4820	330	33
hbo:4860	H4860	330	33
hbo:4876	H4876	330	33
hbo:5230#1	H5230	330	33
hbo:5231	H5231	330	33
hbo:5377	H5377	330	33
hbo:6601#1	H6601	330	33
hbo:6601#2	H6601	330	33
hbo:6601#_nosense	H6601	330	33
hbo:6612#_nosense	H6612	330	33
hbo:6615	H6615	330	33
hbo:7411a#_nosense	H7411	330	33
hbo:7423#1	H7423	330	33
hbo:7423a#1	H7423	330	33
hbo:8266#1	H8266	330	33
hbo:8267#1	H8267	330	33
hbo:8496#1	H8496	330	33
hbo:8591	H8591	330	33
hbo:8595	H8595	330	33
hbo:8649b	H8649	330	33
hbo:4874	H4874	331	2
hbo:5386	H5386	331	2
hbo:4779	H4779	332	13
hbo:4878#1	H4878	332	13
hbo:4878#2	H4878	332	13
hbo:7725#2	H7725	332	13
hbo:7725#3	H7725	332	13
hbo:7725#4	H7725	332	13
hbo:7725#_nosense	H7725	332	13
hbo:7726	H7726	332	13
hbo:7728	H7728	332	13
hbo:7729	H7729	332	13
hbo:7870	H7870	332	13
hbo:8421#1	H8421	332	13
hbo:8666#1	H8666	332	13
hbo:4880	H4880	333	5
hbo:7751#1	H7751	333	5
hbo:7752	H7752	333	5
hbo:7850	H7850	333	5
hbo:7885	H7885	333	5
hbo:4242#1	H4242	334	13
hbo:4283#1	H4283	334	13
hbo:4659	H4659	334	13
hbo:4909#1	H4909	334	13
hbo:6466#_nosense	H6466	334	13
hbo:6467#1	H6467	334	13
hbo:6467#_nosense	H6467	334	13
hbo:6468#1	H6468	334	13
hbo:7916#1	H7916	334	13
hbo:7936#1	H7936	334	13
hbo:7936#_nosense	H7936	334	13
hbo:7938	H7938	334	13
hbo:7939#1	H7939	334	13
hbo:1644#1	H1644	335	30
hbo:1644#2	H1644	335	30
hbo:1644#_nosense	H1644	335	30
hbo:1645	H1645	335	30
hbo:1646	H1646	335	30
hbo:1760#1	H1760	335	30
hbo:1762	H1762	335	30
hbo:1920#1	H1920	335	30
hbo:1920#_nosense	H1920	335	30
hbo:3748#1	H3748	335	30
hbo:4054#1	H4054	335	30
hbo:4054#2	H4054	335	30
hbo:4065	H4065	335	30
hbo:4072	H4072	335	30
hbo:4397#1	H4397	335	30
hbo:4916#1	H4916	335	30
hbo:4917	H4917	335	30
hbo:5080#1	H5080	335	30
hbo:5080#2	H5080	335	30
hbo:5080#3	H5080	335	30
hbo:5080#4	H5080	335	30
hbo:5080#_nosense	H5080	335	30
hbo:7964	H7964	335	30
hbo:7971#1	H7971	335	30
hbo:7971#2	H7971	335	30
hbo:7971#3	H7971	335	30
hbo:7971#4	H7971	335	30
hbo:7971#_nosense	H7971	335	30
hbo:7973	H7973	335	30
hbo:7976	H7976	335	30
hbo:1584	H1584	336	17
hbo:1585	H1585	336	17
hbo:2368#1	H2368	336	17
hbo:2481	H2481	336	17
hbo:2484	H2484	336	17
hbo:2856#1	H2856	336	17
hbo:2857	H2857	336	17
hbo:2858	H2858	336	17
hbo:2883#1	H2883	336	17
hbo:2883#2	H2883	336	17
hbo:2885#1	H2885	336	17
hbo:4950	H4950	336	17
hbo:5141#1	H5141	336	17
hbo:5716#1	H5716	336	17
hbo:6781#1	H6781	336	17
hbo:7720#1	H7720	336	17
hbo:8257#1	H8257	336	17
hbo:4477	H4477	337	5
hbo:4966#1	H4966	337	5
hbo:4985#1	H4985	337	5
hbo:4986	H4986	337	5
hbo:4987	H4987	337	5
hbo:4978	H4978	338	2
hbo:5415	H5415	338	2
hbo:5013	H5013	339	3
hbo:5017	H5017	339	3
hbo:5029	H5029	339	3
hbo:5034#1	H5034	340	11
hbo:5036#1	H5036	340	11
hbo:5039#1	H5039	340	11
hbo:5039#2	H5039	340	11
hbo:5040	H5040	340	11
hbo:6292#1	H6292	340	11
hbo:8251#1	H8251	340	11
hbo:8262#1	H8262	340	11
hbo:8263#1	H8263	340	11
hbo:8441#1	H8441	340	11
hbo:8604#1	H8604	340	11
hbo:0422	H0422	341	19
hbo:0423#1	H0423	341	19
hbo:5068#1	H5068	341	19
hbo:5068#2	H5068	341	19
hbo:5071#1	H5071	341	19
hbo:5071#2	H5071	341	19
hbo:5081#1	H5081	341	19
hbo:5081#2	H5081	341	19
hbo:5082	H5082	341	19
hbo:5087#1	H5087	341	19
hbo:5087#2	H5087	341	19
hbo:5088#1	H5088	341	19
hbo:5088#2	H5088	341	19
hbo:7621#1	H7621	341	19
hbo:7650#1	H7650	341	19
hbo:7650#2	H7650	341	19
hbo:7650#3	H7650	341	19
