strong	gloss	translit
H4258	Mahalath	ma.cha.lat
H4259	Meholathite	me.cho.la.ti
H4260	butter	ma.cha.ma.ah
H4261	desire	mach.mad
H4262	desirable	mach.mud
H4263	compassion	mach.mal
H4264	camp	ma.cha.neh
H4265	Mahaneh-dan	ma.cha.neh-dan
H4266	Mahanaim	ma.cha.na.yim
H4267	strangling	ma.cha.naq
H4268	refuge	ma.cha.seh
H4269	muzzle	mach.som
H4270	need	mach.sor
H4271	Mahseiah	mach.se.yah
H4272	wound	ma.chats
H4273	wound	ma.chats
H4274	hewing	mach.tsev
H4275	half	me.che.tsah
H4276	half	ma.cha.tsit
H4277	destroy	ma.chaq
H4278	range	mech.qar
H4279	tomorrow	ma.char
H4280	sewer	ma.cha.ra.ah
H4281	plowshare	ma.cha.re.shah
H4282	share	ma.cha.re.shet
H4283	morrow	mo.cho.rat
H4284	plot	ma.cha.sha.vah
H4285	darkness	mach.shakh
H4286	exposing	mach.soph
H4287	Mahath	ma.chat
H4288	terror	me.chit.tah
H4289	censer	mach.tah
H4290	breaking	mach.te.ret
H4291	reach	me.ta
H4292	broom	mat.a.te
H4293	slaughter	mat.be.ach
H4294	tribe	mat.teh
H4295	beneath	mat.tah
H4296	bed	mit.tah
H4297	perversion	mut.teh
H4298	spread	mut.tah
H4299	yarn	mat.veh
H4300	rod	me.til
H4301	treasure	mat.mon
H4302	plantation	mat.ta
H4303	delicacy	mat.am
H4304	cloak	mit.pa.chat
H4305	rain	ma.tar
H4306	rain	ma.tar
H4307	Guard	mat.ta.rah
H4308	Matred	mat.red
H4309	Matrite	mat.ri
H4310	who?	mi
H4311	Medeba	me.de.va
H4312	Medad	me.dad
H4313	Me-jarkon	me hay.yar.qon
H4314	Mezahab	me za.hav
H4315	best	me.tav
H4316	Mica	mi.kah
H4317	Michael	mi.kha.el
H4318	Micah	mi.khah
H4319	Micahu	mi.kha.hu
H4320	Micaiah	mi.kha.yah
H4321	Micaiah	mi.kha.ye.hu
H4322	Micaiah	mi.kha.ya.hu
H4323	brook	mi.khal
H4324	Michal	mi.khal
H4325	water	ma.yim
H4326	Mijamin	miy.ya.min
H4327	kind	min
H4328	foundation	me.yus.sa.dah
H4329	portico	me.sakh
H4330	pressing	mits
H4331	Mesha	me.sah
H4332	Mishael	mi.sha.el
H4333	Mishael	mi.sha.el
H4334	plain	mi.shor
H4335	Meshach	me.shakh
H4336	Meshach	me.shakh
H4337	Mareshah	me.sah
H4338	Mesha	me.sah
H4339	uprightness	me.shar
H4340	cord	me.tar
H4341	pain	makh.ov
H4342	increase	makh.bir
H4343	Machbenah	makh.be.nah
H4344	Machbannai	makh.ban.nay
H4345	grate	makh.ber
H4346	cloth	makh.bar
H4347	wound	mak.kah
H4348	burn	mikh.vah
H4349	foundation	ma.khon
H4350	base	me.kho.nah
H4351	origin	me.khu.rah
H4352	Machi	ma.khi
H4353	Machir	ma.khir
H4354	Machirite	ma.khi.ri
H4355	sink	ma.khakh
H4356	fold	mikh.la.ah
H4357	perfection	mikh.lah
H4358	perfection	mikh.lol
H4359	perfection	mikh.lal
H4360	perfection	mikh.lul
H4361	food	mak.ko.let
H4362	hidden	mikh.man
H4363	Michmash	mikh.mas
H4364	net	makh.mar
H4365	net	mikh.me.ret
H4366	Michmethath	mikh.me.tat
H4367	Machnadebai	makh.nad.vay
H4368	Meconah	me.kho.nah
H4369	base	me.khu.nah
H4370	undergarment	mikh.nas
H4371	tribute	me.khes
H4372	covering	mikh.seh
H4373	number	mikh.sah
H4374	covering	me.khas.seh
H4375	Machpelah	makh.pe.lah
H4376	sell	ma.khar
H4377	merchandise	me.kher
H4378	acquaintance	mak.kar
H4379	pit	mikh.reh
H4380	sword	me.khe.rah
H4381	Michri	mikh.ri
H4382	Mecherathite	me.khe.ra.ti
H4383	stumbling	mikh.shol
H4384	ruins	makh.she.lah
H4385	writing	mikh.tav
H4386	fragment	me.khit.tah
H4387	Miktam	mikh.tam
H4388	hollow	makh.tesh
H4389	Mortar	makh.tesh
H4390	fill	ma.le
H4391	fill	me.la
H4392	full	ma.le
H4393	fullness	me.lo
H4394	setting	mil.lu
H4395	fruit	me.le.ah
H4396	setting	mil.lu.ah
H4397	messenger	ma.le.akh
H4398	angel	mal.akh
H4399	work	me.la.khah
H4400	message	mal.a.khut
H4401	Malachi	mal.a.khi
H4402	setting	mil.let
H4403	garment	mal.bush
H4404	brick	mal.ben
H4405	speech	mil.lah
H4406	word	mil.lah
H4407	Millo	mil.lo
H4408	mallow	mal.lu.ach
H4409	Malluch	mal.lukh
H4410	kingship	me.lu.khah
H4411	lodging	ma.lon
H4412	lodge	me.lu.nah
H4413	Mallothi	mal.lo.ti
H4414	dissipate	ma.lach
H4415	eat salt	me.lach
H4416	salt	me.lach
H4417	Salt (Sea)	me.lach
H4418	rag	ma.lach
H4419	mariner	mal.lach
H4420	saltiness	me.le.chah
H4421	battle	mil.cha.mah
H4422	escape	ma.lat
H4423	mortar	me.let
H4424	Melatiah	me.lat.yah
H4425	ear	me.li.lah
H4426	mockery	me.li.tsah
H4427	reign	ma.lakh
H4428	king	me.lekh
H4429	Melech	me.lekh
H4430	king	me.lekh
H4431	counsel	me.lakh
H4432	Molech	mo.lekh
H4433	queen	mal.kah
H4434	snare	mal.ko.det
H4435	Milcah	mil.kah
H4436	Queen (of Sheba)	mal.kah
H4437	kingdom	mal.khu
H4438	royalty	mal.khut
H4439	Malchiel	mal.ki.el
H4440	Malchielite	mal.ki.e.li
H4441	Malchijah	mal.kiy.yah
H4442	Melchizedek	mal.ki-tse.deq
H4443	Malchiram	mal.ki.ram
H4444	Malchi-shua	mal.ki.shu.a
H4445	Malcam	mal.kam
H4446	queen	me.le.khet
H4447	Hammolecheth	mo.le.khet
H4448	speak	ma.lal
H4449	speak	me.lal
H4450	Milalai	mi.la.lay
H4451	oxgoad	mal.mad
H4452	smooth	ma.lats
H4453	`steward`	mel.tsar
H4454	nip	ma.laq
H4455	prey	mal.qo.ach
H4456	spring rain	mal.qosh
H4457	tong	mel.qach
H4458	apparel	mel.ta.chah
H4459	tooth	mal.ta.ah
H4460	granary	mam.m.gu.rah
H4461	measurement	me.mad
H4462	Memucan	me.mu.khan
H4463	death	ma.mot
H4464	bastard	mam.zer
H4465	sale	mim.kar
H4466	sale	mim.ke.ret
H4467	kingdom	mam.la.khah
H4468	kingdom	mam.la.khut
H4469	mixed drink	mam.sakh
H4470	bitterness	me.mer
H4471	Mamre	mam.re
H4472	bitterness	mam.ror
H4473	expanded	mim.shach
H4474	dominion	mim.shal
H4475	dominion	mem.sha.lah
H4476	possession	mim.shaq
H4477	sweetness	mam.taq
H4478	manna	man
H4479	who?	man
H4480	from	min
H4481	from	min
H4482	string	men
H4483	reckon	me.nah
H4484	mina	me.ne
H4485	mocking	man.gi.nah
H4486	knowledge	man.da
H4487	count	ma.nah
H4488	mina	ma.neh
H4489	time	mo.neh
H4490	portion	ma.nah
H4491	driving	min.hag
H4492	cave	min.ha.rah
H4493	shaking	ma.nod
H4494	resting	ma.no.ach
H4495	Manoah	ma.no.ach
H4496	Nohah	me.nu.chah
H4497	progeny	ma.non
H4498	refuge	ma.nos
H4499	fugitive	me.nu.sah
H4500	loom-beam	ma.nor
H4501	lampstand	me.no.rah
H4502	prince	min.n.zar
H4503	offering	min.chah
H4504	offering	min.chah
H4505	Menahem	me.na.chem
H4506	Manahath	ma.na.chat
H4507	Destiny	me.ni
H4508	Minni	min.ni
H4509	Miniamin	min.ya.min
H4510	number	min.yan
H4511	Minnith	min.nit
H4512	gain	min.leh
H4513	withhold	ma.na
H4514	bolt	man.ul
H4515	bolt	min.al
H4516	delicacy	man.am
H4517	castanets	me.na.na
H4518	bowl	me.naq.qiy.yah
H4519	Manasseh	me.nash.sheh
H4520	Manassite	me.nash.shi
H4521	portion	me.nat
H4522	taskworker	mas
H4523	despairing	mas
H4524	surrounds	me.sav
H4525	locksmith	mas.ger
H4526	perimeter	mis.ge.ret
H4527	foundation	mas.sad
H4528	porch	mis.de.ron
H4529	liquefy	ma.sah
H4530	payment	mis.sah
H4531	despair	mas.sah
H4532	Massah	mas.sah
H4533	veil	mas.veh
H4534	hedge	me.su.khah
H4535	defense	mas.sach
H4536	merchandise	mis.char
H4537	mix	ma.sakh
H4538	mixture	me.sekh
H4539	covering	ma.sakh
H4540	covering	me.suk.kah
H4541	liquid	mas.se.khah
H4542	poor	mis.ken
H4543	storage	mis.ke.nah
H4544	poverty	mis.ke.nut
H4545	weave	mas.se.khet
H4546	highway	me.sil.lah
H4547	highway	mas.lul
H4548	nail	mas.mer
H4549	melt	ma.sas
H4550	journey	mas.sa
H4551	quarry	mas.sa
H4552	support	mis.ad
H4553	mourning	mis.ped
H4554	fodder	mis.po
H4555	veil	mis.pa.chah
H4556	scab	mis.pa.chat
H4557	number	mis.par
H4558	Mispar	mis.par
H4559	Mispereth	mis.pe.ret
H4560	commit	ma.sar
H4561	discipline	mo.sar
H4562	pledge	ma.so.ret
H4563	shelter	mis.tor
H4564	hiding	mas.ter
H4565	hiding	mis.tar
H4566	work	ma.bad
H4567	work	ma.vad
H4568	thickness	ma.a.veh
H4569	ford	ma.a.var
H4570	track	ma.gal
H4571	slip	ma.ad
H4572	Maadai	ma.a.day
H4573	Maadiah	ma.a.de.yah
H4574	delicacy	ma.a.dan
H4575	bond	ma.a.dan.nah
H4576	hoe	ma.der
H4577	belly	me.ah
H4578	belly	me.eh
H4579	grain	me.ah
H4580	bun	ma.og
H4581	security	ma.oz
H4582	Maoch	ma.okh
H4583	habitation	ma.on
H4584	Maon	ma.on
H4585	habitation	me.o.nah
H4586	Meunite	me.u.ni
H4587	Meonothai	me.o.no.tay
H4588	gloom	ma.uph
H4589	nakedness	ma.or
H4590	Maaziah	ma.az.yah
H4591	diminish	ma.at
H4592	little	me.at
H4593	sharp	ma.ot
H4594	mantle	ma.a.teh
H4595	overtunic	ma.a.ta.phah
H4596	heap	me.i
H4597	Maai	ma.ay
H4598	robe	me.il
H4599	spring	ma.yan
H4600	bruise	ma.akh
H4601	Maacah	ma.a.khah
H4602	Maacathite	ma.a.kha.ti
H4603	be unfaithful	ma.al
H4604	unfaithfulness	ma.al
H4605	above	ma.al
H4606	going down	me.al
H4607	lifting	mo.al
H4608	ascent	ma.a.leh
H4609	thought	ma.a.lah
H4610	Akrabbim	ma.a.leh aq.rab.bim
H4611	deed	ma.a.lal
H4612	office	ma.a.mad
H4613	foothold	mo.o.mad
H4614	burden	ma.a.ma.sah
H4615	deep	ma.a.maq
H4616	because	ma.an
H4617	answer	ma.a.neh
H4618	furrow	ma.a.nah
H4619	Maaz	ma.ats
H4620	torment	ma.a.tse.vah
H4621	axe	ma.a.tsad
H4622	restraint	ma.tsor
H4623	restraint	ma.tsar
H4624	parapet	ma.a.qeh
H4625	crooked place	ma.a.qash
H4626	nakedness	ma.ar
H4627	merchandise	ma.a.rav
H4628	west	ma.a.rav
H4629	Maareh	ma.a.reh
H4630	army	ma.a.rah
H4631	cave	me.a.rah
H4632	Mearah	me.a.rah
H4633	plan	ma.a.rakh
H4634	rank	ma.a.ra.khah
H4635	row	ma.a.re.khet
H4636	naked	ma.a.rom
H4637	terror	ma.a.ra.tsah
H4638	Maarath	ma.a.rat
H4639	deed	ma.a.seh
H4640	Maasai	ma.a.say
H4641	Maaseiah	ma.a.se.yah
H4642	oppression	ma.a.shaq.qah
H4643	tithe	ma.a.ser
H4644	Memphis	moph
H4645	target	miph.ga
H4646	exhalation	map.pach
H4647	bellow	map.pu.ach
H4648	Mephibosheth	me.phi.vo.shet
H4649	Muppim	mup.pim
H4650	war-club	me.phits
H4651	refuse	map.pal
H4652	wonder	miph.la.ah
H4653	division	miph.lag.gah
H4654	ruin	map.pa.lah
H4655	escape	miph.lat
H4656	horror	miph.le.tset
H4657	swaying	miph.la.s
H4658	carcass	map.pe.let
H4659	work	miph.al
H4660	shattering	map.pats
H4661	war-club	map.pets
H4662	Muster (Gate)	miph.qad
H4663	Muster (Gate)	miph.qad
H4664	landing	miph.rats
H4665	neck	miph.re.qet
H4666	spreading	miph.ra.s
H4667	hip	miph.sa.ah
H4668	key	maph.te.ach
H4669	opening	miph.tach
H4670	threshold	miph.tan
H4671	chaff	mots
H4672	find	ma.tsa
H4673	station	mats.tsav
H4674	entrenchment	muts.tsav
H4675	guard	mats.tsa.vah
H4676	pillar	mats.tse.vah
H4677	Mezobaite	me.tso.va.yah
H4678	pillar	mats.tse.vet
H4679	stronghold	me.tsad
H4680	drain	ma.tsah
H4681	Mozah	mo.tsah
H4682	unleavened bread	mats.tsah
H4683	strife	mats.tsah
H4684	neighing	mats.ha.lah
H4685	siegework	ma.tsod
H4686	net	ma.tsu.dah
H4687	commandment	mits.vah
H4688	depth	me.tso.lah
H4689	distress	ma.tsoq
H4690	pillar	ma.tsuq
H4691	distress	me.tsu.qah
H4692	siege	ma.tsor
H4693	Egypt	ma.tsor
H4694	fortress	me.tsu.rah
H4695	strife	mats.tsut
H4696	forehead	me.tsach
H4697	greave	mits.chah
H4698	bell	me.tsil.lah
H4699	ravine	me.tsul.lah
H4700	cymbal	me.tse.let
H4701	turban	mits.ne.phet
H4702	bed	mats.tsa
H4703	step	mits.ad
H4704	little	mits.ts.i.rah
H4705	little	mits.ar
H4706	Mizar	mits.ar
H4707	lookout	mits.peh
H4708	Mizpeh	mits.peh
H4709	Mizpah	mits.pah
H4710	treasure	mits.pun
H4711	drink deeply	ma.tsats
H4712	terror	me.tsar
H4713	Egyptian	mits.ri
H4714	Egypt	mits.ra.yim
H4715	crucible	mits.reph
H4716	decay	maq
H4717	hammer	maq.qa.vah
H4718	hammer	maq.qe.vet
H4719	Makkedah	maq.qe.dah
H4720	sanctuary	miq.dash
H4721	assembly	maq.hel
H4722	Makheloth	maq.he.lot
H4723	Kue	qo.veh
H4724	reservoir	miq.vah
H4725	place	ma.qom
H4726	fountain	ma.qor
H4727	taking	miq.qach
H4728	ware	maq.qa.chah
H4729	fumigation	miq.tar
H4730	censer	miq.te.ret
H4731	rod	maq.qel
H4732	Mikloth	miq.lot
H4733	refuge	miq.lat
H4734	engraving	miq.la.at
H4735	livestock	miq.neh
H4736	purchase	miq.nah
H4737	Mikneiah	miq.ne.ya.hu
H4738	divination	miq.sam
H4739	Makaz	ma.qats
H4740	Angle	maq.tso.a
H4741	plane	maq.tsu.ah
H4742	corner	me.quts.ah
H4743	rot	ma.qaq
H4744	assembly	miq.ra
H4745	accident	miq.reh
H4746	rafter	me.qa.reh
H4747	cool	me.qe.rah
H4748	hairstyle	miq.sheh
H4749	beating	miq.shah
H4750	cucumber field	miq.shah
H4751	bitter	mar
H4752	drop	mar
H4753	myrrh	mor
H4754	flap	ma.ra
H4755	Mara	ma.ra
H4756	lord	ma.re
H4757	Merodach-baladan	me.ro.dakh bal.a.dan
H4758	appearance	mar.eh
H4759	vision	mar.ah
H4760	crop	mur.ah
H4761	head	mar.a.shah
H4762	Mareshah	mar.e.shah
H4763	head	me.ra.a.shah
H4764	Merab	me.rav
H4765	covering	mar.vad
H4766	abundance	mar.veh
H4767	much	mir.bah
H4768	greatness	mar.bit
H4769	resting	mar.bets
H4770	stall	mar.beq
H4771	rest	mar.go.a
H4772	feet	mar.ge.lah
H4773	sling	mar.ge.mah
H4774	repose	mar.ge.ah
H4775	rebel	ma.rad
H4776	rebellion	me.rad
H4777	rebellion	me.red
H4778	Mered	me.red
H4779	rebellious	ma.rad
H4780	rebellious	mar.dut
H4781	Merodach	me.ro.dakh
H4782	Mordecai	mor.de.khay
H4783	persecution	mur.daph
H4784	rebel	ma.rah
H4785	Marah	ma.rah
H4786	bitterness	mo.rah
H4787	bitterness	mor.rah
H4788	wandering	ma.rud
H4789	Meroz	me.roz
H4790	crushed	me.ro.ach
H4791	height	ma.rom
H4792	Merom	me.rom
H4793	race	me.rots
H4794	running	me.ru.tsah
H4795	rubbing	ma.ruq
H4796	Maroth	ma.rot
H4797	banquet	mir.zach
H4798	mourning	mar.ze.ach
H4799	rub	ma.rach
H4800	broad	mer.chav
H4801	distance	mer.chaq
H4802	pan	mar.che.shet
H4803	smooth	ma.rat
H4804	pluck	me.rat
H4805	Egypt	me.ri
H4806	fatling	me.ri
H4807	Merib-baal	me.riv ba.al
H4808	provocation	me.ri.vah
H4809	Meribah	me.ri.vah
H4810	Merib-baal	me.ri va.al
H4811	Meraiah	me.ra.yah
H4812	Meraioth	me.ra.vot
H4813	Miriam	mir.yam
H4814	bitterness	me.ri.rut
H4815	bitter	me.ri.ri
H4816	weakness	mo.rekh
H4817	chariot	mer.kav
H4818	chariot	mer.ka.vah
H4819	market	mar.ko.let
H4820	deceit	mir.mah
H4821	Mirmah	mir.mah
H4822	Meremoth	me.re.mot
H4823	trampling	mir.mas
H4824	Meronothite	me.ro.no.ti
H4825	Meres	me.res
H4826	Marsena	mar.se.na
H4827	mischief	me.ra
H4828	companion	me.re.a
H4829	pasture	mir.eh
H4830	pasturing	mir.it
H4831	Mareal	mar.a.lah
H4832	healing	mar.pe
H4833	mud	mir.pa.s
H4834	be sick	ma.rats
H4835	oppression	me.ru.tsah
H4836	awl	mar.tse.a
H4837	pavement	mar.tse.phet
H4838	polish	ma.raq
H4839	broth	ma.raq
H4840	spice	mer.qach
H4841	ointment pot	mer.qa.chah
H4842	ointment	mir.qa.chat
H4843	provoke	ma.rar
H4844	bitterness	me.ror
H4845	gall	me.re.rah
H4846	gall	me.ro.rah
H4847	Merari	me.ra.ri
H4848	Merari	me.ra.ri
H4849	wickedness	mir.sha.at
H4850	Merathaim	me.ra.ta.yim
H4851	Mash	mash
H4852	Mesha	me.sah
H4853	burden	mas.sa
H4854	Massa	mas.sa
H4855	interest	mash.sah
H4856	respect	mas.so
H4857	well	mash.av
H4858	smoke	mas.sa.ah
H4859	loan	mash.sha.ah
H4860	guile	mash.sha.on
H4861	Mishal	mish.al
H4862	petition	mish.a.lah
H4863	kneading	mish.e.ret
H4864	tribute	mas.et
H4865	filigree	mish.be.tsah
H4866	birth	mish.ber
H4867	wave	mish.bar
H4868	annihilation	mish.bat
H4869	high refuge	mis.gav
H4870	mistake	mish.geh
H4871	draw	ma.shah
H4872	Moses	mo.sheh
H4873	Moses	mo.sheh
H4874	loan	mash.sheh
H4875	desolation	me.sho.ah
H4876	desolation	mash.shu.ah
H4877	Meshobab	me.sho.vav
H4878	faithlessness	me.shu.vah
H4879	error	me.shu.gah
H4880	oar	ma.shot
H4881	hedge	me.su.khah
H4882	spoil	me.shu.sah
H4883	saw	mas.s.vor
H4884	capacity	me.su.rah
H4885	rejoicing	ma.s.vo.s
H4886	anoint	ma.shach
H4887	oil	me.shach
H4888	anointing	mish.chah
H4889	destruction	mash.chit
H4890	laughing	mis.chaq
H4891	dawn	mish.char
H4892	destruction	mash.chet
H4893	mutilation	mish.chat
H4894	spreading-place	mish.tach
H4895	hatred	mas.te.mah
H4896	rule	mish.tar
H4897	silk	me.shi
H4898	Meshezabel	me.she.zav.el
H4899	anointed	ma.shi.ach
H4900	draw	ma.shakh
H4901	bag	me.shekh
H4902	Meshech	me.shekh
H4903	bed	mish.kav
H4904	bed	mish.kav
H4905	Maskil	mas.kil
H4906	figure	mas.kit
H4907	habitation	mish.kan
H4908	tabernacle	mish.kan
H4909	wage	mas.ko.ret
H4910	rule	ma.shal
H4911	liken	ma.shal
H4912	proverb	ma.shal
H4913	Mashal	ma.shal
H4914	byword	me.shol
H4915	likeness	mo.shel
H4916	sending	mish.lach
H4917	deputation	mish.la.chat
H4918	Meshullam	me.shul.lam
H4919	Meshillemoth	me.shil.le.mot
H4920	Meshelemiah	me.she.lem.yah
H4921	Meshillemith	me.shil.le.mit
H4922	Meshullemeth	me.shul.le.met
H4923	devastation	me.sham.mah
H4924	fat	she.man
H4925	Mishmannah	mish.man.nah
H4926	hearing	mish.ma
H4927	Mishma	mish.ma
H4928	guard	mish.ma.at
H4929	custody	mish.mar
H4930	nail	mas.m.rah
H4931	charge	mish.me.ret
H4932	Second [Quarter]	mish.neh
H4933	plunder	me.shis.sah
H4934	passage	mish.ol
H4935	cleansing	mish.i
H4936	Misham	mish.am
H4937	support	mish.an
H4938	support	mish.e.nah
H4939	bloodshed	mis.pach
H4940	family	mish.pa.chah
H4941	justice	mish.pat
H4942	sheepfold	mish.pat
H4943	acquisition	me.sheq
H4944	rushing	mash.shaq
H4945	cupbearer	mash.qeh
H4946	weight	mish.qol
H4947	lintel	mash.qoph
H4948	weight	mish.qal
H4949	level	mish.qe.let
H4950	clarified	mish.qa
H4951	dominion	mis.rah
H4952	juice	mish.rah
H4953	flute	mash.ro.qi
H4954	Mishraite	mish.ra.i
H4955	burning	mis.ra.phah
H4956	Misrephoth-maim	mis.r.phot ma.yim
H4957	Masrekah	mas.re.qah
H4958	pan	mas.ret
H4959	feel	ma.shash
H4960	feast	mish.teh
H4961	feast	mish.teh
H4962	man	mat
H4963	straw	mat.ben
H4964	bridle	me.teg
H4965	Metheg-ammah	me.teg ha.am.mah
H4966	sweet	ma.toq
H4967	Methushael	me.tu.sha.el
H4968	Methuselah	me.tu.she.lach
H4969	spread	ma.tach
H4970	how	ma.tay
H4971	tally	mat.kho.net
H4972	weariness	mat.t.la.ah
H4973	jaw	me.tal.l.ah
H4974	soundness	me.tom
H4975	loin	mo.ten
H4976	gift	mat.tan
H4977	Mattan	mat.tan
H4978	gift	mat.t.na
H4979	gift	mat.ta.nah
H4980	Mattanah	mat.ta.nah
H4981	Mithnite	mit.ni
H4982	Mattenai	mat.t.nay
H4983	Mattaniah	mat.tan.yah
H4984	exalt	mit.nas.se
H4985	be sweet	ma.taq
H4986	sweetness	me.teq
H4987	sweetness	mo.teq
H4988	sweeten	ma.taq
H4989	Mithkah	mit.qah
H4990	Mithredath	mit.re.dat
H4991	gift	mat.tat
H4992	Mattattah	mat.tat.tah
H4993	Mattithiah	mat.tit.yah
H4994	please	na
H4995	raw	na
H4996	Thebes	no
H4997	wineskin	nod
H4998	be lovely	na.ah
H4999	habitation	na.ah
H5000	lovely	na.eh
H5001	prophesy	na.am
H5002	utterance	ne.um
H5003	commit adultery	na.aph
H5004	adultery	ni.uph
H5005	adultery	na.a.phuph
H5006	spurn	na.ats
H5007	contempt	ne.a.tsah
H5008	groan	na.aq
H5009	groan	ne.a.qah
H5010	disown	na.ar
H5011	Nob	nov
H5012	prophesy	na.va
H5013	prophesy	ne.va
H5014	be hollow	na.vav
H5015	Nebo	ne.vo
H5016	prophecy	ne.vu.ah
H5017	prophesying	ne.vu.ah
H5018	Nebuzaradan	ne.vu.zar.a.dan
H5019	Nebuchadnezzar	ne.vu.khad.nets.tsar
H5020	Nebuchadnezzar	ne.vu.khad.nets.tsar
H5021	Nebushazban	ne.vu.shaz.ban
H5022	Naboth	na.vot
H5023	reward	ne.viz.bah
H5024	bark	na.vach
H5025	Nobah	no.vach
H5026	Nibhaz	niv.chaz
H5027	look	na.vat
H5028	Nebat	ne.vat
H5029	prophet	ne.vi
H5030	prophet	na.vi
H5031	prophetess	ne.vi.ah
H5032	Nebaioth	ne.va.vot
H5033	spring	ne.vekh
H5034	be senseless	na.val
H5035	bag	ne.vel
H5036	foolish	na.val
H5037	Nabal	na.val
H5038	carcass	ne.ve.lah
H5039	folly	ne.va.lah
H5040	lewdness	nav.lut
H5041	Neballat	ne.val.lat
H5042	bubble	na.va
H5043	lampstand	nev.re.sah
H5044	Nibshan	niv.shan
H5045	Negeb	ne.gev
H5046	tell	na.gad
H5047	flow	ne.gad
H5048	before	ne.ged
H5049	before	ne.ged
H5050	shine	na.gah
H5051	brightness	no.gah
H5052	Nogah	no.gah
H5053	daylight	no.gah
H5054	brightness	ne.go.hah
H5055	gore	na.gach
H5056	goring	nag.gach
H5057	leader	na.gid
H5058	music	ne.gi.nah
H5059	play	na.gan
H5060	touch	na.ga
H5061	plague	ne.ga
H5062	strike	na.gaph
H5063	plague	ne.geph
H5064	pour	na.gar
H5065	oppress	na.ga.s
H5066	approach	na.gash
H5067	heap	ned
H5068	be willing	na.dav
H5069	be willing	ne.dav
H5070	Nadab	na.dav
H5071	voluntariness	ne.da.vah
H5072	Nedabiah	ne.dav.yah
H5073	layer	nid.bakh
H5074	wander	na.dad
H5075	flee	ne.dad
H5076	tossing	na.dud
H5077	drive away	na.da
H5078	gift	ne.deh
H5079	impurity	nid.dah
H5080	banish	na.dach
H5081	noble	na.div
H5082	honor	ne.di.vah
H5083	gift	na.dan
H5084	sheath	na.dan
H5085	sheath	nid.neh
H5086	drive	na.daph
H5087	vow	na.dar
H5088	vow	ne.der
H5089	eminency	no.ah
H5090	lead	na.hag
H5091	wail	na.hah
H5092	wailing	ne.hi
H5093	lament	nih.yah
H5094	light	ne.hir
H5095	guide	na.hal
H5096	Nahalol	na.ha.lal
H5097	watering	na.ha.lol
H5098	groan	na.ham
H5099	roaring	na.ham
H5100	groaning	ne.ha.mah
H5101	bray	na.haq
H5102	flow	na.har
H5103	River	ne.har
H5104	River	na.har
H5105	light	ne.ha.rah
H5106	forbid	nu
H5107	bear fruit	nuv
H5108	fruit	nov
H5109	Nebai	no.vay
H5110	wander	nud
H5111	flee	nud
H5112	wandering	nod
H5113	Nod	nod
H5114	Nodab	no.dav
H5115	beautify	na.vah
H5116	pasture	na.veh
H5117	rest	nu.ach
H5118	rest	nu.ach
H5119	Nohah	no.chah
H5120	shake	nut
H5121	Naioth	na.vit
H5122	dunghill	ne.va.lu
H5123	slumber	num
H5124	drowsiness	nu.mah
H5125	propagate	nun
H5126	Nun	nun
H5127	flee	nus
H5128	shake	nu.a
H5129	Noadiah	no.ad.yah
H5130	sprinkle	nuph
H5131	elevation	noph
H5132	flee	na.tsah
H5133	plumage	no.tsah
H5134	suckle	nuq
H5135	fire	nur
H5136	be sick	nush
H5137	sprinkle	na.zah
H5138	stew	na.zid
H5139	Nazirite	na.zir
H5140	flow	na.zal
H5141	ring	ne.zem
H5142	suffer injury	ne.zaq
H5143	injury	ne.zeq
H5144	dedicate	na.zar
H5145	consecration	ne.zer
H5146	Noah	no.ach
H5147	Nahbi	nach.bi
H5148	lead	na.chah
H5149	Nehum	ne.chum
H5150	comfort	ni.chum
H5151	Nahum	na.chum
H5152	Nahor	na.chor
H5153	bronze	na.chush
H5154	bronze	ne.chu.shah
H5155	flute	ne.chi.lah
H5156	nostril	ne.chir
H5157	inherit	na.chal
H5158	torrent	na.chal
H5159	inheritance	na.cha.lah
H5160	Nahaliel	na.cha.li.el
H5161	Nehelam	ne.che.la.mi
H5162	sorry	na.cham
H5163	Naham	na.cham
H5164	repentance	no.cham
H5165	comfort	ne.cha.mah
H5166	Nehemiah	ne.chem.yah
H5167	Nahamani	na.cha.ma.ni
H5168	we	nach.nu
H5169	urge	na.chats
H5170	snorting	na.char
H5171	Naharai	na.cha.ray
H5172	divine	na.chash
H5173	divination	na.chash
H5174	bronze	ne.chash
H5175	serpent	na.chash
H5176	Nahash	na.chash
H5177	Nahshon	nach.shon
H5178	bronze	ne.cho.shet
H5179	Nehushta	ne.chush.ta
H5180	Nehushtan	ne.chush.tan
H5181	descend	na.chat
H5182	descend	ne.chat
H5183	quietness	na.chat
H5184	Nahath	na.chat
H5185	descended	na.chet
H5186	stretch	na.tah
H5187	laden	ne.til
H5188	pendant	ne.ti.phah
H5189	tendril	ne.ti.shah
H5190	lift	na.tal
H5191	lift	ne.tal
H5192	weight	ne.tel
H5193	plant	na.ta
H5194	plantation	ne.ta
H5195	plant	na.ti.a
H5196	Netaim	ne.ta.im
H5197	drip	na.taph
H5198	drop	na.taph
H5199	Netophah	ne.to.phah
H5200	Netophathite	ne.to.pha.ti
H5201	keep	na.tar
H5202	keep	ne.tar
H5203	leave	na.tash
H5204	wailing	ni
H5205	solace	nid
H5206	filth	ni.dah
