strong	gloss	translit
H233	in that case	a.zay
H234	memorial	az.ka.rah
H235	be gone	a.zal
H236	go	a.zal
H237	Ezel	e.zel
H238	listen	a.zan
H239	ponder	a.zan
H240	weapon	a.zen
H241	ear	o.zen
H242	Uzzen-sheerah	uz.zen she.e.rah
H243	Aznoth-tabor	az.not ta.vor
H244	Ozni	oz.ni
H245	Azaniah	a.zan.yah
H246	chains	a.ziq.qim
H247	gird	a.zar
H248	arm	ez.ro.a
H249	born	ez.rach
H250	Ezrahite	ez.ra.chi
H251	brother	ach
H252	brother	ach
H253	ah!	ach
H254	hearth	ach
H255	howling animal	o.ach
H256	Ahab	ach.av
H257	Ahban	ach.van
H258	go either way	a.chad
H259	one	e.chad
H260	meadow	a.chu
H261	Ehud	e.chud
H262	declaration	ach.vah
H263	explanation	a.cha.vah
H264	brotherhood	a.cha.vah
H265	Ahoah	a.cho.ach
H266	Ahohite	a.cho.chi
H267	Ahumai	a.chu.may
H268	back	a.chor
H269	sister	a.chot
H270	grasp	a.chaz
H271	Ahaz	a.chaz
H272	possession	a.chuz.zah
H273	Ahzai	ach.zay
H274	Ahaziah	a.chaz.yah
H275	Ahuzzam	a.chuz.zam
H276	Ahuzzath	a.chuz.zat
H277	Ahi	a.chi
H278	Ehi	e.chi
H279	Ahiam	a.chi.am
H280	riddle	a.chi.dah
H281	Ahijah	a.chiy.yah
H282	Ahihud	a.chi.hud
H283	Ahio	ach.yo
H284	Ahihud	a.chi.chud
H285	Ahitub	a.chi.tuv
H286	Ahilud	a.chi.lud
H287	Ahimoth	a.chi.mot
H288	Ahimelech	a.chi.me.lekh
H289	Ahiman	a.chi.man
H290	Ahimaaz	a.chi.ma.ats
H291	Ahian	ach.yan
H292	Ahinadab	a.chi.na.dav
H293	Ahinoam	a.chi.no.am
H294	Ahisamach	a.chi.sa.makh
H295	Ahiezer	a.chi.e.zer
H296	Ahikam	a.chi.qam
H297	Ahiram	a.chi.ram
H298	Ahiramite	a.chi.ra.mi
H299	Ahira	a.chi.ra
H300	Ahishahar	a.chi.sha.char
H301	Ahishar	a.chi.shar
H302	Ahithophel	a.chi.to.phel
H303	Ahlab	ach.lav
H304	Ahlai	ach.lay
H305	O that!	a.cha.lay
H306	amethyst	ach.la.mah
H307	Ecbatana	ach.me.ta
H308	Ahasbai	a.chas.bay
H309	delay	a.char
H310	after	a.char
H311	after	a.char
H312	another	a.cher
H313	Aher	a.cher
H314	last	a.cha.ron
H315	Aharah	ach.rach
H316	Aharhel	a.char.chel
H317	another	o.cho.ri
H318	finally	o.cho.ren
H319	end	a.cha.rit
H320	latter	a.cha.rit
H321	another	o.cho.ran
H322	backwards	a.cho.ran.nit
H323	satrap	a.chash.dar.pan
H324	satrap	a.chash.dar.pan
H325	Ahasuerus	a.chash.ve.rosh
H326	Haahashtari	a.chash.ta.ri
H327	steed	a.chash.ta.ran
H328	mutterer	it.ti
H329	Atad	a.tad
H330	fine linen	e.tun
H331	shutter	a.tam
H332	shut	a.tar
H333	Ater	a.ter
H334	lefthanded	it.ter
H335	where?	ay
H336	not	i
H337	woe!	i
H338	wild beast	i
H339	coastland	i
H340	be hostile	a.yav
H341	enemy	o.yev
H342	enmity	e.vah
H343	calamity	ed
H344	falcon	ay.yah
H345	Aiah	ay.yah
H346	where?	ay.yeh
H347	Job	iy.yov
H348	Jezebel	i.ze.vel
H349	how?	ekh
H350	Ichabod	i-kha.vod
H351	where?	e.khoh
H352	ram	a.yil
H353	strength	e.yal
H354	deer	ay.yal
H355	doe	ay.ya.lah
H356	Elon	e.lon
H357	Aijalon	ay.ya.lon
H358	Elonbeth-hanan	e.lon bet cha.nan
H359	Elath	e.lat
H360	strength	e.ya.lut
H361	arches	e.lam
H362	Elim	e.lim
H363	tree	i.lan
H364	El-paran	el pa.ran
H365	doe	ay.ye.let
H366	terrible	a.yom
H367	terror	e.mah
H368	Emim	e.mim
H369	nothing	a.yin
H370	where?	a.yin
H371	isn't?	in
H372	Iezer	i.e.zer
H373	Iezerite	i.ez.ri
H374	ephah	e.phah
H375	where?	e.phoh
H376	man	ish
H377	be manly	ish
H378	Ish-bosheth	ish-bo.shet
H379	Ishhod	ish.hod
H380	pupil	i.shon
H381	hero	ish-cha.yil
H382	Ish-tob	ish-tov
H383	there is	i.tay
H384	Ithiel	i.ti.el
H385	Ithamar	i.ta.mar
H386	strong	e.tan
H387	Ethan	e.tan
H388	Ethanim	e.ta.nim
H389	surely	akh
H390	Accad	ak.kad
H391	deceptive	akh.zav
H392	Achzib	akh.ziv
H393	cruel	akh.zar
