# OT-in-NT quotations via LXX Strong's overlap (IDF-weighted); shoresh lxx.build_quotations
# ot_ref is Masoretic/English numbering; vrs=lxx? marks a boundary Psalm left in LXX numbering (needs V1 verse-map)
nt_ref	ot_ref	confidence	vrs	n_shared	score	shared_strongs
MAT 4:3	EXO 20:20	med	mt	4	0.358	G1096,2316,3004,3985
MAT 4:4	DEU 8:3	high	mt	9	0.558	G0444,0740,1607,2198,2316,3441,3956,4487,4750
MAT 4:4	2SA 13:33	med	mt	4	0.369	G3004,3441,3956,4487
MAT 4:4	DEU 4:4	med	mt	3	0.338	G2198,2316,3956
MAT 4:6	PSA 91:12	high	mt	5	0.72	G0142,3037,4228,4350,5495
MAT 4:6	JOB 38:6	med	mt	3	0.392	G0906,1510,3037
MAT 4:6	BAR 2:28	med	mt	5	0.326	G1125,1781,3004,5207,5495
MAT 4:7	DEU 6:16	high	mt	3	0.514	G1598,2316,2962
MAT 4:7	DEU 8:2	med	mt	3	0.364	G1598,2316,2962
MAT 4:7	JER 38:33	med	mt	4	0.335	G1125,2316,2962,5346
MAT 4:8	EST 1:4	med	mt	3	0.374	G0932,1166,1391
MAT 4:8	PSA 113:4	med	mt	3	0.336	G1391,3956,5308
MAT 4:9	JDT 6:18	high	mt	3	0.676	G3004,4098,4352
MAT 4:9	1MA 4:55	high	mt	3	0.512	G3956,4098,4352
MAT 4:10	JOS 24:21	med	mt	3	0.375	G2424,2962,3000
MAT 4:10	JOS 24:24	med	mt	3	0.318	G2424,2962,3000
MAT 4:13	JDT 1:10	med	mt	3	0.403	G2064,2730,3725
MAT 4:14	ISA 37:6	high	mt	3	0.495	G2046,2268,3004
MAT 4:14	ISA 39:3	high	mt	3	0.482	G2268,3004,4396
MAT 4:14	JER 13:13	high	mt	4	0.463	G2046,3004,4137,4396
MAT 4:15	ISA 8:23	high	mt	8	0.622	G1056,1093,1484,2194,2281,2446,3508,3598
MAT 4:15	2KI 15:29	high	mt	3	0.561	G1056,1093,3508
MAT 4:16	ISA 9:1	high	mt	7	0.503	G2288,2992,3173,3708,4639,5457,5561
MAT 4:16	JOB 28:3	high	mt	3	0.478	G2288,4639,4653
MAT 4:16	PSA 107:10	med	mt	3	0.353	G2288,2521,4639
MAT 4:18	1MA 5:55	med	mt	4	0.378	G0080,1056,1510,4613
MAT 4:18	1MA 5:17	med	mt	3	0.338	G0080,1056,4613
MAT 4:18	EZK 47:10	med	mt	3	0.309	G0231,1510,2281
MAT 4:23	2CH 21:19	med	mt	3	0.33	G2992,3119,3554
MAT 4:23	DEU 7:15	med	mt	3	0.308	G3119,3554,3956
MAT 5:1	1KI 21:13	high	mt	3	0.475	G3708,3793,4334
MAT 5:5	PSA 37:11	high	mt	3	0.69	G1093,2816,4239
MAT 5:8	PSS 17:44	high	mt	3	0.457	G2316,3107,3708
MAT 5:10	PSA 50:6	med	mt	3	0.335	G1343,1510,3772
MAT 5:11	1KI 13:18	med	mt	3	0.321	G1510,3004,5574
MAT 5:13	JER 10:14	med	mt	3	0.306	G0444,1510,3471
MAT 5:13	JER 28:17	med	mt	3	0.306	G0444,1510,3471
MAT 5:15	LEV 24:4	high	mt	3	0.644	G2545,3087,3088
MAT 5:16	ISA 9:1	high	mt	3	0.459	G2989,3708,5457
MAT 5:16	GEN 1:4	med	mt	3	0.327	G2570,3708,5457
MAT 5:16	PSA 49:20	med	mt	3	0.318	G3708,3962,5457
MAT 5:18	GEN 41:53	high	mt	3	0.496	G1093,1096,3928
MAT 5:18	NUM 32:27	med	mt	3	0.391	G3004,3928,3956
MAT 5:18	BAR 2:2	med	mt	3	0.388	G3551,3772,3956
MAT 5:20	EXO 5:15	med	mt	3	0.332	G1122,1525,3004
MAT 5:21	NUM 35:27	high	mt	3	0.535	G1510,1777,5407
MAT 5:21	NUM 35:31	med	mt	3	0.43	G1510,1777,5407
MAT 5:21	NUM 35:12	med	mt	3	0.387	G1510,2920,5407
MAT 5:22	GEN 26:11	med	mt	4	0.305	G1510,1777,3004,3956
MAT 5:23	NUM 7:11	high	mt	3	0.555	G1435,2379,4374
MAT 5:23	NUM 7:10	high	mt	3	0.549	G1435,2379,4374
MAT 5:23	GEN 43:26	med	mt	3	0.444	G1435,2192,4374
MAT 5:24	NUM 7:11	med	mt	3	0.384	G1435,2379,4374
MAT 5:24	NUM 7:10	med	mt	3	0.38	G1435,2379,4374
MAT 5:28	4MA 2:5	high	mt	3	0.465	G1135,1937,3004
MAT 5:28	EZK 13:3	med	mt	3	0.419	G0991,2588,3004
MAT 5:31	DEU 24:3	med	mt	3	0.449	G0647,1135,1325
MAT 5:31	DEU 24:1	med	mt	3	0.371	G0647,1135,1325
MAT 5:34	1KI 1:30	high	mt	4	0.568	G2316,2362,3004,3660
MAT 5:34	1KI 1:17	high	mt	4	0.515	G2316,2362,3004,3660
MAT 5:34	1KI 1:13	high	mt	3	0.465	G2362,3004,3660
MAT 5:35	PSA 99:5	high	mt	3	0.577	G1510,4228,5286
MAT 5:35	LAM 2:1	high	mt	3	0.52	G1093,4228,5286
MAT 5:35	ISA 66:1	med	mt	3	0.447	G1093,4228,5286
MAT 5:37	1MA 9:22	high	mt	3	0.475	G1510,3056,4053
MAT 5:42	1KI 10:13	high	mt	4	0.524	G0154,0654,1325,2309
MAT 5:45	GEN 2:5	med	mt	3	0.397	G0393,1026,1096
MAT 5:45	ECC 4:3	med	mt	4	0.381	G0018,1096,2246,4190
MAT 5:45	SIR 26:16	med	mt	3	0.378	G0018,0393,2246
MAT 5:46	ISA 62:11	med	mt	3	0.431	G2192,3408,4160
MAT 5:48	1KI 15:3	high	mt	3	0.5	G1510,3962,5046
MAT 5:48	1KI 11:4	med	mt	3	0.374	G1510,3962,5046
MAT 6:1	TOB 13:7	med	mt	3	0.416	G1343,2300,4160
MAT 6:3	2CH 34:2	high	mt	3	0.516	G0710,1188,4160
