# OT-in-NT quotations via LXX Strong's overlap (IDF-weighted); shoresh lxx.build_quotations
# ot_ref is Masoretic/English numbering; vrs=lxx? marks a boundary Psalm left in LXX numbering (needs V1 verse-map)
nt_ref	ot_ref	confidence	vrs	n_shared	score	shared_strongs
MRK 14:62	2CH 18:18	med	mt	4	0.408	G1188,1411,2521,3772
MRK 14:62	1KI 13:14	med	mt	4	0.376	G0444,1510,2064,2521
MRK 14:62	2CH 25:7	med	mt	6	0.364	G0444,1411,1510,2064,3004,5207
MRK 14:64	SUS 1:53	high	mt	4	0.466	G0191,1777,2288,2632
MRK 14:64	EZK 35:12	med	mt	3	0.406	G0191,0988,1510
MRK 14:64	LEV 20:9	med	mt	3	0.368	G1510,1777,2288
MRK 14:69	EXO 18:14	med	mt	3	0.391	G3004,3708,3936
MRK 14:70	NUM 16:9	med	mt	3	0.311	G1510,3398,3936
MRK 14:71	JER 45:16	med	mt	3	0.329	G0444,3004,3660
MRK 15:2	2SA 14:18	high	mt	3	0.554	G0611,0935,1905
MRK 15:2	EZK 20:3	high	mt	3	0.512	G0611,1905,3004
MRK 15:2	ZEC 4:4	high	mt	3	0.505	G1510,1905,3004
MRK 15:4	DAN 6:5	med	mt	3	0.399	G2723,3004,3762
MRK 15:4	EZK 20:3	med	mt	3	0.385	G0611,1905,3004
MRK 15:4	DAN 2:10	med	mt	4	0.352	G0611,1905,3708,3762
MRK 15:9	2KI 18:36	med	mt	3	0.367	G0611,0935,3004
MRK 15:12	2KI 18:36	high	mt	3	0.53	G0611,0935,3004
MRK 15:14	JDG 18:24	med	mt	3	0.393	G2896,3004,4160
MRK 15:14	JER 11:11	med	mt	3	0.378	G2556,2896,3004
MRK 15:18	1MA 11:30	high	mt	3	0.502	G0935,2453,5463
MRK 15:18	1MA 10:25	high	mt	3	0.48	G0935,2453,5463
MRK 15:18	2MA 11:27	high	mt	3	0.451	G0935,2453,5463
MRK 15:20	1MA 10:62	high	mt	4	0.59	G1562,1746,2440,4209
MRK 15:20	NUM 20:28	med	mt	3	0.385	G1562,1746,2440
MRK 15:23	NEH 2:1	high	mt	3	0.586	G1325,2983,3631
MRK 15:23	1SA 25:11	high	mt	3	0.452	G1325,2983,3631
MRK 15:24	PSA 22:19	high	mt	4	0.656	G0906,1266,2440,2819
MRK 15:26	1ES 2:17	med	mt	4	0.384	G0156,0935,1510,2453
MRK 15:27	ZEC 4:3	high	mt	3	0.493	G1188,1520,2176
MRK 15:29	LAM 2:15	med	mt	3	0.364	G2776,2795,3899
MRK 15:34	NEH 9:4	med	mt	5	0.374	G0994,2316,2424,3173,5456
MRK 15:37	NEH 9:4	high	mt	3	0.506	G2424,3173,5456
MRK 15:39	2KI 8:11	med	mt	3	0.39	G0444,2316,3936
MRK 15:40	4MA 16:5	med	mt	3	0.447	G1135,1510,3384
MRK 15:40	1CH 2:26	med	mt	3	0.337	G1135,1510,3384
MRK 15:46	ISA 22:16	med	mt	4	0.425	G1510,2998,3419,4073
MRK 16:5	1MA 14:9	med	mt	3	0.302	G2521,3495,4749
MRK 16:10	NEH 1:4	high	mt	3	0.469	G1096,2799,3996
MRK 16:19	JOS 20:1	high	mt	3	0.464	G2424,2962,2980
MRK 16:19	JER 23:37	med	mt	3	0.36	G2316,2962,2980
MRK 16:19	2KI 2:11	med	mt	3	0.344	G0353,2980,3772
LUK 1:2	JER 33:1	high	mt	3	0.477	G0746,1096,3056
LUK 1:2	JER 25:20	med	mt	3	0.426	G0746,1096,3056
LUK 1:5	EXO 6:23	med	mt	4	0.385	G0002,1135,1665,2364
LUK 1:5	2SA 14:27	med	mt	5	0.354	G0007,1096,1135,2364,3686
LUK 1:5	1SA 27:6	med	mt	4	0.343	G0935,1096,2250,2449
LUK 1:6	2KI 17:19	high	mt	5	0.473	G1345,1785,2316,2962,4198
LUK 1:6	JOB 15:14	med	mt	3	0.449	G0273,1342,1510
LUK 1:6	DEU 10:13	med	mt	5	0.432	G1345,1510,1785,2316,2962
LUK 1:7	GEN 24:1	med	mt	3	0.33	G1510,2250,4260
LUK 1:7	EXO 23:26	med	mt	3	0.32	G1510,2250,4723
LUK 1:10	1ES 9:11	med	mt	3	0.342	G1510,4128,5610
LUK 1:10	PSA 44:13	med	mt	3	0.331	G1510,2992,4128
LUK 1:11	1CH 21:18	med	mt	4	0.392	G0032,2379,2476,2962
LUK 1:11	2KI 11:11	med	mt	3	0.378	G1188,2379,2476
LUK 1:11	2CH 23:10	med	mt	3	0.364	G1188,2379,2476
LUK 1:12	DAN 4:5	high	mt	3	0.499	G1968,3708,5401
LUK 1:13	1CH 2:18	med	mt	3	0.333	G1080,1135,5207
LUK 1:14	JON 4:6	med	mt	3	0.351	G1510,5463,5479
LUK 1:15	DEU 29:5	high	mt	4	0.538	G2962,3631,4095,4608
LUK 1:15	ISA 24:9	high	mt	3	0.497	G3631,4095,4608
LUK 1:15	ISA 5:22	med	mt	3	0.439	G3631,4095,4608
LUK 1:16	2CH 15:4	high	mt	4	0.641	G1994,2316,2474,2962
LUK 1:16	HOS 14:2	high	mt	4	0.452	G1994,2316,2474,2962
LUK 1:16	2SA 16:3	med	mt	4	0.39	G1994,2474,2962,5207
LUK 1:17	JER 5:23	med	mt	3	0.344	G0545,2588,2992
LUK 1:18	1SA 2:32	high	mt	3	0.468	G1510,2250,4246
LUK 1:18	GEN 24:1	med	mt	3	0.387	G1510,2250,4260
LUK 1:19	ZEC 6:4	med	mt	4	0.446	G0032,0611,1510,2980
LUK 1:19	ZEC 4:5	med	mt	4	0.404	G0032,0611,1510,2980
LUK 1:19	ZEC 6:5	med	mt	5	0.39	G0032,0611,1510,2980,3936
LUK 1:20	ECC 1:8	high	mt	5	0.463	G1410,2980,3056,3708,4137
LUK 1:20	1KI 1:14	med	mt	3	0.436	G2980,3056,4137
LUK 1:20	AMO 5:13	med	mt	3	0.436	G1510,2540,4623
LUK 1:22	JER 3:5	med	mt	3	0.324	G1265,1410,2980
LUK 1:23	2CH 31:16	med	mt	3	0.42	G2250,3009,3624
LUK 1:23	1KI 8:10	med	mt	3	0.39	G1096,3624,4130
LUK 1:25	ZEC 9:1	med	mt	3	0.394	G0444,1896,2962
LUK 1:27	DEU 22:23	high	mt	3	0.536	G0435,3423,3933
LUK 1:28	ISA 48:22	high	mt	3	0.689	G2962,3004,5463
LUK 1:28	JER 34:22	high	mt	3	0.457	G1525,2962,3004
LUK 1:30	GEN 6:8	med	mt	3	0.404	G2147,2316,5485
LUK 1:31	GEN 38:4	high	mt	5	0.748	G2564,3686,4815,5088,5207
LUK 1:31	1CH 7:23	high	mt	5	0.584	G1064,2564,3686,5088,5207
LUK 1:31	GEN 29:35	high	mt	5	0.566	G2564,3686,4815,5088,5207
LUK 1:32	1KI 5:19	high	mt	7	0.534	G1138,1325,2316,2362,2962,3962,5207
LUK 1:32	PSA 82:6	high	mt	4	0.518	G1510,2316,5207,5310
LUK 1:32	1KI 1:37	med	mt	4	0.418	G1138,1510,2362,2962
LUK 1:33	AMO 9:8	high	mt	4	0.537	G0932,2384,3624,5056
LUK 1:33	2CH 22:12	med	mt	3	0.388	G0936,1510,3624
LUK 1:34	HAG 1:13	med	mt	3	0.437	G0032,1510,3004
LUK 1:34	ZEC 4:5	med	mt	3	0.408	G0032,1097,1510
LUK 1:35	PSA 82:6	med	mt	3	0.323	G2316,5207,5310
LUK 1:36	JDG 13:3	med	mt	4	0.402	G3708,4723,4815,5207
LUK 1:36	GEN 30:19	med	mt	3	0.365	G1623,4815,5207
LUK 1:37	GEN 18:14	high	mt	3	0.601	G0101,2316,4487
LUK 1:37	DEU 17:8	high	mt	3	0.469	G0101,2316,4487
LUK 1:38	2SA 14:12	high	mt	3	0.454	G1399,2962,4487
LUK 1:38	2SA 14:15	med	mt	4	0.449	G1399,2962,3708,4487
LUK 1:38	1KI 17:2	med	mt	3	0.37	G1096,2962,4487
LUK 1:42	NEH 5:1	med	mt	3	0.397	G1135,2906,3173
LUK 1:45	EXO 29:26	med	mt	3	0.403	G1510,2962,5050
LUK 1:45	PSA 144:15	med	mt	3	0.342	G1510,2962,3107
LUK 1:46	ODA 9:46	high	mt	3	0.656	G2962,3170,5590
LUK 1:46	EZK 24:9	high	mt	3	0.623	G2962,3004,3170
LUK 1:46	EXO 15:21	med	mt	3	0.435	G2962,3004,3137
LUK 1:47	ODA 9:47	high	mt	4	1.0	G0021,2316,4151,4990
LUK 1:47	ODA 4:18	high	mt	3	0.746	G0021,2316,4990
LUK 1:47	HAB 3:18	high	mt	3	0.746	G0021,2316,4990
LUK 1:48	ODA 9:48	high	mt	6	0.976	G1074,1399,1914,3106,3956,5014
LUK 1:48	1SA 1:11	med	mt	3	0.386	G1399,1914,5014
LUK 1:48	PSA 33:13	med	mt	3	0.356	G1914,3708,3956
LUK 1:49	ODA 9:49	high	mt	4	0.641	G0040,1415,3686,4160
LUK 1:49	2SA 23:22	high	mt	3	0.623	G1415,3686,4160
LUK 1:49	1CH 11:24	high	mt	3	0.623	G1415,3686,4160
LUK 1:50	ODA 9:50	high	mt	3	1.0	G1074,1656,5399
LUK 1:51	ODA 9:51	high	mt	7	1.0	G1023,1271,1287,2588,2904,4160,5244
LUK 1:51	PSA 89:11	high	mt	3	0.601	G1023,1287,5244
LUK 1:51	DEU 8:17	med	mt	3	0.366	G2588,2904,4160
LUK 1:52	ODA 9:52	high	mt	5	1.0	G1413,2362,2507,5011,5312
LUK 1:53	ODA 9:53	high	mt	6	1.0	G0018,1705,1821,2756,3983,4147
LUK 1:53	PSA 107:9	high	mt	4	0.611	G0018,1705,2756,3983
LUK 1:54	ODA 9:54	high	mt	4	0.739	G0482,1656,2474,3816
LUK 1:54	PSS 16:3	high	mt	3	0.49	G0482,1656,2474
LUK 1:55	ODA 9:55	high	mt	5	1.0	G0011,0165,2980,3962,4690
LUK 1:55	GEN 28:4	high	mt	3	0.541	G0011,3962,4690
LUK 1:55	2CH 20:7	high	mt	3	0.531	G0011,0165,4690
LUK 1:56	JDT 8:4	med	mt	3	0.381	G3376,3624,5140
LUK 1:56	1CH 13:14	med	mt	3	0.331	G3376,3624,5140
LUK 1:58	GEN 21:6	high	mt	3	0.459	G0191,2962,4796
LUK 1:58	2SA 7:22	med	mt	3	0.306	G0191,2962,3170
LUK 1:59	GEN 21:4	high	mt	3	0.479	G2250,3590,4059
LUK 1:59	LEV 12:3	high	mt	3	0.474	G2250,3590,4059
LUK 1:59	GEN 17:12	med	mt	3	0.396	G2250,3813,4059
LUK 1:60	1SA 26:14	med	mt	3	0.361	G0611,2564,3004
LUK 1:61	HOS 1:9	high	mt	3	0.467	G1510,2564,3686
LUK 1:61	JDG 13:2	med	mt	3	0.401	G1510,3686,4772
LUK 1:61	HOS 2:18	med	mt	3	0.396	G1510,2564,3004
LUK 1:64	JOB 33:2	high	mt	4	0.661	G0455,1100,2980,4750
LUK 1:64	PSA 109:2	high	mt	4	0.479	G0455,1100,2980,4750
LUK 1:64	SIR 51:25	med	mt	3	0.391	G0455,2980,4750
LUK 1:65	1ES 9:3	med	mt	4	0.358	G1096,2449,3650,3956
LUK 1:66	JOB 11:13	high	mt	3	0.472	G2588,5087,5495
LUK 1:66	MAL 1:1	high	mt	4	0.457	G2588,2962,5087,5495
LUK 1:66	HAG 1:7	med	mt	4	0.445	G2588,2962,3004,5087
LUK 1:68	ODA 9:68	high	mt	7	0.696	G1980,2316,2474,2962,2992,3085,4160
LUK 1:68	PSA 41:14	high	mt	4	0.461	G2128,2316,2474,2962
LUK 1:68	ODA 14:34	high	mt	3	0.455	G2128,2316,2962
LUK 1:69	ODA 9:69	high	mt	6	1.0	G1138,1453,2768,3624,3816,4991
LUK 1:69	1CH 17:4	med	mt	3	0.344	G1138,3624,3816
LUK 1:70	ODA 9:70	high	mt	5	1.0	G0040,0165,2980,4396,4750
LUK 1:70	PSA 145:21	high	mt	4	0.523	G0040,0165,2980,4750
LUK 1:70	DEU 18:18	high	mt	3	0.504	G2980,4396,4750
LUK 1:71	ODA 9:71	high	mt	5	1.0	G2190,3404,3956,4991,5495
LUK 1:71	PSA 21:9	high	mt	4	0.619	G2190,3404,3956,5495
LUK 1:71	SIR 25:14	high	mt	3	0.567	G2190,3404,3956
LUK 1:72	ODA 9:72	high	mt	5	0.703	G0040,1242,1656,3962,4160
LUK 1:72	PSA 103:18	high	mt	3	0.576	G1242,3403,4160
LUK 1:72	NUM 15:40	high	mt	3	0.552	G0040,3403,4160
LUK 1:73	ODA 9:73	high	mt	4	0.964	G0011,3660,3727,3962
LUK 1:73	GEN 26:3	high	mt	5	0.713	G0011,1325,3660,3727,3962
LUK 1:73	MIC 7:20	high	mt	4	0.56	G0011,1325,3660,3962
LUK 1:74	ODA 9:74	high	mt	3	0.728	G2190,4506,5495
LUK 1:74	PSA 31:16	high	mt	3	0.549	G2190,4506,5495
LUK 1:74	JOB 6:23	high	mt	3	0.54	G2190,4506,5495
LUK 1:75	ODA 9:75	high	mt	4	0.86	G1343,2250,3742,3956
LUK 1:76	ODA 9:76	high	mt	8	0.973	G2090,2564,2962,3598,3813,4313,4396,5310
LUK 1:77	ODA 9:77	high	mt	6	1.0	G0266,0859,1108,1325,2992,4991
LUK 1:78	ODA 9:78	high	mt	6	1.0	G0395,1656,1980,2316,4698,5311
LUK 1:79	ODA 9:79	high	mt	9	1.0	G1515,2014,2288,2521,2720,3598,4228,4639,4655
LUK 1:79	PSA 107:10	high	mt	4	0.503	G2288,2521,4639,4655
LUK 1:79	JOB 3:5	med	mt	3	0.43	G2288,4639,4655
LUK 1:80	GEN 21:20	high	mt	4	0.524	G0837,1510,2048,3813
LUK 1:80	GEN 21:8	med	mt	3	0.33	G0837,2250,3813
LUK 2:3	MIC 4:5	med	mt	3	0.334	G1538,3956,4198
LUK 2:4	JDG 1:22	med	mt	3	0.381	G0305,1510,2501
LUK 2:4	1SA 20:28	med	mt	3	0.353	G0965,1138,4172
LUK 2:4	EZR 1:3	med	mt	4	0.336	G0305,1510,2449,3624
LUK 2:6	GEN 38:27	high	mt	3	0.476	G1096,1510,5088
LUK 2:7	2SA 3:2	med	mt	4	0.362	G1510,4416,5088,5207
LUK 2:7	1CH 2:27	med	mt	3	0.31	G1510,4416,5207
LUK 2:8	NUM 18:5	med	mt	3	0.309	G1510,5438,5442
LUK 2:9	JON 1:10	med	mt	4	0.407	G2962,3173,5399,5401
LUK 2:9	ISA 33:7	med	mt	3	0.393	G0032,5399,5401
LUK 2:9	1MA 10:8	med	mt	3	0.389	G3173,5399,5401
LUK 2:10	HAG 1:13	med	mt	4	0.435	G0032,1510,2992,3004
LUK 2:10	PRO 36:6	med	mt	3	0.33	G1510,3173,5479
LUK 2:10	2KI 14:8	med	mt	3	0.323	G0032,3004,3708
LUK 2:11	PSA 28:8	med	mt	3	0.432	G1510,2962,5547
LUK 2:11	1SA 24:7	med	mt	4	0.394	G1138,1510,2962,5547
LUK 2:13	JOB 38:7	med	mt	3	0.357	G0032,0134,1096
LUK 2:13	3MA 6:18	med	mt	3	0.326	G0032,2316,3770
LUK 2:14	ODA 14:1	high	mt	3	0.616	G1391,2316,5310
LUK 2:14	PSA 97:9	med	mt	3	0.374	G1093,2316,5310
LUK 2:15	JER 11:18	med	mt	3	0.389	G1107,2962,3708
LUK 2:15	ISA 16:13	med	mt	3	0.329	G2962,2980,4487
LUK 2:15	LAM 3:50	med	mt	3	0.314	G2962,3708,3772
LUK 2:20	PSA 87:3	med	mt	3	0.438	G1392,2316,2980
LUK 2:20	PSA 62:12	med	mt	3	0.378	G0191,2316,2980
LUK 2:21	GEN 38:4	med	mt	3	0.434	G2564,3686,4815
LUK 2:21	JOS 5:3	med	mt	3	0.375	G2424,2564,4059
LUK 2:21	2KI 14:7	med	mt	4	0.358	G2250,2564,3686,4815
LUK 2:23	EXO 34:19	high	mt	3	0.502	G1272,3388,3956
LUK 2:23	EXO 13:12	high	mt	4	0.48	G1272,2962,3388,3956
LUK 2:23	NUM 8:16	high	mt	3	0.48	G1272,3388,3956
LUK 2:24	LEV 14:30	high	mt	3	0.655	G3502,4058,5167
LUK 2:24	LEV 14:22	high	mt	3	0.578	G3502,4058,5167
LUK 2:24	LEV 5:11	high	mt	4	0.543	G2201,3502,4058,5167
LUK 2:25	1MA 12:9	med	mt	3	0.36	G0040,1510,3874
LUK 2:26	PSA 28:8	med	mt	3	0.379	G1510,2962,5547
LUK 2:29	ODA 13:29	high	mt	5	1.0	G0630,1203,1401,1515,4487
LUK 2:30	ODA 13:30	high	mt	3	1.0	G3708,3788,4992
LUK 2:31	ODA 13:31	high	mt	4	1.0	G2090,2992,3956,4383
LUK 2:31	2CH 29:36	high	mt	3	0.509	G2090,2992,3956
LUK 2:32	ODA 13:32	high	mt	6	1.0	G0602,1391,1484,2474,2992,5457
LUK 2:34	JOS 4:6	med	mt	3	0.305	G2749,3004,4592
LUK 2:35	2CH 15:12	med	mt	3	0.342	G1330,2588,5590
LUK 2:40	GEN 21:20	high	mt	4	0.517	G0837,1510,2316,3813
LUK 2:40	GEN 1:22	med	mt	3	0.383	G0837,2316,4137
LUK 2:40	GEN 9:1	med	mt	3	0.366	G0837,2316,4137
LUK 2:41	2KI 23:23	high	mt	3	0.48	G2094,2419,3957
LUK 2:44	JOB 3:4	med	mt	4	0.398	G0327,1510,2064,2250
LUK 2:48	4MA 8:4	med	mt	3	0.383	G1605,3384,3708
LUK 2:48	4MA 18:6	med	mt	3	0.333	G3004,3384,5043
LUK 2:49	1SA 10:14	med	mt	3	0.349	G1492,1510,2212
LUK 3:3	PRO 14:15	med	mt	3	0.34	G2064,3341,3956
LUK 3:4	ISA 40:3	high	mt	9	0.738	G0994,2048,2090,2117,2962,3598,4160,5147,5456
LUK 3:4	ISA 38:4	med	mt	3	0.37	G2268,2962,3056
LUK 3:4	PSA 27:11	med	mt	4	0.341	G2117,2962,3598,5147
LUK 3:5	ISA 40:4	high	mt	10	0.885	G1015,1510,2117,3735,3956,4137,4646,5013,5138,5327
LUK 3:5	BAR 5:7	med	mt	5	0.4	G3735,3956,4137,5013,5327
LUK 3:5	JDT 2:8	med	mt	3	0.311	G3956,4137,5327
LUK 3:6	ISA 40:5	high	mt	5	0.835	G2316,3708,3956,4561,4992
LUK 3:6	ISA 38:11	high	mt	3	0.642	G2316,3708,4992
LUK 3:6	ODA 11:11	high	mt	3	0.576	G2316,3708,4992
LUK 3:8	ODA 12:8	med	mt	3	0.373	G0011,2316,3341
LUK 3:11	2SA 13:7	med	mt	3	0.331	G1033,3004,4160
LUK 3:15	PSA 28:8	med	mt	3	0.36	G1510,2992,5547
LUK 3:16	JOS 5:15	med	mt	5	0.386	G0040,1510,3004,3089,5266
LUK 3:16	EXO 3:5	med	mt	4	0.357	G0040,1510,3089,5266
LUK 3:16	ISA 5:27	med	mt	3	0.354	G2438,3089,5266
LUK 3:19	1KI 16:30	high	mt	3	0.534	G3956,4160,4190
LUK 3:19	1KI 16:25	high	mt	3	0.478	G3956,4160,4190
LUK 3:19	2KI 24:19	med	mt	3	0.432	G3956,4160,4190
LUK 3:21	NEH 8:5	med	mt	3	0.301	G0455,1096,2992
LUK 3:23	JOS 24:30	med	mt	3	0.344	G2094,2424,5207
LUK 3:23	JDG 1:22	med	mt	3	0.342	G1510,2501,5207
LUK 3:30	DEU 27:12	med	mt	3	0.315	G2455,2501,4826
LUK 3:32	1CH 2:12	high	mt	3	0.671	G1003,2421,5601
LUK 3:34	GEN 31:53	high	mt	4	0.604	G0011,2384,2464,3493
LUK 3:34	JOS 24:2	high	mt	3	0.568	G0011,2291,3493
LUK 3:34	LEV 26:42	high	mt	3	0.462	G0011,2384,2464
LUK 3:35	1CH 1:25	high	mt	3	0.857	G1443,4466,5317
LUK 3:36	GEN 10:22	high	mt	3	0.681	G0742,2536,4590
LUK 3:37	1CH 1:2	high	mt	3	0.786	G2391,2536,3121
LUK 3:38	1CH 1:1	high	mt	3	0.987	G0076,1800,4589
LUK 3:38	GEN 4:26	high	mt	3	0.621	G1800,2316,4589
LUK 4:1	EZK 36:38	med	mt	3	0.338	G0040,2048,4134
LUK 4:3	JOB 1:6	high	mt	3	0.499	G1096,1228,2316
LUK 4:3	JOB 2:1	high	mt	3	0.476	G1096,1228,2316
LUK 4:3	JOS 4:21	med	mt	4	0.377	G1510,3004,3037,5207
LUK 4:4	NUM 14:38	high	mt	3	0.489	G0444,2198,2424
LUK 4:4	DEU 8:3	med	mt	4	0.343	G0444,0740,2198,3441
LUK 4:6	1MA 10:6	med	mt	3	0.338	G1325,1849,3860
LUK 4:7	2SA 16:4	high	mt	3	0.512	G1510,3956,4352
LUK 4:8	JOS 24:21	high	mt	3	0.535	G2424,2962,3000
LUK 4:8	JOS 24:24	high	mt	3	0.453	G2424,2962,3000
LUK 4:8	JOS 24:16	med	mt	4	0.431	G0611,2316,2962,3000
LUK 4:9	1MA 13:52	med	mt	3	0.4	G0071,2411,2476
LUK 4:10	PSA 91:11	high	mt	3	0.822	G0032,1314,1781
LUK 4:11	PSA 91:12	high	mt	5	1.0	G0142,3037,4228,4350,5495
LUK 4:11	JOS 4:9	med	mt	3	0.388	G0142,3037,4228
LUK 4:12	DEU 6:16	high	mt	3	0.53	G1598,2316,2962
LUK 4:12	JOS 7:20	med	mt	4	0.439	G0611,2316,2424,2962
LUK 4:12	JOS 4:15	med	mt	3	0.422	G2424,2962,3004
LUK 4:15	LEV 10:3	med	mt	3	0.407	G1392,3956,4864
LUK 4:17	2CH 32:32	med	mt	4	0.396	G0975,1125,2268,4396
LUK 4:17	NEH 8:5	med	mt	3	0.39	G0455,0975,1510
LUK 4:18	ISA 61:1	high	mt	11	0.879	G0164,0309,0649,0859,2097,2784,2962,4151,4434,5185,5548
LUK 4:19	ISA 61:2	high	mt	3	0.457	G1184,1763,2962
LUK 4:22	2CH 28:10	med	mt	4	0.386	G1510,3004,3140,5207
LUK 4:22	1MA 2:37	med	mt	3	0.341	G3004,3140,3956
LUK 4:23	EZK 18:3	med	mt	3	0.395	G1096,3004,3850
LUK 4:25	1MA 9:24	med	mt	4	0.345	G1096,2250,3042,3173
LUK 4:25	MAL 3:22	med	mt	3	0.345	G2243,2250,3173
LUK 4:25	JDT 8:4	med	mt	4	0.344	G1510,2094,3376,5140
LUK 4:26	1KI 17:9	high	mt	4	0.682	G1135,4558,4606,5503
LUK 4:26	1KI 17:10	med	mt	3	0.337	G1135,4558,5503
LUK 4:28	JER 6:11	med	mt	3	0.416	G2372,4130,4864
LUK 4:33	EZK 9:1	med	mt	4	0.414	G0349,2192,3173,5456
LUK 4:33	1SA 4:5	med	mt	3	0.376	G0349,3173,5456
LUK 4:33	1MA 2:27	med	mt	3	0.352	G0349,3173,5456
LUK 4:34	LEV 20:7	med	mt	3	0.426	G0040,1510,2316
LUK 4:34	2SA 14:32	med	mt	3	0.353	G1492,1510,2064
LUK 4:36	ZEC 7:4	med	mt	4	0.336	G1096,1411,3004,3056
LUK 4:40	1KI 22:36	med	mt	3	0.406	G1416,1538,2246
LUK 4:40	JDG 19:14	med	mt	3	0.355	G1416,2192,2246
LUK 4:42	DEU 11:5	med	mt	3	0.378	G2048,2064,5117
LUK 4:42	DEU 1:31	med	mt	4	0.377	G2048,2064,4198,5117
LUK 4:42	HOS 5:15	med	mt	3	0.37	G1934,4198,5117
LUK 5:8	JOS 4:15	med	mt	3	0.35	G2424,2962,3004
LUK 5:8	1ES 8:8	med	mt	3	0.346	G1510,2962,4363
LUK 5:8	JOS 7:2	med	mt	4	0.326	G0435,1510,2424,3004
LUK 5:11	EZK 27:29	med	mt	3	0.381	G1093,3956,4143
LUK 5:12	DEU 3:23	med	mt	3	0.381	G1189,2962,3004
LUK 5:12	LEV 14:7	med	mt	3	0.361	G1510,2511,3014
LUK 5:12	JOS 7:10	med	mt	4	0.347	G2424,2962,4098,4383
LUK 5:13	JER 1:9	high	mt	3	0.451	G0680,1614,5495
LUK 5:13	SIR 15:16	med	mt	3	0.382	G1614,2309,5495
LUK 5:17	2KI 15:29	med	mt	4	0.355	G1056,2064,2250,3956
LUK 5:17	NEH 2:11	med	mt	4	0.344	G1510,2064,2250,2419
LUK 5:17	1SA 27:6	med	mt	3	0.341	G1096,2250,2449
LUK 5:18	GEN 19:11	med	mt	4	0.426	G0435,1510,2212,3886
LUK 5:18	2CH 31:6	med	mt	3	0.345	G1533,5087,5342
LUK 5:18	ISA 41:12	med	mt	3	0.327	G0444,1510,2212
LUK 5:20	PSA 25:18	med	mt	3	0.441	G0266,0863,3708
LUK 5:21	1ES 4:7	med	mt	4	0.405	G0863,1510,3004,3441
LUK 5:21	DEU 1:9	med	mt	3	0.327	G1410,3004,3441
LUK 5:23	PRO 6:22	med	mt	3	0.367	G1453,1510,4043
LUK 5:24	SIR 10:4	med	mt	3	0.362	G1093,1453,1849
LUK 5:24	PSS 17:27	med	mt	4	0.303	G0444,0863,1492,5207
LUK 5:26	WIS 5:2	med	mt	3	0.449	G3708,3861,5401
LUK 5:31	TOB 10:6	med	mt	3	0.432	G2192,3004,5198
LUK 5:31	DAN 3:16	med	mt	3	0.427	G0611,2192,5532
LUK 5:32	ODA 12:8	high	mt	3	0.628	G0268,1342,3341
LUK 5:33	2SA 12:21	med	mt	4	0.315	G2068,3522,4095,4160
LUK 5:35	JDG 20:26	med	mt	3	0.332	G2064,2250,3522
LUK 5:37	JOS 9:4	med	mt	3	0.426	G0779,3631,3820
LUK 5:37	JOS 9:13	med	mt	3	0.375	G0779,3631,4486
LUK 5:38	JOS 9:13	high	mt	3	0.53	G0779,2537,3631
LUK 5:39	GEN 39:8	med	mt	3	0.319	G1510,2309,3762
LUK 6:2	4MA 1:12	high	mt	3	0.509	G1832,3004,4160
LUK 6:3	JOS 7:20	med	mt	3	0.433	G0611,2424,4160
LUK 6:3	JOS 1:16	med	mt	3	0.358	G0611,2424,4160
LUK 6:3	JER 11:6	med	mt	3	0.355	G0314,3004,4160
LUK 6:4	1SA 21:7	high	mt	5	0.474	G0740,1325,2409,2983,4286
LUK 6:4	2CH 4:19	med	mt	3	0.378	G0740,3624,4286
LUK 6:4	1KI 13:8	med	mt	6	0.363	G0740,1325,1525,2316,3624,5315
LUK 6:5	LEV 19:30	high	mt	3	0.513	G1510,2962,4521
LUK 6:5	LEV 26:2	high	mt	3	0.513	G1510,2962,4521
LUK 6:5	EXO 16:25	high	mt	3	0.498	G1510,2962,4521
LUK 6:6	GEN 1:9	med	mt	3	0.401	G1096,3584,4864
LUK 6:6	EXO 14:22	med	mt	3	0.376	G1188,1525,3584
LUK 6:6	PSA 95:5	med	mt	3	0.336	G1510,3584,5495
LUK 6:10	1MA 6:25	med	mt	3	0.398	G1614,3956,5495
LUK 6:10	EXO 14:26	med	mt	3	0.398	G0600,1614,5495
LUK 6:10	EXO 14:27	med	mt	3	0.371	G0600,1614,5495
LUK 6:12	DAN 9:20	med	mt	4	0.397	G2316,3735,4335,4336
LUK 6:12	2CH 6:19	med	mt	3	0.337	G2316,4335,4336
LUK 6:12	1KI 8:29	med	mt	4	0.332	G1510,2250,4335,4336
LUK 6:17	JER 32:22	high	mt	3	0.451	G3956,4605,5184
LUK 6:17	JDT 2:28	med	mt	4	0.424	G3882,3956,4605,5184
LUK 6:17	2CH 1:15	med	mt	4	0.357	G2419,2449,3977,4128
LUK 6:18	EXO 15:26	med	mt	3	0.319	G0191,2390,3554
LUK 6:19	JOB 1:12	med	mt	3	0.313	G0680,1831,3956
LUK 6:20	AMO 6:2	med	mt	3	0.39	G0932,1510,5212
LUK 6:22	SIR 7:26	med	mt	3	0.449	G1510,1544,3404
LUK 6:22	NEH 6:13	med	mt	3	0.37	G3679,3686,4190
LUK 6:26	JER 33:16	high	mt	3	0.552	G0444,3956,5578
