hebrew_strong	greek_strong	count
H2530	G1937	3
H2534	G2372	27
H2534	G3709	7
H2534	G2962	4
H2534	G3962	3
H2537	G2408	3
H2543	G3688	23
H2543	G3956	3
H2544	G71689	6
H2545	G3994	4
H2549	G3991	14
H2549	G3376	6
H2550	G5339	10
H2550	G1653	3
H2552	G2328	3
H2555	G0763	4
H2555	G0435	3
H2555	G5004	3
H2563	G4081	4
H2568	G4001	26
H2568	G4083	23
H2568	G2094	21
H2568	G5207	19
H2572	G4083	10
H2572	G4160	6
H2572	G5064	6
H2572	G0435	6
H2573	G0779	3
H2574	G2316	3
H2574	G3725	3
H2580	G5485	12
H2580	G3788	5
H2580	G2147	3
H2580	G2962	3
H2583	G3924	69
H2583	G2474	9
H2583	G2945	3
H2585	G1802	3
H2586	G5207	3
H2587	G2962	3
H2595	G0935	3
H2595	G3586	3
H2595	G0615	3
H2598	G2379	3
H2600	G1432	3
H2600	G2962	3
H2600	G3004	3
H2603	G1653	10
H2603	G2962	5
H2603	G2316	4
H2603	G5056	4
H2605	G5207	6
H2608	G0367	10
H2617	G1656	21
H2617	G2962	8
H2617	G4160	7
H2617	G0225	5
H2623	G3741	3
H2638	G1729	3
H2654	G2309	7
H2654	G2962	4
H2654	G1392	4
H2654	G1014	4
H2656	G3956	4
H2656	G2307	3
H2658	G3736	5
H2660	G5207	3
H2664	G1830	4
H2670	G1658	4
H2671	G0956	7
H2673	G1244	5
H2674	G0935	3
H2677	G2255	24
H2677	G3128	8
H2677	G4083	5
H2677	G1045	5
H2682	G5528	3
H2689	G4536	9
H2689	G3956	3
H2691	G0833	33
H2691	G2968	17
H2691	G1886	10
H2691	G1857	7
H2696	G5329	3
H2706	G1345	11
H2706	G2474	6
H2706	G2917	5
H2706	G2962	4
H2708	G4198	10
H2708	G0166	8
H2708	G3551	7
H2708	G4160	6
H2715	G0758	3
H2717	G2049	5
H2719	G4501	43
H2719	G3162	41
H2719	G2962	11
H2719	G4098	10
H2722	G3735	4
H2723	G2048	8
H2729	G1839	9
H2729	G1510	5
H2729	G1629	4
H2734	G2373	11
H2734	G3710	11
H2734	G2962	7
H2734	G3709	7
H2735	G3735	3
H2740	G2372	6
H2740	G2962	5
H2740	G2474	3
H2740	G3709	3
H2750	G2372	3
H2763	G1842	6
H2763	G4160	4
H2763	G4172	3
H2764	G0331	5
H2764	G3956	3
H2766	G5207	6
H2771	G5488	4
H2778	G3679	6
H2781	G3680	8
H2781	G3681	5
H2781	G0191	3
H2789	G2198	3
H2790	G2588	3
H2795	G2974	4
H2796	G5045	6
H2796	G4160	3
H2803	G3049	17
H2803	G4160	6
H2803	G2041	3
H2803	G4817	3
H2809	G2730	4
H2809	G3956	3
H2811	G5207	4
H2811	G0080	3
H2814	G4623	3
H2820	G5339	7
H2821	G1093	3
H2822	G4655	20
H2822	G1105	4
H2822	G1510	4
H2822	G5087	3
H2828	G5207	3
H2833	G4158	3
H2845	G5207	5
H2850	G5478	9
H2850	G3774	4
H2850	G1510	3
H2851	G2222	3
H2856	G4972	4
H2859	G3475	7
H2859	G1918	3
H2860	G3566	3
H2865	G4422	4
H2865	G2962	4
H2865	G2274	4
H2865	G1510	3
H2881	G0911	4
H2885	G1146	9
H2889	G2513	18
H2889	G1510	8
H2889	G5553	4
H2889	G2934	3
H2891	G2511	23
H2891	G1510	13
H2891	G2409	4
H2891	G2962	3
H2893	G2511	3
H2896	G0018	98
H2896	G2570	37
H2896	G2962	20
H2896	G1510	16
H2898	G0018	6
H2900	G2064	3
H2902	G0218	4
H2905	G1520	3
H2919	G3772	4
H2930	G3392	39
H2930	G1510	25
H2930	G2073	13
H2930	G0169	9
H2931	G0169	29
H2931	G1510	17
H2931	G0167	3
H2931	G5590	3
H2932	G0167	14
H2934	G2928	5
H2938	G1089	3
H2942	G1106	6
H2945	G3956	5
H2945	G5043	3
H2945	G1135	3
H2962	G1510	4
H2962	G2962	4
H2974	G0757	5
H2975	G4215	14
H2975	G1510	4
H2975	G0305	3
H2975	G4160	3
H2977	G2502	10
H2977	G5207	6
H2977	G0935	5
H2977	G2962	3
H2983	G5478	8
H2983	G0257	6
H2983	G1093	3
H2983	G2730	3
H2999	G5207	3
H3001	G3583	13
H3027	G5495	370
H3027	G2962	55
H3027	G0935	35
H3027	G3956	27
H3028	G5495	3
H3034	G2962	8
H3034	G1843	6
H3034	G2316	6
H3034	G0266	3
H3038	G5207	6
H3039	G0025	3
H3045	G1097	152
H3045	G2962	57
H3045	G73479	45
H3045	G1510	22
H3046	G1213	6
H3046	G0935	4
H3046	G1107	4
H3046	G1110	3
H3048	G5207	3
H3050	G1656	3
H3050	G1843	3
H3050	G0134	3
H3050	G2197	3
H3051	G1325	7
H3052	G1325	9
H3058	G5207	4
H3059	G2094	4
H3059	G5207	3
H3060	G2474	3
H3062	G2453	3
H3063	G2448	161
H3063	G2455	40
H3063	G0935	32
H3063	G2419	31
H3064	G2453	12
H3064	G0935	3
H3068	G2962	1737
H3068	G2316	380
H3068	G2036	207
H3068	G2980	136
H3076	G72471	3
H3077	G0935	6
H3077	G5207	4
H3077	G2409	4
H3077	G0599	3
H3079	G2094	3
H3079	G2448	3
H3083	G5207	11
H3083	G2036	9
H3083	G4549	5
H3088	G2496	4
H3088	G5207	4
H3088	G0935	3
H3091	G2424	68
H3091	G2036	16
H3091	G2474	7
H3091	G4160	5
H3092	G2498	23
H3092	G0935	6
H3092	G2036	6
H3092	G5207	5
H3097	G5207	13
H3097	G2036	11
H3097	G3956	10
H3097	G0935	6
H3098	G5207	3
H3100	G2493	9
H3100	G5207	3
H3101	G5207	7
H3101	G0935	5
H3101	G2474	5
H3103	G5207	4
H3104	G0859	7
H3110	G72471	3
H3110	G5207	3
H3117	G2250	685
H3117	G1510	83
H3117	G2962	71
H3117	G1096	57
H3119	G3571	9
H3119	G2250	5
H3123	G4058	5
H3123	G2374	3
H3124	G2495	7
H3129	G5207	9
H3129	G4549	4
H3129	G4632	3
H3129	G0599	3
H3130	G2501	73
H3130	G2036	13
H3130	G5207	12
H3130	G1510	5
H3141	G2496	6
H3147	G5207	6
H3147	G2488	4
H3157	G2474	3
H3157	G2403	3
H3159	G1135	3
H3162	G2962	5
H3162	G0297	3
H3162	G1510	3
H3162	G4863	3
H3171	G5207	3
H3173	G0027	3
H3176	G5278	4
H3187	G3956	5
H3189	G5207	3
H3190	G4160	11
H3190	G0700	9
H3190	G1510	6
H3190	G2588	5
H3196	G3631	50
H3196	G4095	4
H3196	G3956	4
H3196	G1510	3
H3198	G1651	15
H3199	G5207	3
H3201	G1410	39
H3201	G1510	6
H3201	G2962	5
H3201	G5342	4
H3205	G1080	101
H3205	G5088	88
H3205	G5207	36
H3205	G2364	20
H3206	G3808	12
H3206	G3813	8
H3206	G1510	3
H3213	G3649	8
H3218	G2719	3
H3220	G2281	72
H3220	G1520	15
H3220	G5204	10
H3220	G0395	10
H3225	G1188	27
H3225	G0710	13
H3225	G2176	4
H3225	G2776	3
H3226	G4549	3
H3233	G1188	12
H3233	G0206	7
H3233	G0129	3
H3238	G2346	3
H3238	G2616	3
H3240	G0659	6
H3240	G5087	5
H3240	G2962	4
H3240	G0863	4
H3243	G2337	8
H3245	G2311	6
H3247	G2379	4
H3247	G2310	3
H3254	G4369	74
H3254	G2962	5
H3254	G3056	4
H3254	G1093	3
H3256	G3811	11
H3256	G4651	5
H3259	G1510	3
H3259	G1097	3
H3276	G5623	6
H3282	G1096	7
H3282	G2962	6
H3282	G2036	4
H3282	G3004	3
H3289	G1011	17
H3289	G4823	9
H3289	G3056	3
H3290	G2384	81
H3290	G2036	18
H3290	G5207	13
H3290	G2474	12
H3293	G3624	3
H3303	G2570	10
H3303	G1510	5
H3312	G5207	4
H3312	G2424	3
H3315	G4590	3
H3315	G5207	3
H3316	G2422	6
H3316	G2036	5
H3318	G1831	211
H3318	G1806	54
H3318	G0125	36
H3318	G1607	27
H3320	G2476	4
H3320	G2316	4
H3320	G3708	3
H3320	G0436	3
H3323	G1637	5
H3323	G3631	4
H3324	G5207	4
H3327	G2464	34
H3327	G2384	7
H3327	G5207	4
H3327	G1325	4
H3332	G2022	8
H3334	G2346	3
H3335	G4111	9
H3335	G4160	6
H3335	G4632	3
H3335	G2763	3
H3342	G3025	5
H3345	G2545	3
H3366	G1392	5
H3368	G1510	4
H3368	G5093	4
H3372	G5399	70
H3372	G2316	12
H3372	G2962	12
H3372	G1510	11
H3373	G0435	4
H3373	G5399	3
H3374	G5401	10
H3374	G2962	5
H3374	G1510	3
H3379	G5207	15
H3379	G2474	12
H3379	G0125	3
H3379	G3319	3
H3381	G2597	109
H3381	G2609	12
H3381	G3735	6
H3381	G1093	5
H3383	G2446	48
H3383	G0395	8
H3383	G2962	8
H3383	G3956	6
H3384	G1093	3
H3384	G0312	3
H3389	G2419	194
H3389	G2962	14
H3389	G0935	11
H3389	G4172	11
H3390	G2419	4
H3391	G3376	4
H3394	G2246	4
H3395	G5207	6
H3405	G2410	18
H3405	G0935	4
H3405	G3004	3
H3406	G5207	4
H3407	G4160	7
H3407	G4633	6
H3407	G1510	4
H3407	G1520	3
H3409	G3382	5
H3409	G1005	3
H3411	G1093	3
H3414	G2408	11
H3414	G2036	8
H3414	G1510	6
H3414	G3956	5
H3423	G2816	31
H3423	G1093	19
H3423	G1842	12
H3423	G1808	12
H3425	G2819	3
H3426	G1510	44
H3426	G5495	5
H3426	G2962	3
H3426	G2474	3
H3427	G2730	158
H3427	G2523	56
H3427	G1093	36
H3427	G2521	29
H3442	G2424	10
H3442	G5207	6
H3442	G3019	3
H3444	G4991	11
H3444	G2316	4
H3448	G2421	12
H3448	G2564	3
H3458	G5207	8
H3458	G3814	3
H3467	G4982	46
H3467	G5495	9
H3467	G2962	9
H3467	G2474	6
H3468	G4990	4
H3469	G5207	3
H3470	G2268	11
H3470	G5207	6
H3470	G2036	5
H3474	G3788	3
H3477	G4160	13
H3477	G2962	6
H3477	G2316	5
H3477	G1510	3
H3478	G2474	779
H3478	G5207	151
H3478	G2962	72
H3478	G3956	60
H3479	G2474	4
H3485	G72457	12
H3485	G5443	5
H3485	G5207	4
H3485	G2194	4
H3490	G3737	9
H3498	G2641	22
H3498	G5275	9
H3498	G4053	4
H3498	G3956	3
H3499	G3062	40
H3499	G2645	5
H3499	G2641	4
H3504	G4050	6
H3508	G4014	5
H3513	G0925	11
H3513	G1510	7
H3513	G5091	7
H3513	G1392	5
H3515	G1510	3
H3516	G4014	5
H3518	G4570	9
H3519	G1391	37
H3519	G2962	18
H3519	G4149	7
H3519	G2316	6
H3526	G4150	14
H3526	G2440	6
H3526	G1510	6
H3526	G5204	5
H3532	G0299	18
H3532	G1520	18
H3532	G0286	15
H3532	G5207	11
H3537	G5201	6
H3541	G3004	235
H3541	G2036	48
H3541	G2962	41
H3541	G2046	16
H3547	G2407	8
H3548	G2409	203
H3548	G2962	26
H3548	G3708	19
H3548	G1510	17
H3550	G2405	4
H3556	G3772	6
H3556	G0792	3
H3559	G2090	35
H3559	G2092	6
H3559	G2316	5
H3559	G2474	5
H3563	G4221	3
H3566	G0935	5
H3567	G0935	4
H3568	G0128	3
H3569	G0128	4
H3573	G5495	3
H3581	G2479	21
H3581	G1510	4
H3581	G2962	4
H3581	G3956	3
H3588	G1510	275
H3588	G2962	232
H3588	G2316	103
H3588	G3956	82
H3595	G4160	3
H3595	G2094	3
H3602	G4160	4
H3602	G2036	3
H3603	G5553	11
H3603	G5007	7
H3603	G0694	5
H3603	G4066	3
H3605	G3956	1166
H3605	G1510	110
H3605	G1093	100
H3605	G2474	96
H3606	G3956	11
H3606	G0935	8
H3606	G1093	6
H3606	G1504	3
H3608	G5438	3
H3611	G2965	5
H3611	G1411	3
H3612	G5207	12
H3612	G2036	3
H3615	G4931	41
H3615	G1096	9
H3615	G3973	8
H3615	G1510	6
H3617	G4930	4
H3618	G3565	11
H3618	G0079	3
H3627	G4632	57
H3627	G3956	19
H3627	G3624	10
H3627	G1510	10
H3629	G3510	9
H3629	G4014	5
H3635	G2675	3
H3637	G2250	3
H3639	G3681	3
H3644	G1510	10
H3644	G3664	8
H3644	G3956	5
H3644	G0935	4
H3651	G4160	62
H3651	G3004	53
H3651	G1510	26
H3651	G2036	23
H3653	G0939	3
H3658	G2788	6
H3658	G5456	3
H3658	G2962	3
H3665	G5013	7
H3665	G1788	5
H3665	G4383	3
H3667	G5477	37
H3667	G1093	7
H3667	G1510	3
H3667	G5207	3
H3669	G5478	26
H3669	G1093	4
H3669	G0191	3
H3669	G5411	3
H3671	G4420	27
H3671	G4419	5
H3671	G0680	3
H3671	G1520	3
H3678	G2362	31
H3678	G0935	8
H3678	G2474	6
H3678	G1138	5
H3680	G2572	26
H3680	G4016	9
H3680	G1510	4
H3680	G3956	4
H3684	G0878	8
H3684	G2588	6
H3684	G4750	3
H3689	G4014	5
H3701	G0694	67
H3701	G5553	23
H3701	G5552	14
H3701	G0040	12
H3702	G3624	3
H3707	G3949	8
H3707	G3152	3
H3708	G3709	5
H3709	G5495	35
H3709	G1520	13
H3709	G4228	8
H3709	G2962	6
H3713	G1538	4
H3713	G5552	3
H3715	G3023	4
H3722	G2409	11
H3722	G2962	9
H3722	G0266	6
H3722	G0863	5
H3724	G3083	4
H3727	G2435	5
H3727	G0939	3
H3730	G3087	3
H3742	G5502	27
H3742	G4420	5
H3742	G1510	4
H3742	G0939	3
H3754	G0290	23
H3754	G3956	4
H3754	G2590	3
H3754	G0288	3
H3759	G3049	4
H3766	G4098	4
H3766	G1119	3
H3767	G4228	3
H3772	G1303	22
H3772	G1842	20
H3772	G3956	14
H3772	G1242	11
H3775	G4263	4
H3778	G5466	12
H3778	G0897	3
H3778	G1510	3
H3778	G4172	3
H3782	G0770	7
H3782	G2962	4
H3782	G2250	3
H3782	G2872	3
H3784	G5333	4
H3789	G1125	55
H3789	G0975	21
H3789	G3056	10
H3789	G2474	8
H3801	G5509	10
H3801	G4164	3
H3801	G2409	3
H3802	G0142	3
H3802	G1005	3
H3802	G3577	3
H3802	G5606	3
H3805	G5470	3
H3805	G4769	3
H3808	G1510	194
H3808	G2962	166
H3808	G4160	106
H3808	G2036	63
H3809	G4352	7
H3809	G0228	3
H3810	G5207	6
H3812	G2036	4
H3812	G5088	4
H3812	G4815	3
H3812	G4478	3
H3816	G2992	7
H3816	G0758	3
H3816	G1484	3
H3820	G2588	133
H3820	G3956	15
H3820	G2962	12
H3820	G4160	10
H3824	G2588	54
H3824	G5590	10
H3824	G2962	8
H3824	G3956	6
H3828	G1510	3
H3828	G3030	3
H3830	G1742	3
H3833	G3023	5
H3836	G3022	9
H3836	G1510	4
H3837	G2036	8
H3837	G3384	3
H3841	G2474	3
H3841	G0935	3
H3841	G2408	3
H3844	G3956	5
H3844	G3624	3
H3847	G1746	24
H3847	G4749	4
H3863	G0599	3
H3867	G1155	3
H3871	G3035	6
H3871	G4109	6
H3876	G3091	13
H3877	G5207	4
H3878	G3017	25
H3878	G5207	9
H3878	G4826	4
H3881	G3019	97
H3881	G2409	20
H3881	G5207	11
H3881	G2962	7
H3885	G0835	13
H3885	G1234	5
H3885	G2647	4
H3885	G1111	3
H3895	G4600	3
H3898	G4170	27
H3898	G2474	12
H3898	G0935	7
H3898	G2962	6
H3899	G0740	55
H3899	G5315	10
H3899	G1510	8
H3899	G2068	7
H3905	G2346	5
H3915	G3571	59
H3915	G2250	7
H3915	G2962	7
H3915	G1096	5
H3920	G2638	9
H3920	G2983	6
H3920	G4815	6
H3920	G4172	5
H3923	G0935	3
H3923	G2289	3
H3924	G4160	3
H3925	G1321	8
H3925	G3129	4
H3929	G2984	4
H3932	G2606	4
H3936	G5207	3
H3940	G4442	3
H3940	G2985	3
H3947	G2983	377
H3947	G1135	25
H3947	G5495	14
H3947	G1093	11
H3950	G4816	11
H3956	G1100	19
H3956	G1510	6
H3956	G5561	3
H3956	G3956	3
H3957	G2409	3
H3957	G0897	3
H3957	G0991	3
H3966	G4183	17
H3966	G3173	12
H3966	G2962	12
H3966	G1510	10
H3967	G1250	37
H3967	G1812	32
H3967	G5207	27
H3967	G4001	27
H3971	G1510	3
H3972	G3762	7
H3976	G2218	5
H3978	G1033	4
H3978	G1035	3
H3984	G4632	4
H3985	G2309	4
H3985	G1994	3
H3988	G0683	8
H3988	G2316	4
H3988	G2962	4
H3988	G0593	3
H3996	G1529	4
H3999	G2627	8
H4013	G4172	7
H4013	G1510	3
H4026	G4444	16
H4026	G3618	3
H4031	G3098	3
H4043	G2375	4
H4043	G0785	3
H4046	G2992	4
H4046	G2962	3
H4046	G4127	3
H4046	G4431	3
H4054	G4172	24
H4054	G0873	24
H4054	G5140	4
H4057	G2048	88
H4057	G1093	5
H4057	G1510	4
H4057	G2474	4
H4058	G4114	4
H4058	G3354	3
H4058	G3358	3
H4060	G3358	14
H4060	G1520	3
H4060	G2945	3
H4069	G2064	3
H4069	G2962	3
H4069	G2992	3
H4080	G3099	19
H4080	G5207	4
H4082	G5561	11
H4082	G0935	5
H4082	G0932	5
H4082	G3956	5
H4100	G4160	51
H4100	G1510	40
H4100	G2036	34
H4100	G2962	26
H4116	G4692	12
H4116	G4160	3
H4124	G3725	6
H4124	G2410	6
H4124	G1093	5
H4124	G0935	5
H4134	G0080	3
H4135	G4059	9
H4135	G3956	4
H4135	G4561	4
H4138	G3962	3
H4138	G3968	3
H4146	G1093	3
H4147	G1199	3
H4148	G3809	9
H4150	G3142	61
H4150	G4633	10
H4150	G2962	10
H4150	G1859	10
H4159	G5059	7
H4159	G4592	5
H4161	G1841	3
H4162	G1080	5
H4171	G1510	3
H4186	G2733	9
H4186	G2515	3
H4186	G2962	3
H4187	G5207	4
H4191	G0599	199
H4191	G2289	50
H4191	G5053	32
H4191	G2288	24
H4194	G2288	25
H4194	G0599	13
H4194	G5054	7
H4194	G3173	3
H4196	G2379	114
H4196	G2962	22
H4196	G2945	14
H4196	G1510	10
H4210	G5568	6
H4210	G1138	3
H4210	G5056	3
H4217	G0395	23
H4217	G2246	10
H4219	G0693	11
H4219	G3956	3
H4229	G1813	6
H4249	G5207	6
H4256	G5505	10
H4256	G1243	6
H4256	G2183	6
H4261	G2364	3
H4264	G3925	57
H4264	G5001	8
H4264	G3956	6
H4264	G3319	4
H4276	G2255	3
H4279	G2962	6
H4279	G1510	3
H4283	G1096	10
H4284	G3053	5
H4284	G2962	3
H4284	G1261	3
H4289	G1538	4
H4294	G5443	78
H4294	G4464	9
H4294	G5207	6
H4294	G5495	5
H4296	G2825	7
H4306	G5205	9
H4306	G1093	3
H4306	G1325	3
H4306	G4160	3
H4310	G1510	35
H4310	G2036	22
H4310	G2962	10
H4310	G1325	9
H4317	G3413	5
H4318	G5207	6
H4318	G3624	3
H4321	G2036	6
H4324	G2364	5
H4325	G5204	132
H4325	G1510	22
H4325	G4095	21
H4325	G3956	10
H4327	G3664	10
H4327	G1085	6
H4327	G3956	3
H4334	G3956	3
H4347	G4127	7
H4347	G3173	4
H4347	G2474	3
H4347	G3960	3
H4349	G2092	5
H4350	G4160	4
H4350	G4769	3
H4350	G3624	3
H4353	G5207	6
H4353	G1218	3
H4353	G3128	3
H4371	G2962	3
H4372	G5191	4
H4376	G0591	10
H4376	G4097	7
H4376	G0694	4
H4376	G5207	3
H4390	G1705	18
H4390	G4130	15
H4390	G4137	14
H4390	G2962	9
H4392	G2378	12
H4392	G2368	12
H4392	G4134	3
H4393	G1093	3
H4394	G3037	3
H4397	G0032	55
H4397	G2962	15
H4397	G2036	7
H4397	G0649	6
H4399	G2041	41
H4399	G3956	13
H4399	G4160	11
H4399	G2962	10
H4405	G3056	8
H4405	G4487	6
H4405	G2980	4
H4410	G0932	4
H4417	G0251	4
H4417	G0217	3
H4421	G4171	65
H4421	G4170	10
H4421	G2992	7
H4421	G2474	7
H4422	G4982	13
H4422	G1295	11
H4422	G5590	5
H4422	G5207	4
H4427	G0936	90
H4427	G2094	30
H4427	G5207	28
H4427	G3686	14
H4428	G0935	604
H4428	G2036	96
H4428	G2474	77
H4428	G2448	54
H4430	G0935	50
H4430	G2036	5
H4430	G3956	4
H4430	G0611	4
H4436	G0938	9
H4436	G0935	5
H4437	G0932	10
H4437	G0935	4
H4438	G0932	15
H4438	G0935	7
H4438	G3956	4
H4441	G5207	6
H4444	G4549	4
H4444	G0284	4
H4455	G4661	3
H4456	G3797	3
H4467	G0932	26
H4467	G1093	7
H4467	G1325	5
H4467	G5495	5
H4478	G3131	3
H4480	G2962	34
H4480	G1510	33
H4480	G1093	28
H4480	G5207	28
H4481	G0935	7
H4481	G1510	5
H4481	G5087	4
H4481	G0932	4
H4487	G4690	3
H4490	G3310	4
H4495	G2036	4
H4501	G3087	13
H4501	G3088	8
H4503	G2378	67
H4503	G1435	15
H4503	G2962	14
H4503	G3956	10
H4514	G2374	3
H4519	G3128	34
H4519	G5207	16
H4519	G5443	8
H4519	G1218	5
H4522	G5411	5
H4539	G4160	3
H4541	G4160	4
H4541	G2316	3
H4542	G3993	3
H4543	G4172	3
H4546	G1102	3
H4546	G3598	3
H4557	G0706	45
H4557	G3965	8
H4557	G2474	6
H4557	G1096	5
H4578	G2836	7
H4581	G2479	4
H4592	G3641	16
H4592	G3398	12
H4592	G5204	4
H4592	G4183	3
H4601	G2364	4
H4601	G5088	3
H4603	G2962	6
H4605	G3956	10
H4605	G1093	7
H4605	G2962	5
H4605	G1510	5
H4608	G5404	3
H4609	G5603	14
H4609	G0898	6
H4609	G0304	5
H4609	G5404	4
H4611	G4190	3
H4611	G4160	3
H4616	G2962	12
H4616	G3956	11
H4616	G4160	10
H4616	G1093	7
H4631	G4693	10
H4631	G0068	3
H4639	G2041	30
H4639	G4160	9
H4639	G4161	8
H4639	G2962	7
H4641	G5207	3
H4643	G3956	3
H4643	G2474	3
H4648	G5207	4
H4656	G2748	3
H4658	G4431	4
H4672	G2147	117
H4672	G2962	12
H4672	G3956	8
H4672	G5485	7
H4682	G0106	19
H4682	G2068	6
H4682	G1637	4
H4686	G4042	5
H4687	G1785	29
H4687	G5442	11
H4687	G1781	11
H4687	G2962	9
H4692	G4172	5
H4692	G2419	3
H4709	G2962	3
H4713	G0125	195
H4713	G0124	46
H4713	G1093	30
H4713	G1510	20
H4720	G0040	14
H4720	G2962	4
H4720	G0037	3
H4720	G0165	3
H4723	G5281	3
H4725	G5117	103
H4725	G1510	16
H4725	G2962	11
H4725	G3686	10
H4726	G4077	5
H4731	G4464	6
H4733	G0873	3
H4735	G2934	21
H4735	G3956	4
H4735	G1510	4
H4735	G5224	3
H4736	G1510	3
H4744	G4413	4
H4744	G2822	4
H4744	G0040	4
H4751	G71642	5
H4751	G5590	4
H4751	G4089	3
H4758	G3706	12
H4758	G1491	8
H4758	G3799	7
H4758	G1510	6
H4763	G2776	3
H4772	G4228	3
H4775	G2962	4
H4775	G0868	3
H4782	G0518	3
H4782	G2373	3
H4782	G3956	3
H4782	G2453	3
H4784	G0544	3
H4784	G2962	3
H4791	G5311	6
H4791	G5310	5
H4791	G5308	4
H4791	G1093	3
H4801	G1093	3
H4805	G1510	7
H4807	G1080	5
H4812	G5207	3
H4813	G3137	4
H4818	G0716	17
H4818	G4442	3
H4820	G1388	6
H4820	G2962	4
H4820	G4160	3
H4829	G2934	3
H4829	G3542	3
H4830	G3542	3
H4847	G5207	18
H4847	G3017	4
H4847	G1218	4
H4853	G2962	6
H4853	G3956	4
H4853	G3056	4
H4853	G3004	3
H4872	G3475	318
H4872	G2036	47
H4872	G2983	17
H4872	G2980	15
H4886	G5548	15
H4886	G2474	6
H4886	G0037	5
H4886	G0935	5
H4888	G5545	3
H4899	G5547	6
H4899	G2962	6
H4904	G2845	10
H4904	G3956	3
H4904	G1510	3
H4908	G4633	40
H4908	G3956	6
H4908	G3142	4
H4908	G2962	4
H4910	G0757	8
H4910	G2961	3
H4910	G0758	3
H4910	G2962	3
H4911	G2036	3
H4912	G3850	5
H4912	G2036	4
H4912	G0353	3
H4912	G2474	3
H4916	G5495	3
H4918	G5207	6
H4920	G5207	4
H4929	G5438	6
H4931	G5438	15
H4931	G5442	7
H4931	G2183	5
H4931	G5207	4
H4932	G1208	6
H4932	G1362	3
H4940	G1218	109
H4940	G5443	24
H4940	G5207	17
H4940	G4772	14
H4941	G2917	44
H4941	G2920	41
H4941	G4160	24
H4941	G1345	16
H4948	G1520	10
H4948	G1510	4
H4948	G5470	3
H4959	G5584	5
H4960	G4160	4
H4960	G0935	4
H4960	G2167	4
H4960	G1403	3
H4962	G2641	3
H4970	G2316	3
H4975	G3751	10
H4979	G1390	3
H4983	G5207	5
H4993	G3161	3
H4994	G2962	23
H4994	G0191	14
H4994	G2036	12
H4994	G1510	9
H5000	G5611	3
H5002	G2962	132
H5002	G3004	43
H5002	G2316	10
H5002	G1510	7
H5003	G3431	4
H5003	G1135	3
H5003	G73302	3
H5006	G2962	3
H5012	G4395	45
H5012	G4396	3
H5012	G5571	3
H5012	G0444	3
H5019	G0935	6
H5019	G0897	5
H5020	G1504	3
H5027	G1914	6
H5027	G3708	5
H5027	G3956	4
H5027	G1510	4
H5028	G5207	6
H5028	G2474	5
H5030	G4396	85
H5030	G2962	11
H5030	G3004	10
H5030	G3956	9
H5035	G3631	4
H5036	G0878	4
H5037	G0518	3
H5037	G1135	3
H5038	G0169	6
H5038	G1510	4
H5038	G4983	4
H5039	G2474	3
H5039	G0877	3
H5045	G3558	14
H5045	G3047	13
H5045	G2048	5
H5045	G0935	5
H5046	G0518	72
H5046	G0312	62
H5046	G1510	11
H5046	G3962	5
H5048	G1727	7
H5048	G3788	6
H5048	G3956	5
H5048	G4172	3
H5051	G5338	6
H5057	G2474	8
H5057	G2233	4
H5057	G2316	3
H5060	G0680	29
H5060	G3956	7
H5060	G1510	5
H5060	G2073	3
H5061	G0860	19
H5061	G1510	6
H5061	G2409	4
H5061	G1192	3
H5062	G2962	7
H5062	G3960	7
H5062	G4417	6
H5062	G2474	4
H5066	G1448	21
H5066	G4317	18
H5066	G4334	10
H5066	G2036	5
H5070	G0002	4
H5070	G5207	4
H5071	G2962	4
H5071	G3646	3
H5079	G1510	8
H5079	G0167	4
H5080	G1856	6
H5080	G2962	3
H5081	G0758	3
H5087	G2172	6
H5087	G2962	3
H5088	G2171	6
H5088	G2962	5
H5088	G2172	3
H5090	G0071	6
H5090	G3880	3
H5103	G4215	3
H5103	G0935	3
H5104	G4215	23
H5104	G2166	8
H5104	G2962	4
H5104	G1093	4
H5116	G3542	3
H5117	G0373	10
H5117	G1510	5
H5117	G2962	5
H5117	G2664	4
H5121	G4471	5
H5126	G5207	9
H5126	G2424	4
H5127	G5343	29
H5127	G4383	7
H5127	G2474	5
H5127	G1377	4
H5128	G3586	3
H5128	G4531	3
H5130	G2962	10
H5135	G2545	3
H5135	G2575	3
H5137	G0129	3
H5141	G5552	4
H5145	G2171	6
H5145	G2250	3
H5146	G3575	18
H5146	G2316	3
H5148	G3594	3
H5152	G3493	5
H5157	G2816	6
H5157	G1093	4
H5157	G72610	4
H5157	G2474	3
H5158	G5327	12
H5158	G2748	7
H5158	G1510	6
H5158	G5207	4
H5159	G2817	37
H5159	G2819	21
H5159	G2962	8
H5159	G2474	6
H5162	G3870	21
H5162	G3340	5
H5162	G2962	4
H5162	G3956	4
H5175	G3789	13
H5177	G3476	6
H5178	G5470	26
H5178	G5475	10
H5178	G4604	6
H5178	G0897	4
H5184	G5207	4
H5186	G1614	18
H5186	G1578	16
H5186	G2827	7
H5186	G5495	6
H5193	G5452	10
H5193	G0290	3
H5200	G5207	3
H5203	G0683	3
H5207	G2962	20
H5207	G2175	5
H5207	G1510	3
H5207	G3744	3
H5210	G3535	10
H5216	G3088	15
H5216	G3956	5
H5216	G2962	3
H5221	G3960	109
H5221	G3956	13
H5221	G1510	12
