hebrew_strong	greek_strong	count
H0479	G0935	3
H0490	G5503	15
H0490	G3737	3
H0499	G1648	19
H0499	G5207	11
H0499	G2409	10
H0499	G3475	5
H0505	G5505	89
H0505	G5507	32
H0505	G0435	24
H0505	G4001	17
H0511	G5207	5
H0517	G3384	50
H0517	G2364	11
H0517	G3962	10
H0517	G1510	6
H0518	G1510	62
H0518	G2962	41
H0518	G2036	23
H0518	G5207	17
H0519	G1399	10
H0519	G3814	5
H0519	G1510	3
H0520	G4083	84
H0520	G5311	9
H0520	G1520	6
H0520	G5470	6
H0526	G5207	3
H0526	G0936	3
H0530	G4102	4
H0531	G5207	4
H0531	G4396	3
H0535	G3996	3
H0539	G4100	13
H0539	G4103	8
H0539	G2962	4
H0539	G5456	3
H0543	G1096	10
H0543	G2992	4
H0543	G2962	3
H0551	G0225	5
H0553	G0407	5
H0558	G2448	4
H0558	G5207	4
H0558	G3962	4
H0558	G0935	3
H0559	G2036	1843
H0559	G3004	664
H0559	G2962	291
H0559	G2046	155
H0560	G0935	6
H0560	G2036	4
H0560	G2046	3
H0560	G1213	3
H0561	G3056	3
H0561	G4487	3
H0561	G4750	3
H0564	G5207	5
H0567	G5478	9
H0567	G2730	8
H0567	G1093	5
H0567	G1510	4
H0568	G5207	6
H0571	G0225	9
H0571	G2962	6
H0571	G0228	6
H0571	G4160	5
H0575	G4198	4
H0575	G2036	3
H0577	G2962	4
H0587	G1510	17
H0587	G2962	4
H0587	G0599	3
H0587	G5207	3
H0589	G2962	109
H0589	G1510	71
H0589	G2316	47
H0589	G3004	25
H0590	G3491	4
H0591	G4143	4
H0595	G1510	47
H0595	G2962	17
H0595	G1781	15
H0595	G2316	13
H0599	G2962	4
H0607	G0935	4
H0609	G0760	12
H0609	G2448	6
H0622	G4863	41
H0622	G2992	7
H0622	G4369	6
H0622	G5207	3
H0623	G70753	8
H0623	G5207	6
H0623	G5056	3
H0631	G1210	10
H0631	G1510	3
H0634	G5207	4
H0635	G2036	7
H0635	G3956	4
H0635	G1510	3
H0635	G0935	3
H0637	G4160	4
H0637	G2036	3
H0637	G4198	3
H0637	G2730	3
H0639	G3709	25
H0639	G2372	24
H0639	G2962	13
H0639	G3710	12
H0645	G1510	4
H0646	G4158	5
H0646	G3142	3
H0653	G4655	3
H0657	G1510	5
H0657	G1093	3
H0665	G4700	10
H0669	G2187	46
H0669	G1510	7
H0669	G3128	7
H0669	G5207	7
H0676	G1147	7
H0681	G2476	4
H0681	G5164	4
H0682	G5207	6
H0687	G5207	3
H0693	G1749	5
H0693	G1748	4
H0697	G0200	7
H0702	G5064	57
H0702	G5505	16
H0702	G5071	13
H0702	G3376	12
H0705	G2094	23
H0705	G5505	11
H0705	G2250	8
H0705	G5207	7
H0713	G5192	5
H0713	G1040	5
H0727	G2787	52
H0727	G2962	20
H0727	G1242	12
H0727	G2316	12
H0730	G3586	6
H0730	G3624	6
H0730	G3956	4
H0733	G5207	3
H0734	G3598	14
H0734	G5147	4
H0738	G3023	12
H0738	G2476	4
H0738	G4383	3
H0744	G3023	3
H0748	G2250	3
H0750	G2962	3
H0753	G4083	21
H0753	G3372	15
H0753	G5505	4
H0753	G4633	3
H0758	G4947	25
H0758	G0935	7
H0758	G5207	6
H0758	G4948	6
H0759	G2310	5
H0759	G2719	3
H0759	G5561	3
H0769	G3725	4
H0769	G5207	3
H0771	G0257	4
H0772	G1093	3
H0776	G1093	658
H0776	G0125	77
H0776	G2962	63
H0776	G3956	53
H0779	G1944	26
