# source=MACULA Quotation and Speaker Data, (c) 2023 by Clear Bible, Inc, CC-BY-4.0, https://github.com/Clear-Bible/speaker-quotations/
# anchor=verse range (START/END VS → BBCCCVVV); consensus (Clear-Aligned-Projections)
speaker	alt_speaker	start_bbcccvvv	end_bbcccvvv	quote_type	delivery	divine
Boaz		8002014	8002016	Normal		
Naomi		8002019	8002019	Normal		
Ruth		8002019	8002019	Normal		
Naomi		8002020	8002020	Normal		
Ruth		8002021	8002021	Normal		
Naomi		8002022	8002022	Normal		
Naomi		8003001	8003004	Normal		
Ruth		8003005	8003005	Normal		
Boaz		8003009	8003009	Normal		
Ruth		8003009	8003009	Normal		
Boaz		8003010	8003015	Normal		
Naomi		8003016	8003016	Normal		
Ruth		8003017	8003017	Normal		
Naomi		8003018	8003018	Normal		
Boaz		8004001	8004004	Normal		
Boaz		8004005	8004005	Normal		
kinsman-redeemer		8004006	8004006	Normal		
kinsman-redeemer		8004008	8004008	Normal		
Boaz		8004009	8004010	Normal		
elders		8004011	8004012	Normal		
women of Bethlehem		8004014	8004015	Normal		
women of Bethlehem		8004017	8004017	Normal		
Elkanah		9001008	9001008	Normal		
Hannah		9001011	9001011	Normal		
Eli		9001014	9001014	Normal		
Hannah		9001015	9001016	Normal		
Eli		9001017	9001017	Normal		
Hannah		9001018	9001018	Normal		
Hannah		9001020	9001020	Normal		
Hannah		9001022	9001022	Normal		
Elkanah		9001023	9001023	Normal		
Hannah		9001026	9002010	Normal		
servant of priest		9002015	9002015	Normal		
person sacrificing		9002016	9002016	Normal	pleading	
servant of priest		9002016	9002016	Normal	demanding	
Eli		9002020	9002020	Normal		
Eli		9002023	9002025	Normal		
man of God (prophet to Eli)		9002027	9002036	Normal		
Samuel (boy)		9003004	9003004	Normal		
Eli		9003005	9003005	Normal		
Samuel (boy)		9003005	9003005	Normal		
Eli		9003006	9003006	Normal		
God		9003006	9003006	Normal		Y
Samuel (boy)		9003008	9003008	Normal		
Eli		9003009	9003009	Normal		
God		9003010	9003010	Normal		Y
Samuel (boy)		9003010	9003010	Normal		
God		9003011	9003014	Normal		Y
Eli		9003016	9003016	Normal		
Samuel (boy)		9003016	9003016	Normal		
Eli		9003017	9003018	Normal		
elders of Israel		9004003	9004003	Normal		
Philistines		9004006	9004009	Normal		
Eli		9004014	9004014	Normal		
Benjamite messenger to Eli		9004016	9004016	Normal		
Eli		9004016	9004016	Normal		
Benjamite messenger to Eli		9004017	9004017	Normal		
attendents of Phineas' wife		9004020	9004020	Normal	encouraging	
Phineas' wife (daughter-in-law of Eli)		9004021	9004022	Normal	mourning	
men of Ashdod		9005007	9005008	Normal		
Ekron, people of		9005010	9005011	Normal		
Philistines		9006002	9006002	Normal		
Philistine priests and fortune tellers		9006003	9006004	Normal		
Philistine priests and fortune tellers		9006005	9006009	Normal		
Beth Shemesh, men of		9006020	9006020	Normal		
Beth Shemesh, men of		9006021	9006021	Normal		
Samuel		9007003	9007003	Normal		
Samuel		9007005	9007005	Normal		
Israelites		9007006	9007006	Normal		
Israelites		9007008	9007008	Normal		
Samuel		9007012	9007012	Normal		
elders of Israel		9008005	9008006	Normal		
God		9008007	9008009	Normal		Y
Samuel		9008011	9008018	Normal		
Israelites		9008019	9008020	Normal		
God		9008022	9008022	Normal		Y
Samuel		9008022	9008022	Normal		
Kish, father of Saul		9009003	9009003	Normal		
Saul		9009005	9009005	Normal		
servant of Saul (and of his father Kish)		9009006	9009006	Normal		
Saul		9009007	9009007	Normal		
servant of Saul (and of his father Kish)		9009008	9009008	Normal		
saying about seer		9009009	9009009	Hypothetical		
Saul		9009010	9009010	Normal		
servant of Saul (and of his father Kish)		9009011	9009011	Normal		
young women (maidens)		9009012	9009013	Normal		
God		9009016	9009017	Normal		Y
Saul		9009018	9009018	Normal		
Samuel		9009019	9009020	Normal		
Saul		9009021	9009021	Normal		
Samuel		9009023	9009024	Normal		
Samuel		9009026	9010008	Normal		
people who had known Saul		9010011	9010011	Normal		
man of Gibeah		9010012	9010012	Normal		
saying about Saul		9010012	9010012	Quotation		
Saul		9010014	9010014	Normal		
Saul's uncle		9010014	9010015	Normal		
Saul		9010016	9010016	Normal		
Samuel		9010018	9010019	Normal		
God		9010022	9010022	Normal		Y
Israelites		9010022	9010022	Normal		
Israelites		9010024	9010024	Normal	shouting	
Samuel		9010024	9010024	Normal		
troublemakers		9010027	9010027	Normal		
men of Jabesh		9011001	9011001	Normal		
Nahash the Ammonite		9011002	9011002	Normal		
elders of Jabesh		9011003	9011003	Normal		
Saul		9011005	9011005	Normal		
messengers of Saul		9011007	9011007	Normal		
Saul		9011009	9011009	Normal		
men of Jabesh		9011010	9011010	Normal		
Israelites		9011012	9011012	Normal		
Saul		9011013	9011013	Normal		
Samuel		9011014	9011014	Normal		
Samuel		9012001	9012003	Normal		
Israel, all		9012004	9012005	Normal		
Samuel		9012005	9012017	Normal		
Israel, all		9012019	9012019	Normal		
Samuel		9012020	9012025	Normal		
Saul		9013003	9013003	Normal		
Saul		9013009	9013009	Normal		
Samuel		9013011	9013011	Normal		
Saul		9013011	9013012	Normal		
Samuel		9013013	9013014	Normal		
Philistines		9013019	9013019	Normal		
Jonathan		9014001	9014001	Normal		
Jonathan		9014006	9014006	Normal		
Jonathan's armor bearer		9014007	9014007	Normal		
Jonathan		9014008	9014010	Normal		
Philistines		9014011	9014011	Normal		
Jonathan		9014012	9014012	Normal		
Philistines		9014012	9014012	Normal		
Saul		9014017	9014019	Normal		
Saul		9014024	9014024	Normal		
Israelite soldier in Saul's army		9014028	9014028	Normal		
Jonathan		9014029	9014030	Normal		
Saul		9014033	9014034	Normal		
messengers to Saul		9014033	9014033	Normal		
Ahijah the priest		9014036	9014036	Normal		
Israelites (soldiers)		9014036	9014036	Normal		
Saul		9014036	9014039	Normal		
Israelites (soldiers)		9014040	9014040	Normal		
Saul		9014040	9014042	Normal		
Jonathan		9014043	9014043	Normal		
Saul		9014043	9014044	Normal		
Israelites (soldiers)		9014045	9014045	Normal		
Samuel		9015001	9015003	Normal		
Saul		9015006	9015006	Normal		
God		9015011	9015011	Normal		Y
person who told Samuel where Saul was		9015012	9015012	Normal		
Saul		9015013	9015013	Normal		
Samuel		9015014	9015014	Normal		
Saul		9015015	9015015	Normal		
Samuel		9015016	9015016	Normal		
Saul		9015016	9015016	Normal		
Samuel		9015017	9015019	Normal		
Saul		9015020	9015021	Normal		
Samuel		9015022	9015023	Normal		
Saul		9015024	9015025	Normal		
Samuel		9015026	9015026	Normal		
Samuel		9015028	9015029	Normal		
Saul		9015030	9015030	Normal		
Agag, king of the Amalekites		9015032	9015032	Normal		
Samuel		9015032	9015033	Normal		
God		9016001	9016002	Normal		Y
God		9016003	9016003	Normal		Y
Bethlehem, elders of		9016004	9016004	Normal	trembled	
Samuel		9016005	9016006	Normal		
God		9016007	9016007	Normal		Y
Samuel		9016008	9016010	Normal		
Jesse		9016011	9016011	Normal		
Samuel		9016011	9016011	Normal		
God		9016012	9016012	Normal		Y
Saul's servants		9016015	9016016	Normal		
Saul		9016017	9016017	Normal		
Saul's servant (young)		9016018	9016018	Normal		
Saul		9016019	9016019	Quotation		
Saul		9016022	9016022	Quotation		
Goliath, Philistine champion		9017008	9017010	Normal		
Jesse		9017017	9017018	Normal		
Israelites (soldiers)		9017025	9017025	Normal		
David		9017026	9017026	Normal		
men (soldiers) standing near David		9017027	9017027	Normal		
Eliab, David's brother		9017028	9017028	Normal		
David		9017029	9017029	Normal		
David		9017032	9017032	Normal		
Saul		9017033	9017033	Normal		
David		9017034	9017036	Normal		
David		9017037	9017037	Normal		
Saul		9017037	9017037	Normal		
David		9017039	9017039	Normal		
Goliath, Philistine champion		9017043	9017044	Normal		
David		9017045	9017047	Normal		
Abner, commander of Saul's army		9017055	9017055	Normal		
Saul		9017055	9017056	Normal		
David		9017058	9017058	Normal		
Saul		9017058	9017058	Normal		
women, dancing		9018007	9018007	Normal	joyfully singing	
Saul		9018008	9018008	Normal	thought	
Saul		9018011	9018011	Normal		
Saul		9018017	9018017	Normal		
David		9018018	9018018	Normal		
Saul		9018021	9018022	Normal		
David		9018023	9018023	Normal		
Saul		9018025	9018025	Normal		
Jonathan		9019002	9019005	Normal		
Saul		9019006	9019006	Normal		
Michal, David's wife		9019011	9019011	Normal		
Michal, David's wife		9019014	9019014	Normal		
Saul		9019015	9019015	Normal		
Michal, David's wife		9019017	9019017	Normal		
Saul		9019017	9019017	Normal		
message to Saul		9019019	9019019	Normal		
Saul		9019022	9019022	Normal		
people at cistern		9019022	9019022	Normal		
saying about Saul		9019024	9019024	Quotation		
David		9020001	9020001	Normal		
Jonathan		9020002	9020002	Normal		
David		9020003	9020003	Normal		
Jonathan		9020004	9020004	Normal		
David		9020005	9020008	Normal		
Jonathan		9020009	9020009	Normal		
David		9020010	9020010	Normal		
Jonathan		9020011	9020016	Normal		
Jonathan		9020018	9020023	Normal		
Saul		9020026	9020027	Normal		
Jonathan		9020028	9020029	Normal		
Saul		9020030	9020031	Normal		
Jonathan		9020032	9020032	Normal		
Jonathan		9020036	9020038	Normal		
Jonathan		9020040	9020040	Normal		
Jonathan		9020042	9020042	Normal		
Ahimelech the priest (son of Ahitub)		9021001	9021001	Normal		
David		9021002	9021003	Normal		
Ahimelech the priest (son of Ahitub)		9021004	9021004	Normal		
David		9021005	9021005	Normal		
David		9021008	9021008	Normal		
Ahimelech the priest (son of Ahitub)		9021009	9021009	Normal		
David		9021009	9021009	Normal		
servants of Achish, king of Gath		9021011	9021011	Normal		
Achish, king of Gath		9021014	9021015	Normal		
David		9022003	9022003	Normal		
Gad the prophet, David's seer		9022005	9022005	Normal		
Saul		9022007	9022008	Normal		
Doeg the Edomite		9022009	9022010	Normal		
Ahimelech the priest (son of Ahitub)		9022012	9022012	Normal		
Saul		9022012	9022013	Normal		
Ahimelech the priest (son of Ahitub)		9022014	9022015	Normal		
Saul		9022016	9022018	Normal		
David		9022022	9022023	Normal		
person who told David about Philistines		9023001	9023001	Normal		
David		9023002	9023002	Normal		
God		9023002	9023002	Normal		Y
David's men		9023003	9023003	Normal		
God		9023004	9023004	Normal		Y
Saul		9023007	9023007	Normal		
David		9023009	9023010	Normal		
David		9023011	9023012	Normal		
God		9023011	9023011	Normal		Y
Jonathan		9023017	9023017	Normal		
Ziphites		9023019	9023020	Normal		
Saul		9023021	9023023	Normal		
messenger to Saul		9023027	9023027	Normal		
person who told Saul where David was		9024001	9024001	Normal		
David's men		9024004	9024004	Normal		
David		9024006	9024006	Normal		
David		9024008	9024015	Normal		
Saul		9024016	9024021	Normal		
David		9025005	9025008	Normal		
Nabal		9025010	9025011	Normal		
David		9025013	9025013	Normal		
servant of Nabal		9025014	9025017	Normal		
Abigail		9025019	9025019	Normal		
David		9025021	9025022	Normal	thinking or talking to himself	
Abigail		9025024	9025031	Normal		
David		9025032	9025035	Normal		
David		9025039	9025039	Normal		
servants of David		9025040	9025040	Normal		
Abigail		9025041	9025041	Normal		
Ziphites		9026001	9026001	Normal		
Abishai, Joab's brother		9026006	9026006	Normal		
David		9026006	9026006	Normal		
Abishai, Joab's brother		9026008	9026008	Normal		
David		9026009	9026011	Normal		
Abner, commander of Saul's army		9026014	9026014	Normal		
David		9026014	9026017	Normal		
David		9026018	9026020	Normal		
Saul		9026021	9026021	Normal		
David		9026022	9026024	Normal		
Saul		9026025	9026025	Normal		
David		9027001	9027001	Normal	thought	
David		9027005	9027005	Normal		
Achish, king of Gath		9027010	9027010	Normal		
David		9027010	9027011	Normal		
Achish, king of Gath		9027012	9028002	Normal	said to himself	
Saul		9028007	9028007	Normal		
Saul's servants		9028007	9028007	Normal		
Saul		9028008	9028008	Normal		
woman medium		9028009	9028009	Normal		
Saul		9028010	9028010	Normal		
Saul		9028011	9028011	Normal		
woman medium		9028011	9028011	Normal		
woman medium		9028012	9028012	Normal		
Saul		9028013	9028013	Normal		
woman medium		9028013	9028013	Normal		
Saul		9028014	9028014	Normal		
woman medium		9028014	9028014	Normal		
Samuel (dead)		9028015	9028015	Normal		
Saul		9028015	9028015	Normal		
Samuel (dead)		9028016	9028019	Normal		
woman medium		9028021	9028022	Normal		
Saul		9028023	9028023	Normal		
Achish, king of Gath		9029003	9029003	Normal		
Philistine commanders		9029003	9029005	Normal		
Achish, king of Gath		9029006	9029007	Normal		
David		9029008	9029008	Normal		
Achish, king of Gath		9029009	9029010	Normal		
David		9030007	9030008	Normal		
David		9030013	9030013	Normal		
Egyptian (slave of Amalekite)		9030013	9030014	Normal		
David		9030015	9030015	Normal		
Egyptian (slave of Amalekite)		9030015	9030015	Normal		
David's men		9030020	9030020	Normal		
evil men and troublemakers		9030022	9030022	Normal		
David		9030023	9030024	Normal		
David		9030026	9030026	Normal		
Saul		9031004	9031004	Normal	critically wounded	
Amalekite (young man from Saul's camp)		10001003	10001003	Normal		
David		10001003	10001003	Normal		
Amalekite (young man from Saul's camp)		10001004	10001004	Normal		
David		10001004	10001004	Normal		
David		10001005	10001005	Normal		
Amalekite (young man from Saul's camp)		10001006	10001010	Normal		
Amalekite (young man from Saul's camp)		10001013	10001013	Normal		
David		10001013	10001013	Normal		
David		10001014	10001016	Normal		
David		10001019	10002001	Normal		
Judah, men of		10002004	10002004	Normal		
David		10002005	10002007	Normal		
Abner, commander of Saul's army		10002014	10002014	Normal		
Joab		10002014	10002014	Normal		
Abner, commander of Saul's army		10002020	10002020	Normal		
Abner, commander of Saul's army		10002021	10002022	Normal		
Abner, commander of Saul's army		10002026	10002026	Normal		
Joab		10002027	10002027	Normal		
Ish-Bosheth, son of Saul		10003007	10003007	Normal		
Abner, commander of Saul's army		10003008	10003010	Normal		
Abner, commander of Saul's army		10003012	10003012	Normal		
David		10003013	10003014	Normal		
Abner, commander of Saul's army		10003016	10003018	Normal		
Abner, commander of Saul's army		10003021	10003021	Normal		
messengers to Joab		10003023	10003023	Normal		
Joab		10003024	10003025	Normal		
David		10003028	10003029	Normal		
David		10003031	10003031	Normal		
David		10003033	10003035	Normal		
David		10003038	10003039	Normal		
Rechab		10004008	10004008	Normal		
David		10004009	10004011	Normal		
Israel, all the tribes		10005001	10005002	Normal		
Jebusites		10005006	10005006	Normal	taunting	
David		10005008	10005008	Normal		
saying about blind and lame		10005008	10005008	Quotation		
David		10005019	10005019	Normal		
God		10005019	10005019	Normal		Y
David		10005020	10005020	Normal		
God		10005023	10005024	Normal		Y
David		10006009	10006009	Normal		
person who told David about Obed-Edom		10006012	10006012	Normal		
Michal, David's wife		10006020	10006020	Normal		
David		10006021	10006022	Normal		
David		10007002	10007002	Normal		
Nathan		10007003	10007003	Normal		
God		10007005	10007016	Normal		Y
David		10007018	10007029	Normal		
David		10009001	10009002	Normal		
David		10009003	10009003	Dialogue		
Ziba, servant of Saul's household		10009003	10009003	Dialogue		
David		10009004	10009004	Dialogue		
Ziba, servant of Saul's household		10009004	10009004	Normal		
David		10009006	10009006	Dialogue		
Mephibosheth, son of Jonathan		10009006	10009006	Dialogue		
David		10009007	10009007	Dialogue		
Mephibosheth, son of Jonathan		10009008	10009008	Dialogue		
David		10009009	10009010	Dialogue		
Ziba, servant of Saul's household		10009011	10009011	Dialogue		
David		10010002	10010002	Normal		
Ammonite nobles		10010003	10010003	Normal		
David		10010005	10010005	Normal		
Joab		10010011	10010012	Normal		
man answered David		10011003	10011003	Normal		
Bathsheba		10011005	10011005	Normal		
David		10011006	10011006	Normal		
David		10011008	10011008	Normal		
David		10011010	10011010	Normal		
informer		10011010	10011010	Normal		
Uriah		10011011	10011011	Normal		
David		10011012	10011012	Normal		
David		10011015	10011015	Normal		
Joab		10011019	10011021	Normal		
messenger from battle to David		10011023	10011024	Normal		
David		10011025	10011025	Normal		
Nathan		10012001	10012004	Normal		
David		10012005	10012006	Normal		
Nathan		10012007	10012012	Normal		
David		10012013	10012013	Normal		
Nathan		10012013	10012014	Normal		
servants of David		10012018	10012018	Normal		
David		10012019	10012019	Normal		
servants of David		10012019	10012019	Normal		
servants of David		10012021	10012021	Normal		
David		10012022	10012023	Normal		
Joab		10012027	10012028	Normal		
Amnon, son of David		10013004	10013004	Normal		
Jonadab		10013004	10013005	Normal	shrewd	
Amnon, son of David		10013006	10013006	Normal		
David		10013007	10013007	Normal		
Amnon, son of David		10013009	10013011	Normal		
Tamar, daughter of David		10013012	10013013	Normal		
Amnon, son of David		10013015	10013015	Normal		
Tamar, daughter of David		10013016	10013016	Normal		
Amnon, son of David		10013017	10013017	Normal		
Absalom, son of David		10013020	10013020	Normal		
Absalom, son of David		10013024	10013024	Normal		
David		10013025	10013025	Normal		
Absalom, son of David		10013026	10013026	Normal		
David		10013026	10013026	Normal		
Absalom, son of David		10013028	10013028	Normal		
man reporting to David		10013030	10013030	Normal		
Jonadab		10013032	10013033	Normal	shrewd	
Jonadab		10013035	10013035	Normal	shrewd	
Joab		10014002	10014003	Normal		
woman from Tekoa		10014004	10014004	Dialogue		
David		10014005	10014005	Dialogue		
woman from Tekoa		10014005	10014007	Dialogue		
David		10014008	10014008	Dialogue		
woman from Tekoa		10014009	10014009	Dialogue		
David		10014010	10014011	Dialogue		
David		10014012	10014012	Dialogue		
woman from Tekoa		10014012	10014017	Dialogue		
David		10014018	10014018	Dialogue		
woman from Tekoa		10014018	10014018	Dialogue		
David		10014019	10014019	Dialogue		
woman from Tekoa		10014019	10014020	Dialogue		
David		10014021	10014021	Dialogue		
Joab		10014022	10014022	Dialogue		
Absalom, son of David		10014030	10014030	Dialogue		
Joab		10014031	10014031	Dialogue		
Absalom, son of David		10014032	10014032	Dialogue		
Absalom, son of David		10015002	10015002	Normal		
anyone with complaint for king		10015002	10015002	Normal		
Absalom, son of David		10015003	10015004	Normal		
Absalom, son of David		10015007	10015008	Normal		
David		10015009	10015009	Normal		
Absalom, son of David		10015010	10015010	Normal		
messenger to David		10015013	10015013	Normal		
David		10015014	10015014	Normal		
officials of David		10015015	10015015	Normal		
David		10015019	10015020	Normal		
Ittai		10015021	10015021	Normal		
David		10015022	10015022	Normal		
David		10015025	10015028	Normal		
David		10015031	10015031	Normal		
informer		10015031	10015031	Normal		
David		10015033	10015036	Normal		
David		10016002	10016002	Dialogue		
Ziba, servant of Saul's household		10016002	10016002	Dialogue		
David		10016003	10016003	Dialogue		
Ziba, servant of Saul's household		10016003	10016003	Dialogue		
David		10016004	10016004	Dialogue		
Ziba, servant of Saul's household		10016004	10016004	Dialogue		
Shimei		10016007	10016008	Normal		
Abishai, Joab's brother		10016009	10016009	Normal		
David		10016010	10016012	Normal		
Hushai, David's friend		10016016	10016016	Normal		
Absalom, son of David		10016017	10016017	Dialogue		
Hushai, David's friend		10016018	10016019	Dialogue		
Absalom, son of David		10016020	10016020	Dialogue		
Ahithophel		10016021	10016021	Dialogue		
Ahithophel		10017001	10017003	Normal		
Absalom, son of David		10017005	10017006	Normal		
Hushai, David's friend		10017007	10017013	Normal		
Absalom, son of David		10017014	10017014	Normal		
Hushai, David's friend		10017015	10017016	Normal		
Absalom's men		10017020	10017020	Normal		
woman in Bahurim		10017020	10017020	Normal		
Ahimaaz (messenger)		10017021	10017021	Normal		
Shobi		10017029	10017029	Normal		
David		10018002	10018002	Normal		
men of David		10018003	10018003	Normal		
David		10018004	10018005	Normal		
men of David, one		10018010	10018010	Normal		
Joab		10018011	10018011	Normal		
men of David, one		10018012	10018013	Normal		
Joab		10018014	10018014	Normal		
Absalom, son of David		10018018	10018018	Normal		
Ahimaaz (messenger)		10018019	10018019	Normal		
Joab		10018020	10018022	Normal		
Ahimaaz (messenger)		10018023	10018023	Normal		
Joab		10018023	10018023	Normal		
David		10018025	10018026	Normal		
David		10018027	10018027	Normal		
watchman		10018027	10018027	Normal		
Ahimaaz (messenger)		10018028	10018028	Normal		
Ahimaaz (messenger)		10018029	10018029	Normal		
David		10018029	10018029	Normal		
David		10018030	10018030	Normal		
messenger, Cushite		10018031	10018031	Normal		
David		10018032	10018032	Normal		
messenger, Cushite		10018032	10018032	Normal		
David		10018033	10018033	Normal		
David		10019004	10019004	Normal	lamenting	
Joab		10019005	10019007	Normal		
people, Israel, tribes of		10019009	10019010	Normal		
David		10019011	10019013	Normal		
Judah, men of		10019014	10019014	Normal		
Shimei		10019019	10019020	Normal		
Abishai, Joab's brother		10019021	10019021	Normal		
David		10019022	10019023	Normal		
David		10019025	10019025	Normal		
Mephibosheth, son of Jonathan		10019026	10019028	Normal		
David		10019029	10019029	Normal		
Mephibosheth, son of Jonathan		10019030	10019030	Normal		
David		10019033	10019033	Normal		
Barzillai (old)		10019034	10019037	Normal		
David		10019038	10019038	Normal		
Israel		10019041	10019041	Normal		
Judah, men of		10019042	10019042	Normal		
Israel, men of		10019043	10019043	Normal		
Sheba, son of Bicri		10020001	10020001	Normal		
David		10020004	10020004	Normal		
David		10020006	10020006	Normal		
Joab		10020009	10020009	Normal		
Joab's men, one of		10020011	10020011	Normal		
woman, wise		10020016	10020016	Normal		
Joab		10020017	10020017	Dialogue		
woman, wise		10020017	10020019	Dialogue		
Joab		10020020	10020021	Dialogue		
God		10021001	10021001	Normal		Y
David		10021003	10021004	Dialogue		
Gibeonites		10021004	10021006	Dialogue		
David's men		10021017	10021017	Normal		
David		10022002	10022051	Normal		
David		10023002	10023007	Implicit		
David		10023015	10023015	Normal		
David		10023017	10023017	Normal		
David		10024001	10024002	Normal		
God		10024001	10024001	Normal		Y
Joab		10024003	10024003	Normal		
David		10024010	10024010	Normal		
God		10024012	10024012	Normal		Y
Gad the prophet, David's seer		10024013	10024013	Normal		
David		10024014	10024014	Normal		
God		10024016	10024016	Normal		Y
David		10024017	10024017	Normal		
Gad the prophet, David's seer		10024018	10024018	Normal		
Araunah, the Jebusite		10024021	10024021	Normal		
David		10024021	10024021	Normal		
Araunah, the Jebusite		10024022	10024023	Normal		
David		10024024	10024024	Normal		
servants of David		11001002	11001002	Normal		
Adonijah, son of David		11001005	11001005	Normal		
Nathan		11001011	11001014	Normal		
David (old)		11001016	11001016	Normal	very old	
Bathsheba		11001017	11001021	Normal		
person who told David of Nathan's arrival		11001023	11001023	Normal		
Nathan		11001024	11001027	Normal		
David (old)		11001028	11001030	Normal	very old	
Bathsheba		11001031	11001031	Normal		
David (old)		11001032	11001035	Normal	very old	
Benaiah, son of Jehoiada		11001036	11001037	Normal		
people, all the		11001039	11001039	Normal	shouting	
Joab		11001041	11001041	Normal		
Adonijah, son of David		11001042	11001042	Normal		
Jonathan, son of Abiathar		11001043	11001048	Normal		
informer		11001051	11001051	Normal		
Solomon, king		11001052	11001053	Normal		
David (old)		11002002	11002009	Normal	very old	
Adonijah, son of David		11002013	11002013	Normal		
Bathsheba		11002013	11002013	Normal		
Adonijah, son of David		11002014	11002014	Normal		
Bathsheba		11002014	11002014	Normal		
Adonijah, son of David		11002015	11002016	Normal		
Adonijah, son of David		11002017	11002017	Normal		
Bathsheba		11002018	11002018	Normal		
Bathsheba		11002020	11002020	Normal		
Solomon, king		11002020	11002020	Normal		
Bathsheba		11002021	11002021	Normal		
Solomon, king		11002022	11002024	Normal		
Solomon, king		11002026	11002026	Normal		
person who informed Solomon		11002029	11002029	Normal		
Benaiah, son of Jehoiada		11002030	11002030	Normal		
Joab		11002030	11002030	Normal		
Solomon, king		11002031	11002033	Normal		
Solomon, king		11002036	11002037	Normal		
Shimei		11002038	11002038	Normal		
person who told Shimei where his servants were		11002039	11002039	Normal		
Solomon, king		11002042	11002045	Normal		
God		11003005	11003005	Normal		Y
Solomon, king		11003006	11003009	Normal		
God		11003011	11003014	Normal		Y
prostitute, one		11003017	11003022	Normal		
Solomon, king		11003023	11003025	Normal		
prostitute, one		11003026	11003026	Normal		
prostitute, other		11003026	11003026	Normal		
Solomon, king		11003027	11003027	Normal		
Solomon, king		11005003	11005006	Normal	sent message	
Hiram, king of Tyre		11005007	11005009	Normal		
God		11006012	11006013	Normal		Y
Solomon, king		11008012	11008013	Normal		
Solomon, king		11008015	11008021	Normal	blessing	
Solomon, king		11008023	11008053	Normal	praying	
Solomon, king		11008056	11008061	Normal	blessing	
God		11009003	11009009	Normal		Y
Hiram, king of Tyre		11009013	11009013	Normal		
queen of Sheba		11010006	11010009	Normal		
God		11011002	11011002	Normal		Y
God		11011011	11011013	Normal		Y
Hadad the Edomite		11011021	11011022	Normal		
Ahijah the prophet		11011031	11011039	Normal		
Jeroboam		11012004	11012004	Normal		
Rehoboam, king		11012005	11012006	Normal		
elders in Shechem		11012007	11012007	Normal		
Rehoboam, king		11012009	11012009	Normal		
young men (advisors of Rehoboam)		11012010	11012011	Normal		
Rehoboam, king		11012012	11012012	Quotation		
Rehoboam, king		11012014	11012014	Normal		
Israel, all	Jeroboam	11012016	11012016	Normal		
God		11012023	11012024	Normal		Y
Jeroboam		11012026	11012028	Normal	thought	
man of God from Judah		11013002	11013003	Normal		
Jeroboam		11013004	11013004	Normal		
Jeroboam		11013006	11013007	Normal		
man of God from Judah		11013008	11013009	Normal		
old prophet in Bethel		11013012	11013013	Normal		
man of God from Judah		11013014	11013014	Normal		
old prophet in Bethel		11013014	11013015	Normal		
man of God from Judah		11013016	11013017	Normal		
old prophet in Bethel		11013018	11013018	Normal	deceitful	
old prophet in Bethel		11013021	11013022	Normal		
old prophet in Bethel		11013026	11013027	Normal		
old prophet in Bethel		11013030	11013032	Normal		
Jeroboam		11014002	11014003	Normal		
God		11014005	11014005	Normal		Y
Ahijah the prophet		11014006	11014016	Normal		
Asa, king of Judah		11015019	11015019	Normal		
God		11016002	11016004	Normal		Y
Elijah		11017001	11017001	Normal		
God		11017003	11017004	Normal		Y
God		11017009	11017009	Normal		Y
Elijah		11017010	11017011	Normal		
widow at Zarephath		11017012	11017012	Normal		
Elijah		11017013	11017014	Normal		
widow at Zarephath		11017018	11017018	Normal		
Elijah		11017019	11017021	Normal		
Elijah		11017023	11017023	Normal		
widow at Zarephath		11017024	11017024	Normal		
God		11018001	11018001	Normal		Y
Ahab, king of Israel		11018005	11018005	Normal		
Obadiah, manager of Ahab's palace		11018007	11018007	Dialogue		
Elijah		11018008	11018008	Dialogue		
Obadiah, manager of Ahab's palace		11018009	11018014	Normal		
Elijah		11018015	11018015	Dialogue		
Ahab, king of Israel		11018017	11018017	Dialogue		
Elijah		11018018	11018019	Dialogue		
Elijah		11018021	11018024	Normal		
Elijah		11018025	11018025	Normal		
prophets of Baal		11018026	11018026	Normal		
Elijah		11018027	11018027	Normal		
Elijah		11018030	11018030	Normal		
God		11018031	11018031	Quotation		Y
Elijah		11018036	11018037	Normal		
people, all the		11018039	11018039	Normal		
Elijah		11018040	11018041	Normal		
Elijah		11018043	11018043	Dialogue		
servant of Elijah		11018043	11018043	Dialogue		
Elijah		11018044	11018044	Dialogue		
servant of Elijah		11018044	11018044	Dialogue		
Jezebel		11019002	11019002	Normal		
Elijah		11019004	11019004	Normal		
angel		11019005	11019005	Normal		
angel		11019007	11019007	Normal		
God		11019009	11019009	Normal		Y
Elijah		11019010	11019010	Normal		
God		11019011	11019011	Normal		Y
God		11019013	11019013	Normal		Y
Elijah		11019014	11019014	Normal		
God		11019015	11019018	Normal		Y
Elijah		11019020	11019020	Dialogue		
Elisha		11019020	11019020	Dialogue		
Ahab, king of Israel		11020004	11020004	Normal		
messengers of Ben-Hadad, king of Aram		11020005	11020006	Normal		
Ahab, king of Israel		11020007	11020007	Normal		
elders		11020008	11020008	Normal		
Ahab, king of Israel		11020009	11020009	Normal		
messengers of Ben-Hadad, king of Aram		11020010	11020010	Normal		
Ahab, king of Israel		11020011	11020011	Normal		
Ben-Hadad, king of Aram		11020012	11020012	Normal		
prophet		11020013	11020013	Normal		
Ahab, king of Israel		11020014	11020014	Normal		
prophet		11020014	11020014	Normal		
scouts of Ben-Hadad, king of Aram		11020017	11020017	Normal		
Ben-Hadad, king of Aram		11020018	11020018	Normal		
