# source=MACULA Quotation and Speaker Data, (c) 2023 by Clear Bible, Inc, CC-BY-4.0, https://github.com/Clear-Bible/speaker-quotations/
# anchor=verse range (START/END VS → BBCCCVVV); consensus (Clear-Aligned-Projections)
speaker	alt_speaker	start_bbcccvvv	end_bbcccvvv	quote_type	delivery	divine
Rebekah		1024030	1024030	Quotation		
Laban		1024031	1024031	Normal		
Abraham's chief servant		1024033	1024033	Normal		
Laban		1024033	1024033	Normal		
Abraham's chief servant		1024034	1024049	Normal		
Laban		1024050	1024051	Normal		
Abraham's chief servant		1024054	1024054	Normal		
Laban		1024055	1024055	Normal		
Abraham's chief servant		1024056	1024056	Normal		
Laban		1024057	1024058	Normal		
Laban		1024060	1024060	Normal		
Abraham's chief servant		1024065	1024065	Normal		
Rebekah		1024065	1024065	Normal		
Rebekah		1025022	1025022	Normal		
God		1025023	1025023	Normal		Y
Esau		1025030	1025030	Normal		
Jacob (Israel)		1025031	1025031	Normal		
Esau		1025032	1025032	Normal		
Jacob (Israel)		1025033	1025033	Normal		
God		1026002	1026005	Normal		Y
Isaac		1026007	1026007	Normal	deceiving	
Abimelech 2, king of the Philistines (in Gerar)		1026009	1026009	Normal		
Isaac		1026009	1026009	Normal		
Abimelech 2, king of the Philistines (in Gerar)		1026010	1026011	Normal		
Abimelech 2, king of the Philistines (in Gerar)		1026016	1026016	Normal		
herdsman		1026020	1026020	Normal	angry, quarreling	
Isaac		1026022	1026022	Normal		
God		1026024	1026024	Normal		Y
Isaac		1026027	1026027	Normal		
Abimelech 2, king of the Philistines (in Gerar)		1026028	1026029	Normal		
servants of Isaac		1026032	1026032	Normal		
Esau		1027001	1027001	Normal		
Isaac (old)		1027001	1027004	Normal		
Rebekah		1027006	1027010	Normal		
Jacob (Israel)		1027011	1027012	Normal		
Rebekah		1027013	1027013	Normal		
Isaac (old)		1027018	1027018	Normal		
Jacob (Israel)		1027018	1027019	Normal		
Isaac (old)		1027020	1027020	Normal		
Jacob (Israel)		1027020	1027020	Normal		
Isaac (old)		1027021	1027022	Normal		
Isaac (old)		1027024	1027024	Normal		
Jacob (Israel)		1027024	1027024	Normal		
Isaac (old)		1027025	1027029	Normal		
Esau		1027031	1027032	Normal		
Isaac (old)		1027032	1027033	Normal		
Esau		1027034	1027034	Normal		
Isaac (old)		1027035	1027035	Normal		
Esau		1027036	1027036	Normal		
Isaac (old)		1027037	1027037	Normal		
Esau		1027038	1027038	Normal		
Isaac (old)		1027039	1027040	Normal		
Esau		1027041	1027041	Normal		
Rebekah		1027042	1027046	Normal		
Isaac (old)		1028001	1028004	Normal		
Isaac (old)		1028006	1028006	Quotation		
God		1028013	1028015	Normal		Y
Jacob (Israel)		1028016	1028017	Normal		
Jacob (Israel)		1028020	1028022	Normal		
Jacob (Israel)		1029004	1029004	Dialogue		
shepherds at well		1029004	1029004	Dialogue		
Jacob (Israel)		1029005	1029005	Dialogue		
shepherds at well		1029005	1029005	Dialogue		
Jacob (Israel)		1029006	1029006	Dialogue		
shepherds at well		1029006	1029006	Dialogue		
Jacob (Israel)		1029007	1029007	Dialogue		
shepherds at well		1029008	1029008	Dialogue		
Laban		1029014	1029015	Normal		
Jacob (Israel)		1029018	1029018	Normal		
Laban		1029019	1029019	Normal		
Jacob (Israel)		1029021	1029021	Normal		
Jacob (Israel)		1029025	1029025	Normal		
Laban		1029026	1029027	Normal		
Leah		1029032	1029035	Normal		
Rachel		1030001	1030001	Normal		
Jacob (Israel)		1030002	1030002	Normal		
Rachel		1030003	1030003	Normal		
Rachel		1030006	1030006	Normal		
Rachel		1030008	1030008	Normal		
Leah		1030011	1030011	Normal		
Leah		1030013	1030013	Normal		
Rachel		1030014	1030014	Normal		
Leah		1030015	1030015	Normal		
Rachel		1030015	1030015	Normal		
Leah		1030016	1030016	Normal		
Leah		1030018	1030018	Normal		
Leah		1030020	1030020	Normal		
Rachel		1030023	1030024	Normal		
Jacob (Israel)		1030025	1030026	Normal		
Laban		1030027	1030028	Normal		
Jacob (Israel)		1030029	1030030	Normal		
Jacob (Israel)		1030031	1030033	Normal		
Laban		1030031	1030031	Normal		
Laban		1030034	1030034	Normal		
Laban's sons		1031001	1031001	Normal		
God		1031003	1031003	Normal		Y
Jacob (Israel)		1031005	1031013	Normal		
Rachel		1031014	1031016	Normal		
God		1031024	1031024	Normal		Y
Laban		1031026	1031030	Normal		
Jacob (Israel)		1031031	1031032	Normal		
Rachel		1031035	1031035	Normal		
Jacob (Israel)		1031036	1031042	Normal		
Laban		1031043	1031044	Normal		
Jacob (Israel)		1031046	1031046	Normal		
Laban		1031048	1031053	Normal		
Jacob (Israel)		1032002	1032002	Normal		
Jacob (Israel)		1032004	1032005	Normal		
messengers sent by Jacob		1032006	1032006	Normal		
Jacob (Israel)		1032008	1032012	Normal	thought	
