# source=derived from resources/aligned_lex/arb.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
الْحَقَّ	G0281,G3588	0.765
الْخَارِجِ	G1854,G1855	0.462
الْخَاصَّةِ	G1438,G2398,G3588	0.500
الْخَطِيئَةُ	G3588	0.846
الْعَالَمَ	G3588	0.920
الْعَالَمُ	G3588	0.923
الْعَرِيسُ	G1161,G3588	0.900
الْعَرْشِ	G3588	0.960
الْعِيدِ	G3588	0.929
الْفَرِّيسِيُّونَ	G3588	0.917
الْفِصْحِ	G3588	1.000
الْقَارِبِ	G3588	0.909
الْقَبْرِ	G3588	1.000
الْكَرْمِ	G3588	0.917
الْكَلامَ	G3588	0.538
الْكَلِمَةَ	G3588	0.950
الْكَنِيسَةِ	G3588	0.789
الْكَهَنَةِ	G3588	0.826
الْكِتَابَ	G3588	0.800
الْمَثَلَ	G3588	0.909
الْمَجَامِعِ	G3588	0.933
الْمَجْمَعِ	G3588	0.800
الْمَدِينَةَ	G3588	1.000
الْمَدِينَةِ	G3588	0.912
الْمَذْبَحِ	G3588	0.917
الْمَكَانِ	G3588	0.667
الْمَلاكُ	G2532,G3588	0.737
الْمَلاكِ	G0846,G3588	0.727
الْمُقَابِلَةِ	G3588,G4008	0.611
الْمِئَةِ	G3588	0.812
الْهَيْكَلَ	G3588	0.917
الْهَيْكَلِ	G3588	0.964
الْوَحْشِ	G3588	0.929
الْوَقْتِ	G3588,G5119	0.526
الْوَيْلُ	G3759	0.950
الْيَهُودِيَّةِ	G3588	0.878
الْيَوْمَ	G3588,G4594	0.784
الْيَوْمِ	G2532,G3588	0.540
اَلَّذِي	G3588,G3739,H0834	0.500
اَلْآنَ	G3568,H6258	0.682
اَلْحَقَّ	G0281	0.975
بَدَلَ	H8478	0.692
بَعْدَ	G3326,H0310	0.349
بَعْدَمَا	G3326,H0310	0.114
بَعْدَهُ	G3326,H0310	0.750
بَعْدُ	G2089,H5750	0.575
بَعْدِي	G3326,G3694,H0310	0.588
بَعْضاً	G0240,G5100	0.538
بَعْضًا	G0240	0.609
بَعْضَ	G5100	0.267
بَعْضُ	G5100	0.423
بَعْضُكُمْ	G0240,G1438	0.730
بَعْضُنَا	G0240	0.889
بَلِ	G0235,H3588	0.576
بَلْ	G0235,H3588	0.597
بَيْنَ	G1722,H0996	0.287
بَيْنَكُمْ	G1722	0.596
بَيْنَهُمْ	G1722,G4314	0.267
بَيْنِي	H0996	1.000
بِأَنَّ	G3754	0.595
بِأَنَّهُ	G3754	0.571
بِأَنَّ	H1768,H3588	0.700
بِأُمُورِ	G3588	1.000
بِاسْمِي	G1519,G1722,G1909	0.474
بِالأَحْرَى	G3123	0.926
بِالرَّبِّ	G1722,G1909,G3588	0.524
بِاللهِ	G1519,G3588	0.519
بِجَانِبِ	H0681	0.519
بِحَسَبِ	G2596	0.565
بِدُونِ	G5565,H1107	0.533
بِكُمْ	H0853	0.210
بِلَا	H0369,H1097,H3808	0.206
بِمَا	G3739,H0834	0.212
بِمَاذَا	G5101,H4100	0.659
بِمَنْ	G1722,G1909,G3739,H4310	0.185
بِمِثْلِ	G3588,H0428,H2088	0.312
بِنَا	G1223,G2254	0.174
بِهِ	G0846	0.118
