lex,default
<KBWR/,亞革波，《思》阿革波爾
<KCWB/,蜘蛛；毒蛇
<KN/,亞干，《思》阿干
<KR/,亞迦，《現》亞干，《思》阿加爾
<KRN/,俄蘭，《思》敖革蘭
<KR[,麻煩
<KS/,腳鐲，足飾
<KSH/,押撒，《思》阿革撒
<KW/,亞柯，《思》阿苛
<KWR/,亞割谷，《思》阿苛爾山谷
<L/,軛；壓迫；綑綁
<L>/,烏拉，《思》烏拉
<LG/,口吃的人
<LH/,（獻）燔祭
<LH=/,葉子
<LH[,上來；上騰，上升
<LJ/,上面的
<LJ=/,杵
<LJ==/,以利，《思》厄里
<LJH/,樓上；樓頂屋
<LJL/,煉爐；窯
<LJLH/,工作，作為
<LJLJH/,工作，作為
<LJWN/,高；上面的；頂部的
<LJZ/,快樂；欣喜；歡欣鼓舞；眉飛色舞
<LLWT/,落穗
<LL[,經常做（某些）行為
<LM/,男孩
<LMH/,女孩；年輕女子
<LMT/,阿勒篾，《思》阿肋默特
<LMT=/,阿勒篾，《思》阿肋默特
<LMWN/,亞勒們，《思》阿耳孟
<LM[,躲藏起來
<LPH/,變得虛弱
<LP[,變得虛弱
<LS[,享受
<LVH/,黃昏；傍晚
<LWQH/,尼羅河水蛭
<LY[,高興；歡欣鼓舞
<LZ/,高興；歡欣鼓舞
<M<D/,亞末，《思》阿瑪得
<MCSJ/,亞瑪帥，《思》阿瑪賽
<MD=/,地方，地點；位置
<MDH/,站立位置；防守
<MD[,站，站立；站穩
<MF>/,亞瑪撒，《思》阿瑪撒
<MFJ/,亞瑪賽，《思》阿瑪賽
<MJ>L/,亞米利，《思》阿米耳
<MJCDJ/,亞米沙代，《思》阿米沙待
<MJHWD/,亞米忽，《思》阿米胡得
<MJNDB/,亞米拿達，《思》阿米納達布
<MJR/,割下的穀物；禾捆
<MJZBD/,暗米薩拔，《思》阿米匝巴特
<MLQ/,亞瑪力，《思》阿瑪肋克
<MLQJ/,亞瑪力人，《思》阿瑪肋克人
<MM=[,變暗
<MM[,變暗
<MNH/,基法‧阿摩尼
<MQ/,伊麥‧基悉，《思》厄默客刻漆茲
<MQ=/,深
<MQ==/,舌頭的深處＞晦澀難懂的言語
<MQ===/,深度；深厚
<MR/,禾捆
<MR=/,禾捆
<MRH/,蛾摩拉，《思》哈摩辣
<MRJ/,暗利，《思》敖默黎
<MRM/,暗蘭，《思》阿默蘭
<MRMJ/,暗蘭族，《思》阿默蘭族
<MR[,捆綁
<MSJH/,亞瑪斯雅，《思》阿瑪息雅
<MWD/,柱子，圓柱
<MWN/,亞捫，《思》阿孟
<MWNJ/,亞捫人，《思》阿孟人
<MWQ/,亞木，《思》阿摩克
<MWS/,阿摩司，《思》亞毛斯
<NB/,葡萄
<NB=/,亞拿伯，《思》阿納布
<NC/,罰款；貢金
<NC[,罰款
<ND[,捆綁
<NG/,精緻
<NG=/,愉快
<NG[,精緻
<NH=/,亞拿，《思》阿納
<NH==[,回答，回應，說出來
<NH[,回答，回應，說出來
<NJ/,受苦的；窮人
<NJ=/,受苦；不幸；痛苦
<NJ==/,烏尼，《思》翁尼
<NJH/,亞奈雅，《思》阿納雅
<NJM/,亞念，《思》阿寧
<NJN/,業務；事情
<NM/,亞年，《思》恩加寧
<NMJM/,亞拿米人，《思》阿納明人
<NMLK/,亞拿米勒，《思》阿納默肋客
<NN/,雲；霧；煙
<NN=/,雲；霧；煙
<NNH/,雲
<NNJ/,阿拿尼，《思》阿納尼
<NNJH/,亞難尼，《思》阿納尼雅
<NNJH=/,亞難尼，《思》阿納尼雅
<NN[,占卜；算命
<NP/,樹枝；分枝
<NP=/,枝葉繁茂
<NQ=/,項鍊；吊墜；項圈
<NQ[,（某項活動）用作項鏈>全身心投入（某項活動）
<NR/,亞乃，《思》阿乃爾
<NR=/,亞乃，《思》阿乃爾
<NT/,亞拿，《思》阿納特
<NTTJ/,從亞拿突來
<NTTJH/,安陀提雅，《思》安托提雅
<NTWT/,亞拿突，《思》阿納托特
<NTWT=/,亞拿突，《思》阿納托特
<NW/,受苦的；貧窮的；謙卑的
<NWB/,亞諾，《思》阿奴布
<NWH/,謙遜；溫柔
<NWT/,苦難；痛苦
<PL/,痔瘡；腫瘤；潰瘍
<PL[,膨脹；驕傲
<PNJ/,俄弗尼，《思》敖弗尼
<PR/,泥土；塵土；粉末
<PR=/,年輕的鹿，小鹿
<PR==/,以弗，《思》厄斐爾
<PRH/,俄弗拉，《思》敖斐辣
<PRH=/,俄弗拉，《思》敖斐辣
<PRH==/,俄弗拉，《思》敖斐辣
<PRT/,鉛
<QB/,補償；獎勵
<QB=/,腳跟；蹄
<QB==/,留下蹤跡
<QBH/,不誠實；狡猾
<QB[,雅各，《思》雅各伯
<QC/,歪曲的人
<QC=/,歪曲的人
<QCWT/,歪曲
<QD/,有條紋的，有斑紋的
<QD[,捆綁
<QH/,叫囂；喧鬧
<QLQL/,旁路；小道
<QLTWN/,扭曲；蠕動
<QL[,歪曲的；反常的
<QN/,亞干，《思》阿甘
<QR/,不能生育；不孕的
<QR=/,家庭成員；子孫
<QR==/,家庭成員；子孫
<QRB/,蠍子
<QRWN/,以革倫，《思》厄刻龍
<QRWNJ/,以革倫人，《思》厄刻龍人
<QR[,根除；連根拔起
<QWB/,阿谷，《思》阿谷布
<R/,敵人；對敵
<R<R/,窮乏人
<R<RJ/,亞羅珥人，《思》阿洛厄爾人
<R<WR/,亞羅珥，《思》阿洛厄爾
<R=/,珥，《思》厄爾
<R==/,敵人；對敵
<RB/,晚上
<RB=/,一群昆蟲
<RB==/,機織或針織的材料
<RB===/,烏鴉；大鴉
<RB====/,機織或針織的材料
<RB======/,烏鴉；大鴉
<RB========/,晚上
<RBH==/,保證；保障
<RBJ/,阿拉伯人，《思》阿剌伯人
<RBJ=/,阿拉伯人，《思》阿剌伯人
<RBTJ/,亞拉巴人，《思》貝特阿辣巴人
<RBWN/,抵押品，當頭
<RB[,保證；承諾；提供擔保
<RD/,亞拉得，《思》阿辣得
<RD=/,亞拉得，《思》阿辣得
<RF/,牀
<RG[,喘氣
<RH/,揭開；使……露出；撕掉
<RH[,揭開；使……露出；撕掉
<RJ/,以利，《思》厄黎
<RJ=/,以利，《思》厄黎
<RJH/,裸體；赤身露體
<RJRJ/,沒有兒子，無子女
<RJSH/,麵團
<RJY/,強大的；暴力的；無情的
<RL/,未受割禮的人
<RLH/,包皮
<RL[,視為禁戒的
<RMH/,狡猾；深思熟慮
<RMH=/,狡猾；深思熟慮
<RMWN/,梧桐樹；楓樹
<RN/,以蘭，《思》厄蘭
<RNJ/,以蘭族，《思》厄蘭家族
<RPH/,俄珥巴，《思》敖爾帕
<RP[,扭斷脖子
<RQJ/,亞基人，《思》阿爾克人
<RR[,脫衣服
<RW<R=/,亞羅珥，《思》阿洛厄爾
<RWD/,野驢
<RWGH/,種植園地；厚料層
<RWH/,裸體；赤身露體
<RWM/,赤身露體
<RWM=/,機敏的；聰明的；狡詐的；狡猾的；謹慎的
<RWY/,溝壑；河牀
<RY[,極其驚恐，嚇壞了
<SJS/,未發酵葡萄汁；新鮮的葡萄酒
<SS[,踩踏，踐踏
<T/,時間，時刻，時期，季節，年歲
<TD[,預備好；準備妥當
<TH,現在
<TJ/,預備好；可用的
<TJD/,準備好；預備好
<TJH/,亞他雅，《思》阿塔雅
<TJQ/,從胸懷抱走；斷奶
<TJQ=/,華麗的
<TK/,亞撻，《思》阿塔客
<TLJ/,亞勒，《思》阿特來
<TLJH/,亞她利雅，《思》阿塔里雅
<TM[,燒焦
<TNJ/,俄得尼，《思》敖特尼
<TNJ>L/,俄陀聶，《思》敖特尼耳
<TQ/,狂妄的話
<TQ=/,恆久的財寶
<TQ[,移動；挪移
<TR/,懇求者
<TR=/,以帖，《思》厄特爾
<TRT/,豐富
<TR[,懇求；祈求
<TWD/,公山羊
<TWD=/,公山羊
<V/,筆
<VH/,覆蓋
<VH=[,覆蓋
<VH[,覆蓋
<VJCH/,打噴嚏
<VJN/,腰 >身體；大腿 >身體
<VLP/,蝙蝠
<VRH/,冠冕；王冠；花環
<VRH=/,冠冕；王冠；花環
<VRWT/,亞他錄，《思》阿塔洛特
<VRWT_>DR/,亞他綠‧亞達，《思》阿塔洛特阿達爾
<VRWT_BJT_JW>B/,亞他綠‧伯‧約押，《思》阿托貝特約阿布
<VRWT_CWPN/,亞他錄‧朔反，《思》阿特洛特芍番
<VR[,四面圍住；四面護衛
<WBD/,俄備得，《思》敖貝得
<WBL/,俄巴路，《思》敖巴耳
<WB[,使黑雲遮蔽
<WC[,趕忙
<WD[,警告；勸告；保證；肯定
<WG/,噩，《思》敖格
<WGB/,笛子；管
<WH/,廢墟；荒涼
<WH=/,廢墟；荒涼
<WJ/,亞文，《思》阿威
<WJT/,亞未得，《思》阿威特
<WL/,做錯事
<WL==/,不義之人；惡人
<WLH/,（獻）燔祭
<WLM/,永遠；永恆
<WL[,做錯事
<WN/,罪孽
<WP/,鳥類；家禽
<WP[,飛行
<WQ[,吱吱作響
<WR/,眼瞎
<WR=/,皮膚
<WR[,睡醒
<WTH/,顛覆；冤枉
<WTJ/,烏太，《思》烏泰
<WY/,烏斯，《思》伍茲
<WY=/,烏斯，《思》伍茲
<WY[,商議
<WZ[,逃亡
<Y/,樹
<YB/,偶像
<YB=/,勞動；苦幹，勞作；努力工作
<YB==/,偶像
<YB===/,偶像
<YB====/,勞動；苦幹，勞作；努力工作
<YBT/,痛苦；麻煩；受苦；悲傷
<YBWN/,勞動；苦幹，勞作；努力工作
<YB[,受傷
<YH==/,脊骨
<YJWN_GBR/,以旬‧迦別，《思》厄茲雍革貝爾
<YL/,懶惰的人；遊手好閒的人
<YLWT/,懶惰；怠惰
<YL[,不情願；懶惰；怠惰
<YM/,骨頭
<YM=/,骨架
<YM==/,骨架
<YM===/,骨頭
<YMH/,甚麼，怎樣
<YMWN/,押們，《思》阿茲孟
<YM[,大量，眾多；強大
<YR/,關閉的子宮＞不孕
<YR=/,統治，管轄
<YRH/,嚴肅會，聚集；敬拜的日子
<YRT/,嚴肅會，聚集；敬拜的日子
<YR[,慢下來；停止
<YWM/,大量，眾多
<Z/,堅固的；巨大的
<Z=/,堅固的；巨大的
<Z==/,雌山羊
<Z===/,強壯的；猛烈的；有權力的；大能的
<Z====/,強壯的；猛烈的；有權力的；大能的
<Z>ZL/,阿撒瀉勒，《思》阿匝則耳
<ZB=[,離開；留下；拋棄
<ZBWQ/,押卜，《思》阿次步克
<ZB[,離開；留下；拋棄
<ZGD/,押甲，《思》阿次加得
<ZH/,迦薩，《思》迦薩
<ZH=/,迦薩，《思》迦薩
<ZJ/,烏西，《思》烏齊
<ZJ>/,烏西亞，《思》烏齊雅
<ZJ>L/,烏薛，《思》烏齊耳
<ZJ>L=/,雅薛，《思》雅阿齊耳
<ZJ>LJ/,烏薛族，烏薛人，《思》烏齊耳族
<ZJH/,烏西雅，《思》烏齊雅
<ZJZ>/,亞西撒，《思》阿齊匝
<ZMWT/,押斯瑪弗，《思》阿次瑪委特
<ZN/,阿散，《思》阿倉
<ZNJH/,黑禿鷹
<ZQH/,亞西加，《思》阿則卡
<ZQ[,破土
<ZR>/,以斯拉，《思》厄斯德拉
<ZR>L/,亞薩列，《思》阿匝勒耳
<ZRH/,幫助；援助
<ZRH=/,庭院，院子，院宇
<ZRH==/,幫助；援助
<ZRJ/,以斯利，《思》厄次黎
<ZRJ=/,以斯利，《思》厄次黎
<ZRJ>L/,亞斯列，《思》阿次黎耳
<ZRJH/,亞撒利雅，《現》烏西雅，《思》阿匝黎雅
<ZRJQM/,亞斯利干，《思》阿次黎岡
<ZR[,得到幫助；接受幫助
<ZTJ/,迦薩人；從迦薩來
<ZWBH/,阿蘇巴，《思》阿組巴
<ZWR/,押朔，《思》阿組爾
<ZWZ/,能力；權能
<ZWZ=/,強的；有力的；大能的；戰士
<ZZ/,亞撒，《思》阿匝次
<ZZJHW/,亞撒西雅，《思》阿匝齊雅
<ZZ[,強有力的；強壯的；戰勝
>B/,父親
>B<B<T/,裂開的傷口；潰爛的（瘡），起泡的瘡；長瘡
>B=/,花蕊；花
>BDH/,失物，遺失的東西
>BDH=/,失物，遺失的東西
>BDN/,毀滅；屠殺；根絕，消滅
>BD[,失落，丟失；忘記，遺忘
>BGT>/,亞拔他，《思》阿巴革達
>BH/,蘆葦，蒲草
>BH[,願意，肯；答應
>BJ/,亞比，《思》阿彼雅
>BJ<ZR/,亞比以謝，《思》阿彼厄責爾，阿彼厄則爾
>BJ>L/,亞別，《思》阿彼耳
>BJ>SP/,亞比亞撒，《思》阿彼雅撒夫
>BJB/,榖穗，麥穗，穗子
>BJCG/,亞比煞，《思》阿彼沙格
>BJCW</,亞比書，《思》阿彼叔亞
>BJCWR/,亞比述，《思》阿彼叔爾
>BJD</,亞比大，《思》阿彼達
>BJDN/,亞比但，《思》阿彼丹
>BJGJL/,亞比該，《思》阿彼蓋耳
>BJH/,亞比雅，《思》阿彼雅
>BJHW>/,亞比戶，《思》阿彼胡
>BJHWD/,亞比忽，《思》厄胡得
>BJM/,亞比央，《思》阿彼雅
>BJM>L/,亞比瑪利，《思》阿彼瑪耳
>BJMLK/,亞比米勒，《思》阿彼默肋客
>BJN<M/,亞比挪菴，《思》阿彼諾罕
>BJNDB/,亞比拿達，《思》阿彼納達布
>BJR/,公牛
>BJR=/,大能者；大能的上帝，全能上帝
>BJRM/,亞比蘭，《思》阿彼蘭
>BJSP/,以比雅撒，《思》厄貝雅撒夫
>BJTR/,亞比亞他，《思》厄貝雅塔爾
>BJVL/,亞比她，《思》阿彼塔耳
>BJVWB/,亞比突，《思》阿彼突布
>BJWN/,貧窮人；困苦的
>BJWNH/,刺山柑；杏樹
>BK[,旋轉上騰
>BL,但是，可是，卻，然而，不過；雖然
>BL/,悲哀，哀悼；憂悶；垂頭喪氣；淒涼
>BL=/,悲哀，哀悼；憂悶；垂頭喪氣；淒涼
>BL===/,悲哀，哀悼；憂悶；垂頭喪氣；淒涼
>BL[,哀悼，哀痛，哀哭，悲嘆；愁煩，憂愁
>BL_BJT_M<KH/,伯·哈干，《思》貝特干
>BL_HCVJM/,亞伯‧什亭，《思》阿貝耳史廷
>BL_KRMJM/,亞備勒‧基拉明，《思》阿貝耳革辣明
>BL_MJM/,亞伯‧瑪音，《現》亞伯‧瑪音，《思》阿貝耳瑪因
>BL_MXWLH/,亞伯‧米何拉，《思》阿貝耳默曷拉
>BL_MYRJM/,亞伯‧麥西，《思》阿貝耳米茲辣殷
>BN/,瑣希列磐石，蛇岩，《思》左赫肋特磐石
>BN=/,製作陶器的轉輪，拉坯輪，轉盆，輪盆
>BNR/,押尼珥，《思》阿貝乃爾
>BNV/,腰帶；帶子
>BN_H<ZR/,以便以謝，《思》厄本厄則爾
>BQ/,灰塵，塵土
>BQH/,香粉
>BR/,翅膀
>BRH/,翅膀，翼
>BRHM/,亞伯拉罕，《思》亞巴郎
>BRK,跪下！下拜！回避！
>BRM/,亞伯蘭，《思》亞巴郎
>BS[,養肥的；肥壯的
>BT/,阿伯，《思》敖波特
>BVJX/,西瓜，甜瓜
>BWJ/,有禍了；哀哉；唉
>BWS/,食槽，飼料槽
>BXH/,閃閃發光
>BY/,亞別，《思》厄貝茲
>BYN/,以比讚，《思》依貝贊
>C/,火
>C<N/,以珊，《思》厄商
>C=/,是；有
>CB<L/,伊施巴力，《思》依市巴耳
>CBL/,亞實別，《思》阿市貝耳
>CBLJ/,亞實別人，亞實別族，《思》阿市貝耳家族
>CBN/,伊是班，《思》厄市班
>CDWD/,亞實突，《思》阿市多得
>CDWDJ/,亞實突人，《思》阿市多得人
>CH/,女人，婦人，婦女；妻子
>CH=/,火祭
>CJM>/,亞示瑪，《思》阿史瑪
>CK/,睾丸
>CKNZ/,亞實基拿，《思》阿市革納次
>CKR/,禮物；交易付款；交換
>CKWL/,簇；串；掛；棵；束；叢
>CL/,柳樹
>CM/,有罪；罪過；過錯
>CM=/,有罪；犯了罪；錯了
>CMH/,罪，罪孽；罪過；過錯
>CM[,有了罪；犯了罪；得罪；有錯；應付責任
>CNB/,窗櫺；窗格子；格子窗
>CNH/,亞實拿，《思》阿市納
>CP/,術士；占卜家；法術師；魔法師；巫師
>CPH/,箭袋
>CPNZ/,亞施毗拿，《思》阿市培納次
>CPR/,棗子餅
>CPT/,糞堆；垃圾堆；廢物堆
>CQLWN/,亞實基倫，《思》阿市刻隆
>CQLWNJ/,亞實基倫人；來自亞實基倫的
>CR,就是；這，那；那裡；那時；怎樣
>CR==/,亞設，《思》阿協爾
>CR===/,幸福；有福的
>CR=[,亞設，《思》阿協爾
>CRH/,亞舍拉，《思》阿舍辣
>CRJ/,亞設人，《思》阿協爾人
>CR[,就是；這，那；那裡；那時；怎樣
>CT>L/,以實陶，《思》厄市陶耳
>CT>LJ/,以實陶人，《思》厄市陶耳人
>CTWN/,伊施屯，《思》厄舍東
>CWR/,亞述
>CWR=/,亞述
>CWR==/,亞述
>CXWR/,亞施戶，《思》阿市胡爾
>D/,雲霧，霧氣；水分
>DB>L/,亞德別，《思》阿德貝耳
>DB[,使憂傷，使憂愁；使絕望
>DC[,踩踏；踐踏；踹穀；打穀
>DD/,哈達，《思》哈達得
>DJR/,大能；強盛；雄偉；尊貴；威嚴，榮耀
>DLJ>/,亞大利雅，《思》阿達里雅
>DM/,人，世人
>DM=/,紅色；紅潤
>DM==/,紅寶石；紅瑪瑙
>DM===/,人，世人
>DM====/,人，世人
>DMDM/,微紅，呈現紅色，發紅
>DMH/,土地；地上；泥土，泥巴，塵土
>DMH=/,押瑪，《思》阿德瑪，阿瑪德
>DMH==/,土地；地上；泥土，泥巴，塵土
>DMNJ/,紅潤，光紅；帶紅色，發紅
>DMT>/,押瑪他，《思》阿德瑪達
>DM[,紅的，微紅的，紅潤的
>DN/,座，底座；插座
>DN=/,押但，《和修》亞頓，《思》阿丹
>DNJ/,主
>DNJQM/,亞多尼干，《思》阿多尼干
>DNJRM/,亞多尼蘭，《思》阿多尼蘭 ，阿多蘭
>DNJ_BZQ/,亞多尼‧比色，《思》阿多尼貝則克
>DNJ_YDQ/,亞多尼‧洗德，《思》阿多尼責德克
>DR/,崇敬，尊敬；光榮
>DR<J/,以得來，《思》厄德勒
>DR==/,亞達珥，《思》阿達爾
>DR===/,亞達珥，《思》阿達爾
>DRM/,亞多蘭，《思》阿多蘭
>DRMLK/,亞得米勒，《思》阿德辣默肋客
>DRMLK=/,亞得米勒，《思》阿德辣默肋客
>DRT/,尊貴；偉大；佳美；光榮
>DR[,偉大；榮耀，威嚴
>DW/,易多，《思》依多
>DWM/,以東，《思》厄東
>DWN/,主；主人；物主；丈夫
>DWRJM/,亞多萊音，《思》阿多蘭
>FR>L/,亞撒列，《思》阿撒勒耳
>FR>LH/,亞薩利拉，《思》阿沙勒拉
>FRJ>L/,亞斯烈，《思》阿斯黎耳
>FRJ>LJ/,亞斯烈族，《思》阿斯黎耳家族
>G>/,亞基，《思》厄拉
>GDH/,繩，索
>GG/,亞甲，《思》阿加格
>GGJ/,亞甲人，亞甲族，《思》阿加格人
>GL/,點滴；珠
>GLJM/,以基蓮，《思》厄革拉因
>GM/,池塘，水潭，湖澤；沼澤，泥沼
>GM=/,悲傷；苦惱，愁煩
>GMWN/,燈心草；蘆葦；雜草
>GN/,碗，盆，杯
>GP/,軍隊，部隊
>GRP/,拳頭
>GRT/,信；詔書
>GRVL/,盤，碗
>GR[,收割；聚斂；儲存
>GWR/,亞古珥，《思》阿古爾
>GWRH/,一塊銀子
>GWZ/,核桃，堅果；杏樹
>HB/,做愛；飽享愛情，親愛歡樂，擁抱取樂
>HB=/,可愛
>HBH/,愛，愛情；喜愛，喜好，愛戀
>HB[,愛
>HD/,阿轄，《思》敖哈得
>HH,哀哉，糟了，不好了；完了；唉，哎呀
>HL/,帳棚，帳幕，帳篷
>HL=/,帳棚，帳幕，帳篷
>HL==/,沉香樹，沉香木；蘆薈
>HLH/,阿荷拉，《思》敖曷拉
>HLJ>B/,亞何利亞伯，《思》敖曷里雅布
>HLJBH/,阿荷利巴，《思》敖曷里巴
>HLJBMH/,阿何利巴瑪，《思》敖曷里巴瑪
>HLJBMH=/,阿何利巴瑪，《思》敖曷里巴瑪
>HRN/,亞倫，《思》亞郎
>HW>/,亞哈瓦河，《思》阿哈瓦河
>HWD/,以笏，《思》厄胡得
>J<ZR/,伊以謝，《思》耶則爾
>J<ZRJ/,伊以謝族，《思》耶則爾家族
>JBH/,敵意，仇視，仇恨
>JC/,（自然）人；某人；（不論性別的）人
>JCHWD/,伊施荷，《思》依市曷得
>JC_BCT/,（自然）人；某人；（不論性別的）人
>JD/,災難，災禍，患難；毀滅；滅亡；懲罰
>JH,在哪裡？
>JKH=,在哪裡？
>JL/,鹿
>JL=/,公羊，公綿羊
>JL==/,公羊，公綿羊
>JL===/,公羊，公綿羊
>JL====/,力量，精力
>JLH/,雌鹿，母鹿，麀鹿
>JLM=/,以琳，《思》厄林
>JLWN/,以倫，《思》厄隆
>JLWN=/,以倫，《思》厄隆
>JLWN==/,亞雅崙，《思》阿雅隆
>JLWT/,力量
>JL_P>RN/,伊勒‧巴蘭，《思》厄耳帕蘭
>JM/,令人驚嘆；令人驚懼，令人恐懼；威武，耀眼
>JMH/,驚駭，驚慌，驚惶，驚恐；懼怕；恐怖
>JMJ/,以米；以米人，《思》厄明
>JN,從哪裡來？從甚麼地方來？從何而來？
>JN/,從哪裡來？從甚麼地方來？從何而來？
>JN=,這裡有沒有……？
>JPH,哪裡？何處？甚麼地方？
>JPH/,伊法
>JTJ>L/,以鐵，《思》依提耳
>JTMR/,以他瑪，《思》依塔瑪爾
>JTN/,永久的；持久的；固定的；長流的（河）；堅固的（住處）；強盛的（國家）
>JTN=/,永久的；持久的；固定的；長流的（河）；堅固的（住處）；強盛的（國家）
>JWB/,約伯
>JZBL/,耶洗別，《思》依則貝耳
>K,只；惟獨；惟有；僅僅；沒有別的
>KCP/,押煞，《思》阿革沙夫，阿革沙弗
>KD/,亞甲，《思》阿加得
>KJC/,亞吉，《思》阿基士
>KJLH/,食物，飲食
>KL/,食物，食品；糧食
>KL=/,烏甲，《思》阿基士
>KLH/,食物；糧食
>KL[,吃
