lex,default
<MWN/,Ammon
<MWNJ/,Ammonite
<MWQ/,Amoq
<MWS/,Amos
<NB/,raisin
<NB=/,Anav
<NC/,amende
<NC[,être condamné à une amende
<ND[,lier à
<NG/,délicat
<NG=/,délicieux
<NG[,être délicat
<NH=/,Ana
<NH==[,"répondre, dire"
<NH[,"répondre, dire"
<NJ/,pauvre
<NJ=/,affliction
<NJ==/,Ounni
<NJH/,Anaya
<NJM/,Anim
<NJN/,affaires
<NM/,Anem
<NMJM/,Anamim
<NMLK/,Anammèlek
<NN/,nuage
<NN=/,nuage
<NNH/,nuage
<NNJ/,Anani
<NNJH/,Ananya
<NNJH=/,Ananya
<NN[,pratiquer la divination
<NP/,rameau
<NP=/,plein de branches
<NQ=/,collier
<NQ[,(une activité) sert de collier > être pleinement engagé (dans une certaine activité)
<NR/,Anér
<NR=/,Anér
<NT/,Anath
<NTTJ/,Anatotite
<NTTJH/,Ântotiya
<NTWT/,Anatoth
<NTWT=/,Anatoth
<NW/,affligé
<NWB/,Anouv
<NWH/,"humility, douceur"
<NWT/,affliction
<PL/,hémorroïdes
<PL[,se gonfler d'orgueil
<PNJ/,Ofni
<PR/,poussière
<PR=/,"jeune cerf, chevreuil, faon"
<PR==/,Éfer
<PRH/,Ofra
<PRH=/,Ofra
<PRH==/,Ofra
<PRT/,plomb
<QB/,compensation
<QB=/,talon
<QB==/,suivi
<QBH/,tromperie
<QB[,Jacob
<QC/,retors
<QC=/,retors
<QCWT/,distorsion
<QD/,rayé
<QD[,lier
<QH/,clameur
<QLQL/,chemin sinueux
<QLTWN/,tortueux
<QL[,perverti
<QN/,Aqân
<QR/,stérile
<QR=/,membre de la famille
<QR==/,membre de la famille
<QRB/,scorpion
<QRWN/,Éqrôn
<QRWNJ/,Èqronite
<QR[,déraciner
<QWB/,Aqqouv
<R/,ennemi
<R<R/,démuni
<R<RJ/,Aroérite
<R<WR/,Aroër
<R=/,Ér
<R==/,ennemi
<RB/,soir
<RB=/,nuée d'insectes
<RB==/,tissu ou tricot
<RB===/,corbeau
<RB====/,tissu ou tricot
<RB======/,corbeau
<RB========/,soir
<RBH==/,sécurité
<RBJ/,Arabe
<RBJ=/,Arabe
<RBTJ/,Arbatite
<RBWN/,gage
<RB[,cautionner
<RD/,Arad
<RD=/,Arad
<RF/,lit
<RG[,haleter
<RH/,découvrir
<RH[,découvrir
<RJ/,Éri
<RJ=/,Éri
<RJH/,nu
<RJRJ/,sans enfant
<RJSH/,pâte
<RJY/,puissant
<RK/,égal
<RK[,se mettre en réseau
<RL/,personne incirconcise
<RLH/,prépuce
<RL[,considérer comme interdit
<RMH/,astuce
<RMH=/,astuce
<RMWN/,platane d'Orient
<RN/,Érân
<RNJ/,Éranite
<RP/,nuque
<RPH/,Orpa
<RPL/,"épais nuages, obscurité"
<RP[,briser la nuque
<RQJ/,Arqite
<RQ[,ronger
<RR[,se dépouiller
<RW<R=/,Aroër
<RWD/,onagre
<RWGH/,lit surélevé
<RWH/,nudité
<RWM/,nu
<RWM=/,astucieux
<RWY/,ravin
<RY[,être terrifié
<SJS/,moût
<SS[,fouler aux pieds
<T/,temps
<TD[,faire des préparatifs
<TH,maintenant
<TJ/,prêt
<TJD/,prêt
<TJH/,Ataya
<TJQ/,enlevé du sein
<TJQ=/,splendide
<TK/,Atak
<TLJ/,Atlaï
<TLJH/,Athalie
<TM[,être roussi
<TNJ/,Otni
<TNJ>L/,Otniel
<TQ/,mots insolents
<TQ=/,durable
<TQ[,se déplacer
<TR/,suppliant
<TR=/,Ètèr
<TRT/,abondance
<TR[,implorer
<TWD/,bouc
<TWD=/,bouc
<V/,plume
<VH/,couvrir
<VH=[,couvrir
<VH[,couvrir
<VJCH/,éternuement
<VJN/,abdomen > corps
<VLP/,chauve-souris
<VRH/,couronne
<VRH=/,couronne
<VRWT/,Ataroth
<VRWT_>DR/,Ataroth-Addar
<VRWT_BJT_JW>B/,Atroth-Beth-Yoav
<VRWT_CWPN/,Atroth-Shofân
<VR[,entourer
<WBD/,Obed
<WBL/,Obal
<WB[,couvrir d'un nuage
<WC[,se dépêcher
<WD[,avertir
<WG/,Og
<WGB/,flûte
<WH/,ruine
<WH=/,ruine
<WJ/,Awwim
<WJT/,Awith
<WL/,agir de manière incorrecte
<WL==/,injuste
<WLH/,offrande consumée
<WLM/,"durée, éternité"
<WL[,agir de manière incorrecte
<WN/,iniquité
<WP/,oiseaux
<WP[,voler
<WQ[,grincer
<WR/,aveugle
<WR=/,peau
<WR[,s'éveiller
<WTH/,tort
<WTJ/,Outaï
<WY/,Outs
<WY=/,Outs
<WY[,prendre conseil
<WZ[,fuir pour se mettre à l'abri
<Y/,arbre
<YB/,idole
<YB=/,travail
<YB==/,idole
<YB===/,idole
<YB====/,travail
<YBT/,douleur
<YBWN/,travail
<YB[,être blessé
<YH==/,épine dorsale
<YJWN_GBR/,Etsyôn-Guèber
<YL/,fainéant
<YLWT/,être paresseux
<YL[,être réticent
<YM/,os
<YM=/,structure squelettique
<YM==/,structure squelettique
<YM===/,os
<YMH/,quoi ?
<YMWN/,Azmôn
<YM[,être nombreux
<YR/,utérus fermé > utérus stérile
<YR=/,règle
<YRH/,assemblée solennelle
<YRT/,assemblée solennelle
<YR[,ralentir
<YWM/,nombreux
<Z/,fort
<Z=/,fort
<Z==/,chèvre
<Z===/,fort
<Z====/,fort
<Z>ZL/,Azazel
<ZB=[,"laisser, abandonner"
<ZBWQ/,Azbouq
<ZB[,"laisser, abandonner"
<ZGD/,Azgad
<ZH/,Gaza
<ZH=/,Gaza
<ZJ/,Ouzzi
<ZJ>/,Ouzziya
<ZJ>L/,Ouzziel
<ZJ>L=/,Aziel
<ZJ>LJ/,Ouzziélite
<ZJH/,Ozias
<ZJZ>/,Aziza
<ZMWT/,Azmaweth
<ZN/,Azzân
<ZNJH/,vautour moine
<ZQH/,Azéqa
<ZQ[,travailler la terre
<ZR>/,Esdras
<ZR>L/,Azarel
<ZRH/,aide
<ZRH=/,"cour, parvis"
<ZRH==/,aide
<ZRJ/,Èzri
<ZRJ=/,Èzri
<ZRJ>L/,Azriel
<ZRJH/,Azarya
<ZRJQM/,Azriqam
<ZR[,être aidé
<ZTJ/,Gazatite
<ZWBH/,Azouva
<ZWR/,Azzour
<ZWZ/,"puissance, pouvoir"
<ZWZ=/,"fort, vigoureux, puissant, guerrier"
<ZZ/,Azaz
<ZZJHW/,Azazyahou
<ZZ[,être puissant
>B/,père
>B<B<T/,plaie ouverte
>B=/,fleur
>BDH/,objet perdu
>BDH=/,objet perdu
>BDN/,destruction
>BD[,être perdu
>BGT>/,Abagta/Avagta
>BH/,roseau
>BH[,vouloir
>BJ/,Abi
>BJ<ZR/,Abiézer
>BJ>L/,Abiel
>BJ>SP/,Abiasaph
>BJB/,épi
>BJCG/,Abishag
>BJCW</,Abishoua
>BJCWR/,Abishour
>BJD</,Abida
>BJDN/,Abidân
>BJGJL/,Abigaïl
>BJH/,Abiya
>BJHW>/,Abihou
>BJHWD/,Abihoud
>BJM/,Abiyam
>BJM>L/,Abimaël
>BJMLK/,Abimélek
>BJN<M/,Abinoam
>BJNDB/,Abinadab
>BJR/,taureau
>BJR=/,le puissant
>BJRM/,Abiram
>BJSP/,Ébiasaph
>BJTR/,Abiatar
>BJVL/,Abital
>BJVWB/,Abitoub
>BJWN/,pauvre
>BJWNH/,câpre
>BK[,tourbillonner
>BL,mais
>BL/,en deuil
>BL=/,en deuil
>BL===/,en deuil
>BL[,prendre le deuil
>BL_BJT_M<KH/,Beth-Gân
>BL_HCVJM/,Abel-Shittim
>BL_KRMJM/,Abel-Keramim
>BL_MJM/,Abel-Maïm
>BL_MXWLH/,Abel-Mehola
>BL_MYRJM/,Abel-Mitsraïm
>BN/,pierre glissante
>BN=/,tour (de potier)
>BNR/,Abner
>BNV/,ceinture
>BN_H<ZR/,Eben-Ezer
>BQ/,poussière
>BQH/,poudres parfumées
>BR/,aile
>BRH/,aile
>BRHM/,Abraham
>BRK,à genoux
>BRM/,Abram
>BS[,engraisser
>BT/,Oboth
>BVJX/,pastèque
>BWJ/,"malheur, hélas"
>BWS/,crêche
>BXH/,étinceler
>BY/,Abets
>BYN/,Ibtsân
>C/,feu
>C<N/,Èsheân
>C=/,il y a
>CB<L/,Eshbaal
>CBL/,Ashbel
>CBLJ/,Ashbélite
>CBN/,Eshbân
>CDWD/,Ashdod
>CDWDJ/,Ashdodite
>CH/,femme
>CH=/,offrande consumée par le feu
>CJM>/,Ashima
>CK/,testicule
>CKNZ/,Ashkenaz
>CKR/,présent
>CKWL/,grappe
>CL/,tamaris
>CM/,culpabilité
>CM=/,coupable
>CMH/,culpabilité
>CM[,"se rendre coupable, se mettre en tort, avoir tort"
>CNB/,fenêtre à treillis
>CNH/,Achna
>CP/,"conjureur, enchanteur, envoûteur"
>CPH/,carquois
>CPNZ/,Ashpenaz
>CPR/,gâteau de dattes
>CPT/,fumier
>CQLWN/,Ashqelôn
>CQLWNJ/,Ashqelonite
>CR,qui
>CR==/,Aser
>CR===/,"heureux, béni"
>CR=[,Aser
