strong	sense	gloss	count	share
H0312	2	next	4	0.024
H0314	1	last	13	0.255
H0314	2	next	10	0.196
H0314	3	last	9	0.176
H0314	7	next	6	0.118
H0314	4	second	5	0.098
H0314	5	western	5	0.098
H0314	6	last	3	0.059
H0317	1	another	6	1.0
H0319	1	end	32	0.525
H0319	2	latter	15	0.246
H0319	3	future	5	0.082
H0319	5	future	4	0.066
H0319	4	survivors	4	0.066
H0320	1	end	1	1.0
H0321	1	one	3	0.6
H0321	2	someone else	2	0.4
H0323	1	satraps	4	1.0
H0324	1	satraps	9	1.0
H0327	1	royal	2	1.0
H0328	2	slowly	1	0.5
H0329	1	bramble	4	1.0
H0330	1	linen	1	1.0
H0331	1	narrow	4	1.0
H0332	1	close	1	1.0
H0334	1	bound of	2	1.0
H0338	1	hyenas	3	1.0
H0339	1	coastlands	36	1.0
H0340	1	be an enemy	1	1.0
H0341	1	enemies	281	1.0
H0342	1	hostility	5	1.0
H0343	1	calamity	15	1.0
H0344	1	falcon	3	1.0
H0352	1	ram	156	0.848
H0352	2	jambs	19	0.103
H0352	3	leading men	5	0.027
H0352	4	oaks	3	0.016
H0353	1	strength	1	1.0
H0354	1	deer	8	0.727
H0354	2	stags	3	0.273
H0355	1	deer	8	1.0
H0360	1	help	1	1.0
H0361	1	portico	33	1.0
H0363	1	tree	6	1.0
H0365	1	doe	3	1.0
H0366	1	awesome	3	1.0
H0367	1	terror	15	1.0
H0369	1	nothing	7	1.0
H0374	1	ephah	30	0.75
H0374	3	measure	5	0.125
H0374	2	basket	5	0.125
H0376	1	man	1770	0.811
H0376	2	each	338	0.155
H0376	3	husband	72	0.033
H0376	4	male	2	0.001
H0377	1	consider	1	1.0
H0380	1	apple	3	0.75
H0383	1	there is	16	1.0
H0386	1	perennial	3	0.231
H0386	2	ever-flowing	3	0.231
H0386	4	steady	2	0.154
H0386	3	enduring	2	0.154
H0388	1	ethanim	1	1.0
H0391	1	deceitful	2	1.0
H0393	1	cruel	2	0.5
H0394	1	cruel	8	1.0
H0395	1	cruel	1	1.0
H0396	1	food	1	1.0
H0398	1	eat	631	0.78
H0398	2	devour	171	0.211
H0398	3	food	3	0.004
H0398	4	using up	2	0.002
H0399	1	devour	5	0.714
H0399	2	they chewed up	2	0.286
H0400	1	food	36	0.837
H0400	2	eat	6	0.14
H0402	1	food	15	1.0
H0404	1	urges ~ on	1	1.0
H0405	1	pressure	1	1.0
H0406	1	farmers	7	1.0
H0410	1	God	232	0.963
H0410	2	power	5	0.021
H0410	3	mighty	3	0.012
H0417	1	hail	3	1.0
H0418	1	algum	3	1.0
H0421	1	lament	1	1.0
H0422	1	laid an oath	5	0.714
H0422	2	uttered a curse	2	0.286
H0423	1	curse	19	0.594
H0423	2	oath	13	0.406
H0424	1	oak	11	0.846
H0424	2	terebinth	2	0.154
H0426	1	god	78	0.848
H0426	2	gods	14	0.152
H0427	1	oak	1	1.0
H0430	1	God	2578	0.991
H0430	2	gods	16	0.006
H0430	3	gods	5	0.002
H0430	4	goddess	2	0.001
H0433	1	God	57	1.0
H0436	1	oak	10	1.0
H0437	1	oak	8	1.0
H0439	1	Allon	2	1.0
H0441	1	chief	60	0.87
H0441	2	friend	7	0.101
H0444	1	corrupt	3	1.0
H0451	1	fat tail	5	1.0
H0457	1	idols	17	0.85
H0457	2	worthless	3	0.15
H0481	1	mute	8	1.0
H0482	2	silent	1	0.5
H0483	1	mute	6	1.0
H0484	1	almug	3	1.0
H0485	1	sheaves	5	1.0
H0488	1	towers	3	1.0
H0489	1	widowhood	1	1.0
H0490	1	widow	54	1.0
H0491	1	widow’s	3	0.75
H0492	1	a	2	1.0
H0502	1	teaches	3	0.75
H0503	1	increase by thousands	1	1.0
H0504	1	herds	7	1.0
H0505	1	clans	9	0.692
H0505	2	thousands	4	0.308
H0509	1	pestered	1	1.0
H0510	1	army	1	1.0
H0517	1	mother	2	1.0
H0519	1	servant	44	1.0
H0520	1	cubits	244	0.992
H0521	1	cubits	4	1.0
H0523	1	nations	4	1.0
H0524	1	nations	8	1.0
H0525	1	master workman	2	1.0
H0529	1	faithful	5	0.625
H0529	2	faithful	3	0.375
H0530	1	faithfulness	42	0.857
H0530	2	trust	4	0.082
H0530	3	faithfulness	2	0.041
H0533	1	strong	3	0.5
H0533	2	mighty	2	0.333
H0534	1	branch	2	1.0
H0535	2	languish	8	0.533
H0535	1	languishes	7	0.467
H0536	1	languishing	1	1.0
H0537	1	feeble	1	1.0
H0539	1	believe	54	0.557
H0539	2	faithful	26	0.268
H0539	3	confirmed	10	0.103
H0539	4	lasting	7	0.072
H0540	1	trustworthy	1	1.0
H0542	1	master	1	1.0
H0543	1	truth	2	1.0
H0544	1	trustworthiness	1	1.0
H0545	1	brought up	1	1.0
H0547	1	doorposts	1	1.0
H0548	1	binding agreement	1	0.5
H0553	1	courageous	14	0.341
H0553	2	strengthened	14	0.341
H0553	3	strong	4	0.098
H0553	4	obstinate	3	0.073
H0553	5	managed	2	0.049
H0554	1	strong	2	1.0
H0555	1	stronger	1	1.0
H0556	1	strength	1	1.0
H0559	1	said	5224	0.991
H0559	2	thought	28	0.005
H0559	3	called	9	0.002
H0559	4	promised	5	0.001
H0559	5	declared	2	0.0
H0559	6	boast	2	0.0
H0560	1	said	57	0.826
H0560	2	commanded	12	0.174
H0561	1	words	48	1.0
H0562	1	speech	5	0.833
H0563	1	lambs	3	1.0
H0565	1	word	37	1.0
H0571	1	faithfulness	81	0.764
H0571	2	true	25	0.236
H0572	1	sack	15	1.0
H0574	1	dreadful	1	1.0
H0578	1	lament	2	1.0
H0579	1	befall	2	0.5
H0582	1	man	42	1.0
H0584	1	groan	13	1.0
H0585	1	sighing	11	1.0
H0590	1	fleet of ships	3	1.0
H0591	1	ships	28	1.0
H0592	1	lamentation	2	1.0
H0594	1	plumb line	4	1.0
H0596	1	complained	2	1.0
H0597	1	compulsion	1	1.0
H0598	1	difficult	1	1.0
H0599	1	angry	14	1.0
H0600	1	face	2	1.0
H0601	1	heron	2	1.0
H0602	1	groan	3	1.0
H0603	1	groaning	4	1.0
H0604	1	gecko	1	1.0
H0605	1	incurable	7	0.875
H0606	1	men	2	1.0
H0610	1	jar	1	1.0
H0611	1	harm	3	0.6
H0611	2	serious injury	2	0.4
H0612	1	bonds	3	1.0
H0613	1	band	2	0.667
H0614	1	ingathering	2	1.0
H0615	1	prisoners	12	1.0
H0616	1	prisoners	4	1.0
H0618	1	barns	2	1.0
H0622	1	gathered	145	0.747
H0622	2	gathered	16	0.082
H0622	3	taken away	11	0.057
H0622	4	rear guard	5	0.026
H0622	5	cure	4	0.021
H0622	9	withdraw	3	0.015
H0622	7	took	3	0.015
H0622	6	destroy	3	0.015
H0622	8	returned	2	0.01
H0624	1	stores	3	1.0
H0625	1	harvest	3	1.0
H0626	1	together	1	1.0
H0627	1	collected	1	1.0
H0628	1	rabble	1	1.0
H0631	1	bound	32	0.457
H0631	2	bound	11	0.157
H0631	4	made ready	8	0.114
H0631	3	confined	7	0.1
H0631	5	tied	4	0.057
H0631	6	prisons	3	0.043
H0631	7	prisoners	3	0.043
H0631	8	begin	2	0.029
H0632	1	pledge	9	1.0
H0633	1	decree	7	1.0
H0636	1	timber	3	0.6
H0636	2	wood	2	0.4
H0639	1	anger	224	0.809
H0639	2	face	22	0.079
H0639	3	nostrils	16	0.058
H0639	4	nose	13	0.047
H0640	1	fasten	2	1.0
H0642	1	skillfully woven	2	0.667
H0643	1	royal	1	1.0
H0644	1	baked	11	1.0
H0646	1	ephod	49	1.0
H0648	1	late in coming up	1	1.0
H0650	1	ravines	16	0.889
H0650	2	tubes	2	0.111
H0651	1	gloom	1	1.0
H0652	1	darkness	9	1.0
H0653	1	thick	1	1.0
H0655	1	fitly	1	1.0
H0656	1	no more	2	1.0
H0657	1	there is no one	16	0.364
H0657	2	ends	14	0.318
H0657	3	nothing	4	0.091
H0657	4	but	3	0.068
H0657	5	only	2	0.045
H0657	6	not	2	0.045
H0659	1	worthless	1	1.0
H0660	1	viper	3	1.0
H0661	1	encompassed	5	1.0
H0662	1	controlling	5	0.714
H0665	1	ashes	22	1.0
H0666	1	bandage	2	1.0
H0667	1	young ones	4	1.0
H0668	1	carriage	1	1.0
H0670	1	persians	1	1.0
H0671	1	officials	2	1.0
H0674	1	revenue	1	1.0
H0676	1	finger	30	0.968
H0677	1	toes	2	0.667
H0678	1	leaders	2	1.0
H0679	1	joints	2	0.667
H0680	1	reserved	3	0.6
H0685	1	armlets	2	1.0
H0686	1	stored up	4	1.0
H0688	1	sparkling	1	1.0
H0689	1	wild goat	1	1.0
H0691	1	brave men	1	1.0
H0693	1	ambush	37	1.0
H0695	2	lairs	1	0.5
H0696	1	ambush	1	0.5
H0697	1	locusts	24	1.0
H0698	1	trickery	1	1.0
H0699	1	windows	5	1.0
H0707	1	weaver’s	10	1.0
H0708	1	loom	1	0.5
H0710	1	purple	1	1.0
H0711	1	purple	3	1.0
