strong	sense	gloss	count	share
G0177	1	uncovered	2	1.0
G0178	1	uncondemned	2	1.0
G0179	1	indestructible	1	1.0
G0180	1	unceasing	1	1.0
G0181	1	disorder	3	0.6
G0182	1	unstable	2	1.0
G0184	1	Akeldama	1	1.0
G0185	1	innocent	3	1.0
G0186	1	firmly	1	1.0
G0187	1	have fully ripened	1	1.0
G0188	1	Still	1	1.0
G0189	1	hearing	12	0.522
G0189	2	news	5	0.217
G0189	5	In hearing	2	0.087
G0189	4	rumors	2	0.087
G0189	3	ear	2	0.087
G0190	1	followed	83	1.0
G0191	1	having heard	371	0.879
G0191	2	hear	43	0.102
G0191	3	is heard	5	0.012
G0191	4	does hear	2	0.005
G0192	1	self-indulgence	1	0.5
G0193	1	without self-control	1	1.0
G0194	1	undiluted	1	1.0
G0195	1	exactness	1	1.0
G0196	1	strictest	1	1.0
G0198	1	inquired exactly	2	1.0
G0200	1	locusts	4	1.0
G0201	1	audience hall	1	1.0
G0202	1	hearer	3	1.0
G0203	2	uncircumcision	10	0.526
G0203	1	uncircumcision	9	0.474
G0204	1	cornerstone	2	1.0
G0206	1	end	3	0.6
G0207	1	Aquila	2	1.0
G0208	1	you made void	3	1.0
G0210	1	unwillingly	1	1.0
G0211	1	alabaster flask	4	1.0
G0212	2	arrogance	1	0.5
G0213	1	boastful	2	1.0
G0214	2	wailing	1	0.5
G0215	1	inexpressible	1	1.0
G0216	1	mute	2	1.0
G0217	1	salt	8	1.0
G0218	1	anointed	9	1.0
G0219	1	when the rooster crows	1	1.0
G0220	1	rooster	11	1.0
G0221	1	Alexandria	1	1.0
G0222	1	Alexandria	2	1.0
G0224	1	flour	2	1.0
G0225	1	truth	102	0.99
G0226	2	speaking truth	1	0.5
G0227	1	true	21	0.808
G0227	3	true	2	0.077
G0227	2	truly	2	0.077
G0228	1	true	28	1.0
G0229	1	will be grinding	2	1.0
G0230	1	truly	3	1.0
G0231	1	fishermen	5	1.0
G0232	1	fish	1	1.0
G0233	1	will it be salted	1	0.5
G0234	1	pollutions	1	1.0
G0235	1	but	8	0.8
G0236	1	will change	6	1.0
G0238	1	allegorized	1	1.0
G0240	1	one another	1	1.0
G0241	1	foreigner	1	1.0
G0242	2	welling up	1	0.333
G0243	1	other	81	0.526
G0243	2	another	58	0.377
G0243	3	more	4	0.026
G0243	4	other	4	0.026
G0243	5	another	3	0.019
G0243	7	other	2	0.013
G0243	6	some	2	0.013
G0244	1	troublesome meddler	1	1.0
G0245	1	another’s	5	0.357
G0245	2	strangers	3	0.214
G0245	5	stranger	2	0.143
G0245	4	strange	2	0.143
G0245	3	others’	2	0.143
G0246	1	a foreigner	1	1.0
G0248	1	treading out grain	2	0.667
G0249	1	irrational	2	0.667
G0250	1	aloes	1	1.0
G0252	1	salt [spring	1	1.0
G0253	1	less anxious	1	1.0
G0254	1	with chains	11	1.0
G0255	1	unprofitable	1	1.0
G0257	1	threshing floor	2	1.0
G0258	1	Foxes	3	1.0
G0259	1	capture	1	1.0
G0261	1	ignorant	1	1.0
G0262	1	unfading	1	1.0
G0263	1	unfading	1	1.0
G0264	1	sinning	42	1.0
G0265	1	sins	4	1.0
G0266	1	sin	172	1.0
G0267	1	without witness	1	1.0
G0268	1	sinners	41	0.891
G0268	2	sinful	5	0.109
G0269	1	peaceable	2	1.0
G0270	1	having harvested	1	1.0
G0271	1	amethyst	1	1.0
G0272	1	be negligent	2	0.5
G0273	1	blameless	4	0.8
G0275	1	without concern	1	1.0
G0276	1	unchangeableness	2	1.0
G0277	1	immovable	1	1.0
G0278	2	Irrevocable	1	0.5
G0279	1	unrepentant	1	1.0
G0280	1	beyond measure	2	1.0
G0281	1	Truly	1	1.0
G0282	1	without mother	1	1.0
G0283	1	undefiled	4	1.0
G0285	1	sand	5	1.0
G0286	1	Lamb	4	1.0
G0287	1	recompense	1	1.0
G0288	1	vine	8	1.0
G0289	1	vinedresser	1	1.0
G0290	1	vineyard	20	1.0
G0292	1	he defended [him	1	1.0
G0293	1	net	1	1.0
G0294	1	having been dressed	3	0.75
G0296	1	street	1	1.0
G0297	1	both	11	0.917
G0298	1	without blemish	1	1.0
G0299	1	blameless	5	0.625
G0301	1	Amos	2	1.0
G0302	1	-	1	1.0
G0304	1	stairs	2	1.0
G0305	1	went up	45	0.562
G0305	2	grew up	14	0.175
G0305	3	ascending	13	0.163
G0305	4	went up	2	0.025
G0305	6	having entered	2	0.025
G0305	5	do come up	2	0.025
G0306	1	Put off	1	1.0
G0307	1	having drawn up	1	1.0
G0308	1	having looked up	9	0.375
G0308	2	receive sight	8	0.333
G0308	3	he received sight	7	0.292
G0309	1	recovery of sight	1	1.0
G0310	1	cried out	1	1.0
G0312	1	will disclose	5	0.417
G0312	3	He will tell	3	0.25
G0312	2	they began declaring	3	0.25
G0313	2	having begotten again	1	0.5
G0314	1	have you read	25	0.781
G0314	2	reading	7	0.219
G0315	1	He compelled	7	0.778
G0315	2	I was compelling [them	2	0.222
G0316	1	necessary	6	0.75
G0318	1	Necessary [are	5	0.294
G0318	2	necessity	4	0.235
G0318	3	distress	3	0.176
G0318	4	need	2	0.118
G0318	5	hardships	2	0.118
G0320	1	reading	3	1.0
G0321	1	we set sail	10	0.435
G0321	2	Having sailed	3	0.13
G0321	4	was led up	2	0.087
G0321	6	they brought	2	0.087
G0321	5	offered	2	0.087
G0321	3	brought [him	2	0.087
G0322	2	appointed	1	0.5
G0323	1	appearance	1	1.0
G0324	2	having received	1	0.5
G0325	1	having delivered	1	1.0
G0326	2	is alive again	1	0.5
G0327	1	began seeking	3	1.0
G0328	1	having girded up	1	1.0
G0329	1	kindle anew	1	1.0
G0330	1	you revived	1	1.0
G0331	1	accursed	5	0.833
G0332	1	put under an oath	2	0.5
G0333	2	beholding	1	0.5
G0334	1	consecrated gifts	1	1.0
G0335	1	persistence	1	1.0
G0336	1	killing	1	1.0
G0337	1	kill	18	0.783
G0337	2	took up	2	0.087
G0338	1	guiltless	2	1.0
G0339	1	sat up	2	1.0
G0340	1	restore [them	1	1.0
G0341	1	is being renewed	2	1.0
G0342	1	renewing	2	1.0
G0343	2	being lifted	1	0.5
G0344	1	return	3	1.0
G0345	1	reclining	10	0.714
G0345	2	those reclining	3	0.214
G0346	1	it is summed up	1	0.5
G0347	1	will recline	3	0.5
G0347	2	sit down	2	0.333
G0349	1	he cried out	5	1.0
G0350	1	having examined	6	0.4
G0350	2	they are discerned	6	0.4
G0350	3	inquiring	2	0.133
G0351	1	examination	1	1.0
G0352	1	look up	3	1.0
G0353	1	was taken up	7	0.538
G0353	2	having been taken up	3	0.231
G0353	3	take in	2	0.154
G0354	1	ascension	1	1.0
G0355	1	consume	2	1.0
G0356	1	proportion	1	1.0
G0357	1	Consider fully	1	1.0
G0358	1	unsalty	1	1.0
G0359	1	departure	1	1.0
G0360	2	he shall return	1	0.5
G0361	1	sinless	1	1.0
G0362	1	await	1	1.0
G0363	1	having remembered	4	0.8
G0364	1	remembrance	3	0.75
G0365	1	be renewed	1	1.0
G0366	1	they might come to their senses	1	1.0
G0367	1	Ananias	1	1.0
G0368	1	Undeniable	1	1.0
G0370	1	unworthy	1	1.0
G0372	1	rest	4	0.8
G0373	1	rest	5	0.5
G0373	2	They refreshed	4	0.4
G0374	1	persuades	1	1.0
G0375	1	sent back	3	0.6
G0375	2	he sent up	2	0.4
G0376	1	crippled	2	1.0
G0377	1	recline	9	0.75
G0377	2	Having leaned	2	0.167
G0378	2	is fulfilled	2	0.4
G0378	1	have filled up	2	0.4
G0379	1	without excuse	2	1.0
G0381	2	it be kindled	1	0.5
G0382	1	countless	1	1.0
G0383	1	stirred up	2	1.0
G0384	1	upsetting	1	1.0
G0385	1	he will pull up	1	0.5
G0386	1	resurrection	38	0.974
G0387	2	having upset	1	0.333
G0388	1	crucifying	1	1.0
G0389	1	having sighed deeply	1	1.0
G0390	1	we have conducted ourselves	3	0.333
G0390	2	having returned	2	0.222
G0390	3	lived	2	0.222
G0391	1	conduct	8	0.615
G0391	2	way of life	3	0.231
G0391	3	way of life	2	0.154
G0392	1	draw up	1	1.0
G0393	1	rose	4	0.444
G0393	2	having risen	2	0.222
G0394	1	laid before	2	1.0
G0395	1	east	8	0.889
G0396	1	He overthrew	1	0.5
G0397	1	was brought up	2	0.667
G0398	2	appear	1	0.5
G0399	1	offer up	5	0.556
G0400	1	she cried out	1	1.0
G0401	1	overflow	1	1.0
G0402	1	withdrew	7	0.5
G0402	2	they withdrew	4	0.286
G0402	3	Go away	2	0.143
G0403	1	refreshing	1	1.0
G0404	1	he refreshed	1	1.0
G0405	1	enslavers	1	1.0
G0407	1	act like men	1	1.0
G0409	1	for slayers of man	1	1.0
G0410	1	blameless	4	0.8
G0411	1	indescribable	1	1.0
G0412	1	inexpressible	1	1.0
G0413	1	unfailing	1	1.0
G0414	1	more tolerable	5	1.0
G0415	1	unmerciful	1	1.0
G0416	1	being blown by the wind	1	1.0
G0417	1	wind	31	1.0
G0418	1	Impossible	1	1.0
G0419	1	unsearchable	1	1.0
G0420	1	forbearing	1	1.0
G0421	1	untraceable	2	1.0
G0422	1	not ashamed	1	1.0
G0423	1	above reproach	2	0.667
G0424	1	Went up	3	1.0
G0425	1	rest	3	0.6
G0426	1	be examined	2	1.0
G0427	1	without	1	1.0
G0428	1	Unsuitable	1	1.0
G0429	1	found	2	1.0
G0430	1	will I bear with	6	0.4
G0430	2	we endure	3	0.2
G0430	3	you were bearing with	3	0.2
G0430	4	bearing with	2	0.133
G0431	1	cousin	1	1.0
G0432	1	dill	1	1.0
G0433	1	are fitting	2	0.667
G0434	1	savage	1	1.0
G0435	1	man	161	0.763
G0435	2	husband	49	0.232
G0436	1	resist	7	0.538
G0436	2	Was opposing	5	0.385
G0437	1	was giving praise	1	1.0
G0438	1	flower	4	1.0
G0439	1	fire of coals	2	1.0
G0440	1	coals	1	1.0
G0441	1	men-pleasers	2	1.0
G0442	1	human	6	0.857
G0443	1	murderer	3	1.0
G0444	1	man	526	0.981
G0444	2	man	6	0.011
G0444	3	man	2	0.004
G0446	1	proconsul	5	1.0
G0447	3	were loosed	1	0.25
G0448	1	without mercy [will be	1	1.0
G0449	1	with unwashed	2	1.0
G0450	1	having risen up	46	0.438
G0450	2	rise	17	0.162
G0450	3	having stood up	16	0.152
G0450	4	will raise up	10	0.095
G0450	5	there arose	5	0.048
G0450	7	rose up	3	0.029
G0450	6	has arisen	3	0.029
G0450	8	raised up	2	0.019
G0453	1	foolish	6	1.0
G0454	2	with rage	1	0.5
G0455	1	open	77	1.0
G0456	1	will rebuild	2	1.0
G0457	1	opening	1	1.0
G0458	1	lawlessness	13	0.867
G0458	2	lawless deeds	2	0.133
G0459	1	lawless	4	0.444
G0459	2	outside [the] Law	4	0.444
G0461	1	she was made straight	3	1.0
G0462	1	for [the] unholy	2	1.0
G0463	1	forbearance	2	1.0
G0464	1	struggling	1	1.0
G0465	1	as] an exchange for	2	1.0
G0466	1	I am filling up	1	1.0
G0467	1	repay	6	0.857
G0468	1	retribution	1	1.0
G0469	1	reward	1	1.0
G0470	1	reply	1	0.5
G0472	1	he will be devoted to	2	0.5
G0474	1	you exchange	1	1.0
G0475	1	opposing	1	1.0
G0476	1	adversary	4	1.0
G0477	1	opposing arguments	1	1.0
G0478	1	have you resisted	1	1.0
G0480	1	opposed	6	0.75
G0482	1	He has helped	2	0.667
G0483	2	spoken against	4	0.364
G0483	1	denying	4	0.364
G0483	3	contradicting	2	0.182
G0484	1	helping	1	1.0
G0485	1	disputes	2	0.5
G0486	1	reviled in return	1	1.0
G0487	1	as] a ransom	1	1.0
G0488	1	it will be measured again	1	1.0
G0489	1	recompense	1	0.5
G0492	1	he passed by on the opposite side	2	1.0
G0496	1	resist	1	1.0
G0497	1	warring against	1	1.0
G0498	1	opposes	5	1.0
G0499	1	copies	1	0.5
G0500	1	antichrist	5	1.0
G0501	1	draw	3	0.75
G0502	3	draw with	1	1.0
G0503	1	face	1	1.0
G0504	1	without water	3	0.75
G0505	1	sincere	4	0.667
G0505	2	unfeigned	2	0.333
G0506	1	insubordinate	1	0.333
G0508	1	upper room	2	1.0
G0510	1	upper	1	1.0
G0511	1	higher	1	0.5
G0512	1	unprofitable	2	1.0
G0513	1	ax	2	1.0
G0514	1	worthy	33	0.805
G0514	2	worthy	6	0.146
G0514	3	suitable	2	0.049
G0515	1	counted I worthy	3	0.429
G0515	2	has been counted worthy	2	0.286
G0517	1	invisible	5	1.0
G0518	1	reported	38	0.809
G0518	2	we proclaim	5	0.106
G0518	3	It was told	3	0.064
G0519	1	hanged himself	1	1.0
G0520	1	led away	11	0.733
G0520	2	leading	3	0.2
G0521	1	ignorant	1	1.0
G0522	1	shall have been taken away	3	1.0
G0523	2	ask [it] back	1	0.5
G0524	1	having cast off all feeling	1	1.0
G0525	2	be set free	1	0.333
G0526	1	alienated from	2	0.667
G0527	1	tender	2	1.0
G0528	1	will meet	2	1.0
G0529	1	meet	3	1.0
G0531	1	permanent	1	1.0
G0532	1	unprepared	1	1.0
G0533	1	you will deny	11	1.0
G0535	1	its] completion	1	1.0
G0536	1	firstfruit	7	0.875
G0537	1	all	18	0.581
G0537	2	all	7	0.226
G0537	3	all	2	0.065
G0537	5	all	2	0.065
G0537	4	all	2	0.065
G0538	1	let deceive	3	1.0
G0539	2	deceit	3	0.429
G0539	1	deceit	3	0.429
G0540	1	Without father	1	1.0
G0541	1	radiance	1	1.0
G0543	1	disobedience	6	1.0
G0544	1	having disobeyed	7	0.538
G0544	2	disobeying	5	0.385
G0545	1	disobedient	6	1.0
G0546	1	let us warn	2	1.0
G0547	1	threats	2	0.667
G0548	1	being absent	7	1.0
G0549	1	went	1	1.0
G0550	1	we have renounced	1	1.0
G0551	1	unable to be tempted	1	1.0
G0552	1	is] inexperienced	1	1.0
G0553	4	awaits	2	0.25
G0553	3	awaiting	2	0.25
G0553	1	eagerly awaiting	2	0.25
G0553	2	eagerly await	2	0.25
G0554	2	Having disarmed	1	0.5
G0555	1	removal	1	1.0
G0556	1	he drove	1	1.0
G0557	1	disrepute	1	1.0
G0558	1	freedman	1	1.0
G0560	1	expecting in return	1	1.0
G0562	1	endless	1	1.0
G0564	1	uncircumcised	1	1.0
G0565	1	having gone away	48	0.425
G0565	2	having gone	36	0.319
G0565	3	departed	16	0.142
G0565	7	having gone out	2	0.018
G0565	6	having gone away	2	0.018
G0565	4	has passed	2	0.018
G0565	5	had passed away	2	0.018
G0568	1	abstain	10	0.526
G0568	2	is kept	3	0.158
G0568	3	being	2	0.105
G0569	1	disbelieved	5	0.625
G0569	2	while they were disbelieving	2	0.25
G0570	1	unbelief	10	1.0
G0571	1	unbelieving	14	0.609
G0571	2	unbelieving	8	0.348
G0572	1	generosity	4	0.571
G0572	2	sincerity	2	0.286
G0573	1	clear	2	1.0
G0575	1	from	8	0.667
G0575	2	from	3	0.25
G0576	2	having gone out	2	0.5
G0576	1	It will result	2	0.5
G0577	1	having cast away	1	0.5
G0578	1	he was looking	1	1.0
G0579	1	be rejected	1	1.0
G0580	1	loss	1	0.5
G0581	1	having been dead	1	1.0
G0582	1	registration	2	1.0
G0583	1	register	3	0.75
G0584	2	having been set forth	1	0.25
G0585	1	demonstration	1	1.0
G0586	1	you pay tithes of	3	0.75
G0587	1	acceptable	2	1.0
G0588	1	received	5	0.714
G0589	1	traveled abroad	4	0.8
G0590	1	going on a journey	1	1.0
G0591	2	will reward	12	0.255
G0591	1	will give	11	0.234
G0591	3	give	8	0.17
G0591	4	he should pay	5	0.106
G0591	6	having delivered [it	3	0.064
G0591	5	you sold	3	0.064
G0591	7	will give	2	0.043
G0591	8	it yields	2	0.043
G0592	1	causing divisions	1	1.0
G0593	1	rejected	9	1.0
G0594	1	acceptance	2	1.0
G0595	2	putting away	1	0.5
G0596	1	barn	6	1.0
G0597	1	treasuring up	1	1.0
G0598	1	press in	1	1.0
G0599	1	died	106	0.972
G0599	2	having died	3	0.028
G0600	1	was restored	8	1.0
G0601	1	be revealed	25	1.0
G0602	1	revelation	17	0.944
G0603	1	earnest expectation	1	0.5
G0604	1	He might reconcile	3	1.0
G0605	1	restoration	1	1.0
G0606	1	being laid up	2	0.5
G0607	1	beheaded	3	1.0
G0608	1	shall have shut	1	1.0
G0609	1	cut off	5	0.833
G0610	1	sentence	1	1.0
G0611	1	Answered	206	0.9
G0611	2	answering	20	0.087
G0611	3	answered	3	0.013
G0612	1	answer	4	1.0
G0613	1	having been hidden	2	1.0
G0614	1	secret	2	1.0
G0615	1	kill	69	0.972
G0615	2	put to death	2	0.028
G0616	1	brings forth	2	1.0
G0617	1	rolled away	4	1.0
G0618	1	you did fully receive	6	0.667
G0618	2	they might receive	2	0.222
G0619	1	enjoyment	2	1.0
G0620	2	I left	3	0.429
G0620	1	it remains [for	3	0.429
G0621	1	were licking	1	1.0
G0622	1	will lose	34	0.391
G0622	2	should perish	28	0.322
G0622	3	destroy	22	0.253
G0625	1	Apollos	1	1.0
G0626	2	make a defense	2	0.2
G0626	1	make a defense	2	0.2
G0626	3	I make a defense	2	0.2
G0627	1	defense	8	1.0
G0628	1	wash away	1	0.5
G0629	1	redemption	9	0.9
G0630	1	release	29	0.439
G0630	2	Dismiss	21	0.318
G0630	3	divorce	9	0.136
G0630	4	You dismiss	4	0.061
G0630	5	Forgive	2	0.03
G0631	1	we wipe off	1	1.0
G0632	1	rendering	1	1.0
G0633	1	he washed	1	1.0
G0634	1	fell	1	1.0
G0635	1	deceive	1	0.5
G0636	1	they sailed	4	1.0
G0638	1	choked	2	0.667
G0639	1	he was perplexed	4	0.667
G0639	2	being uncertain	2	0.333
G0640	1	perplexity	1	1.0
G0641	1	having cast [themselves] off	1	1.0
