# Hebrew Strong's pairs with highly similar per-book occurrence profiles — a free
# approximation of SDBH's `ctx` (contextual/situational) domain axis, NOT the `core`
# (concept/synonymy) axis every other signal in this pipeline targets. Derived entirely
# from public-domain WLC occurrence counts. Validated 2026-08 at 45.6% SDBH ctx-agreement
# vs. 13.81% random baseline. NOT wired into build_semantic_neighbors.py — see
# build_genre_context_pairs.py's docstring for why.
strong_a	strong_b	cosine
H2445	H7117	0.9707
H2445	H8460	0.9701
H2445	H4332	0.9449
H2445	H6754	0.922
H2445	H6267	0.9045
H2449	H3686	0.9579
H2449	H8572	0.9385
H2449	H2637	0.9375
H2449	H7326	0.9361
H2449	H8394	0.9283
H2449	H6223	0.9276
H2449	H2450	0.912
H2449	H3476	0.9072
H2450	H3686	0.928
H2450	H6223	0.9249
H2450	H2637	0.9216
H2450	H2451	0.9047
H2455	H4670	0.9562
H2455	H6189	0.9277
H2455	H4383	0.9001
H2458	H8422	0.9475
H2458	H5980	0.9333
H2458	H7553	0.9322
H2458	H5361	0.9285
H2458	H6788	0.9285
H2458	H4628	0.9172
H2458	H4902	0.9103
H2460	H3722	0.9752
H2460	H5061	0.9746
H2460	H3526	0.9736
H2460	H8453	0.9703
H2460	H6187	0.9698
H2460	H8263	0.9679
H2460	H3233	0.9642
H2460	H7819	0.9608
H2460	H7785	0.9584
H2460	H6172	0.9575
H2460	H5137	0.9573
H2460	H8181	0.9491
H2460	H2891	0.946
H2460	H7364	0.9435
H2460	H3247	0.9374
H2460	H3629	0.9174
H2465	H6789	0.99
H2465	H7878	0.9849
H2465	H4691	0.9802
H2465	H4905	0.9701
H2465	H4210	0.9701
H2465	H4387	0.9701
H2465	H5542	0.9693
H2465	H3050	0.9649
H2465	H3176	0.9615
H2465	H2786	0.9507
H2465	H4571	0.9459
H2465	H7128	0.9458
H2471	H3722	0.9748
H2471	H7902	0.9726
H2471	H3526	0.9702
H2471	H5137	0.9695
H2471	H8573	0.9675
H2471	H4744	0.9563
H2471	H5785	0.9522
H2471	H7126	0.9452
H2471	H7785	0.9427
H2471	H7550	0.9074
H2472	H2492	0.9762
H2472	H6820	0.9685
H2472	H7354	0.9618
H2472	H3876	0.9614
H2472	H6215	0.9602
H2472	H8283	0.96
H2472	H6124	0.9575
H2472	H8297	0.9575
H2472	H8248	0.9351
H2472	H8198	0.9312
H2472	H6017	0.9151
H2472	H6810	0.9014
H2474	H6311	0.9365
H2474	H6189	0.906
H2474	H2491	0.9042
H2474	H4058	0.9028
H2474	H6921	0.9019
H2491	H4923	0.9392
H2491	H4058	0.9392
H2491	H6189	0.9365
H2491	H4383	0.9331
H2491	H5439	0.9326
H2491	H8593	0.9303
H2491	H4805	0.9284
H2491	H6311	0.9267
H2491	H8210	0.9266
H2491	H7016	0.9185
H2491	H6327	0.9168
H2491	H8432	0.9117
H2491	H3957	0.907
H2492	H6820	0.98
H2492	H6017	0.9564
H2492	H3290	0.9548
H2492	H7666	0.95
H2492	H3876	0.9463
H2492	H6215	0.9461
H2492	H8283	0.9396
H2492	H7354	0.9395
H2492	H5467	0.9367
H2492	H8248	0.928
H2493	H3961	0.999
H2493	H5135	0.999
H2493	H3330	0.999
H2493	H6523	0.999
H2496	H4962	0.9449
H2496	H3490	0.9328
H2497	H7707	1.0
H2497	H8017	1.0
H2497	H6701	1.0
H2497	H6686	1.0
H2497	H4371	1.0
H2497	H5996	1.0
H2497	H6295	1.0
H2497	H5918	1.0
H2497	H6301	1.0
H2497	H7086	0.9912
H2497	H4084	0.9864
H2497	H6834	0.9623
H2497	H6895	0.9623
H2497	H8446	0.9615
H2497	H5106	0.9487
H2497	H4455	0.9285
H2497	H4219	0.9267
H2526	H3179	0.9385
H2526	H3459	0.9338
H2526	H8286	0.9246
H2526	H3315	0.9238
H2526	H6034	0.9234
H2531	H4302	0.9286
H2531	H6287	0.9197
H2534	H3639	0.9269
H2534	H6530	0.9159
H2534	H3715	0.9049
H2535	H7817	0.9232
H2535	H2682	0.9141
H2535	H8414	0.9092
H2535	H6026	0.9058
H2535	H4671	0.9029
H2544	H6085	0.9959
H2544	H7014	0.9954
H2544	H5152	0.9936
H2544	H3130	0.9923
H2544	H6711	0.9919
H2544	H5348	0.9918
H2544	H6124	0.9918
H2544	H3540	0.9918
H2544	H8297	0.9918
H2544	H4554	0.9841
H2544	H2921	0.98
H2544	H6718	0.9768
H2544	H7641	0.9631
H2544	H3667	0.9544
H2544	H4435	0.9156
H2544	H8152	0.9073
H2544	H7579	0.9006
H2545	H7327	0.995
H2557	H4394	0.9711
H2557	H4888	0.9614
H2557	H6532	0.9404
H2557	H6016	0.9331
H2557	H3727	0.9292
H2557	H7822	0.9279
H2557	H2889	0.9262
H2557	H4701	0.9218
H2557	H7603	0.9196
H2557	H4370	0.915
H2568	H4605	0.9224
H2569	H6717	0.9701
H2569	H4648	0.9701
H2569	H8559	0.9433
H2569	H3363	0.9102
H2583	H6834	0.967
H2583	H5265	0.9652
H2583	H7086	0.9629
H2583	H5713	0.9582
H2583	H6302	0.9559
H2583	H5996	0.9559
H2583	H4940	0.9546
H2583	H7131	0.9094
H2584	H2652	1.0
H2584	H5941	0.9995
H2584	H8050	0.9984
H2584	H4634	0.9942
H2584	H7084	0.985
H2584	H7586	0.9706
H2584	H3448	0.9663
H2584	H5909	0.9428
H2584	H4584	0.9428
H2584	H5036	0.9285
H2584	H4673	0.9258
H2584	H5011	0.9177
H2585	H8286	0.9922
H2585	H3315	0.9913
H2585	H6034	0.9909
H2585	H6649	0.9909
H2585	H7018	0.99
H2585	H4968	0.99
H2585	H3382	0.9859
H2585	H7956	0.9852
H2585	H6714	0.971
H2585	H8646	0.9705
H2585	H7467	0.9338
H2585	H6147	0.9319
H2585	H4735	0.9015
H2586	H3505	0.9509
H2586	H2843	0.9509
H2586	H5896	0.9487
H2586	H8621	0.94
H2586	H8583	0.9096
H2586	H5654	0.9005
H2590	H7354	0.9743
H2590	H8297	0.9701
H2590	H6124	0.9701
H2590	H6622	0.9701
H2590	H4375	0.9701
H2590	H6623	0.9701
H2590	H6307	0.9701
H2595	H3902	0.978
H2595	H3129	0.9613
H2595	H7586	0.9448
H2595	H6860	0.9333
H2595	H6430	0.9306
H2595	H3448	0.92
H2600	H7563	0.9159
H2600	H8193	0.9103
H2600	H6845	0.9024
H2600	H5081	0.9008
H2603	H5148	0.971
H2603	H2617	0.9617
H2603	H4131	0.959
H2603	H7878	0.9556
H2603	H5797	0.9506
H2603	H4268	0.9486
H2603	H2620	0.9484
H2603	H6035	0.948
H2603	H7896	0.9475
H2603	H8056	0.9415
H2603	H3225	0.9334
H2603	H6869	0.9287
H2603	H5945	0.9263
H2603	H8415	0.9247
H2603	H8150	0.9225
H2603	H5582	0.9205
H2603	H8605	0.9171
H2603	H6887	0.9064
H2603	H3884	0.9062
H2605	H2811	0.982
H2605	H4918	0.9802
H2605	H4441	0.9529
H2605	H6305	0.9503
H2605	H6126	0.9444
H2605	H2929	0.9437
H2605	H8098	0.9254
H2605	H3048	0.9129
H2607	H6876	0.9467
H2608	H3414	0.952
H2610	H3511	0.9102
H2610	H6501	0.9097
H2617	H2623	0.985
H2617	H2620	0.9823
H2617	H3034	0.9813
H2617	H4869	0.9784
H2617	H3050	0.9774
H2617	H4905	0.9755
H2617	H7892	0.9631
H2617	H5797	0.9595
H2617	H5148	0.9516
H2617	H7775	0.9477
H2617	H5945	0.9412
H2617	H4571	0.941
H2617	H3225	0.9324
H2617	H7896	0.9288
H2617	H7128	0.9285
H2617	H8605	0.9272
H2617	H5582	0.9217
H2617	H3884	0.9207
H2617	H8668	0.9207
H2617	H5828	0.9177
H2617	H4867	0.9148
H2617	H5848	0.9077
H2620	H4869	0.9896
H2620	H3050	0.9885
H2620	H2623	0.9852
H2620	H4905	0.9829
H2620	H4387	0.9829
H2620	H4210	0.9829
H2620	H5542	0.982
H2620	H4131	0.9811
H2620	H7878	0.9799
H2620	H6035	0.9671
H2620	H4268	0.964
H2620	H5797	0.9593
H2620	H5833	0.9566
H2620	H7892	0.9556
H2620	H4571	0.938
H2620	H6692	0.9345
H2620	H8150	0.9321
H2620	H5849	0.929
H2620	H3721	0.9246
H2620	H5582	0.9201
H2620	H8668	0.9156
H2620	H4867	0.9127
H2620	H3884	0.9101
H2621	H3469	0.9701
H2621	H8348	0.9701
H2621	H3936	0.9701
H2621	H8092	0.9701
H2621	H8060	0.9701
H2621	H3043	0.9701
H2621	H3396	0.9604
H2621	H3189	0.9604
H2621	H2696	0.931
H2621	H7552	0.9075
H2623	H4905	0.9944
H2623	H4387	0.9944
H2623	H4210	0.9944
H2623	H5542	0.9936
H2623	H3050	0.9891
H2623	H4869	0.9833
H2623	H3034	0.9745
H2623	H6789	0.9742
H2623	H4691	0.9569
H2623	H7892	0.9546
H2623	H7775	0.9505
H2623	H7128	0.9307
H2623	H4867	0.9115
H2623	H6340	0.9001
H2623	H8605	0.9
H2635	H6523	1.0
H2635	H5135	1.0
H2635	H3961	1.0
H2635	H7714	1.0
H2635	H6598	1.0
H2635	H7985	1.0
H2635	H6922	1.0
H2635	H4291	1.0
H2635	H7238	1.0
H2635	H6433	1.0
H2635	H5632	1.0
H2635	H7117	0.9707
H2635	H8460	0.9701
H2635	H3492	0.9562
H2635	H4332	0.9449
H2637	H3686	0.9207
H2637	H7279	0.9193
H2637	H7326	0.9184
H2637	H8394	0.9079
H2637	H6089	0.9057
H2637	H6223	0.903
H2648	H6789	0.9101
H2648	H3176	0.9063
H2648	H4571	0.9011
H2648	H3884	0.9009
H2652	H5941	0.9995
H2652	H8050	0.9984
H2652	H4634	0.9942
H2652	H7084	0.985
H2652	H7586	0.9706
H2652	H3448	0.9663
H2652	H5909	0.9428
H2652	H4584	0.9428
H2652	H5036	0.9285
H2652	H4673	0.9258
H2652	H5011	0.9177
H2654	H6664	0.9246
H2654	H8398	0.9228
H2654	H6041	0.9191
H2654	H5641	0.9169
H2654	H6862	0.9168
H2654	H7442	0.9156
H2654	H3444	0.9143
H2654	H7440	0.9107
H2654	H6887	0.9102
H2654	H5769	0.9094
H2658	H7852	0.9226
H2660	H3312	0.9363
H2671	H5337	0.9243
H2671	H8668	0.9086
H2674	H4468	0.9191
H2674	H5857	0.9184
H2674	H3091	0.914
H2674	H5912	0.9091
H2674	H4719	0.9091
H2682	H7817	0.9683
H2682	H8173	0.9631
H2682	H4791	0.9391
H2682	H4671	0.9383
H2682	H7682	0.937
H2682	H2795	0.928
H2682	H6814	0.9252
H2682	H6770	0.9238
H2682	H6026	0.9152
H2682	H7456	0.9141
H2682	H6342	0.9091
H2682	H7797	0.9045
H2682	H6716	0.9015
H2691	H3802	0.9047
H2696	H4249	0.9268
H2696	H7145	0.9163
H2696	H5816	0.9162
H2696	H3936	0.9091
H2696	H8092	0.9091
H2696	H8060	0.9091
H2696	H8348	0.9091
H2696	H8439	0.904
H2698	H6914	0.9989
H2698	H6701	0.9806
H2698	H8017	0.9806
H2698	H7707	0.9806
H2698	H6790	0.9608
H2698	H5682	0.9461
H2698	H4813	0.9457
H2698	H7131	0.9165
H2698	H7523	0.9124
H2706	H8104	0.9297
H2713	H7832	0.9569
H2714	H7747	0.9354
H2714	H8454	0.9274
H2714	H4985	0.9258
H2714	H7415	0.9258
H2714	H6275	0.912
H2714	H8615	0.9116
H2714	H6757	0.9074
H2719	H6412	0.9316
H2719	H6327	0.9247
H2719	H3541	0.9183
H2722	H7698	0.9604
H2722	H4532	0.943
H2722	H8544	0.9311
H2722	H8059	0.9138
H2722	H5394	0.9085
H2743	H3948	0.9516
H2743	H7389	0.9383
H2743	H6102	0.9383
H2743	H7176	0.9356
H2743	H8394	0.9345
H2743	H7279	0.9328
H2743	H8419	0.9326
H2743	H8551	0.9219
H2752	H3327	0.9653
H2752	H6215	0.9604
H2752	H3876	0.9592
H2752	H3130	0.9567
H2752	H8646	0.9541
H2752	H6820	0.9536
H2752	H6636	0.9351
H2766	H3442	0.9948
H2766	H2828	0.9912
H2766	H4409	0.9912
H2766	H5411	0.989
H2766	H4822	0.9829
H2766	H4983	0.9816
H2766	H6355	0.9713
H2766	H5830	0.9627
H2766	H7935	0.9371
H2766	H5720	0.9157
H2767	H5126	0.9043
H2768	H6252	0.9241
H2771	H8286	0.9723
H2771	H6034	0.9719
H2771	H6649	0.9719
H2771	H3315	0.9711
H2771	H4968	0.9697
H2771	H7018	0.9697
H2771	H3382	0.9678
H2771	H5032	0.967
H2778	H8668	0.9327
H2781	H4830	0.9266
H2781	H5844	0.9112
H2786	H5058	0.9642
H2786	H6789	0.9632
H2786	H3176	0.9534
H2786	H5848	0.9439
H2786	H7878	0.9288
H2786	H4691	0.9284
H2786	H6862	0.9168
H2795	H3335	0.936
H2795	H5034	0.9355
H2795	H6476	0.9323
H2795	H6286	0.9296
H2795	H6770	0.9266
H2795	H8173	0.9256
H2795	H4937	0.9206
H2795	H6918	0.9204
H2795	H7817	0.919
H2803	H7999	0.9226
H2803	H5186	0.9015
H2805	H2833	0.9985
H2805	H6472	0.9899
H2805	H8246	0.9899
H2805	H3924	0.9899
H2805	H4225	0.9899
H2805	H7165	0.9899
H2805	H5450	0.9899
H2805	H3503	0.9899
H2805	H8438	0.9881
H2805	H8144	0.9869
H2805	H5561	0.9799
H2805	H3727	0.9713
H2805	H4701	0.97
H2805	H3547	0.9585
H2805	H6532	0.9483
H2805	H7603	0.9381
H2809	H6160	0.9216
H2809	H5511	0.9152
H2811	H4918	0.989
H2811	H6126	0.982
H2811	H2929	0.967
H2811	H4441	0.9515
H2811	H6305	0.9331
H2811	H4409	0.9286
H2811	H5832	0.9286
H2811	H8098	0.9166
H2811	H3048	0.9163
H2811	H7935	0.9117
H2815	H5571	0.9701
H2815	H3111	0.9701
H2815	H7645	0.9701
H2815	H5166	0.9604
H2815	H2900	0.958
H2815	H6418	0.9553
H2815	H6305	0.9527
H2815	H4514	0.9513
H2815	H2929	0.9507
H2815	H4918	0.9456
H2815	H3048	0.94
H2820	H3198	0.9486
H2822	H6083	0.9475
H2822	H5645	0.9266
H2822	H6663	0.9251
H2822	H7449	0.9226
H2822	H6211	0.909
H2822	H3882	0.902
H2825	H3444	0.9477
H2825	H7442	0.9448
H2825	H3816	0.9372
H2825	H4285	0.9331
H2825	H7440	0.9325
H2825	H8398	0.9297
H2825	H5123	0.9286
H2825	H5209	0.9091
H2828	H4409	1.0
H2828	H6126	0.982
H2828	H3442	0.9744
H2828	H5411	0.9732
H2828	H4983	0.973
H2828	H7935	0.9687
H2828	H2929	0.967
H2828	H4441	0.9515
H2828	H8203	0.9274
H2833	H3924	0.9962
H2833	H4225	0.9962
H2833	H8246	0.9962
H2833	H3503	0.9962
H2833	H6472	0.9962
H2833	H7806	0.9962
H2833	H5450	0.9962
H2833	H8438	0.9843
H2833	H8144	0.9828
H2833	H5561	0.9763
H2833	H3727	0.9573
H2833	H4701	0.9567
H2833	H3547	0.9558
H2833	H7603	0.9273
H2836	H3871	0.9084
H2843	H3505	1.0
H2843	H5896	0.9806
H2843	H5654	0.968
H2843	H8583	0.9231
H2843	H6069	0.9199
H2845	H3929	0.9997
H2845	H5152	0.998
H2845	H8297	0.9971
H2845	H6124	0.9971
H2845	H7259	0.9971
H2845	H5348	0.9971
H2845	H3130	0.9918
H2845	H3327	0.9893
H2851	H8457	1.0
H2851	H6788	1.0
H2851	H5361	1.0
H2851	H6921	0.9929
H2851	H8372	0.9918
H2851	H4058	0.9905
H2851	H4805	0.9866
H2851	H6288	0.9864
H2851	H6442	0.9814
H2851	H4181	0.9802
H2851	H4658	0.9733
H2851	H6706	0.9701
H2851	H4923	0.9623
H2851	H8602	0.9623
H2851	H7553	0.9562
H2851	H8422	0.9449
H2851	H2864	0.9449
H2851	H8636	0.9428
H2851	H6181	0.9428
H2851	H7253	0.9285
H2851	H7016	0.9167
H2851	H4670	0.9129
H2851	H2902	0.9113
H2859	H7050	0.9295
H2859	H3909	0.9177
H2864	H6921	0.9526
H2864	H8602	0.9456
H2864	H5361	0.9449
H2864	H6788	0.9449
H2864	H8457	0.9449
H2864	H7426	0.9117
H2865	H7280	0.9518
H2865	H6808	0.9426
H2865	H8565	0.9218
H2865	H5116	0.9179
H2865	H4133	0.9089
H2865	H8205	0.9064
H2876	H5018	0.9356
H2876	H3079	0.9278
H2876	H5418	0.9186
H2876	H7247	0.9185
H2876	H6578	0.9146
H2876	H8612	0.9054
H2881	H6187	0.9084
H2881	H7364	0.9032
H2881	H6883	0.9012
H2883	H4970	0.9122
H2885	H6472	0.988
H2885	H3924	0.988
H2885	H7165	0.988
H2885	H4225	0.988
H2885	H5450	0.988
H2885	H8246	0.988
H2885	H7806	0.988
H2885	H8504	0.9765
H2885	H3843	0.9211
H2885	H8401	0.9004
H2889	H4682	0.9547
H2889	H4888	0.9374
H2889	H6532	0.928
H2889	H4394	0.9223
H2889	H3725	0.9177
H2889	H7794	0.905
H2889	H3727	0.9
H2891	H2930	0.9765
H2891	H2893	0.9693
H2891	H3722	0.953
H2891	H2932	0.9527
H2891	H7819	0.9491
H2891	H5079	0.946
H2891	H3526	0.9423
H2891	H4465	0.9393
H2891	H7275	0.9308
H2891	H4227	0.9056
H2893	H4465	0.9683
H2893	H8263	0.9646
H2893	H7147	0.9631
H2893	H5424	0.9631
H2893	H3849	0.9631
H2893	H4134	0.9631
H2893	H2930	0.9573
H2893	H4227	0.9437
H2893	H7819	0.9424
H2893	H2932	0.9284
H2900	H3111	0.9875
H2900	H5571	0.9875
H2900	H7645	0.9875
H2900	H5166	0.9875
H2900	H3114	0.9751
H2900	H8660	0.9751
H2900	H6418	0.9724
H2900	H4514	0.9683
H2900	H8274	0.9591
H2900	H6934	0.9591
H2900	H3048	0.9358
H2902	H8636	0.9513
H2902	H4720	0.9367
H2902	H6788	0.9113
H2905	H3595	0.9649
H2905	H4526	0.9541
H2905	H6823	0.9508
H2905	H5982	0.9258
H2905	H6452	0.9047
H2914	H5011	0.9037
H2914	H7084	0.9007
H2921	H6085	0.9834
H2921	H3130	0.9818
H2921	H5152	0.9796
H2921	H5146	0.9786
H2921	H7014	0.9759
H2921	H6124	0.9733
H2921	H8297	0.9733
H2921	H6718	0.9705
H2921	H7431	0.9546
H2921	H5467	0.9491
H2921	H7549	0.9084
H2921	H7579	0.9081
H2921	H8152	0.9068
H2929	H6126	0.9847
H2929	H4918	0.9763
H2929	H4409	0.967
H2929	H4441	0.9661
H2929	H3048	0.9439
H2929	H6305	0.9211
H2930	H3722	0.9727
H2930	H3526	0.9611
H2930	H5079	0.9579
H2930	H2932	0.9579
H2930	H5137	0.9575
H2930	H6172	0.9563
H2930	H7126	0.941
H2930	H7275	0.9251
H2930	H4227	0.9162
H2932	H6172	0.9521
H2932	H5079	0.9442
H2932	H5409	0.9358
H2932	H4227	0.93
H2932	H8263	0.9284
H2940	H5673	0.977
H2940	H3984	0.9509
H2948	H7341	0.9559
H2948	H7070	0.9454
H2948	H8201	0.9435
H2948	H6285	0.9374
H2948	H5980	0.902
H2962	H7121	0.9089
H2966	H6531	0.9197
H2966	H4370	0.9177
H2966	H5409	0.9116
H2975	H3843	0.9545
H2985	H6759	0.984
H2985	H3316	0.9779
H2985	H5516	0.9761
H2985	H4495	0.9733
H2985	H8123	0.9733
H2985	H3378	0.9705
H2985	H3278	0.9611
H2985	H7028	0.9559
H2985	H6881	0.9512
H2985	H6084	0.9338
H2985	H7417	0.9204
H3003	H6430	0.9647
H3003	H5633	0.9331
H3003	H3902	0.9077
H3003	H3129	0.9007
H3015	H3563	0.9323
H3015	H4830	0.904
H3021	H4885	0.9441
H3021	H3335	0.9408
H3021	H6476	0.9317
H3021	H7898	0.9314
H3021	H6957	0.9314
H3021	H5034	0.927
H3021	H6673	0.9242
H3021	H6286	0.9206
H3021	H3182	0.9127
H3021	H4937	0.9127
H3021	H3908	0.9127
H3021	H8069	0.9084
H3021	H5445	0.9069
H3021	H5787	0.9032
H3025	H4962	0.9333
H3027	H4480	0.961
H3027	H3117	0.9537
H3027	H6440	0.9483
H3027	H5921	0.9418
H3027	H3318	0.9401
H3027	H3605	0.9389
H3027	H5971	0.9369
H3027	H3588	0.9356
H3027	H7200	0.9338
H3027	H7760	0.9325
H3027	H5927	0.9264
H3027	H5869	0.923
H3027	H7971	0.9221
H3027	H5704	0.9205
H3027	H7725	0.9182
H3027	H6213	0.9159
H3027	H6965	0.9008
H3034	H7892	0.9767
H3034	H3050	0.9745
H3034	H4210	0.973
H3034	H4387	0.973
H3034	H4905	0.973
H3034	H5542	0.9721
H3034	H5945	0.9406
H3034	H8605	0.9351
H3034	H5828	0.9293
H3038	H6022	0.956
H3038	H3406	0.9533
H3038	H8087	0.9507
H3038	H5840	0.9507
H3038	H4256	0.9475
H3038	H3189	0.9464
H3038	H3395	0.9407
H3038	H3273	0.9049
H3039	H8416	0.9763
H3039	H7442	0.9658
H3039	H6664	0.9617
H3039	H7440	0.9565
H3039	H3444	0.9515
H3039	H4268	0.9489
H3039	H8398	0.9418
H3039	H3925	0.9301
H3039	H6697	0.9148
H3043	H8092	1.0
H3043	H8060	1.0
H3043	H3469	1.0
H3043	H8348	1.0
H3043	H3936	1.0
H3043	H3396	0.9899
H3043	H3189	0.9899
H3043	H3449	0.9806
H3043	H8087	0.9428
H3043	H6222	0.9129
H3045	H3588	0.9247
H3045	H3808	0.9195
H3045	H5869	0.9179
H3045	H7307	0.9169
H3045	H7760	0.9169
H3045	H4480	0.9049
H3048	H4918	0.9358
H3048	H6126	0.9129
H3048	H6305	0.9108
H3050	H4905	0.9946
H3050	H4210	0.9946
H3050	H4387	0.9946
H3050	H5542	0.9937
H3050	H4869	0.9914
H3050	H7878	0.9814
H3050	H4131	0.9746
H3050	H5058	0.9641
H3050	H4691	0.9571
H3050	H7892	0.9549
H3050	H5833	0.953
H3050	H6035	0.9508
H3050	H6692	0.9407
H3050	H7775	0.9392
H3050	H5849	0.934
H3050	H3721	0.9276
H3058	H3141	0.9867
H3058	H6492	0.9784
H3058	H3060	0.9745
H3058	H4505	0.9745
H3058	H3059	0.9696
H3058	H5250	0.9675
H3058	H5429	0.9591
H3058	H5283	0.9569
H3058	H6271	0.9488
H3058	H3078	0.9245
H3058	H7195	0.9099
H3059	H6492	0.9719
H3059	H3141	0.9716
H3059	H5250	0.9535
H3059	H3078	0.9535
H3059	H3060	0.9487
H3059	H4505	0.9487
H3059	H6271	0.9431
H3059	H7195	0.9342
H3059	H3088	0.9228
H3060	H4505	1.0
H3060	H6492	0.9879
H3060	H3141	0.9806
H3060	H5283	0.9648
H3060	H5429	0.9608
H3060	H6271	0.9177
H3060	H3078	0.9045
H3061	H3488	0.9791
H3061	H3705	0.9785
H3061	H8421	0.9754
H3061	H6842	0.9415
H3061	H3984	0.9414
H3061	H5312	0.9411
H3061	H7960	0.9152
H3063	H3389	0.9332
H3063	H8227	0.906
H3064	H4782	0.9377
H3064	H4082	0.9329
H3064	H6332	0.9321
H3068	H3605	0.9501
H3068	H3772	0.9428
H3068	H3588	0.939
H3068	H4480	0.9383
H3068	H5971	0.9345
H3068	H3808	0.9275
H3068	H5921	0.925
H3068	H6440	0.9218
H3068	H8085	0.9083
H3068	H6437	0.9064
H3068	H6963	0.9034
H3077	H3092	0.9689
H3077	H7432	0.9254
H3077	H7346	0.9087
H3077	H3668	0.9076
H3078	H7195	0.9278
H3078	H6492	0.9267
H3078	H3141	0.9264
H3078	H5250	0.9091
H3079	H5018	0.9844
H3079	H5418	0.9807
H3079	H8612	0.9638
H3079	H7143	0.9621
H3079	H3778	0.9448
H3079	H5374	0.9429
H3079	H4446	0.9429
H3079	H7247	0.9348
H3079	H6578	0.9225
H3079	H3082	0.9085
H3082	H7247	0.9698
H3082	H5018	0.9037
H3088	H3101	0.9206
H3088	H6939	0.9127
H3091	H4719	0.9935
H3091	H5912	0.9935
H3091	H5857	0.9904
H3091	H6252	0.9507
H3091	H8444	0.9494
H3091	H3405	0.9444
H3091	H8388	0.9426
H3091	H3672	0.9402
H3091	H4468	0.9247
H3092	H7346	0.9641
H3092	H7895	0.9543
H3092	H7432	0.927
H3092	H4321	0.901
H3092	H3668	0.9002
H3097	H6021	0.9939
H3097	H6214	0.9751
H3097	H6870	0.9582
H3097	H6432	0.9525
H3097	H8583	0.9278
H3097	H6678	0.924
H3098	H5576	0.9278
H3101	H3147	0.96
H3103	H7732	0.9827
H3103	H3266	0.9714
H3103	H3355	0.9562
H3103	H8555	0.9562
H3103	H4927	0.9174
H3104	H7147	0.9679
H3104	H5424	0.9679
H3104	H4348	0.9679
H3104	H4134	0.9679
H3104	H6581	0.9679
H3104	H3849	0.9679
H3104	H5997	0.9639
H3104	H5061	0.9629
H3107	H5718	0.9072
H3107	H7778	0.9014
H3110	H3414	0.9543
H3110	H6667	0.9517
H3110	H5418	0.9346
H3110	H6583	0.9248
H3110	H6068	0.9171
H3110	H7143	0.9098
H3110	H5374	0.9075
H3110	H5663	0.9075
H3110	H4446	0.9075
H3111	H5571	1.0
H3111	H7645	1.0
H3111	H5166	0.9899
H3111	H6418	0.9847
H3111	H4514	0.9806
H3111	H8660	0.9701
H3111	H3114	0.9701
H3111	H8274	0.9487
H3114	H8660	1.0
H3114	H6934	0.9971
H3114	H8274	0.9971
H3114	H5166	0.9947
H3114	H4822	0.9762
H3114	H5571	0.9701
H3114	H7645	0.9701
H3114	H6418	0.9553
H3114	H4514	0.9513
H3117	H6440	0.9673
H3117	H4480	0.9629
H3117	H3605	0.959
H3117	H3318	0.9429
H3117	H5704	0.9344
H3117	H5414	0.9341
H3117	H7200	0.9318
H3117	H3588	0.9291
H3117	H3772	0.9271
H3117	H3808	0.9263
H3117	H5869	0.9209
H3117	H4725	0.9144
H3117	H5971	0.9121
H3117	H6965	0.9112
H3117	H3651	0.9106
H3119	H5186	0.9096
H3122	H4794	0.943
H3122	H7394	0.9044
H3129	H7586	0.9889
H3129	H3902	0.9823
H3129	H6430	0.9653
H3129	H3448	0.953
H3129	H5011	0.9438
H3129	H6860	0.935
H3129	H5036	0.9277
H3130	H7014	0.9952
H3130	H5152	0.9951
H3130	H6085	0.9947
H3130	H6124	0.9918
H3130	H3327	0.989
H3130	H8646	0.9856
H3130	H6718	0.9771
H3130	H3667	0.9674
H3130	H6509	0.9543
H3130	H7431	0.9516
H3130	H8352	0.9481
H3130	H4435	0.9436
H3130	H4033	0.9413
H3130	H8152	0.9056
H3130	H7579	0.903
H3136	H3674	0.9701
H3136	H3660	0.9701
H3136	H5406	0.9701
H3141	H6492	0.983
H3141	H4505	0.9806
H3141	H5283	0.969
H3141	H6271	0.9598
H3141	H5429	0.9421
H3141	H5250	0.9264
H3148	H5531	0.9802
H3148	H6953	0.9802
H3148	H6045	0.9802
H3148	H3504	0.9802
H3148	H4745	0.9718
H3148	H7468	0.9274
H3148	H5530	0.9101
H3158	H8366	0.9163
H3162	H6342	0.9574
H3162	H6026	0.943
H3162	H4791	0.9356
H3162	H6960	0.9339
H3162	H5074	0.9171
H3162	H7350	0.9017
H3166	H8019	0.98
H3166	H6022	0.9718
H3166	H3449	0.9707
H3166	H3189	0.9667
H3166	H3273	0.9648
H3166	H3406	0.9629
H3166	H4256	0.953
H3166	H5662	0.9346
H3166	H3713	0.9186
H3166	H3171	0.9147
H3166	H4317	0.9054
H3171	H3273	0.9635
H3173	H6119	0.9152
H3176	H6789	0.9548
H3176	H7834	0.9468
H3176	H7482	0.946
H3176	H7878	0.9384
H3176	H4691	0.9355
H3176	H5058	0.9307
H3176	H6862	0.9294
H3176	H7845	0.9288
H3179	H3999	0.9935
H3179	H3876	0.9844
H3179	H6124	0.9806
H3179	H8297	0.9806
H3179	H6622	0.9806
H3179	H7259	0.9806
H3179	H3540	0.9806
H3179	H4471	0.9806
H3179	H7431	0.968
